"gene_id","length"
"ACTBP10",1728
"ACTBP11",1791
"ACTBP12",434
"ACTBP14",1105
"ACTBP15",631
"ACTBP2",1795
"ACTBP3",428
"ACTBP4",1760
"ACTBP6",1760
"ACTBP7",1788
"ACTBP8",1769
"ACTBP9",1792
"ACTC1",1382
"ACTE1P",2162
"ACTG1",2038
"ACTG1P1",1940
"ACTG1P10",2297
"ACTG1P11",1909
"ACTG1P12",1406
"ACTG1P13",808
"ACTG1P14",1177
"ACTG1P15",1044
"ACTG1P16",1346
"ACTG1P17",1670
"ACTG1P18",909
"ACTG1P19",1163
"ACTG1P2",2102
"ACTG1P20",2652
"ACTG1P21",1012
"ACTG1P22",1100
"ACTG1P23",1090
"ACTG1P24",899
"ACTG1P25",2321
"ACTG1P3",1684
"ACTG1P4",1988
"ACTG1P9",1650
"ACTG2",1501
"ACTL10",1583
"ACTL11P",3962
"ACTL6A",1902
"ACTL6B",1541
"ACTL7A",1491
"ACTL7B",1399
"ACTL8",1960
"ACTL9",1396
"ACTN1",4949
"ACTN1-DT",599
"ACTN2",5069
"ACTN3",3274
"ACTN4",10284
"ACTN4P1",1649
"ACTN4P2",2056
"ACTP1",383
"ACTR10",2429
"ACTR1A",2830
"ACTR1AP1",1377
"ACTR1B",2514
"ACTR2",3798
"ACTR3",6925
"ACTR3-AS1",590
"ACTR3B",6720
"ACTR3BP1",1843
"ACTR3BP2",1338
"ACTR3BP3",1841
"ACTR3BP4",1842
"ACTR3BP5",3292
"ACTR3BP6",3686
"ACTR3BP7",1644
"ACTR3C",30867
"ACTR3P1",1338
"ACTR3P2",1413
"ACTR3P3",387
"ACTR5",2547
"ACTR6",1891
"ACTR6P1",1071
"ACTR8",11872
"ACTRT1",1442
"ACTRT1P1",1439
"ACTRT2",1437
"ACTRT3",1671
"ACVR1",4265
"ACVR1B",5426
"ACVR1C",9054
"ACVR2A",5404
"ACVR2B",18101
"ACVR2B-AS1",2517
"ACVRL1",4401
"ACY1",1422
"ACY3",1529
"ACYP1",940
"ACYP2",3036
"ADA",1496
"ADA2",6276
"ADAD1",2287
"ADAD1P1",1165
"ADAD1P2",695
"ADAD2",2264
"ADAL",4971
"ADAM10",11330
"ADAM11",5113
"ADAM12",10969
"ADAM15",3379
"ADAM17",6674
"ADAM18",6541
"ADAM19",6491
"ADAM1A",2840
"ADAM1B",1741
"ADAM2",5220
"ADAM20",13440
"ADAM20P1",3039
"ADAM20P2",1592
"ADAM20P3",2072
"ADAM21",2647
"ADAM21P1",2049
"ADAM22",10219
"ADAM23",6425
"ADAM24P",2155
"ADAM28",8057
"ADAM29",3804
"ADAM30",2983
"ADAM32",5664
"ADAM33",4188
"ADAM3A",2768
"ADAM3B",940
"ADAM5",2616
"ADAM6",3686
"ADAM7",3524
"ADAM8",3791
"ADAM9",11149
"ADAMDEC1",2438
"ADAMTS1",5183
"ADAMTS10",5142
"ADAMTS12",10132
"ADAMTS13",11156
"ADAMTS14",6275
"ADAMTS15",6580
"ADAMTS16",4979
"ADAMTS16-DT",1584
"ADAMTS17",22440
"ADAMTS18",5841
"ADAMTS19",9047
"ADAMTS19-AS1",786
"ADAMTS2",8251
"ADAMTS20",7673
"ADAMTS3",7020
"ADAMTS4",13062
"ADAMTS5",9982
"ADAMTS6",14472
"ADAMTS7",5937
"ADAMTS7P1",9966
"ADAMTS7P3",3823
"ADAMTS7P4",3573
"ADAMTS8",3628
"ADAMTS9",7807
"ADAMTS9-AS1",3930
"ADAMTS9-AS2",2228
"ADAMTSL1",22668
"ADAMTSL2",4313
"ADAMTSL3",10170
"ADAMTSL4",5440
"ADAMTSL4-AS1",1036
"ADAMTSL4-AS2",840
"ADAMTSL5",2824
"ADAP1",2774
"ADAP2",2964
"ADAR",7134
"ADARB1",16395
"ADARB2",8475
"ADARB2-AS1",868
"ADAT1",5927
"ADAT2",10032
"ADAT3",1599
"ADCK1",4967
"ADCK2",2628
"ADCK5",5192
"ADCY1",13098
"ADCY10",8747
"ADCY10P1",4569
"ADCY2",7341
"ADCY3",5477
"ADCY4",7420
"ADCY5",8653
"ADCY6",8389
"ADCY6-DT",554
"ADCY7",6828
"ADCY8",5265
"ADCY9",8167
"ADCYAP1",3564
"ADCYAP1R1",6807
"ADD1",5666
"ADD2",11292
"ADD3",5772
"ADD3-AS1",1280
"ADGB",5318
"ADGB-DT",2190
"ADGRA1",6465
"ADGRA1-AS1",475
"ADGRA2",7013
"ADGRA3",5675
"ADGRA3P1",1648
"ADGRB1",6440
"ADGRB2",5968
"ADGRB3",6090
"ADGRB3-DT",534
"ADGRD1",9824
"ADGRD1-AS1",789
"ADGRD2",4501
"ADGRE1",3517
"ADGRE2",8069
"ADGRE3",2453
"ADGRE4P",2732
"ADGRE5",3492
"ADGRF1",6062
"ADGRF2",6311
"ADGRF3",7053
"ADGRF4",3128
"ADGRF5",6255
"ADGRF5-AS1",1732
"ADGRF5P1",1347
"ADGRF5P2",1399
"ADGRG1",6272
"ADGRG2",5506
"ADGRG3",7058
"ADGRG4",10268
"ADGRG5",4881
"ADGRG6",8167
"ADGRG7",3962
"ADGRL1",16399
"ADGRL1-AS1",5776
"ADGRL2",10552
"ADGRL3",19065
"ADGRL3-AS1",467
"ADGRL4",3539
"ADGRV1",19698
"ADH1A",1454
"ADH1B",4189
"ADH1C",1454
"ADH4",2150
"ADH5",2652
"ADH5P2",1402
"ADH5P3",1388
"ADH5P4",5184
"ADH5P5",352
"ADH6",3483
"ADH7",2227
"ADHFE1",1972
"ADI1",7624
"ADI1P1",2120
"ADI1P2",980
"ADI1P3",535
"ADIG",770
"ADIPOQ",4593
"ADIPOQ-AS1",3572
"ADIPOR1",2449
"ADIPOR1P1",849
"ADIPOR1P2",904
"ADIPOR2",8616
"ADIRF",627
"ADIRF-AS1",3241
"ADK",4366
"ADM",1492
"ADM-DT",2998
"ADM2",4286
"ADM5",788
"ADNP",8701
"ADNP-AS1",1031
"ADNP2",5464
"ADO",3760
"ADORA1",3202
"ADORA2A",2788
"ADORA2A-AS1",4024
"ADORA2B",5870
"ADORA2BP1",1327
"ADORA3",1821
"ADPGK",5224
"ADPGK-AS1",2730
"ADPRH",4322
"ADPRHL1",11920
"ADPRM",1534
"ADPRS",1658
"ADRA1A",28731
"ADRA1B",10421
"ADRA1D",2942
"ADRA2A",3879
"ADRA2B",3696
"ADRA2C",2142
"ADRB1",3039
"ADRB2",2013
"ADRB3",2585
"ADRM1",2525
"ADSL",5016
"ADSS1",2260
"ADSS2",3879
"ADTRP",8503
"AEBP1",4126
"AEBP2",6086
"AEN",4880
"AFAP1",9083
"AFAP1-AS1",6795
"AFAP1L1",6445
"AFAP1L2",5426
"AFDN",11033
"AFDN-DT",2311
"AFF1",10972
"AFF1-AS1",1945
"AFF2",13889
"AFF3",20371
"AFF4",9916
"AFG1L",8810
"AFG3L1P",3903
"AFG3L2",3242
"AFG3L2P1",20693
"AFM",1997
"AFMID",2502
"AFP",2426
"AFTPH",4191
"AFTPH-DT",1967
"AGA",2069
"AGA-DT",1728
"AGAP1",18281
"AGAP1-IT1",664
"AGAP10P",1512
"AGAP11",3482
"AGAP12P",4282
"AGAP13P",1086
"AGAP14P",1173
"AGAP2",7156
"AGAP2-AS1",1531
"AGAP3",6177
"AGAP4",3825
"AGAP5",2719
"AGAP6",3056
"AGAP7P",2407
"AGAP9",2387
"AGBL1",16414
"AGBL1-AS1",905
"AGBL2",8696
"AGBL3",8907
"AGBL4",10439
"AGBL4-AS1",575
"AGBL4-IT1",514
"AGBL5",3726
"AGBL5-AS1",407
"AGER",12461
"AGFG1",8749
"AGFG2",5150
"AGGF1",4490
"AGGF1P1",9885
"AGGF1P10",3315
"AGGF1P2",1203
"AGGF1P3",2414
"AGGF1P4",910
"AGGF1P5",1160
"AGGF1P6",1149
"AGGF1P7",1138
"AGGF1P8",1153
"AGGF1P9",1032
"AGK",14617
"AGK-DT",4862
"AGKP1",1093
"AGKP2",1075
"AGL",7672
"AGMAT",3095
"AGMO",8293
"AGO1",13994
"AGO2",18829
"AGO3",27993
"AGO4",8353
"AGPAT1",22449
"AGPAT2",1546
"AGPAT3",9952
"AGPAT4",8107
"AGPAT4-IT1",1869
"AGPAT5",10529
"AGPAT5P1",1025
"AGPS",9163
"AGR2",1697
"AGR3",968
"AGRN",8127
"AGRP",498
"AGT",2185
"AGTPBP1",12188
"AGTR1",2561
"AGTR2",2862
"AGTRAP",1280
"AGXT",2900
"AGXT2",2461
"AHCTF1",9251
"AHCTF1P1",8836
"AHCY",4551
"AHCYL1",5218
"AHCYL2",7759
"AHCYP1",1371
"AHCYP2",1392
"AHCYP3",1383
"AHCYP4",1429
"AHCYP5",1342
"AHCYP6",2157
"AHCYP7",1413
"AHCYP8",393
"AHDC1",8544
"AHI1",9203
"AHI1-DT",2357
"AHNAK",19391
"AHNAK2",18589
"AHR",6243
"AHRR",5714
"AHSA1",1453
"AHSA2P",4993
"AHSG",1577
"AHSP",526
"AICDA",2914
"AIDA",3411
"AIDAP1",1273
"AIDAP2",1144
"AIDAP3",1181
"AIF1",4832
"AIF1L",3655
"AIFM1",3208
"AIFM1P1",3165
"AIFM2",3137
"AIFM3",2388
"AIG1",10362
"AIG1P1",148
"AIM2",3834
"AIMP1",5918
"AIMP1P1",1018
"AIMP1P2",393
"AIMP2",2234
"AIP",1747
"AIPL1",3736
"AIRE",2690
"AIRN",4374
"AJAP1",13063
"AJM1",4642
"AJUBA",4728
"AJUBA-DT",3078
"AK1",3044
"AK2",6134
"AK2P1",733
"AK2P2",344
"AK3",4515
"AK3P2",590
"AK3P3",817
"AK3P4",625
"AK3P5",920
"AK3P6",3198
"AK4",7521
"AK4P1",2386
"AK4P2",974
"AK4P3",2341
"AK4P4",1022
"AK4P5",634
"AK4P6",723
"AK5",6927
"AK6",3588
"AK6P1",584
"AK6P2",822
"AK7",3647
"AK8",6023
"AK9",15663
"AKAIN1",3305
"AKAP1",5195
"AKAP10",4383
"AKAP11",10421
"AKAP12",10993
"AKAP13",13619
"AKAP14",994
"AKAP17A",6538
"AKAP17BP",5480
"AKAP3",3334
"AKAP4",3009
"AKAP5",6487
"AKAP6",22180
"AKAP7",6829
"AKAP8",3665
"AKAP8L",2215
"AKAP8P1",1355
"AKAP9",13313
"AKIP1",3534
"AKIRIN1",2688
"AKIRIN1P1",532
"AKIRIN1P2",855
"AKIRIN2",1898
"AKIRIN2P1",1009
"AKNA",8853
"AKNAD1",3237
"AKR1A1",1727
"AKR1B1",2803
"AKR1B10",2690
"AKR1B10P1",1201
"AKR1B10P2",921
"AKR1B15",3393
"AKR1B1P1",1188
"AKR1B1P2",1345
"AKR1B1P3",1348
"AKR1B1P4",1328
"AKR1B1P5",1329
"AKR1B1P6",1043
"AKR1B1P7",1340
"AKR1B1P8",1172
"AKR1C1",6543
"AKR1C2",4123
"AKR1C3",1927
"AKR1C4",1192
"AKR1C6P",1397
"AKR1C7P",10720
"AKR1C8",2795
"AKR1D1",2684
"AKR1D1P1",2375
"AKR1E2",5697
"AKR7A2",2619
"AKR7A2P1",2648
"AKR7A2P2",720
"AKR7A3",2255
"AKR7L",2362
"AKT1",4914
"AKT1S1",3010
"AKT2",8503
"AKT3",16214
"AKTIP",2944
"ALAD",4729
"ALAS1",2463
"ALAS2",2047
"ALB",2285
"ALCAM",6166
"ALDH16A1",3164
"ALDH18A1",3660
"ALDH1A1",2096
"ALDH1A2",3508
"ALDH1A2-AS1",2536
"ALDH1A3",3469
"ALDH1A3-AS1",7898
"ALDH1B1",3116
"ALDH1L1",3706
"ALDH1L1-AS1",437
"ALDH1L1-AS2",2324
"ALDH1L2",8208
"ALDH2",9561
"ALDH3A1",3974
"ALDH3A2",4067
"ALDH3B1",2957
"ALDH3B2",2766
"ALDH4A1",3337
"ALDH5A1",5170
"ALDH6A1",5625
"ALDH7A1",4765
"ALDH7A1P1",1814
"ALDH7A1P2",621
"ALDH7A1P3",563
"ALDH7A1P4",405
"ALDH8A1",2534
"ALDH9A1",2523
"ALDOA",2152
"ALDOAP1",1415
"ALDOAP2",1377
"ALDOB",2420
"ALDOC",1737
"ALG1",4134
"ALG10",10190
"ALG10B",10145
"ALG11",6510
"ALG12",5604
"ALG13",12135
"ALG14",11324
"ALG14-AS1",1096
"ALG1L",1178
"ALG1L10P",4031
"ALG1L11P",4023
"ALG1L12P",5321
"ALG1L13P",17330
"ALG1L14P",1006
"ALG1L15P",756
"ALG1L2",1363
"ALG1L3P",8169
"ALG1L5P",8020
"ALG1L6P",19336
"ALG1L7P",9603
"ALG1L8P",8076
"ALG1L9P",3870
"ALG2",2967
"ALG3",1861
"ALG3P1",1213
"ALG5",1382
"ALG6",3325
"ALG8",2513
"ALG9",7846
"ALK",9175
"ALKAL1",1140
"ALKAL2",1504
"ALKBH1",2612
"ALKBH2",1339
"ALKBH3",1544
"ALKBH3-AS1",1927
"ALKBH4",2110
"ALKBH5",3159
"ALKBH6",1924
"ALKBH7",1359
"ALKBH8",4722
"ALLC",6694
"ALMS1",12925
"ALMS1-IT1",1766
"ALMS1P1",1597
"ALOX12",4650
"ALOX12-AS1",651
"ALOX12B",2515
"ALOX12P1",910
"ALOX12P2",2995
"ALOX15",2697
"ALOX15B",2697
"ALOX15P1",672
"ALOX15P2",2258
"ALOX5",6424
"ALOX5AP",1343
"ALOXE3",3714
"ALOXE3P1",1145
"ALPG",2492
"ALPI",3241
"ALPK1",5399
"ALPK2",7437
"ALPK3",10238
"ALPL",2825
"ALPP",2754
"ALS2",11342
"ALS2CL",6235
"ALX1",1587
"ALX3",1955
"ALX4",5727
"ALYREF",1212
"AMACR",4108
"AMBN",2005
"AMBP",1262
"AMBRA1",6974
"AMD1",3694
"AMD1P1",1049
"AMD1P2",3464
"AMD1P3",2460
"AMD1P4",1274
"AMDHD1",2226
"AMDHD2",3276
"AMELX",7013
"AMELY",968
"AMER1",8407
"AMER2",10773
"AMER3",7450
"AMFR",4308
"AMH",1809
"AMHR2",2192
"AMIGO1",5145
"AMIGO2",3964
"AMIGO3",2856
"AMMECR1",5840
"AMMECR1L",6641
"AMMECR1LP1",862
"AMN",4866
"AMN1",6222
"AMOT",8051
"AMOTL1",10073
"AMOTL2",5193
"AMPD1",2335
"AMPD2",4232
"AMPD3",5311
"AMPH",5518
"AMT",1997
"AMTN",1009
"AMY1A",1953
"AMY1B",1955
"AMY1C",2042
"AMY2A",1584
"AMY2B",2549
"AMYP1",6186
"AMZ1",16212
"AMZ2",2746
"AMZ2P1",3442
"AMZ2P2",1114
"AMZ2P3",841
"ANAPC1",9341
"ANAPC10",4143
"ANAPC10P1",817
"ANAPC11",1575
"ANAPC13",1842
"ANAPC15",3885
"ANAPC15P1",799
"ANAPC16",3651
"ANAPC1P1",1771
"ANAPC1P2",2201
"ANAPC1P3",312
"ANAPC1P4",2238
"ANAPC1P5",526
"ANAPC1P6",644
"ANAPC2",2772
"ANAPC4",3123
"ANAPC5",2681
"ANAPC7",5177
"ANCV1RP",970
"ANG",1457
"ANGEL1",5446
"ANGEL2",5323
"ANGPT1",4369
"ANGPT2",5271
"ANGPT4",4726
"ANGPTL1",3785
"ANGPTL2",8371
"ANGPTL3",2926
"ANGPTL4",1955
"ANGPTL5",2896
"ANGPTL6",3236
"ANGPTL7",2502
"ANGPTL8",872
"ANHX",3126
"ANK1",9564
"ANK2",17153
"ANK2-AS1",2275
"ANK3",18568
"ANK3-DT",1607
"ANKAR",6268
"ANKDD1A",3101
"ANKDD1B",2844
"ANKEF1",5475
"ANKFN1",22351
"ANKFY1",9631
"ANKH",8380
"ANKHD1",8434
"ANKHD1-EIF4EBP3",8328
"ANKIB1",6340
"ANKK1",6665
"ANKLE1",2962
"ANKLE2",5131
"ANKMY1",9501
"ANKMY2",2679
"ANKRA2",2174
"ANKRD1",1790
"ANKRD10",13617
"ANKRD11",13416
"ANKRD11P1",7041
"ANKRD11P2",1375
"ANKRD12",12408
"ANKRD13A",4699
"ANKRD13B",4644
"ANKRD13C",6054
"ANKRD13D",3217
"ANKRD16",2742
"ANKRD17",14033
"ANKRD17-DT",2974
"ANKRD18A",8445
"ANKRD18B",4619
"ANKRD18CP",3920
"ANKRD18DP",5794
"ANKRD18EP",2596
"ANKRD19P",2307
"ANKRD2",1509
"ANKRD20A1",3895
"ANKRD20A10P",568
"ANKRD20A11P",1095
"ANKRD20A12P",3207
"ANKRD20A13P",4079
"ANKRD20A14P",4048
"ANKRD20A15P",4056
"ANKRD20A16P",4050
"ANKRD20A17P",4079
"ANKRD20A18P",4839
"ANKRD20A19P",5096
"ANKRD20A20P",1649
"ANKRD20A21P",3041
"ANKRD20A2P",4421
"ANKRD20A3P",4698
"ANKRD20A4-ANKRD20A20P",4387
"ANKRD20A5P",3707
"ANKRD20A6P",497
"ANKRD20A7P",43177
"ANKRD20A8P",3670
"ANKRD20A9P",6636
"ANKRD22",3858
"ANKRD23",2584
"ANKRD24",5509
"ANKRD26",32656
"ANKRD26P1",6123
"ANKRD26P2",26977
"ANKRD26P3",3726
"ANKRD26P4",1644
"ANKRD27",4432
"ANKRD28",9907
"ANKRD29",7242
"ANKRD30A",13151
"ANKRD30B",6149
"ANKRD30BL",4238
"ANKRD30BP1",43535
"ANKRD30BP2",3419
"ANKRD30BP3",1314
"ANKRD31",6506
"ANKRD33",2254
"ANKRD33B",9672
"ANKRD34A",3607
"ANKRD34B",4068
"ANKRD34C",5506
"ANKRD34C-AS1",693
"ANKRD35",3359
"ANKRD36",15309
"ANKRD36B",11909
"ANKRD36BP1",1866
"ANKRD36BP2",1731
"ANKRD36C",8192
"ANKRD36P1",1277
"ANKRD37",1029
"ANKRD39",892
"ANKRD40",4305
"ANKRD40CL",2062
"ANKRD42",6113
"ANKRD42-DT",1010
"ANKRD44",11742
"ANKRD44-AS1",455
"ANKRD44-DT",3978
"ANKRD44-IT1",1069
"ANKRD45",7440
"ANKRD46",4315
"ANKRD49",2002
"ANKRD49P1",1038
"ANKRD49P2",533
"ANKRD49P3",1047
"ANKRD49P4",908
"ANKRD50",9806
"ANKRD52",9148
"ANKRD53",3298
"ANKRD54",4139
"ANKRD54P1",916
"ANKRD55",4288
"ANKRD6",8133
"ANKRD60",3407
"ANKRD61",1423
"ANKRD62",6360
"ANKRD62P1",7934
"ANKRD62P1-PARP4P3",1539
"ANKRD63",4693
"ANKRD65",3340
"ANKRD65-AS1",1139
"ANKRD66",3970
"ANKRD7",1313
"ANKRD9",7387
"ANKS1A",13432
"ANKS1B",18877
"ANKS3",4129
"ANKS4B",8646
"ANKS6",10244
"ANKUB1",3188
"ANKZF1",3483
"ANLN",4838
"ANO1",5798
"ANO10",4948
"ANO2",13266
"ANO3",11682
"ANO3-AS1",842
"ANO4",9801
"ANO5",7039
"ANO6",7212
"ANO7",5523
"ANO7L1",4652
"ANO8",5568
"ANO9",6211
"ANOS1",6672
"ANOS2P",5921
"ANP32A",2440
"ANP32A-IT1",3281
"ANP32AP1",738
"ANP32B",1483
"ANP32BP1",1125
"ANP32BP2",708
"ANP32BP3",1202
"ANP32C",982
"ANP32D",1064
"ANP32E",3582
"ANPEP",3665
"ANTKMT",1577
"ANTXR1",11875
"ANTXR2",9927
"ANTXRL",5189
"ANTXRLP1",1165
"ANXA1",1662
"ANXA10",1513
"ANXA11",9046
"ANXA13",1579
"ANXA2",5266
"ANXA2P1",1343
"ANXA2P2",1310
"ANXA2P3",1350
"ANXA2R",2173
"ANXA3",1591
"ANXA4",7951
"ANXA5",2613
"ANXA6",3041
"ANXA7",4866
"ANXA8",5445
"ANXA8L1",2022
"ANXA9",1986
"AOAH",12257
"AOAH-IT1",573
"AOC1",3105
"AOC2",2677
"AOC3",5118
"AOC4P",2073
"AOPEP",20004
"AOX1",5177
"AOX2P",52998
"AOX3P",43059
"AOX3P-AOX2P",5058
"AP1AR",6181
"AP1B1",4165
"AP1B1P1",827
"AP1B1P2",102
"AP1G1",6611
"AP1G2",5939
"AP1G2-AS1",3246
"AP1M1",12895
"AP1M2",1997
"AP1M2P1",1495
"AP1S1",1226
"AP1S2",5892
"AP1S2P1",571
"AP1S3",4025
"AP2A1",4311
"AP2A2",13519
"AP2B1",6552
"AP2B1P1",3109
"AP2M1",2006
"AP2S1",1120
"AP3B1",8127
"AP3B2",7190
"AP3D1",5079
"AP3M1",5939
"AP3M2",4698
"AP3S1",8407
"AP3S2",5662
"AP4B1",3919
"AP4B1-AS1",2148
"AP4E1",7382
"AP4M1",3968
"AP4S1",7082
"AP5B1",6980
"AP5M1",11773
"AP5S1",5468
"AP5Z1",5567
"APAF1",7544
"APBA1",12339
"APBA2",16860
"APBA3",2284
"APBB1",3597
"APBB1IP",2745
"APBB2",11228
"APBB3",2152
"APC",11437
"APC2",10522
"APCDD1",9898
"APCDD1L",4435
"APCDD1L-DT",2096
"APCS",925
"APEH",4209
"APELA",2925
"APEX1",1453
"APEX2",3239
"APH1A",2885
"APH1B",4827
"API5",7002
"API5P1",3664
"API5P2",3574
"APIP",1514
"APLF",3823
"APLN",3224
"APLNR",3660
"APLP1",2377
"APLP2",4110
"APMAP",2381
"APOA1",1304
"APOA1-AS",563
"APOA2",474
"APOA4",1471
"APOA5",1935
"APOB",14121
"APOBEC1",908
"APOBEC2",1633
"APOBEC3A",1358
"APOBEC3AP1",287
"APOBEC3A_B",1103
"APOBEC3B",1590
"APOBEC3B-AS1",702
"APOBEC3C",2644
"APOBEC3D",2722
"APOBEC3F",7994
"APOBEC3G",3704
"APOBEC3H",1186
"APOBEC4",2782
"APOBR",3792
"APOC1",824
"APOC1P1",939
"APOC2",660
"APOC3",535
"APOC4",616
"APOC4-APOC2",1829
"APOD",862
"APOE",1411
"APOF",1750
"APOH",1174
"APOL1",3244
"APOL2",3694
"APOL3",6319
"APOL4",3847
"APOL5",4425
"APOL6",10314
"APOLD1",4774
"APOM",6412
"APONP",703
"APOO",1796
"APOOL",6696
"APOOP1",911
"APOOP2",579
"APOOP3",888
"APOOP4",765
"APOOP5",1060
"APP",3980
"APPBP2",7520
"APPBP2-DT",439
"APPL1",6123
"APPL2",8857
"APRG1",6112
"APRT",931
"APTR",3773
"APTX",2694
"AQP1",2754
"AQP10",1851
"AQP11",1835
"AQP12A",1063
"AQP12B",6400
"AQP2",4180
"AQP3",1976
"AQP4",5802
"AQP4-AS1",2392
"AQP5",1546
"AQP5-AS1",994
"AQP6",2544
"AQP7",4551
