gene_name,BJ_sgNT_Ras,BJ_sg69_Ras,BJ_sg71_Ras,BJ_sg_FOXF1_Ras
MAP3K9,151,97,61,115
RALA,1346,1167,1626,1157
BAIAP2L1,347,224,265,169
KDM7A,19,9,6,6
ETV1,324,147,251,246
AGK,463,396,539,434
ALDH3B1,487,605,802,695
TTC22,3,0,0,0
PHTF2,628,277,249,256
CCL26,16,13,9,16
FARP2,698,509,530,303
USH1C,0,0,0,0
GGCT,177,137,219,159
DBF4,77,83,80,69
TBXA2R,89,31,38,54
IFRD1,332,150,302,285
LGALS14,0,0,0,0
COX10,313,235,259,271
GTF2IRD1,480,331,364,379
PAF1,1601,1332,1446,1342
VPS41,559,256,259,190
ARHGAP44,36,15,52,30
ELAC2,2274,2166,2082,2027
SCIN,41,45,43,13
ARSD,608,504,531,555
PNPLA4,1,2,1,4
MYH13,0,0,0,0
ADIPOR2,2150,1584,2157,1459
CDKL3,21,28,18,32
UPP2,0,0,0,0
MARK4,1390,1056,784,800
PROM1,0,0,0,0
CCDC124,1278,1234,1536,1314
CEACAM21,0,0,0,0
PAFAH1B1,1782,1287,1739,1026
NOS2,2,2,2,0
DNAH9,0,0,0,0
KIAA0100,9125,8302,9502,7499
SLC13A2,0,0,0,0
GAS7,5,2,3,6
TRAPPC6A,70,92,102,93
MATK,0,0,0,0
CEACAM7,0,0,0,0
CD79B,6,3,3,9
SCN4A,6,0,0,0
ST7L,180,97,114,71
TKTL1,0,0,0,0
PAX6,0,0,0,0
RPUSD1,797,694,710,869
RHBDF1,1931,1033,921,1243
LUC7L,492,380,364,286
CACNA2D2,0,0,0,0
BAIAP3,1,4,7,6
TSR3,1365,1301,1497,1348
PIGQ,681,374,435,529
CRAMP1,450,188,153,272
TEAD3,1304,847,796,904
SELE,0,0,0,0
DNAJC11,1964,1472,1515,1515
FMO3,1,2,2,0
MYLIP,130,69,85,54
NOX1,1,0,0,0
PSMB1,2810,2867,4169,2472
SYN1,0,1,1,0
JARID2,277,165,294,192
CDKL5,105,35,44,20
CAMK1G,286,489,481,940
CDK11A,299,194,253,205
NADK,1992,1855,2102,1979
TFAP2B,0,0,0,0
TFAP2D,0,0,0,0
DLEC1,2,1,1,2
CYTH3,1285,999,1053,883
ADAM22,3,6,1,2
SYPL1,946,817,1006,698
CYB561,846,640,842,710
SPAG9,1047,415,487,309
CELSR3,621,246,239,325
AASS,75,61,69,41
PLEKHG6,1,0,0,0
SS18L2,116,119,200,95
MPND,186,182,175,147
MGST1,819,888,973,1007
CRY1,134,99,123,60
PGLYRP1,0,0,0,0
NFIX,457,176,208,344
ST3GAL1,829,658,885,688
MMP25,6,0,1,4
IL32,53,34,77,40
PKD1,2201,328,173,986
MAPK8IP2,77,55,71,43
MED24,1829,1345,1150,1327
RHOBTB2,528,386,425,463
HEATR5B,300,142,148,106
SEC62,821,596,559,477
RPS20,11619,15208,18931,12231
CSDE1,4683,3528,4159,2840
UBE3C,2604,1848,2133,1310
REV3L,239,126,151,80
TENM1,0,0,0,0
PAX7,0,0,0,0
MASP2,0,0,0,0
IYD,5,0,1,3
FAM76A,51,39,46,48
TRAF3IP3,0,2,2,0
POMT2,786,696,640,720
VTA1,650,662,803,763
MLXIPL,4,3,5,6
BAZ1B,1242,621,831,558
RANBP9,725,421,475,402
ETV7,14,12,33,20
SPRTN,180,136,147,86
EEF1AKNMT,1118,1076,1140,981
DYRK4,306,419,669,577
ZNF207,2539,1804,2264,1548
UQCRC1,4867,4969,6048,5331
STARD3NL,955,984,1431,1005
CD9,2114,1635,1983,1680
HHATL,0,0,0,0
NCAPD2,1372,1253,1673,1597
IFFO1,892,633,618,727
GIPR,11,5,4,5
PHF7,25,9,14,30
SEMA3G,2,0,0,0
NISCH,2069,1342,1141,1455
STAB1,0,1,0,0
FUZ,153,171,188,193
SLC6A13,1,2,2,0
IDS,2023,1166,1232,1267
PRSS3,9,7,16,25
ZNF200,124,83,113,124
CD4,9,12,8,12
LRRC23,93,149,168,128
BTK,0,1,0,1
HFE,520,330,482,484
SCMH1,321,277,292,400
FYN,1138,780,1185,904
HIVEP2,719,255,293,189
FMO1,0,0,1,0
ELOA,2262,1478,1693,1320
LYPLA2,2216,2039,2102,2119
CLCN6,463,240,246,206
MRC2,26595,9490,8248,11525
NME1-NME2,2851,2511,3057,2820
SLC6A7,1,0,0,1
TSPAN9,3918,3079,4421,3521
APBA3,194,84,143,112
MKS1,247,166,241,181
ABHD5,556,407,522,324
ANOS1,0,0,0,0
AKAP8L,1099,887,960,742
MBTD1,80,22,25,11
UTP18,577,477,720,544
RNF216,1295,801,781,806
TTC19,280,198,261,184
PTBP1,4467,3222,3683,3777
DPF1,63,63,60,97
SYT7,438,284,308,661
LARS2,1023,733,791,782
PIK3C2A,348,185,93,86
PLAUR,2463,1736,2271,3150
ANLN,542,378,378,418
WIZ,1906,762,577,1053
RABGAP1,570,293,353,172
DCN,72,294,678,788
QPCTL,817,516,343,909
PPP5C,2148,1729,2020,2147
CEP68,211,196,126,173
MAP4K3,276,134,194,79
ZBTB32,0,0,0,0
TYROBP,0,0,0,0
TMEM159,473,298,360,338
GABRA3,1,0,0,0
BRCA1,81,126,99,82
ERCC1,2328,2017,2755,2257
CD22,50,32,18,39
SEMA3B,92,101,105,177
MBTPS2,435,245,233,140
PRICKLE3,153,78,122,89
LTF,2,0,0,0
EXTL3,4409,2897,3128,3251
NR1H4,0,0,0,0
ELOVL5,1287,844,1226,884
ALOX5,0,0,0,0
KDM5D,408,338,346,316
CALCOCO1,2294,2193,1991,2126
UBR7,28,0,13,0
MAP4K5,533,267,206,210
EHD3,3137,3283,4826,5161
MAN2B2,2069,855,808,1046
SLC7A14,21,0,1,0
CLDN11,36,42,83,82
SLC25A39,3683,4265,4704,4337
MVP,11621,10703,11825,10951
NUB1,513,501,623,390
PGM3,812,534,522,489
RWDD2A,166,100,119,91
CLK1,223,93,110,122
POLR3B,173,121,143,91
ANGEL1,1137,590,740,597
RNF14,898,813,1176,706
DNASE1L1,3891,3514,3230,3803
DDX11,328,160,203,226
HEBP1,853,772,809,700
GPRC5A,6313,4767,3365,3388
MAMLD1,59,40,32,63
CD6,0,0,0,0
TACC3,885,859,1192,1148
UFL1,148,123,84,86
POLA2,514,597,620,585
ZC3H3,330,197,147,228
CAPN1,7033,6070,6787,7498
ACP3,486,312,840,338
MDH1,2322,2144,3170,2552
SLC30A9,631,362,408,360
MTMR11,185,184,226,251
COX15,1066,806,798,724
CCDC88C,1,0,1,7
YAF2,146,95,133,113
ZMYND11,529,356,414,267
WAS,5,2,3,3
DPEP1,2,0,0,2
BID,1313,1359,1564,1429
MATR3,1233,961,760,879
NPC1L1,0,1,0,0
XYLT2,3710,2721,2711,3066
RGPD5,12,4,68,6
STMN4,0,0,2,0
NUDCD3,2699,2633,2642,2885
ISL1,0,0,0,0
CHDH,4,0,5,6
IL20RA,0,0,0,0
CLCA1,0,0,0,0
CLCA4,0,0,0,0
GLT8D1,683,358,503,415
ATP2C1,3566,1592,2179,1175
IGF1,0,0,1,1
SLC38A5,1,0,0,1
RALBP1,1991,1454,1879,1187
RUFY3,163,103,105,75
CNTN1,1,0,3,10
SLC11A1,3,7,6,10
WWTR1,875,462,461,425
AGPS,310,136,179,112
ZNF806,0,0,0,0
CXorf56,431,301,346,307
ATP1A2,0,0,1,1
TTC27,201,127,198,117
ZNF582,23,28,20,35
VSIG2,0,1,2,2
PHLDB1,3734,2070,1735,1738
MARCO,1,0,0,0
CYP24A1,0,0,0,0
PRDM11,80,84,115,104
SYT13,1,0,0,0
SNAI2,784,818,1047,746
CD74,0,0,1,18
HGF,96,20,24,18
ZRANB1,377,198,299,127
NCDN,1817,989,882,1141
ADGRA2,1308,715,796,1203
CCT8L1P,0,0,0,0
ZFP64,205,126,218,164
MNAT1,341,332,414,385
SAMD4A,1415,745,846,476
RUNX3,0,0,0,0
MRE11,93,70,52,62
PLEKHB1,4,6,3,2
SERPINB1,654,603,705,508
CYP3A43,2,0,0,0
SLC7A9,2,0,0,0
SPAST,137,38,46,53
NRXN3,0,1,4,1
OSBPL5,804,481,627,700
AQR,304,237,320,157
CPS1,99,89,92,75
C8B,0,0,0,0
FHL1,4479,4256,3581,2892
RTF2,2906,2852,3614,2458
GABRA1,0,0,0,0
NLRP2,0,0,0,0
SLC45A4,241,104,60,116
RNF10,3670,2697,2676,2793
ZNF839,222,108,109,145
ZDHHC6,307,170,312,202
GRAMD1B,1961,1261,1354,1799
RB1CC1,325,168,215,171
ERP44,1259,726,832,854
ALAS1,1177,781,890,870
BIRC3,62,31,52,7
AKAP11,564,204,152,117
GLRX2,184,179,230,164
SNAPC1,149,106,127,113
DERA,252,202,335,178
STRAP,2538,1560,2251,1392
ABCC2,28,37,24,26
DEF6,49,51,54,38
PLEKHO1,297,396,522,406
GCLM,486,394,559,370
UBR2,276,132,143,91
EHD2,6309,3449,3014,5115
DEPDC1,118,70,71,81
CCDC28A,87,39,74,43
RRAGD,9,1,2,2
HSF2,138,119,90,88
PHF20,441,348,405,299
HSD17B6,6,3,4,3
NR1H3,49,55,97,90
TYMP,13,18,22,14
NCAPH2,566,534,769,689
TOMM34,2287,2469,1973,2506
SEC63,887,494,414,356
KPNA6,2896,2254,2764,2193
VIM,148645,149624,182272,145561
RTEL1-TNFRSF6B,92,29,83,98
FAS,491,365,310,437
RNASET2,367,267,275,259
CD44,52406,25865,26423,24825
KCNG1,32,49,51,33
AGPAT4,28,17,109,24
SLAMF7,3,2,4,1
BTN3A1,322,226,393,351
MIPEP,257,264,337,282
PRKCH,6,1,11,1
INSRR,0,0,0,0
IFNGR1,246,179,364,173
B4GALT7,1365,1046,1167,1228
SH2D2A,2,3,11,4
VRK2,159,119,132,106
TNFRSF1B,48,44,88,112
VEZT,537,393,523,341
POU2F2,3232,1728,2209,1525
BRD9,753,610,759,664
SNX1,2697,2275,2747,2196
TBPL1,191,182,242,159
ARNTL2,550,280,371,229
BCLAF1,789,566,374,446
SLC39A9,1830,1443,1606,1172
ANK1,1519,785,619,539
IBSP,0,0,0,0
TFB1M,380,344,413,313
RABEP1,495,345,323,352
HMGB3,237,239,361,212
NUP160,306,177,318,167
BAK1,892,875,950,909
MUSK,1,5,7,3
IKZF2,136,63,64,50
GRN,15136,6758,6000,8127
FAM13B,478,231,134,134
ARHGAP31,655,457,637,372
CENPQ,39,45,59,62
SARS1,3788,3834,4324,3572
RANBP3,1468,1028,906,1207
ARID4A,144,69,39,32
EIPR1,729,824,964,859
PNPLA6,2188,1446,1695,1704
IFT88,96,35,46,40
ALG1,829,903,862,916
ZCCHC8,120,56,71,66
ABCF2,3335,2671,2965,2758
CHPF2,5646,3875,3393,4833
LRRC7,0,1,0,0
FUT8,973,500,1069,635
UBA6,436,331,350,369
GAB2,182,114,121,119
ATP6V0A1,1415,562,589,712
PIAS1,243,121,122,146
SLC4A7,393,154,214,104
APBA2,376,172,245,158
MAP2K3,4343,3192,3307,3457
EFCAB1,2,3,26,2
TMSB10,26331,28356,35290,30113
ASTE1,58,43,66,39
RNF19A,230,124,134,91
PEX3,177,132,154,132
GABARAPL2,1736,1172,1198,1039
MYOC,0,0,0,0
SH3YL1,98,33,48,39
FAM136A,653,498,629,447
VCL,12526,7863,8614,6680
DEPDC1B,24,27,37,34
DAPK2,8,16,10,17
NSMAF,427,361,541,388
ADSS2,440,281,381,247
STAP1,0,0,0,0
TIMP2,40300,17407,14178,20829
RFC1,489,301,190,228
TBC1D23,276,240,140,188
CUL3,800,395,502,390
MYOM2,0,0,0,0
OTC,0,0,0,0
CYP46A1,8,5,8,6
ZZZ3,199,96,151,125
SLC18A1,0,0,0,0
USP2,1,4,1,5
CASR,0,0,0,0
TUBG2,643,453,521,652
RPL26L1,590,618,711,622
FLT4,2,0,2,1
NSUN2,1577,775,990,646
FBXO42,651,391,452,414
MFAP3,230,107,179,78
MRI1,1386,770,671,1151
METTL1,326,255,284,330
HOXC8,0,0,0,0
AGA,421,224,261,225
PI4K2B,255,171,144,147
BOD1L1,478,154,110,79
MAT2B,697,547,747,494
TLL1,0,0,0,0
EDC4,1858,1272,1099,1244
TRIO,3567,1524,2133,1473
VCAN,9,1,18,4
CLEC16A,819,431,530,365
MSR1,50,29,57,66
CDH1,11,10,5,24
MTREX,389,337,252,256
DNAH5,64,25,37,1
ZFYVE16,228,62,67,113
RIPOR1,2410,830,583,1347
C6,0,0,0,1
RAI14,3170,1399,1219,791
SOX30,1,2,1,1
PNKP,490,396,490,475
BEST2,0,0,0,1
PHLPP2,284,121,195,100
SPDL1,189,136,89,180
STAU2,235,102,141,129
SLC66A1,725,490,484,538
CTNS,565,341,280,403
RTN4R,4,10,5,7
PHF23,1726,1504,1699,1577
CDH10,4,2,0,0
INPP4A,527,367,373,336
RAB27B,223,320,251,391
PSMA4,1385,1356,2198,1447
LSG1,1175,1047,1111,771
PARP3,496,651,669,745
TNC,10010,3658,4204,5561
THAP3,338,289,277,294
RIPOR3,676,96,204,58
TDP1,311,331,449,319
AIFM2,367,295,431,334
C2orf83,1,0,0,1
SPATA7,36,32,43,36
MED17,502,293,415,307
RETSAT,1215,1007,1054,1046
CAPG,1293,1694,2339,2517
AP2S1,4929,4917,5660,5191
USH2A,0,2,3,2
ZPBP,0,0,0,0
TG,7,18,11,11
ADAM28,3,0,1,0
BARX2,0,1,1,0
DCUN1D1,243,193,196,210
JADE2,1687,1267,1274,1038
ZIC2,0,1,1,0
LCP2,0,0,0,0
TRIT1,314,177,329,158
ADRB1,7,0,2,3
GUCA2B,0,0,0,0
CUL7,1971,1662,1792,2121
CTNNA1,8481,5606,6594,4956
PHKA2,197,93,157,131
CNTLN,58,41,39,40
EPHA3,0,0,0,0
HSPA5,23845,18554,24224,18828
DSG2,13,6,6,4
GEMIN8,173,172,165,173
OFD1,87,44,44,27
GPM6B,0,0,0,0
MAGEC2,3,1,3,1
PREX2,1,0,0,2
WDR37,689,414,399,322
YTHDC2,232,97,62,58
CTPS2,160,88,132,71
ATP6V1H,1555,955,977,711
POLR2B,1014,568,752,542
FAM214A,640,231,186,176
ARAP2,0,0,0,0
TPR,547,235,262,101
CP,0,1,1,0
KATNIP,648,446,423,316
DTNBP1,136,123,155,130
XK,4,4,3,0
ANO2,4,10,3,1
C12orf4,153,147,123,153
SCML1,98,73,101,79
WWC3,804,386,557,565
ARHGAP6,105,56,109,80
FAM184B,0,0,0,2
MAP4,11358,6127,5950,7256
GOPC,593,268,242,181
ROS1,2,3,2,3
USP28,129,176,494,142
HDAC9,129,78,143,116
TSPAN17,2004,1919,2141,1993
NOP16,839,784,760,780
CC2D2A,182,262,251,246
RRM2B,951,575,496,402
ZNF800,193,72,52,67
TNFRSF17,6,3,7,1
SNX29,1428,783,886,1115
LMO3,0,0,0,0
MRPS10,985,751,969,564
GUCA1A,0,0,0,0
RSF1,232,159,171,74
VPS13D,827,248,282,295
CELF2,12,1,6,2
FAM120A,4915,2757,2676,2732
R3HDM1,670,278,233,295
COL9A2,1,6,2,4
KITLG,145,103,79,109
ERCC8,105,85,131,99
ADAMTS6,50,26,37,36
H6PD,2438,1428,1333,2392
VAMP3,2250,1619,1877,1272
PER3,110,28,54,65
UTS2,0,0,0,0
TNFRSF9,4,4,12,15
EPN3,0,0,0,0
LTBP1,4504,1642,2047,1716
RCN1,5032,3625,4844,4232
ELN,1,0,0,0
RFC2,292,372,651,532
ARID1B,586,295,402,301
CLPTM1L,3089,2766,2616,3190
NEDD4L,2537,1666,2397,1406
FOXP3,1,1,0,0
PPP1R3F,192,156,227,317
HEXB,5872,1754,1921,1179
PTCD2,186,92,107,87
NEXMIF,0,0,0,0
JKAMP,574,293,353,282
DKK3,28917,15552,15169,13957
ARHGEF5,0,0,0,0
NFE2L3,91,85,281,114
MCUR1,377,459,627,500
LIMA1,2077,1814,2130,1843
LETMD1,700,595,611,503
SLC4A8,462,470,432,295
LAMC3,3,0,1,4
PTGER3,91,81,167,175
TNIP3,2,2,5,1
MAPK9,572,310,456,331
COL23A1,0,0,0,0
BCAR1,5608,2884,2423,3285
FAM160A2,307,276,345,263
HERPUD1,1539,1055,1174,1336
HOMER3,2208,2051,2584,2488
RAD51,89,111,109,97
POLQ,42,23,19,8
PIK3CB,258,103,163,64
CYBA,1734,1971,2485,2346
THOC3,406,451,607,712
HEBP2,708,731,1172,772
MPHOSPH9,70,40,50,56
PLEKHA5,137,136,143,85
PRSS8,1,0,2,0
SIKE1,206,204,237,116
RRP12,1338,1042,942,1081
FNIP2,83,80,100,36
MSMO1,954,967,1208,813
TTC17,826,417,519,420
ALX4,0,0,0,0
FSTL4,0,0,0,1
FOXN3,359,218,167,151
METTL24,0,0,3,1
AKR7A2,1429,1434,1780,1973
MRTO4,1812,1937,2331,2158
NNAT,1,0,0,0
USE1,214,204,289,240
MCF2L2,16,4,5,4
NRIP2,0,0,0,1
LAMA3,150,131,135,205
AP5M1,247,218,225,154
ANAPC4,147,101,103,73
KCNQ1,0,0,0,0
TRAPPC3,1746,1687,1988,1552
THRAP3,1886,1114,1422,1019
PHPT1,1801,2001,2243,2050
ENTPD2,0,1,0,0
LY75,10,3,2,2
ARID4B,196,88,122,37
OPN3,437,387,550,361
SDCCAG8,151,31,54,42
PTPRN,0,0,1,3
KIF1B,825,335,373,205
FOXC1,282,157,105,81
TBC1D22A,605,661,671,593
SYNE2,30,36,23,17
PLEKHH1,6,16,15,8
ATP9A,1257,711,777,501
SPO11,0,0,0,0
CBLN4,0,0,0,0
CHRDL2,0,0,0,0
FAM168A,1715,1002,1223,1119
RELT,168,104,143,153
GALC,268,138,255,128
NOP58,449,350,330,301
SZRD1,5535,5369,6648,5654
KCNH2,0,0,0,1
CUL1,705,405,600,451
FAM114A2,246,156,227,148
CYFIP2,1383,1049,827,697
TAB2,610,379,478,397
GINM1,1263,685,744,658
EIF2AK2,577,357,428,319
USP36,2522,1624,1261,1580
KMT2C,539,111,81,84
MCOLN3,1,1,1,2
CCDC85A,53,43,15,11
PUM2,685,346,463,333
MRPL43,1316,1325,1495,1405
ITIH4,1,0,1,5
ITIH1,0,0,0,0
HPF1,117,110,136,93
ZFR,1701,1150,1541,973
ZNF280C,49,16,9,8
NPFFR2,0,0,0,0
PHF21B,4,1,2,8
TRAF1,41,36,67,25
RC3H2,474,375,472,398
KIFC1,0,0,0,0
IL17RB,1,0,0,0
TRAF3IP2,755,651,1000,659
GYG2,103,153,154,128
DCBLD2,18082,10572,9467,10086
SERPINB3,0,0,0,0
SOAT1,447,368,435,307
PKP2,1,1,0,0
MSH4,0,0,0,0
F7,0,0,0,0
GDI2,3615,2892,4274,2914
PRDM1,692,245,261,227
ATG5,187,213,273,175
TMCC3,7,9,16,19
PITHD1,963,843,668,766
MTA3,364,253,378,246
USP13,248,194,276,215
ATP11B,373,140,206,162
LAMC2,301,282,456,290
CDK14,184,74,120,46
SEC61A1,19441,16159,15697,18187
PPP1R12A,715,292,251,350
RASGRF1,6,13,8,7
CAMK2B,0,1,0,3
CROCC,357,215,172,259
POLR3E,772,533,491,509
ATP2B4,11772,5995,6168,7667
ZC3H11A,1076,442,399,303
RIOK2,155,120,149,148
YIPF1,578,661,733,577
NDC1,273,198,301,179
DGKG,256,115,132,68
FLYWCH1,1786,1122,1080,1383
UNKL,632,236,273,316
TBXAS1,5,3,3,2
PARP12,77,128,171,121
ALDH18A1,2305,2399,2382,2559
TARBP1,173,69,77,118
GATB,633,678,835,815
MXD1,167,141,44,37
CDK17,592,177,298,212
DNAJC25,148,103,115,71
SLC2A3,734,861,956,882
PSD,0,0,0,3
CTDP1,524,417,457,494
YBX3,3341,3456,3671,3312
STYK1,115,99,62,49
WNK1,1526,743,624,597
RPS17P5,0,0,0,0
CCAR1,662,305,252,284
OGFR,1729,1303,1478,1687
GNA15,2,5,3,3
CREB3L3,0,0,0,2
PIGV,394,286,330,348
PTPRU,431,364,398,631
SNRNP40,714,587,741,817
RIMBP2,0,0,0,0
COL11A1,1542,913,552,419
QSER1,256,87,129,125
MPC1,250,269,378,209
ACAA1,1709,1671,1864,1690
BCAT1,636,531,505,600
HDAC7,2104,1037,1006,1446
LZTS1,8,8,7,28
PRDM6,9,0,1,0
WNT8A,0,0,0,0
SPAG4,8,7,37,17
NCKAP1,1712,963,1157,1088
MRPS35,662,435,476,375
GUCY1B1,14,6,20,9
SFSWAP,636,359,421,418
TNK2,1100,582,701,681
MON2,470,153,151,105
CDH3,16,15,12,9
ARSF,0,0,0,5
GPBP1,256,183,234,190
DGAT2,51,72,190,255
ZNF112,58,10,9,14
CS,3598,2184,2232,2578
LTK,48,21,36,21
MRPS24,2832,3027,4733,3192
ELMO2,1175,980,1164,1042
WAPL,512,185,313,149
VMP1,2603,1853,2843,1402
APPBP2,528,422,320,277
POLD1,313,258,364,483
SEZ6,0,0,0,0
EIF4B,6004,4290,6245,4431
SLC6A16,7,15,8,3
BICRA,213,57,21,53
SPHK2,440,341,254,402
RPL18,9814,12380,14668,12413
CA11,40,70,98,99
ISOC2,1100,1231,1454,1324
U2AF2,4669,4172,4561,4761
EPN1,3804,2125,2045,3193
MED29,1310,1217,1053,1124
GSC2,0,0,0,0
ZNF275,427,301,254,232
MTMR1,630,371,454,287
GPC1,9083,5415,3750,6674
ADCK1,139,112,82,101
HAGH,1323,712,773,669
RNF4,1639,1334,1717,1343
CASP8,375,353,583,333
LIMCH1,304,302,239,399
INTS13,286,244,213,186
TM7SF3,4244,3279,3089,2902
DLX3,0,1,0,1
SPA17,200,231,348,218
TSPAN32,0,0,0,0
CCN5,0,0,0,0
DMRT3,0,0,0,0
ST3GAL6,0,0,0,0
ATP2C2,0,0,0,0
NGFR,7,2,2,5
CDON,29,11,13,13
TAF2,317,147,149,135
HIPK2,916,298,217,300
TNPO3,1097,744,970,565
RFXANK,555,399,558,506
TMEM161A,458,386,358,397
LPAR2,93,40,27,41
CTSA,3930,1820,1760,2377
SUGP2,2645,1704,1874,1410
SLC12A2,120,87,49,47
SNX24,187,144,193,111
EYA2,0,0,0,0
CNN2,2911,2427,2496,2911
ABCA7,395,74,50,133
SNCAIP,62,31,25,35
DDX20,334,295,291,207
BTBD1,1118,641,703,706
FAR2,82,97,165,97
BCAS1,2,3,0,1
POU1F1,0,0,0,0
CHI3L2,0,4,2,2
SBNO2,122,91,12,61
PMS1,59,54,74,47
HMG20B,554,580,700,613
CALCRL,3,9,9,6
TAF11,404,340,442,279
ANKS1A,980,707,709,767
AP3D1,2758,1621,1393,1740
ZNF76,572,512,563,580
SLC9A3R2,3220,2697,2544,2663
NTHL1,384,343,469,399
UHRF1BP1,486,259,278,185
GNAI3,1102,783,992,741
IPO5,2511,1606,2450,1693
OAT,1918,1213,1891,1094
WDR3,780,336,377,278
PKN2,567,169,149,161
WDR18,251,236,298,329
TRAM2,12261,9399,9825,9080
NTN1,7,4,6,18
GLP2R,0,1,0,0
MCM10,96,34,71,59
DGKA,2180,1588,1217,1441
ERBB3,3,6,6,4
ROPN1,0,3,1,1
ANKRD44,38,30,5,1
KARS1,2812,3100,4387,2548
ADAT1,669,467,606,478
PDIA5,938,656,676,845
TBC1D22B,369,273,333,288
NDUFB4,2448,2494,2881,2091
SPEN,831,162,93,177
MYLK,18689,8789,8919,6537
ZC3H15,475,423,385,358
MAP2K4,250,248,207,150
PACC1,322,191,230,219
SNAP91,0,0,0,0
SLK,506,260,244,314
CYB5R4,93,67,95,116
COL17A1,58,147,230,118
GSTO2,332,223,259,228
SEC61A2,217,123,170,137
PRKCQ,0,0,0,0
TLE2,4,0,4,4
ASB1,1871,1305,1813,1321
FAM107B,1604,500,748,282
ME1,1518,908,1007,767
TBC1D1,1688,1503,2025,1499
CDK13,627,324,286,292
MTHFD2,969,843,1353,881
SLC9A7,2298,973,994,988
FOXJ2,497,303,304,349
YBX1,15607,17182,22747,13782
PDE4A,310,172,158,230
