gene_name,HepG2_RNA_KO_ADRplus_rep1_TP53,HepG2_RNA_KO_ADRplus_rep2_TP53,HepG2_RNA_WT_ADRminus_rep1,HepG2_RNA_WT_ADRminus_rep2,HepG2_RNA_WT_ADRplus_rep1,HepG2_RNA_WT_ADRplus_rep2
RB1CC1,3771,3341,3329,2894,2783,3371
ERP44,1277,1638,1176,1303,1126,1160
ALAS1,1871,1285,1145,985,1817,1091
BIRC3,1064,1033,226,140,102,150
AKAP11,2746,2810,1816,1932,3533,3839
GLRX2,282,373,260,280,199,175
SNAPC1,425,447,293,244,243,227
DERA,1324,1026,1017,957,2419,1747
STRAP,4683,4568,4012,4104,3731,3412
ABCC2,9583,10069,15741,18380,14091,13684
DEF6,433,214,305,262,556,348
PLEKHO1,885,439,800,758,184,105
GCLM,1878,1768,2144,2376,1484,1652
UBR2,2946,3092,2416,2366,3042,2937
EHD2,98,29,61,64,83,104
DEPDC1,831,1070,871,1080,1142,1329
CCDC28A,317,348,250,218,525,496
RRAGD,136,112,6,32,28,10
HSF2,967,1048,621,571,665,669
PHF20,2191,2554,1994,2019,2290,2505
HSD17B6,63,46,10,5,9,12
NR1H3,488,313,569,577,380,288
TYMP,262,148,84,61,143,80
NCAPH2,2793,1790,2100,1609,1307,783
TOMM34,4760,3395,1954,1660,3821,2424
SEC63,2977,2882,2722,2581,2059,1819
KPNA6,3721,4761,3742,3919,5008,4775
VIM,15,11,9,11,8,10
RTEL1-TNFRSF6B,272,154,437,518,568,260
FAS,6,8,332,246,2137,2208
RNASET2,4295,2711,7537,8222,2507,2076
CD44,10,10,12,4,22,12
KCNG1,31,11,20,22,72,41
AGPAT4,23,45,1,9,57,32
SLAMF7,2,2,2,0,2,3
BTN3A1,184,199,243,225,133,116
MIPEP,812,681,675,490,622,481
PRKCH,108,90,22,21,49,33
INSRR,0,0,0,0,0,0
IFNGR1,2442,3292,2929,2739,1640,1814
B4GALT7,953,526,518,559,852,504
SH2D2A,201,56,21,23,1021,681
VRK2,815,776,809,883,425,443
TNFRSF1B,7,3,2,5,4,4
VEZT,1125,1327,1168,1404,1347,1451
POU2F2,18,15,15,8,52,57
BRD9,1472,999,1760,1689,1775,1318
SNX1,3181,3431,2925,2664,4381,4123
TBPL1,1387,923,648,503,770,514
ARNTL2,598,828,830,772,232,408
BCLAF1,7680,12350,7303,7471,6331,8649
SLC39A9,3634,3474,3409,3233,3725,2815
ANK1,18,49,108,98,1235,772
IBSP,3,2,0,0,3,1
TFB1M,1684,1718,1524,1536,3226,3287
RABEP1,1787,3094,1465,1964,1603,2236
HMGB3,2235,2800,1544,1526,6007,5741
NUP160,5836,5269,4101,3977,3067,2481
BAK1,878,610,1025,766,2845,1836
MUSK,6,13,0,0,3,2
IKZF2,75,72,18,26,75,51
GRN,13124,7259,6296,4964,22128,12661
FAM13B,1361,1582,709,851,1286,1457
ARHGAP31,22,18,1,1,28,24
CENPQ,937,1228,355,357,318,349
SARS1,2278,1717,4160,4290,8257,5718
RANBP3,5138,3131,3940,3469,2830,1712
ARID4A,1081,1125,818,759,2259,1873
EIPR1,2206,1388,1804,1506,2176,1272
PNPLA6,769,588,1102,836,1296,913
IFT88,394,334,436,428,375,437
ALG1,2940,2132,2546,1964,2063,1197
ZCCHC8,1235,1225,1153,1158,1198,1060
ABCF2,3054,2149,2394,2377,2348,1544
CHPF2,1238,800,1759,1672,1669,1147
LRRC7,22,23,0,1,20,62
FUT8,592,561,921,862,647,698
UBA6,4634,4725,3881,3688,4840,3712
GAB2,1213,761,1036,1190,1220,1075
ATP6V0A1,2477,1706,2092,1784,3030,1819
PIAS1,1838,1997,1739,1745,2275,1822
SLC4A7,4090,4409,2096,2880,1545,1484
APBA2,251,128,160,247,152,94
MAP2K3,3227,2130,2827,2472,2518,1799
EFCAB1,0,3,0,2,1,1
TMSB10,29099,17295,15226,13405,11963,6461
ASTE1,232,224,204,201,194,166
RNF19A,3572,4716,1938,2638,3057,2806
PEX3,648,664,630,717,486,562
GABARAPL2,1204,1289,806,853,2094,2125
MYOC,1,0,0,0,4,2
SH3YL1,521,416,488,568,699,615
FAM136A,3835,3460,3936,3541,2212,1738
VCL,4576,3510,4719,4225,1774,1630
DEPDC1B,1910,1836,1885,1637,916,844
DAPK2,43,34,47,68,88,52
NSMAF,581,611,1036,1117,625,500
ADSS2,2048,2104,1575,1704,989,950
STAP1,5,3,0,0,3,6
TIMP2,2417,1576,2001,2025,3525,2974
RFC1,6019,6247,3655,3573,2729,3073
TBC1D23,2143,2017,1268,1108,1455,1598
CUL3,2218,2637,2065,2355,2388,2559
MYOM2,1,6,0,0,3,1
OTC,8,9,0,2,1,1
CYP46A1,44,25,31,32,45,40
ZZZ3,1560,1470,1722,2187,1484,1449
SLC18A1,3,6,4,3,5,2
USP2,524,344,1294,1308,7254,4745
CASR,0,3,0,0,5,4
TUBG2,693,476,619,593,636,450
RPL26L1,1156,677,830,603,695,380
FLT4,53,20,64,81,53,30
NSUN2,5301,4455,3983,4147,3598,2936
FBXO42,1160,881,1113,927,1237,849
MFAP3,1175,1332,806,643,1011,984
MRI1,1148,611,773,696,3956,2608
METTL1,552,439,569,606,273,151
HOXC8,2,12,11,12,6,2
AGA,753,484,447,390,928,662
PI4K2B,1616,1455,1325,1409,2624,2557
BOD1L1,4603,5290,3197,2829,5006,5002
MAT2B,1269,1406,1105,1062,2594,2277
TLL1,6,4,0,0,12,7
EDC4,3841,2333,2383,1864,1751,1194
TRIO,3995,2599,5454,6711,4345,3442
VCAN,3365,2575,906,788,1213,973
CLEC16A,2829,1722,1964,2180,4588,3269
MSR1,11,20,1,0,1,9
CDH1,299,197,250,281,1553,879
MTREX,2582,4010,2818,2957,2267,2453
DNAH5,26,60,1,6,24,15
ZFYVE16,2897,3614,1976,2468,4193,4943
RIPOR1,3470,1542,1961,2158,1171,994
C6,16,11,7,7,2,8
RAI14,2600,1507,1464,1401,1570,1197
SOX30,2,2,0,0,2,2
PNKP,1203,741,933,807,1103,632
BEST2,3,2,1,0,0,3
PHLPP2,1285,1446,1009,1039,720,625
SPDL1,867,1029,888,600,629,627
STAU2,1179,1679,838,858,902,1236
SLC66A1,1024,648,620,593,723,503
CTNS,631,467,655,784,328,217
RTN4R,5,2,18,17,5,4
PHF23,2090,1491,1692,1426,1167,682
CDH10,0,4,0,0,13,29
INPP4A,1658,912,1476,1350,1545,944
RAB27B,8,15,1,0,10,12
PSMA4,3495,4652,2621,2799,2553,2666
LSG1,1233,1041,1052,1204,1397,1236
PARP3,511,315,406,429,1563,1087
TNC,66,16,25,3,29,29
THAP3,400,220,322,314,330,156
RIPOR3,26,16,19,23,78,62
TDP1,675,560,792,921,768,540
AIFM2,3419,2240,3467,2920,7315,4865
C2orf83,14,7,1,1,3,9
SPATA7,152,212,129,96,894,895
MED17,2283,2510,1664,1708,2338,2636
RETSAT,2380,1400,2326,1771,15139,10000
CAPG,293,123,126,99,260,192
AP2S1,2581,1489,1801,1414,1377,896
USH2A,27,37,0,2,31,23
ZPBP,0,2,0,0,0,0
TG,16,45,0,1,13,33
ADAM28,9,45,0,0,22,16
BARX2,15,9,4,6,24,2
DCUN1D1,1973,2810,1338,1571,2559,3670
JADE2,1562,1017,813,751,904,823
ZIC2,723,489,187,232,316,377
LCP2,1,0,0,2,2,4
TRIT1,382,466,346,448,318,307
ADRB1,2,0,1,0,1,1
GUCA2B,3,3,1,0,533,426
CUL7,3759,2030,3538,3786,4901,3041
CTNNA1,10622,6958,11437,10657,10658,7525
PHKA2,1778,1173,3424,4130,1100,901
CNTLN,383,450,274,222,223,231
EPHA3,6,14,0,0,13,11
HSPA5,19533,20526,34890,39738,17234,14184
DSG2,11576,10930,6154,6325,6636,6481
GEMIN8,180,126,286,253,210,184
OFD1,918,930,841,719,1246,1224
GPM6B,12,8,2,1,3,7
MAGEC2,12,9,0,0,0,5
PREX2,17,17,7,7,70,20
WDR37,682,406,470,401,637,606
YTHDC2,1562,1410,1723,1544,1778,1828
CTPS2,1292,1233,1021,1049,921,1282
ATP6V1H,1352,1082,1177,926,2190,1823
POLR2B,5180,5868,3411,3455,3244,4265
FAM214A,435,642,206,333,1753,1520
ARAP2,81,52,7,7,6,4
TPR,8565,9776,9130,7941,5914,6430
CP,5088,6311,9564,12204,8230,9667
KATNIP,1546,1097,1178,1395,1979,1242
DTNBP1,748,548,599,460,523,388
XK,5,6,0,0,2,8
ANO2,13,8,0,0,23,30
C12orf4,653,497,440,470,643,634
SCML1,3187,3003,2496,2766,2390,2272
WWC3,797,669,449,504,980,772
ARHGAP6,35,25,4,3,12,9
FAM184B,26,15,0,1,24,23
MAP4,7368,5209,10091,10000,5332,4647
GOPC,3645,3407,2738,2510,2511,2463
ROS1,15,47,1,0,18,88
USP28,1950,1866,1479,1492,872,945
HDAC9,53,42,5,3,50,64
TSPAN17,874,477,779,678,779,570
NOP16,1094,632,1576,1330,695,413
CC2D2A,419,437,400,285,276,260
RRM2B,881,1106,1901,1449,16093,15430
ZNF800,756,1167,749,907,759,824
TNFRSF17,2,0,0,0,2,3
SNX29,804,630,729,748,2361,1942
LMO3,15,11,0,0,24,11
MRPS10,1808,1851,1317,1422,1378,1416
GUCA1A,0,0,0,0,0,3
RSF1,5059,5602,3032,2862,4446,4614
VPS13D,3667,2614,2910,2794,4027,3601
CELF2,31,29,2,0,149,83
FAM120A,4556,2765,7743,6942,3461,2369
R3HDM1,2341,2157,2539,2750,2294,1991
COL9A2,1924,1173,1461,1504,5157,3205
KITLG,1827,1729,1715,1509,4870,4776
ERCC8,695,828,605,554,539,479
ADAMTS6,236,254,304,644,871,1071
H6PD,2010,1067,1715,1727,2845,1924
VAMP3,4334,4395,2422,2738,4446,4023
PER3,125,118,495,385,179,113
UTS2,0,3,0,0,0,7
TNFRSF9,35,26,8,13,50,30
EPN3,117,58,108,86,1114,839
LTBP1,159,110,13,13,62,50
RCN1,4740,4701,1420,1708,1566,1561
ELN,36,20,12,13,10,22
RFC2,1938,1376,962,921,497,329
ARID1B,5737,3408,8043,8006,5919,5210
CLPTM1L,1088,849,3406,3118,2585,1725
NEDD4L,6201,4410,9226,9281,5487,4388
FOXP3,2,0,2,2,5,15
PPP1R3F,209,70,43,14,79,16
HEXB,2210,3144,1486,2128,2506,2334
PTCD2,898,608,592,363,584,510
NEXMIF,7,14,1,0,5,7
JKAMP,796,874,764,796,774,990
DKK3,9,21,1,0,32,22
ARHGEF5,129,74,160,128,117,86
NFE2L3,1093,1299,906,1026,526,510
MCUR1,1684,2161,892,1069,697,663
LIMA1,1090,1494,667,766,4141,5139
LETMD1,1166,819,1305,1127,1422,1141
