gene_name,G401_BRD9_KO_rep1,G401_BRD9_KO_rep2,G401_LacZ_rep1,G401_LacZ_rep2
AGK,666,543,411,534
ALDH3B1,158,137,204,238
TTC22,6,3,11,11
PHTF2,1212,911,733,1021
CCL26,1,0,0,2
FARP2,1062,822,755,906
USH1C,0,0,0,0
GGCT,1035,750,726,762
DBF4,960,743,759,797
TBXA2R,227,189,218,223
IFRD1,861,670,563,615
LGALS14,0,0,0,0
COX10,444,331,293,315
GTF2IRD1,1608,1319,1181,1264
PAF1,1094,909,935,862
VPS41,4602,4079,3629,3627
ARHGAP44,67,53,29,48
ELAC2,2501,2032,1473,1605
SCIN,54,27,46,33
ARSD,9,10,13,25
PNPLA4,307,286,278,309
MYH13,0,0,0,0
ADIPOR2,1694,1400,1271,1360
CDKL3,99,71,77,41
UPP2,2,2,0,2
MARK4,1381,1114,922,1191
PROM1,1,1,5,1
CCDC124,860,673,686,764
CEACAM21,13,9,11,13
PAFAH1B1,4538,3639,3448,3734
NOS2,2,0,1,3
DNAH9,1,0,9,2
KIAA0100,5042,4046,3426,3659
SLC13A2,0,0,0,0
GAS7,13,7,12,18
TRAPPC6A,210,190,150,158
MATK,421,355,270,322
CEACAM7,0,0,0,0
CD79B,0,1,0,1
SCN4A,0,0,1,0
ST7L,426,376,367,399
TKTL1,0,0,0,0
PAX6,69,25,54,75
RPUSD1,829,665,446,479
RHBDF1,1013,823,746,928
LUC7L,1002,824,768,814
CACNA2D2,441,342,317,371
BAIAP3,25,12,22,9
TSR3,597,464,431,473
PIGQ,689,544,627,657
CRAMP1,604,644,395,570
TEAD3,824,651,705,622
SELE,0,0,0,0
DNAJC11,1964,1665,1291,1511
FMO3,4,2,1,0
MYLIP,1,0,2,1
NOX1,3,5,3,5
PSMB1,3505,2931,2955,3301
SYN1,19,12,17,18
JARID2,539,493,423,521
CDKL5,119,103,107,153
CAMK1G,9,5,8,17
CDK11A,379,335,252,293
NADK,1770,1398,1661,1660
TFAP2B,0,0,0,0
TFAP2D,0,0,0,0
DLEC1,3,5,1,1
CYTH3,917,676,919,957
ADAM22,591,382,591,445
SYPL1,1781,1555,1434,1686
CYB561,424,312,290,324
SPAG9,7381,6123,6251,6898
CELSR3,1373,903,905,993
AASS,21,12,14,15
PLEKHG6,9,12,16,23
SS18L2,455,313,281,293
MPND,224,203,221,305
MGST1,4,9,8,11
CRY1,3849,3288,3080,3264
PGLYRP1,1,1,2,4
NFIX,426,381,421,379
ST3GAL1,15,13,14,38
MMP25,33,19,33,25
IL32,25,16,15,17
PKD1,1695,1298,1271,1600
MAPK8IP2,1973,1639,1086,1178
MED24,1622,1529,1378,1341
RHOBTB2,1059,795,863,806
HEATR5B,887,753,699,750
SEC62,2797,2160,1974,2279
RPS20,9276,8150,7894,8715
CSDE1,13386,11310,10130,12325
UBE3C,2520,2257,1795,1850
REV3L,2448,1876,1870,2204
TENM1,1,0,0,0
PAX7,0,0,1,1
MASP2,49,50,39,57
IYD,13,16,12,19
FAM76A,476,353,395,390
TRAF3IP3,6,0,1,0
POMT2,979,727,800,703
VTA1,1210,1076,880,1060
MLXIPL,46,64,56,57
BAZ1B,4611,3866,3420,3750
RANBP9,1090,877,994,1175
ETV7,154,136,94,106
SPRTN,559,398,331,468
EEF1AKNMT,1097,861,581,827
DYRK4,256,178,170,193
ZNF207,5151,4301,3715,4278
UQCRC1,2969,2706,2122,2345
STARD3NL,802,635,622,674
CD9,1786,1691,1415,1535
HHATL,1,1,1,0
NCAPD2,3142,2619,3112,3412
IFFO1,392,358,309,349
GIPR,252,216,223,261
PHF7,123,106,118,134
SEMA3G,45,22,26,28
NISCH,2744,2250,2009,2114
STAB1,3,1,7,4
FUZ,248,171,273,315
SLC6A13,4,3,0,5
IDS,1978,1650,1239,1377
PRSS3,0,1,0,0
ZNF200,379,356,276,337
CD4,49,20,71,78
LRRC23,106,85,118,136
BTK,0,0,0,9
HFE,558,476,402,656
SCMH1,710,526,520,630
FYN,7,1,4,11
HIVEP2,1616,1331,1028,1103
FMO1,4,3,12,3
ELOA,2322,1999,1741,2000
LYPLA2,1406,1226,1103,1012
CLCN6,589,526,664,618
MRC2,1140,933,815,850
NME1-NME2,2186,1743,1417,1499
SLC6A7,1,0,0,0
TSPAN9,618,422,476,481
APBA3,354,304,224,307
MKS1,364,358,364,401
ABHD5,257,187,142,155
ANOS1,109,84,97,121
AKAP8L,1083,825,906,907
MBTD1,614,503,530,632
UTP18,1087,881,750,873
RNF216,1881,1588,1216,1338
TTC19,1411,1209,1135,1202
PTBP1,8184,6975,5625,6889
DPF1,78,52,61,62
SYT7,307,226,235,223
LARS2,1338,1113,1180,1138
PIK3C2A,4057,3427,3778,3829
PLAUR,669,520,343,427
ANLN,3253,2529,2633,2561
WIZ,1423,1217,1038,1130
RABGAP1,1789,1416,1257,1497
DCN,4,5,2,5
QPCTL,670,556,636,796
PPP5C,1533,1347,1175,1533
CEP68,631,571,483,542
MAP4K3,2242,1823,2255,2432
ZBTB32,10,13,10,16
TYROBP,2,0,3,2
TMEM159,20,13,11,12
GABRA3,0,0,0,0
BRCA1,1005,803,929,977
ERCC1,938,802,776,849
CD22,18,28,23,27
SEMA3B,1622,1381,1610,1752
MBTPS2,678,560,571,633
PRICKLE3,277,258,270,317
LTF,0,0,0,0
EXTL3,1145,1113,987,1212
NR1H4,0,0,0,0
ELOVL5,2699,2301,2138,2516
ALOX5,0,0,0,0
KDM5D,1108,876,894,960
CALCOCO1,1333,968,1102,1306
UBR7,0,15,0,0
MAP4K5,1614,1432,1162,1280
EHD3,399,346,251,312
MAN2B2,1556,1231,790,867
SLC7A14,38,52,29,44
CLDN11,409,323,325,376
SLC25A39,3209,2729,2475,2631
MVP,3233,2791,1804,1942
NUB1,1088,849,978,1078
PGM3,1251,1086,966,1139
RWDD2A,242,208,172,196
CLK1,1218,1130,913,984
POLR3B,591,406,366,391
ANGEL1,901,727,617,759
RNF14,1448,1034,691,827
DNASE1L1,605,491,311,378
DDX11,886,673,744,887
HEBP1,2078,1760,1491,1718
GPRC5A,4683,3864,2702,3034
MAMLD1,0,0,0,0
CD6,4,1,5,5
TACC3,1931,1749,1511,1639
UFL1,977,806,843,1044
POLA2,764,582,632,583
ZC3H3,496,388,362,378
CAPN1,3432,2782,2203,2362
ACP3,1,2,0,0
MDH1,4374,3574,3436,3698
SLC30A9,2741,2232,2085,2207
MTMR11,298,269,404,351
COX15,1574,1317,1307,1547
CCDC88C,541,504,399,422
YAF2,332,245,297,306
ZMYND11,2700,2224,1783,1933
WAS,14,18,18,10
DPEP1,5,7,9,18
BID,483,431,327,358
MATR3,6896,5444,5266,6048
NPC1L1,1,0,2,3
XYLT2,705,553,482,555
RGPD5,366,159,649,322
STMN4,0,0,0,0
NUDCD3,1177,988,893,906
ISL1,0,0,0,0
CHDH,24,22,25,38
IL20RA,0,0,0,0
CLCA1,0,0,0,0
CLCA4,0,0,0,0
GLT8D1,991,792,823,949
ATP2C1,1812,1731,1604,1822
IGF1,0,0,0,0
SLC38A5,821,679,538,587
RALBP1,1837,1641,1453,1595
RUFY3,1575,1159,1442,1484
CNTN1,0,2,2,2
SLC11A1,40,46,36,77
WWTR1,559,475,689,688
AGPS,5125,4067,4013,4300
ZNF806,0,0,0,0
CXorf56,359,296,298,263
ATP1A2,9,4,1,1
TTC27,270,238,205,223
ZNF582,12,18,8,17
VSIG2,1,1,1,2
PHLDB1,1315,925,1136,1299
MARCO,0,0,0,0
CYP24A1,3,1,3,1
PRDM11,325,278,229,306
SYT13,3,2,3,4
SNAI2,0,0,0,0
CD74,2304,1924,1368,1802
HGF,0,0,0,0
ZRANB1,552,544,480,657
NCDN,852,676,434,490
ADGRA2,354,267,344,341
CCT8L1P,0,0,0,0
ZFP64,1356,1199,1345,1433
MNAT1,643,577,599,611
SAMD4A,874,663,800,747
RUNX3,124,137,86,111
MRE11,1017,928,822,867
PLEKHB1,6,2,8,13
SERPINB1,13,13,19,14
CYP3A43,4,3,10,15
SLC7A9,6,11,10,5
SPAST,868,772,648,820
NRXN3,3,1,3,3
OSBPL5,472,326,308,331
AQR,2859,2317,2266,2524
CPS1,25,23,43,34
C8B,0,0,0,0
FHL1,134,131,73,85
RTF2,1310,1138,894,1076
GABRA1,0,1,0,0
NLRP2,5,0,2,10
SLC45A4,248,199,166,195
RNF10,3723,2961,2681,3400
ZNF839,398,417,412,484
ZDHHC6,749,618,482,548
GRAMD1B,4368,3638,2837,2993
RB1CC1,2536,2072,2004,2194
ERP44,1155,977,886,997
ALAS1,1038,856,641,752
BIRC3,13,7,5,4
AKAP11,2381,2024,1572,1702
GLRX2,190,174,118,140
SNAPC1,382,318,317,306
DERA,513,407,517,595
STRAP,3673,3225,2786,3051
ABCC2,84,36,112,118
DEF6,15,26,27,30
PLEKHO1,93,55,174,144
GCLM,2118,1703,1209,1504
UBR2,1438,1204,1185,1341
EHD2,6,19,6,22
DEPDC1,1583,1354,1267,1400
CCDC28A,208,184,178,197
RRAGD,624,541,384,454
HSF2,649,518,431,502
PHF20,1810,1627,1591,1772
HSD17B6,19,29,10,9
NR1H3,123,91,131,131
TYMP,60,53,44,36
NCAPH2,494,422,403,533
TOMM34,898,778,684,698
SEC63,2340,1888,1619,1823
KPNA6,3146,2689,2387,2666
VIM,25195,21234,27321,30435
RTEL1-TNFRSF6B,177,124,179,188
FAS,9,1,0,0
RNASET2,1496,1285,934,1050
CD44,301,258,190,151
KCNG1,17,12,13,16
AGPAT4,365,390,372,460
SLAMF7,6,8,3,1
BTN3A1,172,124,213,245
MIPEP,801,625,538,656
PRKCH,1,0,1,0
INSRR,15,19,19,20
IFNGR1,400,328,300,329
B4GALT7,312,257,232,289
SH2D2A,219,172,115,147
VRK2,707,605,520,519
TNFRSF1B,4,3,5,3
VEZT,1707,1449,1370,1547
POU2F2,34,39,80,69
BRD9,619,446,771,947
SNX1,3243,2811,2190,2584
TBPL1,204,206,158,162
ARNTL2,1645,1264,891,1133
BCLAF1,5640,4798,4090,4657
SLC39A9,1515,1170,1174,1211
ANK1,16,41,23,6
IBSP,0,0,0,0
TFB1M,260,232,274,265
RABEP1,2448,2002,1882,1934
HMGB3,1645,1450,1357,1653
NUP160,2601,2130,2277,2243
BAK1,884,712,520,669
MUSK,0,0,1,0
IKZF2,0,0,0,0
GRN,5234,4222,3299,3669
FAM13B,1143,933,581,715
ARHGAP31,16,16,8,16
CENPQ,238,203,192,182
SARS1,2155,1861,1628,1820
RANBP3,1206,1007,873,730
ARID4A,1100,863,801,957
EIPR1,604,479,394,455
PNPLA6,2401,2050,1773,1842
IFT88,571,456,415,487
ALG1,722,592,389,469
ZCCHC8,897,912,776,820
ABCF2,2095,1617,1295,1450
CHPF2,1446,1291,844,905
LRRC7,8,8,10,13
FUT8,460,414,343,361
UBA6,2079,1685,1259,1673
GAB2,710,544,753,625
ATP6V0A1,4009,3412,3531,3996
PIAS1,903,789,790,794
SLC4A7,7447,6093,6837,7594
APBA2,69,76,41,30
MAP2K3,785,636,470,520
EFCAB1,2,5,4,5
TMSB10,7827,6517,5952,6615
ASTE1,156,128,128,122
RNF19A,616,560,537,547
PEX3,446,336,287,346
GABARAPL2,1288,1087,791,894
MYOC,1,2,2,2
SH3YL1,299,258,259,274
FAM136A,1737,1563,1172,1310
VCL,29884,25159,22190,24380
DEPDC1B,2331,1987,1536,1619
DAPK2,582,577,394,496
NSMAF,1085,869,886,904
ADSS2,1245,1046,950,1085
STAP1,0,1,0,0
TIMP2,5715,4842,4730,5172
RFC1,1771,1520,1494,2208
TBC1D23,912,757,647,755
CUL3,2559,2175,1992,2254
MYOM2,6,7,2,0
OTC,0,0,0,0
CYP46A1,175,136,155,130
ZZZ3,1044,847,775,900
SLC18A1,6,6,10,2
USP2,161,157,163,173
CASR,0,0,0,0
TUBG2,0,1,1,1
RPL26L1,795,749,627,640
FLT4,227,176,110,193
NSUN2,2514,2116,1528,1680
FBXO42,707,518,595,607
MFAP3,440,329,451,386
MRI1,30,28,27,23
METTL1,162,168,135,100
HOXC8,223,237,265,299
AGA,207,173,182,231
PI4K2B,1973,1594,1514,1559
BOD1L1,2317,2326,1998,2441
MAT2B,1479,1150,1199,1296
TLL1,3247,2527,2768,3135
EDC4,1544,1162,1308,1215
TRIO,3085,2759,2491,2554
VCAN,8485,6500,6821,6962
CLEC16A,1449,1124,1026,1138
MSR1,0,0,7,2
CDH1,14,5,9,12
MTREX,2126,1905,1748,1903
DNAH5,165,125,151,190
ZFYVE16,2180,1746,2277,2843
RIPOR1,1047,798,745,762
C6,1,0,0,0
RAI14,2731,2173,1614,1720
SOX30,2,2,2,0
PNKP,737,534,603,672
BEST2,2,0,0,2
PHLPP2,1200,921,872,809
SPDL1,894,689,663,750
STAU2,1309,1095,921,1109
SLC66A1,564,518,314,373
CTNS,793,680,451,493
RTN4R,563,490,412,426
PHF23,1274,1187,800,913
CDH10,0,0,0,0
INPP4A,896,755,749,862
RAB27B,0,0,0,0
PSMA4,5438,4655,4018,4391
LSG1,1295,1097,763,994
PARP3,278,203,372,369
TNC,0,0,2,0
THAP3,214,153,212,215
RIPOR3,253,225,292,315
TDP1,737,565,639,669
AIFM2,60,49,27,44
C2orf83,5,4,6,4
SPATA7,198,181,234,215
MED17,769,567,558,484
RETSAT,1253,956,767,882
CAPG,34,30,31,23
AP2S1,1158,1007,966,1095
USH2A,2,1,1,4
ZPBP,0,0,0,0
TG,0,3,0,3
ADAM28,1,0,0,0
BARX2,7,5,5,12
DCUN1D1,1270,911,1179,954
JADE2,872,883,626,802
ZIC2,2481,2056,2010,2087
LCP2,0,0,0,0
TRIT1,719,538,578,623
ADRB1,1192,990,662,720
GUCA2B,0,0,0,0
CUL7,1990,1656,1372,1414
CTNNA1,7612,6329,5622,6491
PHKA2,475,418,425,521
CNTLN,791,720,718,797
EPHA3,2,1,3,5
HSPA5,13660,11580,10503,11673
DSG2,23,20,15,26
GEMIN8,184,135,151,131
OFD1,551,436,422,635
GPM6B,88,38,93,51
MAGEC2,0,0,0,0
PREX2,4,2,1,6
WDR37,659,494,463,494
YTHDC2,1379,1113,1172,1323
CTPS2,578,447,552,641
ATP6V1H,1477,1278,1114,1266
POLR2B,4206,3324,3110,3421
FAM214A,996,807,698,880
ARAP2,0,0,0,0
TPR,6060,5406,4807,5353
CP,312,201,502,477
KATNIP,686,593,670,659
DTNBP1,164,147,118,141
XK,0,0,1,0
ANO2,0,1,1,0
C12orf4,460,389,424,394
SCML1,0,0,0,0
WWC3,2,2,4,0
ARHGAP6,0,0,1,0
FAM184B,4,4,1,2
MAP4,9199,7755,6821,7666
GOPC,1475,1150,1115,1151
ROS1,0,0,0,0
USP28,702,667,644,691
HDAC9,795,699,496,478
TSPAN17,1582,1365,997,1111
NOP16,545,597,302,347
CC2D2A,417,248,187,225
RRM2B,2279,1786,1308,1431
ZNF800,475,386,341,373
TNFRSF17,1,0,3,6
SNX29,711,622,603,652
LMO3,0,0,1,0
MRPS10,1113,868,800,876
GUCA1A,0,0,0,0
RSF1,2762,2520,2490,2830
VPS13D,1838,1522,1441,1730
CELF2,3,5,5,3
FAM120A,4027,3507,2876,3033
R3HDM1,1563,1416,1371,1649
COL9A2,21,4,14,9
KITLG,0,0,0,0
ERCC8,325,243,244,303
ADAMTS6,14,7,8,7
H6PD,2050,1622,1920,2151
VAMP3,2737,2355,1888,2088
PER3,1831,1344,694,817
UTS2,0,0,0,0
TNFRSF9,38,15,39,31
EPN3,26,21,41,33
LTBP1,2351,2072,1943,1995
RCN1,5564,4553,3668,3975
ELN,5,1,4,8
RFC2,809,685,603,642
ARID1B,2232,1976,1716,2358
CLPTM1L,1247,959,838,985
NEDD4L,6,0,3,2
FOXP3,3,5,3,9
PPP1R3F,103,101,56,52
HEXB,11638,9757,8072,8996
PTCD2,645,581,560,467
NEXMIF,0,0,0,0
JKAMP,985,829,807,866
DKK3,1719,1294,767,981
ARHGEF5,0,0,0,0
NFE2L3,13722,10783,8938,10304
MCUR1,876,827,640,609
LIMA1,2016,1778,1525,1648
LETMD1,1014,820,931,1131
SLC4A8,805,816,631,731
LAMC3,983,731,506,433
PTGER3,2,4,3,1
TNIP3,3,0,3,2
MAPK9,1961,1654,1490,1531
COL23A1,0,0,1,1
BCAR1,4825,3790,2635,2754
FAM160A2,395,350,384,394
HERPUD1,784,657,646,683
HOMER3,664,526,386,420
RAD51,292,212,211,201
POLQ,952,779,622,793
PIK3CB,1195,1048,1030,991
CYBA,1405,1253,1007,1027
THOC3,507,452,484,541
HEBP2,548,467,605,693
MPHOSPH9,789,725,887,773
PLEKHA5,607,497,478,563
PRSS8,40,29,69,56
SIKE1,1446,1441,1329,1572
RRP12,1592,1340,1017,1137
FNIP2,3062,2550,1524,1740
MSMO1,2027,1703,2136,2274
TTC17,1283,1128,1195,1381
ALX4,2648,2199,1795,1995
FSTL4,5,1,0,0
FOXN3,1233,1047,1015,979
METTL24,126,85,115,142
AKR7A2,873,731,708,831
MRTO4,1044,900,621,751
NNAT,13,10,10,13
USE1,308,229,221,222
MCF2L2,40,58,109,134
NRIP2,37,42,18,43
LAMA3,222,153,63,146
AP5M1,2121,1996,1508,1655
ANAPC4,779,550,469,509
KCNQ1,53,61,35,34
TRAPPC3,1438,1162,882,943
THRAP3,4448,3624,3185,3875
PHPT1,1043,953,694,791
ENTPD2,1,4,2,1
LY75,8,2,5,13
ARID4B,1268,1181,1259,1293
OPN3,44,62,57,88
SDCCAG8,103,209,309,115
PTPRN,2,6,2,1
KIF1B,4330,3730,3860,4104
FOXC1,904,714,607,673
TBC1D22A,579,442,399,430
SYNE2,5182,4332,4620,4908
PLEKHH1,283,212,305,308
ATP9A,2023,1757,2048,2263
SPO11,0,0,0,0
CBLN4,0,0,0,0
CHRDL2,0,0,0,0
FAM168A,1950,1564,1271,1464
RELT,190,132,146,151
GALC,943,838,829,880
NOP58,2263,2034,1433,1772
SZRD1,2662,2388,1835,1974
KCNH2,437,349,344,434
CUL1,2359,1891,1668,1878
FAM114A2,557,597,494,559
CYFIP2,1865,1505,477,561
TAB2,1951,1734,1616,1734
GINM1,795,698,685,754
EIF2AK2,2088,1615,1574,1771
USP36,1012,1015,701,818
KMT2C,1766,1317,1529,1760
MCOLN3,283,283,186,204
CCDC85A,0,0,0,0
PUM2,3091,2525,2436,2821
MRPL43,783,682,600,646
ITIH4,14,7,23,17
ITIH1,0,0,1,0
HPF1,564,483,458,489
ZFR,4402,3564,2732,2989
ZNF280C,460,404,447,480
NPFFR2,3,16,6,11
PHF21B,140,121,143,121
TRAF1,81,56,69,106
RC3H2,1877,1691,1468,1702
KIFC1,0,0,0,0
IL17RB,66,39,23,46
TRAF3IP2,502,439,515,572
GYG2,0,0,0,0
DCBLD2,36,23,28,33
SERPINB3,0,0,0,0
SOAT1,2159,1922,1381,1584
PKP2,63,32,41,59
MSH4,1,0,0,1
F7,1,0,0,0
GDI2,6353,5505,5130,5552
PRDM1,0,1,0,0
ATG5,722,474,419,484
TMCC3,21,16,20,39
PITHD1,721,547,525,567
MTA3,1363,1224,1252,1302
USP13,1189,1079,935,1062
ATP11B,2064,1603,2146,2561
LAMC2,42,40,44,39
CDK14,11,5,3,2
SEC61A1,6605,5557,3837,4377
PPP1R12A,2361,1856,2037,2033
RASGRF1,0,0,1,1
CAMK2B,30,25,14,15
CROCC,954,797,753,919
POLR3E,1039,856,721,825
ATP2B4,32,12,21,22
ZC3H11A,3683,3176,3112,3257
RIOK2,886,695,474,666
YIPF1,278,240,205,281
NDC1,2063,1828,1654,1822
DGKG,1,1,0,1
FLYWCH1,1303,1128,892,973
UNKL,722,583,617,629
TBXAS1,1,0,4,1
PARP12,58,40,26,26
ALDH18A1,2907,2425,2374,2441
TARBP1,3723,3146,2352,2912
GATB,605,567,523,531
MXD1,428,350,357,395
CDK17,390,292,285,353
DNAJC25,359,277,231,246
SLC2A3,80,71,62,68
PSD,80,73,51,28
CTDP1,749,643,570,596
YBX3,4546,3716,3059,3563
STYK1,50,21,44,32
WNK1,9582,8815,6619,7179
RPS17P5,0,0,1,0
CCAR1,3809,3007,2249,2531
OGFR,749,609,612,649
GNA15,5,2,3,4
CREB3L3,1,1,2,0
PIGV,135,113,79,107
PTPRU,257,224,274,324
SNRNP40,1598,1403,1227,1363
RIMBP2,2354,1895,1986,2245
COL11A1,52243,44817,50140,55449
QSER1,2150,1860,1870,2029
MPC1,1597,1295,806,887
ACAA1,493,543,380,424
BCAT1,0,7,4,3
HDAC7,1546,1394,1435,1354
LZTS1,7600,6558,5219,5763
PRDM6,13,20,13,11
WNT8A,0,0,1,0
SPAG4,66,67,96,70
NCKAP1,5958,5279,4647,5031
MRPS35,1490,1229,1000,1146
GUCY1B1,0,0,0,0
SFSWAP,1048,886,971,1073
TNK2,1029,913,982,932
MON2,2411,1812,1941,2222
CDH3,43,46,53,53
ARSF,0,2,2,2
GPBP1,1643,1353,1399,1542
DGAT2,1179,1036,837,1033
ZNF112,130,104,109,119
CS,2999,2437,2358,2749
LTK,4,6,4,7
MRPS24,788,651,567,609
ELMO2,715,609,482,582
WAPL,2368,1760,1736,1900
VMP1,5983,4703,4661,5293
APPBP2,2367,1988,1638,1982
POLD1,964,918,875,909
SEZ6,9,2,11,4
EIF4B,15961,13680,13566,15324
SLC6A16,43,47,44,35
BICRA,282,318,184,259
SPHK2,387,313,382,389
RPL18,8392,6929,7385,8184
CA11,1824,1406,1558,1720
ISOC2,963,789,651,709
U2AF2,3375,2944,2651,2701
EPN1,1680,1313,1350,1553
MED29,903,833,753,744
GSC2,0,0,0,0
ZNF275,354,273,176,218
MTMR1,658,582,435,556
GPC1,1009,906,694,743
ADCK1,259,246,194,204
HAGH,577,532,517,586
RNF4,818,689,528,544
CASP8,1524,1212,1211,1405
LIMCH1,0,1,0,0
INTS13,912,586,643,796
TM7SF3,3822,3163,2721,2848
DLX3,549,478,510,564
SPA17,290,219,278,389
TSPAN32,2,1,5,11
CCN5,11,9,17,13
DMRT3,0,0,0,0
ST3GAL6,7,4,2,5
ATP2C2,9,1,5,5
NGFR,14,11,13,9
CDON,293,241,179,178
TAF2,1524,1158,1037,1149
HIPK2,34,28,17,14
TNPO3,2037,1704,1673,1941
RFXANK,736,594,516,771
TMEM161A,565,460,494,495
LPAR2,246,201,121,142
CTSA,2531,2074,1370,1565
SUGP2,3830,3263,2685,3041
SLC12A2,1145,1013,823,829
SNX24,456,326,368,357
EYA2,1,0,0,0
CNN2,5129,4255,4312,4766
ABCA7,390,302,195,221
SNCAIP,0,0,1,1
DDX20,755,663,603,640
BTBD1,3977,3297,2402,2679
FAR2,21,40,11,92
BCAS1,57,61,55,57
POU1F1,0,0,0,0
CHI3L2,0,0,0,1
SBNO2,228,234,327,442
PMS1,744,539,503,671
HMG20B,1290,1053,1166,1326
CALCRL,12,15,11,12
TAF11,513,411,391,445
ANKS1A,826,714,680,735
AP3D1,6308,5309,4318,4844
ZNF76,473,352,363,411
SLC9A3R2,287,267,202,218
NTHL1,99,83,98,108
UHRF1BP1,1304,1147,1029,1193
GNAI3,4319,3595,3625,4014
IPO5,8254,6869,7070,7810
OAT,3641,3128,2621,2858
WDR3,1899,1725,1153,1378
PKN2,3062,2202,2177,2263
WDR18,639,487,493,546
TRAM2,768,679,538,578
NTN1,16,4,1,2
GLP2R,0,0,0,0
MCM10,852,725,450,530
DGKA,374,380,489,477
ERBB3,922,697,887,816
ROPN1,0,0,0,1
ANKRD44,19,14,11,26
KARS1,3371,2801,2477,2786
ADAT1,433,388,288,347
PDIA5,779,706,596,707
TBC1D22B,447,371,402,397
