gene_name,WT_A,WT_B,SMARCB1_Null-A,SMARCB1_Null-B,SMARCA4_Null-A,SMARCA4_Null-B,,,,,,,
MYCBP2,16772,13976,13707,13159,14603,10380,,,,,,,
FBXL3,4258,3852,2710,2822,4260,3004,,,,,,,
ITGAL,63,35,73,17,65,47,,,,,,,
PDK2,1906,1451,1363,1659,1803,1485,,,,,,,
ITGA3,1040,556,828,488,2275,1777,,,,,,,
ZFX,7098,5288,6934,5990,7113,5444,,,,,,,
LAMP2,13936,11511,12034,14094,14190,11351,,,,,,,
ITGA2B,715,489,449,270,1301,1357,,,,,,,
ASB4,60,50,61,46,37,59,,,,,,,
GDE1,6833,6625,7084,7997,9750,7043,,,,,,,
C19orf60,1981,1777,1846,1907,2736,2053,,,,,,,
CRLF1,571,489,225,231,508,384,,,,,,,
OSBPL7,990,643,428,238,1056,684,,,,,,,
TMEM98,4786,4334,4589,5157,5198,3545,,,,,,,
YBX2,608,370,471,362,889,1012,,,,,,,
KRT33A,0,0,0,0,0,0,,,,,,,
MAP3K14,805,530,851,821,1151,875,,,,,,,
ABCC8,204,130,171,39,385,296,,,,,,,
CACNG3,3,1,2,4,4,1,,,,,,,
TMEM132A,6543,5279,5175,5198,8183,5600,,,,,,,
AP2B1,32799,25702,32221,30970,52989,45022,,,,,,,
TAC1,0,4,6,0,2,0,,,,,,,
ZNF263,4367,4245,3487,4243,4867,3240,,,,,,,
CX3CL1,29,24,28,25,106,57,,,,,,,
SPATA20,4384,3540,3009,2989,3979,3267,,,,,,,
CACNA1G,153,110,169,121,164,83,,,,,,,
TNFRSF12A,190,202,195,251,480,430,,,,,,,
DLX6,1168,995,925,937,1577,994,,,,,,,
MAP3K9,2767,1821,1692,1380,3605,2923,,,,,,,
RALA,8856,7777,6102,6471,8863,6204,,,,,,,
BAIAP2L1,3324,2247,1534,1705,5316,4871,,,,,,,
KDM7A,2306,1429,1541,1255,2589,2411,,,,,,,
ETV1,569,432,576,350,1382,991,,,,,,,
AGK,4078,3157,3579,3759,6647,3594,,,,,,,
ALDH3B1,381,332,302,304,693,568,,,,,,,
TTC22,95,15,66,33,36,74,,,,,,,
PHTF2,7473,5971,9325,9485,10218,6992,,,,,,,
CCL26,1,0,0,0,0,2,,,,,,,
FARP2,10329,6811,7352,5969,9693,7903,,,,,,,
USH1C,15,20,5,1,1,1,,,,,,,
GGCT,6916,6571,4818,5947,7203,5096,,,,,,,
DBF4,8023,6893,5831,6655,8171,5755,,,,,,,
TBXA2R,276,212,364,457,555,373,,,,,,,
IFRD1,3013,2433,2513,2769,3705,2420,,,,,,,
LGALS14,12,7,21,19,14,11,,,,,,,
COX10,2136,1836,2404,2896,3217,2497,,,,,,,
GTF2IRD1,4865,4488,2774,2935,4969,3647,,,,,,,
PAF1,6673,6555,5301,6315,8202,5687,,,,,,,
VPS41,6932,6008,5823,6078,8153,7178,,,,,,,
ARHGAP44,627,524,1199,1024,1942,1161,,,,,,,
ELAC2,13981,12182,12774,15673,17716,12834,,,,,,,
SCIN,252,151,134,190,283,225,,,,,,,
ARSD,672,541,476,542,1273,905,,,,,,,
PNPLA4,68,38,56,41,91,89,,,,,,,
MYH13,0,5,0,365,0,0,,,,,,,
ADIPOR2,10647,9007,9529,10122,12745,9858,,,,,,,
CDKL3,288,274,218,234,337,262,,,,,,,
UPP2,5,1,1,1,1,3,,,,,,,
PRSS21,1,0,0,0,1,0,,,,,,,
MARK4,4985,3748,3440,3200,5625,4817,,,,,,,
PROM1,28,54,1,7,8,5,,,,,,,
CCDC124,9532,8668,9395,10998,12032,8564,,,,,,,
CEACAM21,0,0,0,3,0,1,,,,,,,
PAFAH1B1,20614,14846,15895,14627,24612,18752,,,,,,,
NOS2,533,293,664,326,1010,1577,,,,,,,
DNAH9,36,33,35,31,37,36,,,,,,,
KIAA0100,28415,21576,25085,23781,33024,25604,,,,,,,
SLC13A2,0,0,0,0,0,0,,,,,,,
GAS7,63,63,59,83,104,63,,,,,,,
TRAPPC6A,516,385,402,382,550,501,,,,,,,
MATK,5253,4211,4591,4422,6431,4336,,,,,,,
CEACAM7,0,0,0,0,0,0,,,,,,,
CD79B,1,0,1,1,0,0,,,,,,,
SCN4A,0,0,1,98,0,0,,,,,,,
ST7L,2671,2061,2241,2316,3910,3038,,,,,,,
TKTL1,9,2,11,2,6,2,,,,,,,
PAX6,2649,1959,2133,2063,1722,252,,,,,,,
RPUSD1,4967,4988,4180,6228,5382,3197,,,,,,,
RHBDF1,1042,854,922,815,1910,1650,,,,,,,
LUC7L,7132,7307,5412,6589,7303,5169,,,,,,,
CACNA2D2,5957,4671,1745,1537,4726,4280,,,,,,,
BAIAP3,166,84,83,85,156,201,,,,,,,
TSR3,4403,4382,4363,5474,5434,4078,,,,,,,
PIGQ,3680,2982,3082,3452,4578,2775,,,,,,,
CRAMP1,5610,4171,5122,4930,6974,5365,,,,,,,
TEAD3,722,453,543,456,861,729,,,,,,,
SELE,0,0,1,0,0,0,,,,,,,
DNAJC11,12160,10522,11897,14740,14889,10441,,,,,,,
FMO3,42,32,37,29,42,31,,,,,,,
MYLIP,1663,1101,664,490,2084,1646,,,,,,,
NOX1,127,122,101,164,175,71,,,,,,,
E2F2,4443,3779,2922,3289,4288,3413,,,,,,,
PSMB1,14524,14590,13530,15797,17736,13409,,,,,,,
SYN1,80,67,100,100,184,73,,,,,,,
JARID2,4242,2944,8996,7831,7035,5263,,,,,,,
CDKL5,3178,2005,3701,2831,7641,4858,,,,,,,
CAMK1G,0,1,0,0,0,0,,,,,,,
CDK11A,3259,3061,3088,3753,4260,3110,,,,,,,
NADK,13017,10904,9790,10195,13990,10781,,,,,,,
TFAP2B,0,0,1,1,0,0,,,,,,,
TFAP2D,0,0,0,0,51,2,,,,,,,
DLEC1,63,37,26,21,107,54,,,,,,,
CYTH3,3262,2718,3075,2544,4007,3263,,,,,,,
ADAM22,4609,2817,4122,2591,5023,3395,,,,,,,
SYPL1,5465,5093,4947,5802,5148,3990,,,,,,,
CYB561,2411,2223,1903,2030,3243,2871,,,,,,,
SPAG9,21085,14868,21726,19437,24572,20678,,,,,,,
CELSR3,3150,1359,2807,1710,5832,4843,,,,,,,
AASS,8110,5584,7222,5911,6700,5441,,,,,,,
PLEKHG6,25,3,16,4,8,9,,,,,,,
SS18L2,2006,1959,1291,1615,1911,1356,,,,,,,
MPND,1058,816,800,729,1153,854,,,,,,,
MGST1,8935,7649,6750,7470,8221,6819,,,,,,,
CRY1,3507,3096,2693,2919,4938,2550,,,,,,,
PGLYRP1,51,35,44,38,45,49,,,,,,,
NFIX,6182,4159,5899,5392,5194,3828,,,,,,,
ST3GAL1,2234,1615,1203,1014,4698,3500,,,,,,,
MMP25,480,346,391,534,693,719,,,,,,,
IL32,11,3,19,14,137,90,,,,,,,
PKD1,11060,8639,7826,9282,13443,10586,,,,,,,
MAPK8IP2,4167,3644,3595,3695,6654,5038,,,,,,,
MED24,12248,9820,11597,11717,15358,12339,,,,,,,
RHOBTB2,1877,1659,1263,1546,1948,1003,,,,,,,
HEATR5B,4286,3566,4670,4185,6202,4649,,,,,,,
SEC62,12566,11386,10198,12066,13747,10925,,,,,,,
RPS20,45227,41646,32890,37341,50747,40368,,,,,,,
CSDE1,67170,59875,57913,65726,86080,59127,,,,,,,
UBE3C,15087,12703,10991,11589,17054,12102,,,,,,,
REV3L,8447,6124,6482,6463,9622,7290,,,,,,,
TENM1,133,77,1285,507,86,36,,,,,,,
PAX7,0,0,0,0,0,0,,,,,,,
MASP2,424,335,342,337,406,311,,,,,,,
IYD,87,43,42,75,73,74,,,,,,,
FAM76A,1656,1223,1161,1219,1925,1495,,,,,,,
TRAF3IP3,30,26,37,28,22,25,,,,,,,
POMT2,2706,2475,2736,2791,3113,2487,,,,,,,
VTA1,6547,6169,6429,7232,8425,5678,,,,,,,
MLXIPL,96,73,89,95,230,232,,,,,,,
BAZ1B,35841,31338,30505,33637,39721,30034,,,,,,,
RANBP9,5955,4664,5420,5217,7251,5511,,,,,,,
ETV7,36,49,41,25,45,68,,,,,,,
SPRTN,2114,1747,1769,1903,2641,1853,,,,,,,
METTL13,5319,5138,5833,8414,7656,4606,,,,,,,
DYRK4,1216,1191,976,1097,1075,840,,,,,,,
ZNF207,32822,28782,26262,29277,37103,27012,,,,,,,
UQCRC1,15617,16589,17270,20222,23526,16374,,,,,,,
STARD3NL,3479,3304,3020,3329,4417,3328,,,,,,,
CD9,3682,2953,2351,2598,5421,4396,,,,,,,
HHATL,1,0,0,0,0,0,,,,,,,
NCAPD2,48069,38108,32113,34059,55277,46460,,,,,,,
IFFO1,2750,2508,2146,2497,3138,1993,,,,,,,
GIPR,452,243,506,213,850,854,,,,,,,
PHF7,916,614,936,715,1223,1237,,,,,,,
SEMA3G,52,17,313,204,579,545,,,,,,,
NISCH,12381,9727,9364,8108,12327,9825,,,,,,,
STAB1,26,23,20,44,21,29,,,,,,,
FUZ,417,321,392,570,484,332,,,,,,,
SLC6A13,3,5,6,5,14,3,,,,,,,
IDS,9285,6419,8265,7410,12448,10860,,,,,,,
PRSS3,0,1,17,5,0,4,,,,,,,
ZNF200,2132,2013,1794,2042,2463,1593,,,,,,,
CD4,65,33,21,32,78,57,,,,,,,
LRRC23,341,271,313,336,720,599,,,,,,,
BTK,2,6,7,6,6,4,,,,,,,
HFE,57,29,35,84,58,34,,,,,,,
SCMH1,6739,4838,5548,5306,6305,5046,,,,,,,
FYN,3143,2287,2475,1747,2079,1538,,,,,,,
HIVEP2,1964,1345,2061,1422,3352,2735,,,,,,,
FMO1,9,4,6,8,9,10,,,,,,,
ELOA,10478,9271,10352,12536,13240,9741,,,,,,,
LYPLA2,3966,3931,3363,3902,4747,3304,,,,,,,
CLCN6,2971,2126,2462,2424,3725,3310,,,,,,,
MRC2,3789,2408,4617,3098,7175,6098,,,,,,,
NME1-NME2,11077,10645,9866,12123,12574,8764,,,,,,,
SLC6A7,0,0,0,0,0,0,,,,,,,
TSPAN9,1819,1420,1472,1448,2011,1472,,,,,,,
BTBD7,3391,2661,2326,2189,2904,2081,,,,,,,
APBA3,1558,1543,1544,2070,2258,1753,,,,,,,
MKS1,2100,1656,1605,1888,2128,1946,,,,,,,
ABHD5,930,950,883,1159,1460,979,,,,,,,
ANOS1,0,1,1,0,9,7,,,,,,,
AKAP8L,6857,5835,5354,5590,7396,6031,,,,,,,
MBTD1,6767,4798,4602,3739,5661,4265,,,,,,,
UTP18,9328,9138,7490,9498,10612,7473,,,,,,,
RNF216,7959,6493,7258,7430,10056,7830,,,,,,,
TTC19,8637,6977,7020,6973,9805,7475,,,,,,,
PTBP1,67551,55164,49669,56374,66326,52391,,,,,,,
DPF1,3298,2947,2663,2377,2825,2085,,,,,,,
SYT7,328,230,1460,1229,811,512,,,,,,,
LARS2,7512,6755,7632,9648,9185,6912,,,,,,,
PIK3C2A,12963,9157,9970,8864,14833,10945,,,,,,,
PLAUR,430,368,247,257,522,629,,,,,,,
ANLN,10348,8282,10372,10015,12506,9899,,,,,,,
WIZ,11698,9155,10832,12164,14419,10159,,,,,,,
GPR21,6001,3758,4642,3781,6891,5312,,,,,,,
DCN,45,26,29,14,49,37,,,,,,,
QPCTL,1509,1500,1799,1625,2420,1890,,,,,,,
PPP5C,14916,12352,12441,13941,16939,13200,,,,,,,
CEP68,4551,3135,2903,2562,4195,3442,,,,,,,
MAP4K3,6700,4888,4690,5440,5518,4768,,,,,,,
ZBTB32,16,13,15,15,28,16,,,,,,,
TYROBP,1,0,0,0,0,0,,,,,,,
TMEM159,1726,1389,1166,942,1755,1488,,,,,,,
GABRA3,4,13,3,8,7,1,,,,,,,
BRCA1,11205,9831,8483,8944,13349,11183,,,,,,,
ERCC1,4945,3769,4496,4182,5833,4390,,,,,,,
CD22,23,4,20,20,12,26,,,,,,,
SEMA3B,270,218,426,283,683,477,,,,,,,
MBTPS2,8572,5908,8143,6888,11756,10338,,,,,,,
PRICKLE3,2668,2256,2129,2008,3747,3187,,,,,,,
LTF,0,0,0,1,0,0,,,,,,,
EXTL3,9830,8252,7908,8122,10714,9126,,,,,,,
NR1H4,7,2,0,4,37,51,,,,,,,
ELOVL5,18008,15091,13641,14634,29075,22244,,,,,,,
ALOX5,64,34,7,6,4,3,,,,,,,
KDM5D,32,12,18,20,24,20,,,,,,,
CALCOCO1,1383,1035,1542,1412,2269,1579,,,,,,,
UBR7,4777,3981,4039,4094,4658,3472,,,,,,,
MAP4K5,9010,7022,7365,6510,9254,7027,,,,,,,
EHD3,37,28,1,14,277,117,,,,,,,
PSMC4,3923,3861,3702,5049,5487,3571,,,,,,,
MAN2B2,992,742,910,855,1115,816,,,,,,,
SLC7A14,134,98,139,117,138,141,,,,,,,
CLDN11,1373,1510,1112,1275,1605,1048,,,,,,,
SLC25A39,16565,15590,12514,16225,21348,15102,,,,,,,
MVP,523,375,422,462,816,632,,,,,,,
NUB1,4988,4118,3931,4472,5703,4315,,,,,,,
PGM3,7187,5987,6247,5846,8383,6279,,,,,,,
RWDD2A,1118,864,1023,920,1302,954,,,,,,,
CLK1,4999,4955,3746,3913,5149,4057,,,,,,,
POLR3B,2920,2567,3250,3895,4514,2852,,,,,,,
ANGEL1,4686,3305,4513,4569,4875,3664,,,,,,,
RNF14,4355,3995,4085,4851,6301,4474,,,,,,,
DNASE1L1,2484,2150,1363,1583,1886,1342,,,,,,,
DDX11,13628,11509,11184,10698,13078,11160,,,,,,,
HEBP1,2073,1661,1889,2054,2515,1976,,,,,,,
GPRC5A,102,88,78,59,177,118,,,,,,,
MAMLD1,2015,1398,225,267,457,240,,,,,,,
CD6,95,34,57,40,75,65,,,,,,,
TACC3,21612,18311,16810,19522,25664,20435,,,,,,,
UFL1,5893,4465,3945,3607,4432,3950,,,,,,,
POLA2,7653,7444,5848,6914,8811,6449,,,,,,,
ZC3H3,2459,2218,2270,2537,2868,2121,,,,,,,
CAPN1,11590,8699,8003,7532,17522,14413,,,,,,,
ACPP,44,31,25,28,41,24,,,,,,,
MDH1,11974,11709,11022,12576,18323,13040,,,,,,,
SLC30A9,12463,10429,9093,9672,12407,9701,,,,,,,
MTMR11,66,39,79,62,229,277,,,,,,,
COX15,8675,7004,7577,8075,9449,7116,,,,,,,
CCDC88C,6849,5634,5712,5266,7347,5059,,,,,,,
YAF2,2198,1665,1544,1562,2141,1842,,,,,,,
ZMYND11,5127,4489,4172,4443,6177,4145,,,,,,,
WAS,205,161,249,205,271,227,,,,,,,
DPEP1,2,5,8,21,17,17,,,,,,,
BID,2188,2152,2288,2619,2891,1814,,,,,,,
MATR3,57516,52828,41067,47851,61252,44896,,,,,,,
NPC1L1,5,5,6,3,5,6,,,,,,,
XYLT2,3156,2240,2777,2491,3286,2717,,,,,,,
RGPD5,729,475,729,491,651,583,,,,,,,
STMN4,7,16,24,9,19,12,,,,,,,
NUDCD3,7803,6408,6397,7765,8121,6087,,,,,,,
ISL1,461,371,768,1034,1638,785,,,,,,,
CHDH,5183,3510,4835,4526,4246,4189,,,,,,,
IL20RA,159,123,77,90,60,12,,,,,,,
CLCA1,0,0,0,0,0,0,,,,,,,
CLCA4,4,5,1,0,0,0,,,,,,,
GLT8D1,4712,4118,4887,4795,5341,4196,,,,,,,
ATP2C1,14852,15109,10278,13496,15894,11313,,,,,,,
IGF1,1,1,0,10,0,0,,,,,,,
SLC38A5,16600,15799,13439,17841,17269,12410,,,,,,,
RALBP1,12580,10625,13246,13099,15579,12401,,,,,,,
RUFY3,3024,2073,4006,3400,3280,3284,,,,,,,
CNTN1,3398,2249,1151,652,1256,670,,,,,,,
SLC11A1,290,110,170,105,170,218,,,,,,,
WWTR1,12987,10050,6032,5025,6069,5429,,,,,,,
AGPS,13441,10547,11095,12301,19129,12434,,,,,,,
CXorf56,4930,4462,4112,5064,5483,3937,,,,,,,
ATP1A2,9,9,12,607,7,12,,,,,,,
TTC27,3090,2904,3054,3533,3735,2780,,,,,,,
ZNF582,123,132,99,148,227,87,,,,,,,
VSIG2,120,131,105,115,161,72,,,,,,,
PHLDB1,2939,2465,2373,1892,3758,3008,,,,,,,
MARCO,0,0,0,0,0,0,,,,,,,
CYP24A1,0,0,1,1,0,0,,,,,,,
PRDM11,542,491,211,205,653,563,,,,,,,
SYT13,39,24,28,36,45,19,,,,,,,
SNAI2,3,4,3,2,3,1,,,,,,,
CD74,35,32,21,21,32,25,,,,,,,
HGF,1,0,259,177,48,1,,,,,,,
ZRANB1,5928,5337,5133,6568,8731,6031,,,,,,,
NCDN,4622,4114,6083,7170,7607,4986,,,,,,,
ADGRA2,3752,2517,3028,2762,3036,2840,,,,,,,
ZFP64,2697,2119,2278,2283,2935,2429,,,,,,,
MNAT1,2438,2247,1987,2378,2843,2022,,,,,,,
SAMD4A,2637,1852,5301,5602,8307,6081,,,,,,,
RUNX3,4746,3249,4042,4626,5262,3490,,,,,,,
MRE11,8563,6632,7326,6761,9183,7629,,,,,,,
PLEKHB1,212,158,128,135,409,347,,,,,,,
SERPINB1,1801,1372,1112,51,254,3037,,,,,,,
CYP3A43,46,32,23,14,48,29,,,,,,,
SLC7A9,20,19,17,14,17,18,,,,,,,
SPAST,4385,3448,6994,7030,5646,3856,,,,,,,
NRXN3,31,17,49,45,21,21,,,,,,,
OSBPL5,1489,1043,1227,947,1511,1237,,,,,,,
AQR,12443,10875,9811,10495,14582,10676,,,,,,,
CPS1,1475,915,1134,695,146,131,,,,,,,
C8B,0,0,0,0,0,0,,,,,,,
FHL1,21223,16977,14559,14984,23435,16903,,,,,,,
RTFDC1,6196,5968,5281,6569,7239,5350,,,,,,,
GABRA1,8,5,5,7,8,9,,,,,,,
NLRP2,30,27,32,37,85,125,,,,,,,
SLC45A4,1461,1128,1328,1159,1334,1001,,,,,,,
RNF10,15375,13191,12009,13547,16698,14117,,,,,,,
ZNF839,2236,1882,1835,1694,2389,2009,,,,,,,
ZDHHC6,3106,3081,3387,4300,4345,2923,,,,,,,
GRAMD1B,3062,2175,293,192,898,613,,,,,,,
RNH1,4191,4184,4381,5660,5644,4197,,,,,,,
NDUFS1,9866,7982,8747,8794,12013,9083,,,,,,,
RB1CC1,11198,8655,9160,8212,11612,9669,,,,,,,
ERP44,5453,4878,5004,5481,6029,4884,,,,,,,
ALAS1,3702,3261,4407,5492,6423,4878,,,,,,,
BIRC3,121,90,176,103,230,207,,,,,,,
AKAP11,11017,7863,11591,9407,11218,8158,,,,,,,
GLRX2,847,851,951,1114,1038,736,,,,,,,
SNAPC1,1801,1553,1185,1343,1276,1057,,,,,,,
DERA,4120,3405,2862,3330,4186,3222,,,,,,,
STRAP,21578,20747,17104,20803,22187,15523,,,,,,,
ABCC2,74,43,87,42,33,94,,,,,,,
DEF6,21,35,10,13,32,19,,,,,,,
PLEKHO1,4199,3983,2793,3151,3527,2420,,,,,,,
GCLM,2402,1758,2703,3172,3331,2286,,,,,,,
UBR2,6200,4843,5348,4995,7254,5874,,,,,,,
EHD2,429,184,473,277,1415,1503,,,,,,,
DEPDC1,16281,11467,10670,10285,14728,11200,,,,,,,
CCDC28A,933,860,787,822,1041,791,,,,,,,
RRAGD,7637,6633,5155,4970,9062,6324,,,,,,,
HSF2,3135,3015,2167,2150,3252,2059,,,,,,,
PHF20,7716,5917,6305,6503,7818,6533,,,,,,,
HSD17B6,415,412,263,371,258,200,,,,,,,
NR1H3,802,678,654,770,872,737,,,,,,,
TYMP,433,345,341,265,526,568,,,,,,,
NCAPH2,7520,7052,5501,6312,7856,5721,,,,,,,
TOMM34,6908,6907,5850,6935,7953,5787,,,,,,,
SEC63,12718,8874,12316,11173,16309,12973,,,,,,,
KPNA6,13542,10229,12030,11397,16002,13460,,,,,,,
VIM,35700,34138,29811,33832,58602,46622,,,,,,,
RTEL1,1676,1403,1552,1426,1649,1123,,,,,,,
FAS,391,292,1815,1829,601,490,,,,,,,
RNASET2,2294,1877,1563,1582,2460,2386,,,,,,,
CD44,27,32,5,16,183,171,,,,,,,
KCNG1,1534,1167,1774,1238,1707,1527,,,,,,,
AGPAT4,2492,1424,924,922,2159,1750,,,,,,,
SLAMF7,24,14,13,10,28,15,,,,,,,
BTN3A1,1090,729,1601,1482,2048,1839,,,,,,,
MIPEP,2859,2540,5574,6558,4015,3080,,,,,,,
PRKCH,438,322,366,553,648,305,,,,,,,
INSRR,11,8,10,4,15,10,,,,,,,
IFNGR1,2180,2073,1635,1696,2039,1428,,,,,,,
B4GALT7,1400,1211,1376,1579,1979,1426,,,,,,,
SH2D2A,14,10,14,25,11,26,,,,,,,
VRK2,2434,2292,2292,2852,3840,2672,,,,,,,
TNFRSF1B,338,185,228,350,186,217,,,,,,,
VEZT,7338,6016,6096,6149,8495,6562,,,,,,,
POU2F2,138,106,70,90,619,2068,,,,,,,
BRD9,5996,4820,5079,5189,6821,5494,,,,,,,
SNX1,18558,16140,16049,17277,17938,12706,,,,,,,
TBPL1,2033,1787,1653,1985,1968,1364,,,,,,,
ARNTL2,4076,3083,3897,3456,5163,4242,,,,,,,
BCLAF1,38055,34824,27707,32861,44580,29532,,,,,,,
SLC39A9,8359,6836,8222,8523,9357,6579,,,,,,,
ANK1,59,24,18,94,27,29,,,,,,,
IBSP,0,0,0,0,0,0,,,,,,,
TFB1M,1174,976,1081,1049,1450,1219,,,,,,,
RABEP1,16268,13318,13759,14557,17749,12947,,,,,,,
HMGB3,29608,27209,13202,15445,41419,27303,,,,,,,
NUP160,16165,14000,11516,12257,15731,12204,,,,,,,
BAK1,3148,3399,2950,3946,4307,2818,,,,,,,
MUSK,0,0,1,1,0,0,,,,,,,
IKZF2,89,48,62,23,26,34,,,,,,,
GRN,8043,7357,7431,8086,10229,7793,,,,,,,
