gene_name,C666-1_WTa,C666-1_WTb,C666-1_WTc,C666-1_Koa_TP53,C666-1_Kob_TP53,C666-1_Koc_TP53
NISCH,791,422,746,710,835,717
STAB1,0,0,0,0,0,3
FUZ,6,13,23,17,8,12
SLC6A13,0,0,0,0,0,1
IDS,1852,1043,2392,2347,2434,2273
PRSS3,2,0,2,0,0,7
ZNF200,631,464,249,627,439,360
CD4,0,1,0,0,1,0
LRRC23,162,134,192,121,119,125
BTK,0,2,1,2,0,0
HFE,10,7,8,5,6,6
SCMH1,195,142,163,115,222,189
FYN,681,305,570,534,674,536
HIVEP2,1493,439,492,1039,652,500
FMO1,25,49,33,45,121,96
ELOA,1406,1200,1939,1593,1745,1472
LYPLA2,819,966,1693,821,1020,1281
CLCN6,611,378,422,439,420,523
MRC2,0,0,0,0,0,4
NME1-NME2,3,11,20,7,11,10
SLC6A7,0,0,0,0,0,0
TSPAN9,704,462,1031,647,796,776
APBA3,179,288,532,273,213,364
MKS1,244,231,262,237,237,241
ABHD5,293,293,183,391,254,271
ANOS1,0,0,1,1,0,0
AKAP8L,704,832,1096,653,919,941
MBTD1,800,620,157,761,579,457
UTP18,851,872,479,1047,896,743
RNF216,693,628,772,173,142,139
TTC19,1980,1590,518,2091,1642,1424
PTBP1,5723,5177,8765,5214,5929,6004
DPF1,70,48,105,56,96,112
SYT7,927,721,1287,390,811,882
LARS2,558,629,929,779,774,790
PIK3C2A,679,803,428,1197,583,654
PLAUR,63,70,55,50,57,90
ANLN,1727,1516,1241,1282,645,732
WIZ,732,652,1352,678,790,1019
RABGAP1,534,451,370,592,344,279
DCN,0,0,0,0,0,0
QPCTL,93,131,270,152,166,274
PPP5C,1048,1102,1778,1176,1213,1455
CEP68,598,545,502,721,741,606
MAP4K3,470,321,152,562,391,344
ZBTB32,31,48,98,81,37,82
TYROBP,0,0,0,0,0,0
TMEM159,1035,1460,2406,1032,1705,1598
GABRA3,0,6,1,1,0,2
BRCA1,1180,1011,1106,1601,1439,1230
ERCC1,348,335,675,343,478,517
CD22,0,0,0,0,0,0
SEMA3B,39,28,71,33,70,54
MBTPS2,929,567,509,1202,887,720
PRICKLE3,375,439,943,503,599,740
LTF,0,0,0,0,0,0
EXTL3,392,239,310,367,396,297
NR1H4,0,0,0,0,0,0
ELOVL5,1316,1288,635,1142,1262,1143
ALOX5,0,0,1,0,0,0
KDM5D,900,644,726,1018,736,706
CALCOCO1,365,333,446,289,402,336
UBR7,13,0,21,0,0,0
MAP4K5,2075,1360,1197,2470,1849,1911
EHD3,134,93,143,132,127,145
MAN2B2,915,808,1598,914,1225,1322
SLC7A14,3,4,4,5,1,1
CLDN11,16,17,4,20,12,7
SLC25A39,1455,1850,3255,1682,2440,2901
MVP,705,634,957,459,822,930
NUB1,4558,4234,2165,3376,3511,2546
PGM3,2562,870,619,1483,883,643
RWDD2A,183,152,93,235,211,192
CLK1,848,831,96,890,423,461
POLR3B,492,431,269,590,442,381
ANGEL1,449,354,555,424,539,440
RNF14,568,516,240,672,557,466
DNASE1L1,284,325,407,307,398,434
DDX11,3626,2425,3396,3494,3342,3434
HEBP1,197,231,310,168,271,308
GPRC5A,0,0,0,2,0,0
MAMLD1,357,313,398,232,329,318
CD6,23,22,27,37,42,24
TACC3,1227,1673,3066,1590,2457,2291
UFL1,1038,734,168,1396,863,624
POLA2,549,388,587,547,538,596
ZC3H3,179,352,667,217,495,470
CAPN1,897,976,2867,1056,1426,1817
ACP3,15,14,45,12,13,20
MDH1,2251,2660,1902,2920,2168,2336
SLC30A9,2035,1679,1467,2049,1624,1288
MTMR11,224,179,115,217,210,231
COX15,1754,1474,1278,2120,1799,1602
CCDC88C,1298,1323,1502,1007,1111,1415
YAF2,156,248,175,287,221,263
ZMYND11,1777,1450,1078,1619,1136,862
WAS,3,8,4,5,0,5
DPEP1,233,284,633,235,331,343
BID,1785,1928,3903,1773,2662,2769
MATR3,6179,6362,2744,6859,4813,4274
NPC1L1,3,1,2,1,0,1
XYLT2,273,302,467,239,294,418
RGPD5,1090,576,657,842,789,889
STMN4,0,1,5,1,2,3
NUDCD3,826,859,1941,520,581,618
ISL1,121,115,72,157,149,133
CHDH,2992,2403,4883,2223,2389,2301
IL20RA,0,1,0,0,1,0
CLCA1,0,0,0,0,0,0
CLCA4,0,0,0,1,0,0
GLT8D1,618,596,357,617,585,647
ATP2C1,4905,4218,1369,5101,4077,3641
IGF1,5,5,3,4,7,1
SLC38A5,4,2,6,3,5,5
RALBP1,722,641,411,734,855,582
RUFY3,636,390,287,522,508,375
CNTN1,372,178,223,442,563,387
SLC11A1,16,27,21,7,11,21
WWTR1,6,3,10,0,2,4
AGPS,1801,1145,814,2039,1517,1093
ZNF806,0,0,0,0,0,0
CXorf56,469,386,362,404,291,274
ATP1A2,0,0,0,2,0,0
TTC27,414,410,234,521,367,354
ZNF582,0,0,0,0,0,0
VSIG2,2,0,1,1,1,4
PHLDB1,209,187,324,188,239,247
MARCO,53,60,86,83,109,119
CYP24A1,0,0,0,0,0,0
PRDM11,182,78,277,164,224,197
SYT13,0,0,0,2,2,0
SNAI2,11,10,6,16,49,46
CD74,37611,55241,93381,33220,59719,69422
HGF,0,0,0,1,0,0
ZRANB1,533,434,272,531,522,495
NCDN,276,237,448,234,251,324
ADGRA2,328,321,648,209,642,604
CCT8L1P,0,0,2,0,1,0
ZFP64,283,218,491,273,322,321
MNAT1,915,1051,339,1106,981,1028
SAMD4A,663,343,538,639,683,646
RUNX3,795,868,1804,855,1021,1121
MRE11,268,158,85,306,219,122
PLEKHB1,86,98,133,110,262,225
SERPINB1,364,326,249,387,330,271
CYP3A43,0,0,0,0,0,0
SLC7A9,0,2,0,0,0,0
SPAST,332,184,208,457,379,253
NRXN3,144,171,118,145,142,177
OSBPL5,212,195,412,249,323,413
AQR,1638,1821,427,1662,1274,900
CPS1,1539,897,758,1783,1679,1274
C8B,0,0,0,0,0,0
FHL1,1,0,6,7,8,5
RTF2,1178,1398,1428,1237,1337,1335
GABRA1,0,0,0,0,0,0
NLRP2,3,0,1,1,0,0
SLC45A4,208,136,277,292,259,219
RNF10,1553,1970,2022,1739,2405,2087
ZNF839,238,217,208,148,134,162
ZDHHC6,772,710,100,606,462,421
GRAMD1B,17,11,4,5,15,20
RB1CC1,904,844,700,1181,864,639
ERP44,924,1048,279,1220,1241,1087
ALAS1,716,823,1366,790,930,805
BIRC3,4845,3771,659,4327,3796,2920
AKAP11,1042,661,95,1776,1333,949
GLRX2,63,94,60,126,108,87
SNAPC1,174,213,51,212,219,185
DERA,878,784,689,890,745,707
STRAP,2511,2795,1073,3238,2764,2396
ABCC2,58,24,23,76,17,18
DEF6,145,158,193,86,138,190
PLEKHO1,145,138,288,182,232,372
GCLM,837,773,374,1630,1298,1025
UBR2,449,567,185,631,538,472
EHD2,6,9,9,7,1,16
DEPDC1,883,630,155,1504,911,866
CCDC28A,64,111,54,90,86,93
RRAGD,726,648,484,505,671,501
HSF2,572,754,306,677,628,445
PHF20,636,671,487,627,630,714
HSD17B6,19,19,13,45,43,70
NR1H3,167,255,347,115,159,204
TYMP,2229,2476,4943,1496,2956,3583
NCAPH2,609,711,1263,654,942,1094
TOMM34,781,773,1010,889,947,1041
SEC63,1410,1107,156,1248,1255,936
KPNA6,1868,1680,1984,1953,1972,1773
VIM,922,1289,1651,1517,2285,2308
RTEL1-TNFRSF6B,134,87,106,55,91,135
FAS,1721,1651,884,1956,1397,1207
RNASET2,398,437,494,354,430,506
CD44,937,746,1165,864,1092,977
KCNG1,15,6,8,6,5,6
AGPAT4,107,92,195,215,478,280
SLAMF7,0,2,7,3,8,3
BTN3A1,164,135,142,163,175,165
MIPEP,527,533,477,1111,902,834
PRKCH,937,745,731,791,1100,919
INSRR,131,134,154,35,50,62
IFNGR1,1177,754,178,876,689,607
B4GALT7,167,167,384,177,160,211
SH2D2A,44,38,94,42,48,59
VRK2,3191,2617,1165,3693,1844,1437
TNFRSF1B,506,491,865,340,496,535
VEZT,1873,1538,591,2223,1448,1140
POU2F2,29,3,4,7,0,2
BRD9,573,349,428,435,336,386
SNX1,1112,915,1252,1156,1190,1670
TBPL1,449,531,204,541,489,431
ARNTL2,3099,1814,770,2620,1909,1350
BCLAF1,4877,3135,1033,5227,4138,3028
SLC39A9,2194,1516,1772,2635,2009,1712
ANK1,14,6,9,20,23,31
IBSP,0,0,0,0,0,0
TFB1M,159,213,135,270,210,246
RABEP1,1937,1462,946,1994,1591,1465
HMGB3,1801,1728,1268,1852,1225,1032
NUP160,1764,1413,1000,2003,1570,1564
BAK1,138,180,320,171,187,241
MUSK,0,0,0,0,1,0
IKZF2,77,66,42,52,80,53
GRN,3348,3936,8893,2811,5061,5988
FAM13B,767,396,133,831,437,357
ARHGAP31,1208,1084,1934,1007,1515,1285
CENPQ,118,107,6,174,125,104
SARS1,1229,1227,1763,1511,1364,1348
RANBP3,885,758,1714,1013,1177,1405
ARID4A,669,860,139,1433,1214,819
EIPR1,366,349,599,479,407,465
PNPLA6,491,577,1242,498,908,1148
IFT88,285,294,76,387,326,287
ALG1,614,507,846,739,551,567
ZCCHC8,569,742,390,660,577,568
ABCF2,1997,1670,3174,1819,1526,1331
CHPF2,952,801,1464,531,697,818
LRRC7,27,5,0,2,15,5
FUT8,1117,733,792,1729,1062,978
UBA6,815,691,1335,2381,1695,1162
GAB2,306,293,424,334,429,424
ATP6V0A1,882,816,1441,1016,1316,1424
PIAS1,1199,832,1195,1163,1246,935
SLC4A7,1169,855,201,1280,1189,742
APBA2,0,0,0,0,0,0
MAP2K3,369,551,952,523,766,985
EFCAB1,0,1,3,0,0,0
TMSB10,5701,8576,14620,5975,8284,10442
ASTE1,184,104,63,154,109,124
RNF19A,1415,882,711,1207,1182,1088
PEX3,166,240,35,209,163,124
GABARAPL2,539,770,624,548,715,707
MYOC,0,0,0,0,0,0
SH3YL1,1806,1647,1128,1416,1517,1295
FAM136A,1233,1176,818,1359,1049,1005
VCL,3386,2693,2912,3218,3861,3486
DEPDC1B,317,237,125,379,247,171
DAPK2,64,19,75,91,106,67
NSMAF,1512,1095,817,1543,922,882
ADSS2,823,922,219,936,630,552
STAP1,1,0,0,2,0,0
TIMP2,514,504,514,649,988,976
RFC1,2013,1738,912,2354,2135,1783
TBC1D23,612,542,163,761,463,377
CUL3,696,1031,126,747,636,689
MYOM2,0,0,0,0,0,3
OTC,0,0,0,0,0,0
CYP46A1,13,9,9,18,15,15
ZZZ3,782,697,277,945,649,413
SLC18A1,2,1,0,4,2,6
USP2,80,80,145,87,165,120
CASR,0,2,4,2,11,0
TUBG2,98,54,73,74,58,92
RPL26L1,405,489,507,550,387,356
FLT4,7,6,7,9,2,8
NSUN2,3062,2871,2127,3135,2209,2400
FBXO42,429,343,558,460,369,413
MFAP3,330,158,135,509,345,266
MRI1,295,327,448,291,370,391
METTL1,181,163,182,147,132,177
HOXC8,6,0,2,3,1,2
AGA,171,90,83,150,106,146
PI4K2B,963,644,273,1316,864,844
BOD1L1,934,573,248,679,519,389
MAT2B,803,874,502,887,739,620
TLL1,41,30,35,26,5,6
EDC4,1142,1271,2403,1269,1740,1658
TRIO,1833,1175,1167,1418,1134,1305
VCAN,7,24,4,3,1,3
CLEC16A,3012,3047,4244,2365,3377,3372
MSR1,192,91,95,309,103,119
CDH1,365,293,237,306,232,235
MTREX,1134,979,455,2160,1276,1026
DNAH5,22,21,18,40,17,27
ZFYVE16,683,695,61,824,542,409
RIPOR1,2743,3055,5877,2443,3542,4693
C6,0,0,0,0,0,0
RAI14,7037,5316,6466,4732,3734,3323
SOX30,0,0,0,0,0,0
PNKP,427,259,346,310,289,671
BEST2,0,0,3,0,0,3
PHLPP2,367,275,308,346,335,247
SPDL1,1038,805,576,1359,756,621
STAU2,632,577,430,946,747,616
SLC66A1,232,196,453,208,268,316
CTNS,205,254,431,182,249,237
RTN4R,134,122,350,159,236,272
PHF23,631,713,1226,623,916,695
CDH10,0,0,0,0,0,0
INPP4A,525,364,699,573,852,594
RAB27B,1458,665,598,1832,831,607
PSMA4,4362,4814,519,5350,3227,2639
LSG1,1242,1035,893,1422,813,748
PARP3,447,346,540,452,424,439
TNC,0,0,3,24,27,29
THAP3,144,165,220,170,217,229
RIPOR3,8,2,17,3,2,3
TDP1,596,523,756,643,654,654
AIFM2,51,27,28,15,6,25
C2orf83,6,5,3,1,3,2
SPATA7,110,76,42,92,72,57
MED17,254,244,130,482,388,281
RETSAT,526,633,784,530,580,592
CAPG,877,1314,2093,942,1210,1538
AP2S1,801,904,1636,1082,1091,1252
USH2A,32,19,4,21,5,13
ZPBP,0,0,0,0,0,0
TG,103,74,75,49,63,45
ADAM28,105,56,12,15,38,13
BARX2,1,0,1,1,0,0
DCUN1D1,1245,821,327,1541,1205,677
JADE2,668,358,957,581,672,644
ZIC2,218,226,185,255,324,369
LCP2,1,1,3,5,3,1
TRIT1,476,406,262,413,333,249
ADRB1,15,20,17,16,25,20
GUCA2B,0,0,0,0,0,0
CUL7,309,263,446,264,314,345
CTNNA1,6215,5843,7549,6097,6834,5739
PHKA2,509,367,451,399,428,368
CNTLN,571,453,83,648,457,400
EPHA3,2,1,1,21,19,13
HSPA5,8135,9861,7509,11287,14764,12706
DSG2,4210,3183,1972,5083,4500,3654
GEMIN8,158,92,121,152,151,124
OFD1,103,126,27,147,110,94
GPM6B,31,6,1,41,4,30
MAGEC2,0,0,0,0,0,0
PREX2,2,0,0,0,0,0
WDR37,172,146,202,211,213,137
YTHDC2,1090,927,232,1302,754,608
CTPS2,0,0,0,0,0,0
ATP6V1H,586,648,539,840,884,848
POLR2B,3929,3102,817,4250,3139,2547
FAM214A,166,207,44,208,203,144
ARAP2,580,299,36,431,258,218
TPR,6222,4670,2537,5994,3497,3323
CP,1,4,5,0,0,0
KATNIP,508,466,602,455,507,510
DTNBP1,145,133,170,146,165,142
XK,0,0,0,0,0,0
ANO2,0,0,0,0,3,1
C12orf4,452,245,227,517,282,207
SCML1,296,291,97,508,442,371
WWC3,433,294,211,488,339,345
ARHGAP6,0,0,0,2,9,2
FAM184B,2,5,7,1,1,4
MAP4,6933,6228,9837,7320,9101,8866
GOPC,1237,1395,304,1554,1169,952
ROS1,0,0,0,6,1,3
USP28,378,452,347,452,417,365
HDAC9,69,41,37,87,53,30
TSPAN17,607,628,1081,680,870,802
NOP16,556,517,704,592,430,613
CC2D2A,126,93,131,128,140,116
RRM2B,865,684,245,613,368,341
ZNF800,671,451,198,446,333,347
TNFRSF17,0,0,0,0,0,0
SNX29,421,236,536,290,280,371
LMO3,30,3,0,1,2,0
MRPS10,769,896,293,910,901,822
GUCA1A,0,0,0,0,0,0
RSF1,1259,920,557,1610,1171,549
VPS13D,1024,1195,882,985,1018,1021
CELF2,745,677,826,1026,1206,830
FAM120A,1952,2079,3083,2446,2235,2199
R3HDM1,1000,673,793,988,1007,791
COL9A2,64,61,65,19,34,20
KITLG,1500,937,367,1116,718,587
ERCC8,144,112,38,123,118,72
ADAMTS6,23,3,3,2,3,3
H6PD,1975,1315,2712,1456,1890,1787
VAMP3,1151,1112,488,1416,1519,1308
PER3,1349,918,869,1216,918,976
UTS2,0,0,0,3,0,0
TNFRSF9,1502,1093,974,1546,1340,1138
EPN3,395,297,490,254,513,484
LTBP1,719,541,817,648,1006,840
RCN1,6452,6123,3407,5123,4524,3954
ELN,1,0,2,0,0,0
RFC2,1464,1554,2299,1039,1180,1287
ARID1B,1049,1040,1589,1045,1056,885
CLPTM1L,776,996,1238,888,1266,1197
NEDD4L,3343,1805,2376,2851,3014,2486
FOXP3,13,8,24,28,17,11
PPP1R3F,51,53,55,45,42,41
HEXB,1617,1689,622,1561,1415,1445
PTCD2,316,288,253,560,321,284
NEXMIF,0,0,0,0,0,0
JKAMP,1270,1362,250,1727,1225,1358
DKK3,0,0,0,0,0,0
ARHGEF5,1232,1097,1831,909,1075,899
NFE2L3,5646,5186,452,3440,3095,2505
MCUR1,949,949,421,943,1128,903
LIMA1,457,376,163,359,357,304
LETMD1,776,703,701,706,663,663
SLC4A8,35,24,29,21,12,30
LAMC3,12,37,80,19,36,70
PTGER3,2,1,0,3,3,3
TNIP3,0,0,0,0,0,0
MAPK9,1958,1334,1210,1820,1661,1339
COL23A1,0,0,0,0,0,0
BCAR1,1134,831,2190,1097,1583,1893
FAM160A2,352,258,415,308,263,565
HERPUD1,525,661,1233,970,954,1217
HOMER3,198,303,454,204,274,367
RAD51,621,597,612,631,676,592
POLQ,1053,860,183,1134,729,647
PIK3CB,958,779,872,935,1060,832
CYBA,654,1020,2408,554,1007,1527
THOC3,1794,1832,2285,2028,1990,1915
HEBP2,259,302,233,286,393,289
MPHOSPH9,293,200,107,377,294,313
PLEKHA5,640,582,189,659,510,426
PRSS8,1688,1481,3085,987,1643,2310
SIKE1,1425,830,1173,1588,1274,1295
RRP12,736,755,1218,740,713,755
FNIP2,385,270,299,491,326,246
MSMO1,2501,2142,563,1985,1587,1410
TTC17,742,717,329,764,683,683
ALX4,0,0,0,0,0,1
FSTL4,65,70,99,68,71,90
FOXN3,730,477,747,736,823,626
METTL24,0,0,0,0,0,0
AKR7A2,416,419,719,457,500,627
MRTO4,1023,921,1379,1248,842,861
NNAT,7,2,4,10,4,1
USE1,102,95,147,86,77,103
MCF2L2,37,16,79,38,7,45
NRIP2,18,10,14,7,9,12
LAMA3,1150,944,832,1636,1775,1509
AP5M1,2906,2701,1086,4053,2905,2345
ANAPC4,824,454,73,660,413,325
KCNQ1,74,94,225,88,51,95
TRAPPC3,822,932,963,847,764,924
THRAP3,5192,4060,3669,5182,4995,4100
PHPT1,309,525,1009,270,343,452
ENTPD2,148,140,215,98,217,276
LY75,1560,1091,888,1776,1681,1338
ARID4B,1142,698,247,1293,889,653
OPN3,320,276,133,89,111,119
SDCCAG8,77,27,46,115,82,11
PTPRN,0,2,2,0,2,0
