gene_name,dH1f_sgControl_Rep1,dH1f_sgControl_Rep2,dH1f_sgControl_Rep3,dH1f_sg_AF10_Rep1,dH1f_sg_AF10_Rep2,dH1f_sg_AF10_Rep3
MYCBP2,1186,1452,775,1101,897,887
FBXL3,892,953,712,842,605,723
ITGAL,20,17,0,16,19,8
PDK2,330,443,321,300,248,275
ITGA3,4219,5700,4279,3249,2660,2593
ZFX,601,544,287,623,298,376
LAMP2,3690,3933,2809,3147,2592,2835
ITGA2B,35,4,1,34,2,3
ASB4,4,2,5,28,2,4
GDE1,1581,1997,1271,1718,1432,1611
REX1BD,348,427,388,259,300,271
CRLF1,1721,1652,1128,1380,1271,1255
OSBPL7,128,194,144,202,150,184
TMEM98,880,865,600,573,515,538
YBX2,0,5,1,1,1,3
KRT33A,0,0,0,0,0,0
MAP3K14,238,243,139,208,149,137
ABCC8,7,15,1,0,0,5
CACNG3,0,0,0,0,0,0
TMEM132A,422,485,315,444,322,417
AP2B1,3267,4242,2734,3591,2915,3099
TAC1,11,9,13,9,1,7
ZNF263,430,558,399,422,322,399
CX3CL1,20,28,19,20,21,12
SPATA20,682,826,535,497,423,366
CACNA1G,4,17,4,2,8,20
TNFRSF12A,1755,1833,1453,1209,1178,1172
DLX6,1,0,0,0,2,0
MAP3K9,169,166,117,142,113,125
RALA,1645,2035,1457,1917,1528,1728
BAIAP2L1,68,50,48,32,29,35
KDM7A,309,328,173,271,158,222
ETV1,279,369,323,259,204,208
AGK,273,429,394,451,382,500
ALDH3B1,309,404,297,319,275,286
TTC22,27,34,27,40,33,31
PHTF2,819,734,557,824,508,632
CCL26,7,7,14,6,5,8
FARP2,650,674,482,657,710,579
USH1C,14,15,25,13,12,18
GGCT,935,1046,606,792,704,784
DBF4,323,411,257,401,383,301
TBXA2R,81,84,76,57,65,70
IFRD1,1546,1924,1184,1549,1180,1369
LGALS14,0,0,0,0,0,2
COX10,220,263,144,260,242,239
GTF2IRD1,462,467,181,282,311,198
PAF1,954,1411,925,991,959,909
VPS41,1210,1355,927,1708,1177,984
ARHGAP44,35,49,41,21,22,24
ELAC2,1181,1436,1101,1170,1216,1071
SCIN,17,88,12,24,20,51
ARSD,330,306,195,331,160,160
PNPLA4,205,246,204,216,217,180
MYH13,0,0,0,1,0,0
ADIPOR2,1453,1819,1161,1676,1318,1532
CDKL3,69,73,62,54,47,83
UPP2,1,0,1,0,0,2
MARK4,381,504,290,473,264,377
PROM1,3,10,1,12,3,1
CCDC124,703,978,696,758,770,709
CEACAM21,1,2,3,2,1,2
PAFAH1B1,3044,3265,2314,3228,2773,2831
NOS2,0,0,0,1,0,0
DNAH9,14,7,3,4,1,3
KIAA0100,2630,4714,3101,3710,2715,2684
SLC13A2,0,0,0,0,1,1
GAS7,186,272,162,301,141,152
TRAPPC6A,76,101,85,85,85,89
MATK,31,18,24,31,28,24
CEACAM7,7,7,11,14,14,28
CD79B,0,0,0,0,1,1
SCN4A,1,3,4,28,2,27
ST7L,315,315,224,366,220,353
TKTL1,0,0,0,0,0,0
PAX6,7,2,11,1,1,2
RPUSD1,358,455,320,395,355,385
RHBDF1,1003,1301,620,815,583,582
LUC7L,811,1059,567,812,595,596
CACNA2D2,13,7,5,15,11,17
BAIAP3,5,9,7,8,18,5
TSR3,852,1043,861,764,782,742
PIGQ,498,1013,361,420,451,434
CRAMP1,312,363,190,346,219,258
TEAD3,323,352,225,339,256,270
SELE,0,0,0,1,0,0
DNAJC11,1281,1486,917,1492,1155,1106
FMO3,9,17,5,4,8,5
MYLIP,215,269,148,218,136,167
NOX1,0,0,0,0,0,0
PSMB1,2821,2989,2157,2524,2272,2427
SYN1,43,52,42,69,47,46
JARID2,395,419,270,493,435,415
CDKL5,199,252,110,189,252,139
CAMK1G,3,3,1,3,0,6
CDK11A,344,438,284,390,343,297
NADK,1367,1471,985,1524,1228,1257
TFAP2B,0,0,0,0,1,0
TFAP2D,0,1,0,0,0,0
DLEC1,34,46,43,60,58,41
CYTH3,955,1089,751,886,754,812
ADAM22,32,61,15,32,59,14
SYPL1,1594,1918,1167,1326,1073,1169
CYB561,98,170,84,112,80,94
SPAG9,1910,2308,1487,2057,1427,1662
CELSR3,114,113,86,78,92,90
AASS,109,171,94,180,97,127
PLEKHG6,15,6,5,8,21,16
SS18L2,243,311,180,237,222,214
MPND,103,89,95,108,59,93
MGST1,2197,2426,1762,1387,1136,1419
CRY1,430,485,342,476,376,416
PGLYRP1,0,0,0,0,0,0
NFIX,1458,1879,1286,1580,1134,1270
ST3GAL1,736,1152,783,1125,883,875
MMP25,4,13,12,16,26,21
IL32,506,656,481,704,769,739
PKD1,1743,1917,1096,1780,1136,1002
MAPK8IP2,45,60,41,59,66,45
MED24,569,857,489,808,760,666
RHOBTB2,227,253,173,253,173,181
HEATR5B,326,521,300,460,293,329
SEC62,4122,4295,2498,3111,2836,2997
RPS20,14917,16030,11279,11373,11890,11640
CSDE1,11281,13782,10176,13224,9805,11523
UBE3C,1780,2103,1517,2097,1456,1675
REV3L,490,579,354,414,286,454
TENM1,3,3,2,4,1,0
PAX7,0,0,0,0,0,0
MASP2,3,3,3,6,4,2
IYD,18,26,0,20,16,3
FAM76A,204,210,103,156,136,147
TRAF3IP3,7,1,3,12,3,0
POMT2,453,450,496,387,343,381
VTA1,1670,1849,1287,1733,1397,1722
MLXIPL,10,7,8,3,7,5
BAZ1B,1870,2160,1473,2170,1561,1852
RANBP9,1189,1361,882,1175,923,906
ETV7,8,12,6,7,6,5
SPRTN,270,286,194,318,232,285
EEF1AKNMT,691,747,543,799,606,622
DYRK4,240,290,237,228,184,230
ZNF207,2385,2565,1658,2381,1963,2151
UQCRC1,2001,2588,1814,2217,2156,1999
STARD3NL,642,658,535,610,533,585
CD9,3167,3139,2389,2546,2466,2430
HHATL,0,0,0,0,0,0
NCAPD2,1124,1479,950,1486,1077,1235
IFFO1,365,490,297,332,329,252
GIPR,27,54,41,35,38,13
PHF7,96,128,59,103,56,65
SEMA3G,71,94,52,188,189,156
NISCH,1024,1424,808,1213,986,874
STAB1,10,5,19,4,0,16
FUZ,175,212,155,183,165,160
SLC6A13,1,7,0,2,3,0
IDS,1939,1919,1600,1924,1295,1520
PRSS3,0,0,0,0,0,0
ZNF200,172,214,122,214,147,153
CD4,1,18,5,1,2,4
LRRC23,83,93,77,82,86,82
BTK,0,0,0,0,1,0
HFE,289,218,204,323,151,238
SCMH1,469,487,351,347,253,261
FYN,956,1284,978,1230,1059,948
HIVEP2,404,474,320,387,271,330
FMO1,0,3,3,1,2,0
ELOA,1123,1395,899,1335,1075,1100
LYPLA2,835,1016,693,780,859,734
CLCN6,281,317,264,288,210,212
MRC2,5843,6445,4741,5518,4808,4405
NME1-NME2,511,680,726,576,579,691
SLC6A7,0,0,1,2,7,2
TSPAN9,903,1118,754,1237,997,985
APBA3,220,220,165,170,179,163
MKS1,143,175,105,111,109,136
ABHD5,230,288,221,210,189,192
ANOS1,350,431,253,406,346,363
AKAP8L,568,855,504,795,543,641
MBTD1,286,367,237,365,282,372
UTP18,828,1018,719,713,686,668
RNF216,832,979,665,1018,710,798
TTC19,752,798,500,759,555,581
PTBP1,3514,3841,3031,3613,3017,3251
DPF1,35,42,28,37,24,28
SYT7,92,135,76,102,73,65
LARS2,429,577,391,515,509,460
PIK3C2A,843,960,705,1267,670,974
PLAUR,393,540,320,349,289,302
ANLN,1346,1448,1184,1710,1046,1174
WIZ,775,892,648,868,645,671
RABGAP1,987,1565,844,1473,1060,1395
DCN,797,684,587,1126,901,935
QPCTL,185,212,140,217,192,198
PPP5C,989,1161,783,1048,908,884
CEP68,253,283,194,326,200,206
MAP4K3,516,588,356,600,415,432
ZBTB32,20,17,11,15,20,23
TYROBP,0,1,0,0,0,0
TMEM159,338,353,197,262,221,210
GABRA3,2,1,0,1,0,14
BRCA1,309,331,210,392,266,300
ERCC1,903,927,665,632,590,606
CD22,1,8,0,10,4,2
SEMA3B,498,648,392,481,414,372
MBTPS2,566,591,453,659,469,559
PRICKLE3,105,136,90,171,135,130
LTF,66,92,57,95,73,115
EXTL3,810,1070,511,673,679,690
NR1H4,8,9,4,7,4,9
ELOVL5,2684,2939,1863,2710,2118,2371
ALOX5,0,5,1,1,3,0
KDM5D,501,666,271,625,491,346
CALCOCO1,1104,1426,1079,1085,988,1012
UBR7,8,0,0,21,0,0
MAP4K5,1227,1423,878,1342,865,1052
EHD3,481,634,468,634,534,539
MAN2B2,831,1039,757,938,732,715
SLC7A14,47,76,62,48,13,10
CLDN11,559,615,374,366,304,299
SLC25A39,1396,1632,1107,1358,1296,1184
MVP,2441,3203,2439,1967,1983,2068
NUB1,978,1194,915,1122,720,881
PGM3,1780,2117,1508,1875,1569,1531
RWDD2A,209,261,160,191,172,170
CLK1,708,683,378,575,422,353
POLR3B,395,420,310,444,379,415
ANGEL1,259,269,211,329,238,264
RNF14,883,1017,780,1087,831,992
DNASE1L1,770,845,653,692,599,635
DDX11,425,632,362,543,329,300
HEBP1,850,882,625,484,491,474
GPRC5A,512,675,398,378,249,243
MAMLD1,71,65,45,66,51,45
CD6,0,6,2,2,0,0
TACC3,721,866,562,731,687,694
UFL1,574,663,443,654,460,560
POLA2,322,426,162,289,348,248
ZC3H3,156,242,161,184,181,163
CAPN1,1002,1105,796,821,776,759
ACP3,0,1,3,0,1,2
MDH1,2502,2478,1797,2143,1851,1918
SLC30A9,1268,1430,1012,1440,1045,1264
MTMR11,164,221,117,191,150,180
COX15,526,692,400,660,469,508
CCDC88C,102,83,80,111,41,139
YAF2,395,457,266,268,232,243
ZMYND11,1238,1492,1044,1286,918,1082
WAS,3,1,1,4,6,9
DPEP1,6,8,8,25,22,9
BID,468,417,426,392,326,395
MATR3,5526,5785,4184,5368,3563,4748
NPC1L1,0,5,0,2,3,2
XYLT2,411,573,363,394,369,349
RGPD5,126,211,112,246,213,30
STMN4,1,1,1,0,1,0
NUDCD3,1043,1389,963,1229,983,1126
ISL1,4,12,9,6,2,21
CHDH,21,24,9,32,34,40
IL20RA,3,4,3,4,12,9
CLCA1,0,0,0,0,0,0
CLCA4,0,0,0,0,0,0
GLT8D1,1332,1591,883,1360,1076,1046
ATP2C1,2562,2745,1447,2614,2022,1806
IGF1,10,15,6,9,25,13
SLC38A5,881,1334,733,964,813,864
RALBP1,2063,2396,1768,1881,1646,1692
RUFY3,396,529,227,405,238,331
CNTN1,120,57,60,206,144,116
SLC11A1,27,129,19,19,25,6
WWTR1,2672,2970,2119,2274,1773,2008
AGPS,1050,1074,905,1412,1057,1238
ZNF806,0,1,0,0,0,0
CXorf56,390,474,312,386,307,297
ATP1A2,5,6,1,12,4,6
TTC27,601,698,411,515,442,470
ZNF582,32,45,29,45,50,49
VSIG2,3,5,3,4,3,2
PHLDB1,2661,3112,1871,3074,2476,2353
MARCO,0,0,1,3,0,1
CYP24A1,7,0,1,1,0,8
PRDM11,118,141,94,111,93,108
SYT13,3,4,1,5,3,3
SNAI2,1586,1489,1203,1641,1251,1461
CD74,41,83,48,12,6,7
HGF,175,192,176,133,80,148
ZRANB1,782,927,578,744,634,726
NCDN,782,909,685,994,803,749
ADGRA2,1020,1152,936,1729,1344,1314
CCT8L1P,0,0,0,0,0,0
ZFP64,447,624,398,554,451,441
MNAT1,487,524,438,524,370,450
SAMD4A,775,860,427,937,640,758
RUNX3,2,2,2,0,1,6
MRE11,424,448,357,521,399,379
PLEKHB1,11,12,20,9,11,30
SERPINB1,619,775,482,593,560,589
CYP3A43,5,8,1,2,10,4
SLC7A9,14,20,5,5,8,5
SPAST,430,494,284,433,349,353
NRXN3,33,25,23,73,45,36
OSBPL5,237,322,218,213,177,199
AQR,740,941,657,1003,726,855
CPS1,70,85,61,103,80,135
C8B,0,0,0,0,0,0
FHL1,2571,2858,1974,2403,1911,2133
RTF2,1612,1927,1350,1540,1425,1459
GABRA1,6,2,6,4,10,3
NLRP2,7,8,5,6,0,3
SLC45A4,126,154,168,287,191,222
RNF10,1810,2548,1212,1978,1814,1685
ZNF839,120,205,101,123,97,98
ZDHHC6,581,701,436,590,482,443
GRAMD1B,72,82,55,86,40,86
RB1CC1,1587,1794,1120,1835,1167,1557
ERP44,1373,1561,988,1359,1257,1298
ALAS1,537,660,438,663,546,626
BIRC3,40,42,19,54,12,21
AKAP11,1034,1162,761,1154,726,874
GLRX2,369,382,259,272,271,285
SNAPC1,451,460,350,383,318,334
DERA,530,536,345,540,477,454
STRAP,3850,4319,2479,3383,3263,3383
ABCC2,27,86,43,16,9,8
DEF6,57,75,43,58,61,60
PLEKHO1,533,641,436,487,350,331
GCLM,803,716,525,872,725,677
UBR2,832,834,633,931,653,744
EHD2,3256,4232,3035,3651,2739,2961
DEPDC1,567,472,289,542,353,461
CCDC28A,157,193,124,178,154,114
RRAGD,197,269,168,297,313,246
HSF2,261,341,233,254,213,280
PHF20,716,738,514,668,470,557
HSD17B6,4,5,6,28,20,13
NR1H3,99,128,97,88,74,88
TYMP,131,140,125,60,86,64
NCAPH2,363,508,300,377,294,279
TOMM34,819,1041,678,803,727,803
SEC63,3113,3748,2311,3626,3026,3059
KPNA6,1813,2271,1356,2041,1577,1831
VIM,68483,81610,54845,51657,45293,48879
RTEL1-TNFRSF6B,105,78,43,58,55,43
FAS,225,230,173,133,74,107
RNASET2,467,502,443,584,532,439
CD44,9115,10433,7186,7846,6364,6486
KCNG1,450,482,373,506,384,423
AGPAT4,179,217,137,228,316,181
SLAMF7,175,2312,653,2524,1378,3036
BTN3A1,450,593,344,462,294,373
MIPEP,415,351,366,246,331,276
PRKCH,27,45,29,66,42,28
INSRR,5,6,0,2,2,1
IFNGR1,987,995,719,900,808,751
B4GALT7,374,418,347,325,306,345
SH2D2A,2,0,1,6,3,1
VRK2,299,367,266,412,327,333
TNFRSF1B,13,11,10,8,7,3
VEZT,901,1221,738,1174,798,818
POU2F2,51,56,38,47,31,30
BRD9,565,765,504,611,567,539
SNX1,1464,1773,1210,1468,1236,1306
TBPL1,393,370,281,381,372,365
ARNTL2,259,297,303,223,189,192
BCLAF1,2865,3190,2206,3341,2141,2663
SLC39A9,1212,1410,959,1402,1069,1122
ANK1,42,67,31,39,38,37
IBSP,0,0,0,0,0,0
TFB1M,291,288,171,238,216,195
RABEP1,1427,1613,1208,1739,1142,1377
HMGB3,903,857,489,897,627,841
NUP160,985,1202,750,1143,861,881
BAK1,843,928,664,847,776,853
MUSK,0,0,0,1,0,0
IKZF2,15,21,45,28,19,80
GRN,5559,7454,4879,4367,4321,4099
FAM13B,814,796,534,824,597,657
ARHGAP31,779,974,737,1078,830,946
CENPQ,187,152,117,149,120,129
SARS1,5832,6833,4791,6111,5241,5964
RANBP3,612,772,586,819,634,674
ARID4A,686,596,245,331,278,266
EIPR1,445,512,364,474,469,454
PNPLA6,1225,1351,840,947,1000,667
IFT88,276,348,221,250,202,195
ALG1,692,801,603,638,640,662
ZCCHC8,396,467,270,430,331,335
ABCF2,1164,1554,1043,1432,1339,1346
CHPF2,1678,1705,1140,1408,1183,1142
LRRC7,6,4,3,15,8,16
FUT8,572,753,492,586,521,658
UBA6,895,1039,749,1054,833,1263
GAB2,275,418,248,257,192,227
ATP6V0A1,705,800,361,774,652,431
PIAS1,480,609,398,533,442,542
SLC4A7,1574,1140,807,1128,639,922
APBA2,28,66,34,67,87,117
MAP2K3,651,749,602,580,484,468
EFCAB1,8,10,3,2,0,3
TMSB10,20334,21297,14788,12798,13267,12466
ASTE1,111,106,81,97,77,108
RNF19A,610,745,393,691,583,523
PEX3,311,367,253,264,229,300
GABARAPL2,1419,1606,1094,1332,1262,1276
MYOC,0,0,0,0,0,0
SH3YL1,383,428,269,422,293,311
FAM136A,946,1229,822,1025,969,902
VCL,4369,5668,3579,5473,4235,4503
DEPDC1B,98,138,83,121,84,107
DAPK2,38,48,63,40,40,27
NSMAF,1031,1250,977,1182,741,847
ADSS2,1509,1710,1155,1450,1138,1201
STAP1,0,0,0,0,0,0
TIMP2,12219,13889,8628,11545,8781,9380
RFC1,1037,1293,895,1118,852,1025
TBC1D23,1140,1147,652,1133,800,926
CUL3,1591,1988,1015,1450,1362,1260
MYOM2,58,56,21,51,25,43
OTC,0,0,0,0,0,0
CYP46A1,31,19,20,12,8,11
ZZZ3,951,1060,654,951,714,908
SLC18A1,0,2,1,0,0,0
USP2,41,52,25,75,55,44
CASR,0,0,0,0,0,0
TUBG2,212,242,141,200,158,129
RPL26L1,598,664,427,568,607,536
FLT4,10,3,0,5,4,22
NSUN2,1610,1891,1238,1672,1442,1383
FBXO42,412,569,419,522,409,423
MFAP3,362,305,240,367,270,344
MRI1,381,313,253,429,260,251
METTL1,238,417,200,297,298,255
HOXC8,144,161,91,103,64,82
AGA,324,351,271,370,323,275
PI4K2B,454,477,345,368,275,321
BOD1L1,1276,1577,816,1270,1152,1299
MAT2B,1109,1199,876,1008,765,876
TLL1,51,66,72,54,31,33
EDC4,860,998,576,721,575,501
TRIO,2194,3033,1296,2443,1410,1793
VCAN,6019,7148,4308,8729,6720,7815
CLEC16A,385,473,375,496,368,345
MSR1,45,40,39,64,29,42
CDH1,106,157,78,243,200,210
MTREX,1431,1890,1308,1897,1268,1734
DNAH5,28,35,12,13,17,36
ZFYVE16,847,588,372,706,727,662
RIPOR1,1189,1411,1100,1355,873,910
C6,0,0,1,0,0,0
RAI14,3310,3446,2808,4156,3314,3514
SOX30,1,2,2,0,0,1
PNKP,240,334,153,273,202,235
BEST2,57,76,37,54,58,64
PHLPP2,285,353,205,322,232,265
SPDL1,583,697,490,769,486,542
STAU2,470,473,316,519,440,375
SLC66A1,330,396,226,253,268,256
CTNS,315,372,250,337,258,294
RTN4R,130,153,94,122,154,129
PHF23,814,995,722,836,791,833
CDH10,1,1,1,2,0,1
INPP4A,409,483,373,684,389,432
RAB27B,155,169,136,122,84,130
PSMA4,3501,3955,2461,3299,3075,3403
LSG1,759,790,506,781,569,648
PARP3,155,137,114,129,103,88
TNC,4235,4903,3627,3537,2682,2752
THAP3,207,201,159,185,138,163
RIPOR3,20,29,18,15,10,16
TDP1,234,217,174,230,168,206
AIFM2,185,250,166,158,135,120
C2orf83,4,3,4,3,4,5
SPATA7,120,142,96,102,71,70
MED17,506,539,307,486,490,405
RETSAT,743,815,509,700,698,699
CAPG,1548,1735,1352,765,846,901
AP2S1,2086,2413,1752,1690,1759,1593
USH2A,36,17,1,58,14,14
ZPBP,0,0,0,0,0,0
TG,49,32,10,36,13,11
ADAM28,0,2,0,1,1,5
BARX2,2,9,2,7,8,3
DCUN1D1,848,877,603,901,868,819
JADE2,281,349,241,232,239,214
ZIC2,2,2,0,2,1,0
LCP2,2,0,0,0,0,0
TRIT1,303,404,277,424,314,343
ADRB1,2,4,1,7,3,5
GUCA2B,0,0,0,1,0,0
CUL7,782,914,719,838,623,735
CTNNA1,6065,6996,4492,5337,4570,4734
PHKA2,210,244,218,236,191,187
CNTLN,337,380,299,333,228,311
EPHA3,405,456,321,268,211,198
HSPA5,19878,22245,14438,20153,17155,17869
DSG2,1875,1933,1391,2210,1514,1929
GEMIN8,146,157,111,117,129,99
OFD1,326,460,225,296,218,308
GPM6B,2,1,1,11,1,0
MAGEC2,0,0,0,0,0,0
PREX2,61,4,4,6,2,4
WDR37,293,388,243,336,286,256
YTHDC2,517,709,427,645,413,405
CTPS2,234,283,170,272,241,235
ATP6V1H,1096,1327,707,1021,859,909
POLR2B,2873,3116,2165,2825,2253,2492
FAM214A,300,391,228,303,215,307
ARAP2,18,12,10,7,7,12
TPR,3135,3539,2142,2466,2274,2257
CP,15,12,1,33,24,20
KATNIP,459,358,244,368,250,229
DTNBP1,325,387,271,315,276,223
XK,6,7,6,8,5,14
ANO2,7,21,21,8,5,5
C12orf4,528,553,561,582,472,428
SCML1,239,317,165,235,163,175
WWC3,460,517,356,557,377,455
ARHGAP6,73,78,52,87,73,48
FAM184B,72,66,24,20,22,28
MAP4,4876,6304,4413,6012,4803,5190
GOPC,1297,1403,901,1450,1040,1157
ROS1,3,4,5,22,22,5
USP28,546,416,281,433,274,324
HDAC9,67,61,66,89,93,86
TSPAN17,763,979,648,757,592,665
NOP16,591,813,573,624,582,570
CC2D2A,585,595,362,393,250,299
RRM2B,477,496,329,493,410,447
ZNF800,302,360,238,367,241,280
TNFRSF17,1,4,1,0,1,0
SNX29,304,387,217,405,214,236
LMO3,15,18,1,3,1,4
MRPS10,1137,1305,884,1222,938,1075
GUCA1A,12,13,9,32,37,45
RSF1,1599,1313,1001,1378,661,1125
VPS13D,636,874,440,706,700,656
CELF2,435,475,302,278,164,259
FAM120A,2941,3009,2162,2933,2281,2502
R3HDM1,564,709,451,780,610,661
COL9A2,119,128,115,143,101,96
KITLG,1107,1232,918,1370,1048,1190
ERCC8,209,202,165,203,185,204
ADAMTS6,74,218,127,115,151,161
H6PD,903,944,721,828,616,606
VAMP3,2298,2705,1785,1962,1741,1999
PER3,202,225,128,155,140,121
UTS2,2,0,0,1,0,0
TNFRSF9,52,52,46,88,69,55
EPN3,1,11,0,13,10,3
LTBP1,2097,2423,1762,2712,2107,2248
RCN1,7817,8106,5780,7333,6030,6308
ELN,192,195,143,240,217,256
RFC2,392,438,329,464,387,401
ARID1B,935,1319,663,896,687,743
CLPTM1L,1601,1868,1315,1569,1591,1438
NEDD4L,1276,1774,1083,1221,891,1263
FOXP3,3,0,1,1,0,4
PPP1R3F,109,168,150,119,122,110
HEXB,3061,3348,2127,2118,1724,1882
PTCD2,302,473,254,347,244,382
NEXMIF,0,6,1,0,0,0
JKAMP,761,902,567,897,662,779
DKK3,8555,10211,7085,7816,6624,7344
ARHGEF5,123,197,86,158,134,105
NFE2L3,185,164,96,177,174,148
MCUR1,938,798,458,802,577,700
LIMA1,5275,5835,3580,3961,3055,3331
LETMD1,571,622,417,612,448,401
SLC4A8,83,90,55,69,144,56
LAMC3,5,10,5,9,7,10
PTGER3,3,3,3,1,1,2
TNIP3,8,17,14,31,27,17
MAPK9,735,826,528,822,585,775
COL23A1,12,40,12,34,19,18
BCAR1,1078,1069,895,1119,853,866
FAM160A2,297,397,197,325,238,232
HERPUD1,1709,1887,1389,1989,1547,1538
HOMER3,878,918,689,515,501,440
RAD51,153,199,134,201,172,176
POLQ,196,253,124,148,162,165
PIK3CB,476,434,339,480,367,375
CYBA,701,887,738,663,809,690
THOC3,525,603,377,551,468,482
HEBP2,937,996,748,648,628,554
MPHOSPH9,450,457,208,386,187,380
PLEKHA5,400,368,224,308,273,243
PRSS8,5,7,5,15,6,8
SIKE1,937,895,609,906,419,673
RRP12,760,964,549,850,657,675
FNIP2,308,339,309,466,312,411
MSMO1,1817,2020,1403,1842,1369,1662
TTC17,1245,1600,890,1355,1014,1057
ALX4,0,0,0,0,0,0
FSTL4,6,1,1,1,0,0
FOXN3,1050,1159,761,1011,937,1143
METTL24,0,0,0,0,0,1
AKR7A2,850,839,786,726,770,746
MRTO4,1053,1252,880,960,943,931
NNAT,86,74,46,32,43,45
USE1,225,245,230,171,186,195
MCF2L2,29,56,18,12,38,14
NRIP2,10,14,10,5,10,13
LAMA3,213,406,234,326,144,267
AP5M1,698,690,544,852,574,787
ANAPC4,434,502,251,389,357,349
KCNQ1,0,0,0,0,0,0
TRAPPC3,1254,1491,1138,1087,1017,1101
THRAP3,2529,3255,2179,3164,2392,2774
PHPT1,663,752,598,641,611,534
ENTPD2,9,13,13,24,23,17
LY75,99,79,69,64,41,46
ARID4B,931,973,523,818,567,574
OPN3,284,393,195,287,265,253
SDCCAG8,276,291,213,242,169,356
PTPRN,43,27,24,21,25,53
KIF1B,1042,1174,815,1250,867,962
FOXC1,572,615,441,561,395,451
TBC1D22A,467,556,364,408,383,421
