gene_name,WT_-LV_1,WT_-LV_2,WT_-LV_3,WT_+LV_1,WT_+LV_2,WT_+LV_3,ZEB1_+/-_-LV_1,ZEB1_+/-_-LV_2,ZEB1_+/-_-LV_3,ZEB1_+/-_+LV_1,ZEB1_+/-_+LV_2,ZEB1_+/-_+LV_3
CFLAR,1758,2007,1560,913,1459,1395,2233,2884,2136,2779,2655,1078
TFPI,1631,1727,1316,842,693,1259,1736,2385,1788,1837,2740,902
NDUFAF7,368,516,379,211,272,350,460,773,443,659,807,270
RBM5,1458,1933,1477,729,1355,1216,1474,2013,1881,2137,2082,1087
MTMR7,112,95,139,3,4,14,150,159,158,196,86,132
SLC7A2,1087,1559,1228,1153,1401,1696,1923,1992,1671,2294,3326,1296
ARF5,2160,2282,1539,1051,1639,1668,2265,2853,2082,3250,2832,1307
SARM1,126,68,81,59,73,52,61,70,67,137,142,60
POLDIP2,3872,4263,3140,2643,4680,4298,3786,5269,3922,6575,6650,2360
PLXND1,2126,1805,1803,1247,2873,2146,1081,1049,1268,2341,2267,607
AK2,2634,2627,2200,1104,2557,2702,2232,3057,2413,4142,4056,1614
CD38,7,3,9,3,6,6,8,3,7,6,8,4
FKBP4,5390,6480,5155,2879,6137,6647,4922,6403,5281,9313,8627,3529
KDM1A,2223,2430,1902,1187,2397,2269,2431,3257,2493,3550,3488,1230
RBM6,1353,1206,985,718,1155,1134,1233,1759,1307,1872,1721,580
CAMKK1,356,302,321,257,356,269,210,300,217,496,357,162
RECQL,1793,2718,1711,1471,1519,1678,2041,2546,2302,3068,3624,1666
VPS50,570,662,496,332,351,424,632,933,742,878,1097,338
HSPB6,20,21,25,18,9,6,35,52,38,23,26,12
ARHGAP33,224,166,172,141,77,71,242,274,155,497,219,123
NDUFAB1,1366,2089,1557,1018,1106,1686,1338,1926,1683,2378,3733,1131
PDK4,82,159,100,43,44,53,204,147,118,152,142,42
SLC22A16,10,11,14,1,4,11,10,17,14,14,9,10
ZMYND10,23,10,18,12,20,10,34,69,49,16,60,7
ABCB5,25,35,18,14,7,15,54,41,33,28,36,24
ARX,89,2,3,1,1,3,3,9,13,2,2,4
SLC25A13,1824,1965,1404,1077,2403,2010,1659,1884,1748,2948,3021,1104
ST7,723,767,566,359,557,657,763,958,918,1060,1086,465
CDC27,3945,4525,3297,1527,2427,3516,4273,6489,4944,5486,5539,2038
SLC4A1,17,21,13,7,12,17,21,24,13,23,16,12
CALCR,0,0,0,1,0,0,0,0,0,0,0,0
HCCS,1085,1137,878,503,979,1091,790,1193,833,1803,1461,631
DVL2,2368,2547,1888,1318,1851,1674,2678,3602,2537,3542,3094,1333
PRSS22,0,0,0,0,0,0,0,0,0,0,0,0
UPF1,4714,4942,3580,2497,4852,4394,4054,4874,3748,6912,6429,2818
SKAP2,1134,1718,1215,673,339,571,1581,2472,1597,1896,1897,727
SLC25A5,10522,9483,6874,4929,10906,8739,10305,13519,8761,15411,12045,5072
MCUB,483,795,562,386,204,602,733,779,845,900,1455,384
HOXA11,787,856,641,260,308,438,893,1339,972,1166,1026,487
POLR2J,1087,1133,846,515,980,853,1026,1292,1098,1433,1604,631
DHX33,2104,2147,1440,913,2688,2742,1567,2005,1581,3542,2613,1173
MEOX1,2,7,9,4,0,0,1,4,2,14,2,2
THSD7A,10,69,11,35,9,7,804,603,355,21,365,9
LIG3,1697,2146,1090,928,1690,1745,2334,2792,2044,2050,2639,818
RPAP3,1031,1529,1217,1068,933,1415,1085,1396,1422,2017,2765,1233
ACSM3,40,62,25,12,8,47,11,22,19,62,77,39
REXO5,218,166,116,82,156,107,273,358,193,244,265,99
CIAPIN1,1941,1911,1456,1049,2423,2039,2504,3605,2198,2932,3026,1156
SPPL2B,688,703,536,422,520,500,822,1099,858,954,1135,451
FAM214B,181,196,167,134,142,132,229,278,185,295,240,153
COPZ2,47,68,62,64,81,25,65,115,59,126,51,93
PRKAR2B,294,493,379,241,275,311,322,479,422,614,734,346
MSL3,568,595,468,319,484,498,425,595,459,914,730,397
CREBBP,7658,7420,6250,3975,5383,6017,6927,10084,7888,11450,9271,4272
TSPOAP1,0,0,2,0,0,0,1,4,0,2,2,0
MPO,0,0,0,0,0,0,0,0,0,0,0,0
PON1,1,0,0,0,0,1,0,1,0,0,2,1
GCFC2,606,885,547,426,754,780,1131,1236,1114,1115,2099,523
WDR54,715,727,659,418,446,462,1703,1976,1368,952,1551,480
CROT,169,271,202,131,138,168,211,288,231,318,435,186
ABCB4,1,1,1,7,12,0,1,2,2,2,7,7
KMT2E,2522,2319,1737,1286,1081,1470,2841,4251,2502,3307,3203,1493
RHBDD2,1538,1508,995,801,1279,922,1080,2072,1458,1974,2233,656
SOX8,61,51,63,57,111,87,38,40,33,112,69,82
ZNF195,467,539,383,274,456,468,475,628,487,825,810,281
MYCBP2,8980,9705,7018,4794,8426,8674,9994,13329,8702,15751,13852,5952
FBXL3,2601,3673,2643,1572,1564,2421,2548,3594,3111,4128,4138,2227
ITGAL,17,10,17,15,9,19,18,35,10,24,15,8
PDK2,795,881,551,313,399,411,1105,1187,771,825,939,455
ITGA3,2837,2120,1483,345,1345,1422,1843,2458,1901,1833,1021,828
ZFX,990,1183,852,583,554,982,1086,1680,1258,1666,1418,582
LAMP2,1829,2394,1743,1220,1264,1660,2174,2733,2432,3104,3160,1414
ITGA2B,113,131,137,62,101,87,220,279,137,212,60,65
ASB4,3,7,10,11,8,11,12,8,8,12,27,7
GDE1,1336,1988,1285,912,1449,1726,1686,2063,1693,2750,3013,1221
REX1BD,462,460,427,331,340,338,534,782,450,644,794,310
CRLF1,128,126,60,52,19,25,181,98,116,30,79,50
OSBPL7,198,334,119,167,112,86,184,416,215,240,254,209
TMEM98,780,781,742,647,1102,719,496,396,443,1517,1637,628
YBX2,2,1,5,0,1,2,2,5,8,6,4,2
KRT33A,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K14,577,426,427,240,518,460,393,625,358,902,493,254
ABCC8,160,108,148,84,111,55,143,149,118,95,143,43
CACNG3,1,0,0,0,0,0,0,0,0,0,0,0
TMEM132A,903,1278,696,470,835,653,955,1174,786,1678,1579,746
AP2B1,12661,15729,10476,6325,9739,11049,17562,20933,15314,19110,23086,7996
TAC1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF263,869,741,586,398,691,735,642,850,565,1354,1086,550
CX3CL1,28,30,55,16,15,16,23,37,61,52,23,16
SPATA20,1384,1473,1214,438,620,624,1930,2421,1887,1567,1409,669
CACNA1G,366,330,273,420,88,210,227,200,159,308,184,167
TNFRSF12A,974,435,445,332,1532,1327,196,403,337,1459,570,350
DLX6,311,261,245,186,274,227,264,353,293,442,383,149
MAP3K9,932,999,658,193,442,453,723,1205,930,1397,1016,489
RALA,844,1303,919,592,728,1184,1031,1402,1230,1530,1854,834
BAIAP2L1,1640,2003,1263,198,493,914,2200,2620,2290,1950,2305,879
KDM7A,415,225,280,103,429,162,266,509,490,397,455,213
ETV1,277,260,224,250,395,480,336,627,359,735,331,115
AGK,1473,1459,1134,614,1263,1411,1160,1679,1361,2110,1940,797
ALDH3B1,247,269,192,72,133,96,455,514,402,355,283,158
TTC22,17,19,19,6,22,15,14,33,11,31,38,10
PHTF2,1008,1447,974,485,673,943,1089,1552,1220,1536,1607,727
CCL26,0,2,0,0,0,0,0,1,1,1,1,2
FARP2,1085,1467,1171,603,1125,1315,1052,1332,958,2241,1892,678
USH1C,12,2,0,0,0,0,75,49,29,0,22,6
GGCT,968,1460,1065,800,673,1212,1003,1254,1123,1782,2174,884
DBF4,988,1406,997,758,569,981,857,1145,1128,1466,2004,684
TBXA2R,133,127,97,131,105,88,137,173,103,161,189,86
IFRD1,1588,1452,1313,965,1420,2262,668,1753,1346,2750,2090,707
LGALS14,0,0,0,0,1,0,1,0,0,0,0,0
COX10,530,575,435,301,532,540,481,654,462,778,1075,334
GTF2IRD1,1884,1512,1194,718,1005,1366,1595,2553,1773,2489,1936,695
PAF1,1416,1520,1094,739,1138,1378,1278,1663,1298,2012,1919,806
VPS41,1757,2367,1497,830,691,1420,2119,2615,2168,2993,3153,1011
ARHGAP44,521,588,407,215,354,423,609,762,759,676,613,266
ELAC2,3469,3519,3085,1724,3561,3819,3453,4586,3222,5444,5253,2039
SCIN,71,123,81,20,12,44,800,3085,2070,99,85,53
ARSD,23,31,26,12,27,31,24,37,22,38,33,8
PNPLA4,333,393,259,157,259,214,355,434,322,533,465,199
MYH13,0,0,0,0,0,0,0,0,0,0,0,0
ADIPOR2,3535,4458,3127,2074,2636,3317,3623,4343,3375,5886,5821,2418
CDKL3,101,83,101,25,18,51,72,98,80,98,170,63
UPP2,0,0,0,0,0,0,0,0,0,1,0,0
MARK4,948,1117,850,557,623,947,1056,1530,904,1547,1198,592
PROM1,7,0,2,0,0,0,1,4,5,3,12,1
CCDC124,1951,1715,1550,980,1977,1760,1606,2233,1613,2583,3240,1017
CEACAM21,0,0,0,0,3,0,0,0,0,0,0,0
PAFAH1B1,6226,5378,4734,2859,3268,4795,5361,7809,5453,8407,7236,3251
NOS2,7,4,11,1,13,8,20,3,5,7,29,7
DNAH9,17,12,22,8,22,7,19,18,15,22,18,6
KIAA0100,12990,14533,9739,8204,13584,13923,10218,14061,11097,20820,18396,8290
SLC13A2,0,0,0,0,0,0,0,0,0,0,0,0
GAS7,1165,1216,919,776,1458,1334,1502,1511,1098,1651,1771,864
TRAPPC6A,34,61,58,14,26,19,102,122,102,82,75,25
MATK,75,54,50,5,39,24,23,41,24,69,58,29
CEACAM7,0,0,0,0,0,0,0,0,0,0,0,0
CD79B,7,0,4,2,3,1,0,1,0,0,1,2
SCN4A,84,152,118,29,44,64,204,108,132,222,106,110
ST7L,178,228,143,91,148,128,193,253,192,249,347,113
TKTL1,1,3,1,0,0,0,3,0,1,0,1,0
PAX6,836,769,637,364,603,588,882,1300,877,1177,845,382
RPUSD1,626,738,485,564,1138,1140,453,683,543,1199,1299,393
RHBDF1,346,371,249,241,312,268,345,486,307,426,438,196
LUC7L,816,1106,874,509,934,904,1020,1143,1105,1334,1386,564
CACNA2D2,71,82,73,43,31,21,93,47,55,51,47,45
BAIAP3,101,151,89,49,27,22,264,281,158,97,102,50
TSR3,1166,1315,905,863,1653,1297,1115,1535,1024,1749,2208,769
PIGQ,676,764,524,489,625,602,922,1190,802,1007,1076,363
CRAMP1,1490,1096,1058,716,1391,1129,1273,1822,1372,1933,1479,685
TEAD3,718,642,483,414,327,393,823,839,586,1040,766,438
SELE,0,0,0,0,0,0,0,1,0,0,0,0
DNAJC11,1308,1455,1339,639,1467,1503,981,1285,974,2208,1804,807
FMO3,7,6,9,0,5,7,4,13,7,10,5,3
MYLIP,222,328,182,173,209,213,233,334,247,299,341,113
NOX1,0,0,0,0,0,0,0,0,0,0,0,0
PSMB1,2261,2876,2154,1366,1647,2122,2050,2822,2299,3459,4017,1558
SYN1,30,13,17,9,21,7,20,15,20,35,23,18
JARID2,1604,2103,1472,815,1275,1070,1936,2270,1657,2375,2668,1048
CDKL5,308,335,197,151,164,188,325,501,269,381,541,217
CAMK1G,0,0,0,2,0,0,0,0,0,0,0,2
CDK11A,100,86,95,46,76,76,91,113,102,172,121,60
NADK,1145,1282,896,539,873,952,1252,1466,1093,1683,1468,602
TFAP2B,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0,0,0,0,0
DLEC1,11,6,5,3,3,6,4,2,5,7,5,2
CYTH3,2700,2139,1743,878,2068,2069,1152,1751,1096,2450,1976,773
ADAM22,433,543,392,280,254,347,535,566,725,717,754,243
SYPL1,765,1140,785,534,502,724,995,1170,1107,1194,1482,616
CYB561,660,736,530,272,385,423,590,966,800,744,829,324
SPAG9,3655,3707,2774,1355,2569,2351,2947,5163,3030,4899,4216,2073
CELSR3,155,171,184,75,189,62,743,120,171,225,101,68
AASS,1358,2135,1348,1201,991,1374,1074,1412,1008,2701,2682,1083
PLEKHG6,3,0,6,8,3,4,27,25,4,6,5,2
SS18L2,188,252,177,119,128,185,154,221,181,291,351,141
MPND,79,144,67,75,56,54,187,203,168,145,219,94
MGST1,15,13,18,9,17,14,21,17,13,30,18,7
CRY1,1057,1165,942,671,1114,1360,785,1078,931,2004,1402,720
PGLYRP1,0,0,0,0,0,0,0,0,0,0,0,0
NFIX,2428,2324,1478,1324,1908,2135,2357,2345,1892,3006,2530,1211
ST3GAL1,141,137,128,94,299,282,70,234,117,271,154,146
MMP25,14,6,18,3,36,10,23,10,13,31,17,3
IL32,66,13,30,4,0,3,36,34,47,87,29,20
PKD1,1983,2011,1384,1206,1638,1530,1629,2373,1396,2733,2565,884
MAPK8IP2,100,78,121,48,296,56,64,109,83,72,159,56
MED24,4169,4318,3008,2352,3633,4296,3708,5448,3355,5852,6796,2534
RHOBTB2,1355,1365,1081,690,960,1056,846,1155,944,2069,1158,757
HEATR5B,1391,1715,1309,713,730,1233,1668,2137,1781,1801,2226,957
SEC62,2462,2901,2142,1241,1912,2071,2508,3678,2770,3591,3857,1692
RPS20,14274,16454,12079,7045,9505,12707,14520,18422,14356,22280,23856,9849
CSDE1,8901,11284,7885,4658,7587,9530,9041,12519,10272,15643,16504,6316
UBE3C,3661,4269,2938,1674,3718,3773,3239,4078,3313,5383,5165,2744
REV3L,1540,2586,2112,864,683,1173,1939,2300,2162,2786,2583,1357
TENM1,78,76,24,9,23,7,11,22,13,28,26,9
PAX7,0,0,0,0,0,0,0,0,0,0,0,0
MASP2,3,2,8,0,5,3,1,1,0,8,2,1
IYD,17,31,27,15,31,13,12,33,10,33,18,28
FAM76A,340,297,255,150,252,305,334,508,377,444,427,177
TRAF3IP3,6,4,0,0,2,0,0,2,1,1,0,0
POMT2,1002,979,915,474,747,812,925,1194,1121,1386,1623,591
VTA1,1299,1730,1242,840,1202,1265,1269,1645,1448,1931,2885,1103
MLXIPL,72,58,73,28,33,45,93,91,70,47,65,29
BAZ1B,8594,9751,7090,4996,7457,8361,7584,10657,8558,14568,11591,5503
RANBP9,1425,1403,1023,748,1252,1104,1331,2209,1392,2292,1887,796
ETV7,7,8,4,2,0,0,0,5,0,3,5,3
SPRTN,810,716,533,433,846,668,890,1078,820,1169,1019,365
EEF1AKNMT,1425,1480,1142,616,1707,1679,1129,1634,1258,2153,2031,945
DYRK4,532,417,316,236,431,414,387,578,479,629,696,247
ZNF207,6333,7890,5526,3248,6084,6196,5788,7273,6134,9572,10375,4088
UQCRC1,2379,2130,2181,1410,1892,1981,2442,2819,2192,3576,2925,1244
STARD3NL,1011,1343,964,605,728,1001,1033,1387,1117,1619,1919,616
CD9,1868,1872,1424,588,848,1003,4292,5544,3726,1820,3430,894
HHATL,0,0,0,0,0,0,1,0,0,0,0,0
NCAPD2,11894,11982,9493,6090,8854,8428,16637,22003,15097,13800,18743,5799
IFFO1,425,504,373,259,603,443,764,1041,684,749,1057,282
GIPR,11,25,10,19,9,18,29,24,5,29,13,13
PHF7,112,118,99,37,66,59,85,151,69,99,60,46
SEMA3G,136,125,111,38,108,75,250,250,211,154,201,79
NISCH,1464,1761,1193,787,1191,1220,1721,2444,1780,2246,2495,930
STAB1,1,1,0,0,2,8,0,3,11,6,9,0
FUZ,462,465,401,211,258,281,576,720,490,545,591,236
SLC6A13,0,1,3,0,2,0,2,0,0,5,1,3
IDS,1714,1821,1450,988,1477,1444,2327,3245,2571,2857,2391,1103
PRSS3,158,99,66,23,28,4,0,1,2,3,2,8
ZNF200,442,612,381,238,391,424,434,530,441,878,716,372
CD4,1,5,0,0,0,0,0,1,0,3,3,0
LRRC23,122,90,101,61,64,55,285,265,196,156,226,72
BTK,4,12,3,1,0,3,0,3,0,6,1,3
HFE,197,364,248,148,98,131,527,543,411,333,376,146
SCMH1,1122,1182,882,506,481,1060,1612,2136,1284,2010,1665,510
FYN,1002,882,830,669,1223,999,934,1450,1001,1828,1425,550
HIVEP2,1277,1160,965,519,555,728,1168,1827,1107,1812,1467,715
FMO1,0,8,6,0,0,7,1,5,1,2,2,4
ELOA,1436,1548,1149,778,1621,1503,1195,1657,1299,2331,1878,899
LYPLA2,761,750,562,361,614,622,783,972,585,1046,926,409
CLCN6,536,597,448,223,363,302,718,695,455,793,785,282
MRC2,1897,2554,1622,1183,1036,1308,6158,6386,4159,3101,3914,1111
NME1-NME2,3758,3927,3230,1772,4199,3983,3117,4446,3061,6283,6086,2386
SLC6A7,0,0,0,0,0,0,0,0,0,0,0,0
TSPAN9,822,858,726,554,878,704,838,852,642,1009,1223,478
APBA3,227,197,197,124,125,180,245,275,240,261,259,111
MKS1,995,955,831,426,816,911,769,1142,849,1395,1436,519
ABHD5,157,181,118,80,135,144,137,153,154,187,195,77
ANOS1,10,5,11,1,15,2,67,45,17,36,61,5
AKAP8L,1441,1287,1156,706,1612,1400,1470,1821,1328,2026,1781,831
MBTD1,685,962,747,482,326,499,792,913,721,1032,1191,483
UTP18,1105,1429,1038,807,1396,1727,797,1106,920,2060,2047,806
RNF216,3148,3170,2440,1562,1857,2527,2019,2611,1807,2785,2712,1174
TTC19,1184,1589,1165,638,548,906,1443,1840,1587,1819,1916,893
PTBP1,18293,17063,13493,9514,20403,19718,12436,19623,13364,24431,20398,8758
DPF1,260,235,186,149,330,272,174,231,208,374,272,115
SYT7,81,56,57,27,67,21,16,18,21,25,43,37
LARS2,863,779,583,503,864,624,611,779,592,1275,1081,421
PIK3C2A,2275,3156,2297,1163,1284,2087,2462,3413,2938,3977,3906,1703
PLAUR,157,149,108,93,185,181,134,171,90,246,168,42
ANLN,7392,8466,5271,3867,4242,5693,7214,9792,6672,10291,10659,4438
WIZ,2441,2517,1871,1742,2834,2640,2286,2843,2132,3698,3507,1250
RABGAP1,3078,4362,2707,1564,1985,2619,2579,3419,2406,5421,3227,2355
DCN,17,15,18,8,6,4,17,13,22,18,17,13
QPCTL,326,359,277,187,259,209,329,482,389,494,477,201
PPP5C,2103,2085,1597,1118,2134,1969,1654,2290,1551,3083,2554,1027
CEP68,665,612,599,383,448,499,939,1270,908,867,1213,408
MAP4K3,713,847,649,330,491,457,650,956,597,1040,1256,408
ZBTB32,0,2,0,0,0,0,0,0,0,0,0,0
TYROBP,0,0,0,0,0,0,0,0,0,0,0,0
TMEM159,184,201,140,78,157,100,313,376,177,202,285,139
GABRA3,0,0,0,1,7,1,1,0,0,158,0,115
BRCA1,2973,2717,2176,1368,2195,2393,2594,3855,2544,3769,3164,1744
ERCC1,1072,869,638,757,1326,1024,875,1200,910,1559,1431,559
CD22,11,15,26,10,5,14,22,13,18,16,19,13
SEMA3B,130,108,71,19,88,26,309,393,286,245,174,102
MBTPS2,668,865,670,441,371,529,805,962,808,973,1180,517
PRICKLE3,121,105,123,59,109,70,199,184,124,212,188,75
LTF,0,0,1,0,0,0,0,0,0,0,2,0
EXTL3,3492,3018,1790,1459,2853,2833,2222,3224,2346,3850,4224,1635
NR1H4,0,0,0,0,0,0,0,0,0,0,0,0
ELOVL5,2788,4149,2233,1655,1760,2548,2614,3577,2772,4558,4656,1913
ALOX5,4,1,0,0,1,0,1,0,1,13,0,5
KDM5D,4,3,5,1,7,7,1,1,1,9,5,3
CALCOCO1,1137,1013,655,486,583,530,1224,1412,953,1370,1081,628
UBR7,57,109,43,55,129,116,127,229,204,160,245,60
MAP4K5,1189,1501,1167,1086,1247,1333,1330,1756,1781,1678,2350,978
EHD3,139,139,165,79,160,124,173,210,128,207,302,104
MAN2B2,705,811,493,432,614,447,761,1006,595,943,1145,444
SLC7A14,55,38,48,35,26,58,71,61,64,49,72,34
CLDN11,88,52,50,32,49,46,44,52,34,108,70,58
SLC25A39,3546,4120,2978,1958,3646,3239,4354,5394,3936,4920,5476,1714
MVP,453,370,213,204,444,351,1062,844,637,533,826,318
NUB1,1870,2149,1626,947,1304,1517,1634,2218,2060,2709,2815,1063
PGM3,1317,1204,872,572,1297,889,1699,3000,1606,1837,1763,630
RWDD2A,219,293,183,130,121,156,273,401,340,369,383,163
CLK1,1027,1285,979,560,609,866,1032,1464,1175,1447,1618,750
POLR3B,872,1133,845,537,797,1228,1081,1549,1325,1690,1824,632
ANGEL1,1067,1318,896,532,1090,1079,1183,1289,1364,1642,1681,610
RNF14,1864,1778,1512,876,1404,1539,1641,2554,1803,2572,3102,1019
DNASE1L1,498,612,340,181,207,195,744,746,543,638,642,306
DDX11,2061,2055,1434,1009,2431,1938,1884,2413,1903,3177,2591,1313
HEBP1,563,825,491,240,301,410,698,881,717,943,842,360
GPRC5A,4296,4147,2427,1234,3540,2699,6455,6315,4662,4787,5194,2011
MAMLD1,198,158,102,132,350,256,91,119,128,453,185,111
CD6,19,14,7,1,9,9,18,23,12,11,17,7
TACC3,6139,6851,4582,3337,5280,5201,5831,7413,5961,7889,7587,3237
UFL1,933,1335,963,599,677,855,1079,1686,1573,1507,1878,653
POLA2,1691,2249,1521,957,1328,1865,2233,2844,2152,3693,3013,1211
ZC3H3,1152,1119,856,474,1278,985,1150,1578,1067,1696,1720,655
CAPN1,3375,3442,2453,1651,2296,2160,4546,5631,3710,3911,4170,1634
ACP3,18,18,17,10,11,12,7,4,11,11,9,11
MDH1,5527,7316,4959,2712,3795,4428,10594,13083,10222,8988,13391,3970
SLC30A9,1799,2274,1499,959,928,1292,2247,2699,2409,2959,3035,1265
MTMR11,309,312,210,95,94,87,462,591,391,289,191,145
COX15,1329,1744,1245,699,1004,1086,1616,2012,1581,2081,2231,1283
CCDC88C,625,837,628,451,1089,844,869,1224,1016,964,1291,398
YAF2,299,264,202,144,232,284,282,361,268,426,406,195
ZMYND11,1163,1320,796,614,718,984,602,922,664,994,696,374
WAS,4,5,10,10,9,6,9,10,7,24,6,3
DPEP1,5,11,2,5,8,7,4,3,6,1,6,6
BID,704,729,574,446,949,928,536,584,526,1180,1338,465
MATR3,11928,13587,10275,7135,9415,10977,11720,15615,12525,18200,18615,7331
NPC1L1,4,6,3,3,0,2,5,9,7,8,15,7
XYLT2,785,939,644,461,695,759,1103,1221,812,1200,1079,501
RGPD5,279,244,222,156,202,152,239,335,252,224,324,109
STMN4,3,2,4,3,6,5,6,2,5,7,6,4
NUDCD3,2251,2574,1996,1128,1290,1759,2271,3237,2227,3192,3206,1124
ISL1,107,172,140,107,156,189,279,286,215,274,402,44
CHDH,162,213,216,60,118,102,194,149,132,224,185,112
IL20RA,4,12,9,1,4,4,18,11,14,11,33,4
CLCA1,0,0,0,0,0,0,0,0,0,0,0,0
CLCA4,0,0,0,0,0,0,0,0,0,0,0,0
GLT8D1,535,696,509,354,369,500,565,768,580,812,932,386
ATP2C1,1665,2543,1639,1218,1344,1821,1723,3066,2279,3180,3649,1491
IGF1,18,10,4,8,17,2,10,23,11,12,20,11
SLC38A5,5,2,13,1,3,11,11,12,4,3,7,0
RALBP1,3046,3357,2510,1793,2687,2757,2694,3733,2915,4653,5174,2032
RUFY3,759,726,534,464,279,632,794,940,553,990,1132,417
CNTN1,117,260,99,34,78,66,156,115,240,212,200,62
SLC11A1,28,55,18,10,17,23,15,41,39,54,40,14
WWTR1,1596,1759,1426,877,2170,2343,2147,2532,1874,2763,1993,957
AGPS,2159,2601,1916,1400,2183,2463,1902,2968,2383,3769,3984,1603
ZNF806,3,0,0,0,0,1,1,0,0,1,0,1
CXorf56,890,927,777,419,837,734,806,1026,908,1209,1335,490
ATP1A2,8,6,4,1,6,3,9,7,9,5,5,4
TTC27,932,1058,772,588,1057,1260,783,1146,1002,1534,1849,627
ZNF582,17,16,17,14,57,9,13,13,13,41,8,11
VSIG2,0,0,0,0,0,0,0,0,1,0,0,0
PHLDB1,2256,2140,1646,1050,1602,1929,2421,2806,2108,2933,2909,1430
MARCO,0,0,0,0,0,0,0,0,0,0,0,0
CYP24A1,2,1,0,0,0,0,1,1,5,1,0,0
PRDM11,943,1046,726,635,844,716,1076,1369,1016,1227,1237,590
SYT13,4,3,2,0,0,0,6,0,3,2,13,2
SNAI2,12,17,9,57,21,28,5,6,5,20,14,4
CD74,4,10,9,1,0,6,13,7,9,7,13,2
HGF,0,5,0,0,0,0,0,0,3,0,2,0
ZRANB1,1264,1549,1394,735,843,1202,1233,1801,1383,2144,2123,1318
NCDN,1434,1553,1124,843,1787,1697,964,1331,1023,2152,1937,865
ADGRA2,847,799,707,722,686,531,965,1031,796,1028,1360,511
CCT8L1P,0,0,1,0,0,0,0,0,0,1,0,0
ZFP64,1086,1042,816,449,1122,857,1020,1622,950,1604,1278,561
MNAT1,871,1210,915,532,542,900,809,1179,1297,1462,1712,777
SAMD4A,1492,1519,869,464,1212,1161,1368,1609,1528,2044,1181,570
RUNX3,462,358,150,131,383,234,152,264,144,442,305,134
MRE11,1560,2306,1669,910,987,1327,1629,2059,1922,2233,2844,1300
PLEKHB1,255,258,163,87,89,104,681,677,383,262,455,129
SERPINB1,993,1151,896,568,485,554,1163,1521,1435,1254,1578,624
CYP3A43,1,3,9,6,8,6,10,7,6,11,15,8
