gene_name,DLD1_WT_replicate1,DLD1_WT_replicate2,DLD1_Furin_KO_replicate1,DLD1_Furin_KO_replicate2,HCA7_WT_replicate1,HCA7_WT_replicate2,HCA7_Furin_KO_replicate1,HCA7_Furin_KO_replicate2,HT29_WT_replicate1,HT29_WT_replicate2,HT29_Furin_KO_replicate1,HT29_Furin_KO_replicate2
UPF1,2894,1994,2317,1615,1604,2667,1954,2289,1415,2157,1479,1471
SKAP2,829,717,797,689,1092,1266,1019,1149,767,973,866,952
SLC25A5,6581,6148,5200,3703,4948,7369,5101,6713,5429,7613,4850,4983
MCUB,526,532,547,410,523,778,616,809,14,16,8,35
HOXA11,613,584,691,531,1,3,12,18,595,775,590,599
POLR2J,405,411,393,265,336,587,445,514,375,597,436,406
DHX33,1307,1183,1069,805,1590,2472,1550,2121,909,1173,870,794
MEOX1,0,0,0,0,0,0,0,0,0,0,0,0
THSD7A,2,1,1,0,1,2,33,10,5,0,1,2
LIG3,1251,942,1091,983,458,820,356,555,1699,1890,1348,1142
RPAP3,1496,1095,1370,1057,638,1059,810,1092,816,1033,714,680
ACSM3,27,57,59,50,22,40,23,19,418,554,406,446
REXO5,301,237,242,159,113,214,153,233,146,193,100,103
CIAPIN1,1158,1009,855,611,822,1389,937,1304,665,768,512,576
SPPL2B,1344,1038,1054,883,1212,2505,1962,2664,1982,2287,1918,1769
FAM214B,48,47,88,74,40,58,75,65,182,296,240,203
COPZ2,33,34,51,30,0,0,0,0,9,6,4,3
PRKAR2B,74,62,90,75,147,182,86,107,0,0,0,0
MSL3,505,413,433,329,297,351,282,368,304,340,272,237
CREBBP,1519,1482,1507,1366,1327,1468,1183,797,931,1342,1324,1022
TSPOAP1,217,161,238,156,21,34,11,13,47,39,58,52
MPO,0,0,0,0,0,0,0,0,0,7,0,0
PON1,8,2,11,14,0,0,1,1,68,53,22,34
GCFC2,196,186,149,91,235,403,379,321,218,274,240,184
WDR54,167,156,185,121,137,245,223,260,267,343,323,291
CROT,101,102,87,86,111,191,195,212,236,272,183,152
ABCB4,15,23,32,23,0,2,4,1,16,10,16,18
KMT2E,1125,831,476,402,1255,1848,1197,1431,1469,1647,1207,1255
RHBDD2,907,815,892,685,606,852,697,1011,520,763,509,532
SOX8,0,0,0,1,0,0,0,0,8,12,16,18
ZNF195,1622,1113,1326,928,465,793,550,733,1331,1443,1080,992
MYCBP2,1894,1304,1390,1141,867,856,846,1019,1562,2390,1623,1575
FBXL3,909,717,767,593,747,984,819,997,667,934,587,587
ITGAL,21,7,8,6,6,15,15,5,12,27,29,4
PDK2,91,49,188,116,446,478,275,428,278,513,270,302
ITGA3,5548,4593,4265,3329,1608,2375,2119,2709,3777,4200,2773,2482
ZFX,698,588,650,493,467,729,510,642,554,702,546,590
LAMP2,2171,1704,2615,1829,1720,2571,1946,2692,1983,2284,1398,1499
ITGA2B,32,11,19,13,1,5,7,5,13,8,15,11
ASB4,19,11,26,4,4,9,11,12,13,9,15,8
GDE1,2256,1987,1922,1334,1659,2727,1898,2249,1819,2465,1416,1398
REX1BD,622,533,630,465,427,869,599,709,289,440,331,346
CRLF1,3,6,10,9,1,1,2,1,2,11,5,7
OSBPL7,270,330,422,316,190,381,344,406,481,721,315,365
TMEM98,319,287,273,243,293,478,847,1093,26,24,12,25
YBX2,32,65,28,38,146,235,112,152,171,172,122,102
KRT33A,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K14,1186,937,1217,950,288,493,265,370,207,290,179,191
ABCC8,0,0,0,0,0,1,0,0,11,13,6,0
CACNG3,0,0,0,0,0,0,0,0,0,0,0,0
TMEM132A,1047,751,609,383,515,904,454,592,683,670,984,814
AP2B1,8787,7568,7642,5530,3621,5551,4064,5054,5289,7034,4844,5160
TAC1,0,0,0,0,0,0,0,0,1,1,3,0
ZNF263,669,594,490,427,470,819,476,612,649,912,657,620
CX3CL1,495,334,599,425,7,11,6,10,29,44,32,24
SPATA20,1397,1252,1722,1320,571,915,856,1117,511,666,462,510
CACNA1G,3,1,3,1,0,2,9,0,1,1,7,9
TNFRSF12A,2704,2169,2046,1608,823,1307,987,1311,2367,2946,2070,2023
DLX6,25,15,3,0,24,19,2,2,0,0,0,0
MAP3K9,1379,1040,963,852,854,1423,969,1270,420,525,387,355
RALA,1078,949,792,675,1369,1728,1311,1606,1046,1262,899,1064
BAIAP2L1,1482,1242,1399,1021,651,984,872,1088,1295,1637,1138,1118
KDM7A,995,625,952,561,1787,3190,1352,2045,224,294,183,168
ETV1,67,60,32,9,11,17,11,37,74,74,77,59
AGK,537,442,343,270,376,730,513,667,436,571,451,498
ALDH3B1,267,223,286,198,68,146,229,284,784,1209,718,707
TTC22,10,9,7,4,86,139,94,111,333,437,250,299
PHTF2,1517,1012,1582,812,575,849,688,767,898,1084,506,532
CCL26,118,102,117,87,2,2,1,4,0,0,0,0
FARP2,1263,806,925,594,1289,2411,1530,1944,1497,2005,1275,1411
USH1C,5,1,7,5,1272,2221,1323,1588,1447,1686,1404,1560
GGCT,1273,1177,1127,845,1391,2051,1358,1711,1798,2375,1660,1725
DBF4,1241,1257,1048,761,732,1066,772,869,731,850,653,690
TBXA2R,41,26,45,30,20,43,19,43,27,24,24,9
IFRD1,1010,776,708,459,515,814,658,812,887,913,768,788
LGALS14,0,0,0,0,0,0,0,0,0,0,0,0
COX10,313,301,312,290,284,479,341,400,165,240,132,139
GTF2IRD1,599,437,415,346,835,1216,1082,1234,722,855,621,711
PAF1,1289,1011,1195,954,1038,1247,1013,1311,1149,1719,871,949
VPS41,705,630,646,468,1042,1455,1416,1376,752,1036,648,872
ARHGAP44,186,121,161,148,278,373,152,213,12,3,4,5
ELAC2,2801,2400,2951,2156,1439,2045,1485,2100,835,1174,767,739
SCIN,266,243,263,155,56,97,586,786,54,58,111,48
ARSD,423,276,449,344,286,451,393,531,973,1148,743,871
PNPLA4,206,206,218,183,190,256,220,263,72,78,49,40
MYH13,2,0,0,3,0,0,3,1,0,0,0,0
ADIPOR2,2203,1839,1906,1423,1767,2669,1781,2369,2469,2940,2038,1973
CDKL3,71,57,57,35,13,26,36,36,24,33,24,19
UPP2,0,0,0,0,1,0,0,0,0,0,0,0
MARK4,228,102,194,127,271,419,275,439,217,339,183,265
PROM1,35,29,2,1,43,30,17,33,3322,3821,2356,2108
CCDC124,872,843,823,644,1029,1375,916,1150,446,636,437,434
CEACAM21,0,0,0,0,0,0,0,0,0,0,0,0
PAFAH1B1,3561,3007,3602,2519,2380,3116,2007,2773,1327,1697,1036,1039
NOS2,23,17,34,27,3,1,1,1,0,0,0,0
DNAH9,19,11,9,6,3,7,5,6,4,12,15,9
KIAA0100,6230,4627,5072,3545,4609,7215,4689,5811,6795,8291,5396,5330
SLC13A2,0,0,0,0,1,0,0,0,0,0,0,0
GAS7,280,265,165,114,59,82,92,144,9,12,2,2
TRAPPC6A,65,54,79,52,182,292,196,228,256,373,263,296
MATK,3,3,2,1,0,0,0,4,2,3,3,2
CEACAM7,0,0,0,0,2,0,0,0,16,16,3,0
CD79B,0,0,0,0,0,0,0,0,1,0,0,0
SCN4A,2,0,1,0,0,0,0,0,0,0,0,0
ST7L,282,255,306,213,241,281,228,260,382,412,224,299
TKTL1,0,0,0,2,0,0,0,0,0,0,0,3
PAX6,13,14,19,38,7,0,3,5,0,0,0,0
RPUSD1,867,829,689,524,819,1415,1118,1423,701,987,646,637
RHBDF1,1035,827,945,749,453,657,382,453,3853,4827,3780,3302
LUC7L,858,666,786,630,610,1039,737,961,803,839,806,628
CACNA2D2,1,9,3,6,3,7,4,3,7,8,22,11
BAIAP3,35,24,63,46,45,65,144,134,263,239,266,315
TSR3,538,480,433,356,508,850,572,724,347,520,357,365
PIGQ,892,663,768,657,508,994,903,966,974,1032,826,790
CRAMP1,738,574,560,393,682,1207,814,925,520,602,536,646
TEAD3,390,336,408,308,486,640,447,487,484,756,650,559
SELE,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC11,1683,1475,1091,880,1257,1859,1163,1506,1269,1539,1105,1126
FMO3,9,6,9,5,4,4,4,0,5,4,4,0
MYLIP,268,265,280,238,186,304,234,283,206,299,226,190
NOX1,32,21,22,24,296,448,463,535,797,914,374,320
PSMB1,3883,3633,3170,2407,2460,3726,2470,3110,2302,3104,2132,2198
SYN1,0,0,0,0,0,0,3,0,1,4,1,2
JARID2,299,295,267,214,306,467,277,383,283,377,260,251
CDKL5,195,131,208,86,117,208,161,199,237,202,123,126
CAMK1G,0,0,0,0,0,0,0,0,0,0,0,0
CDK11A,484,341,396,316,287,486,182,291,455,544,357,396
NADK,1456,1180,1239,874,1342,2277,1403,2066,1539,1895,1498,1422
TFAP2B,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0,0,0,0,0
DLEC1,5,1,4,4,1,10,1,2,42,82,84,74
CYTH3,1143,1025,1519,1131,523,834,514,719,80,55,92,45
ADAM22,335,182,242,231,400,530,374,384,519,468,372,374
SYPL1,2926,2144,2102,1539,2123,3475,2575,3359,4232,4850,2879,3083
CYB561,1023,893,834,590,1104,1717,1459,1831,1809,2254,1424,1427
SPAG9,2699,2171,2634,2352,2827,4668,2797,3775,1368,1577,1426,1183
CELSR3,226,316,226,129,773,760,468,1344,904,808,872,1037
AASS,266,241,309,273,215,363,275,381,9,17,11,15
PLEKHG6,387,453,454,460,479,743,489,758,551,696,348,331
SS18L2,258,225,236,164,203,399,312,401,158,209,161,187
MPND,115,131,164,140,146,239,280,338,125,173,155,110
MGST1,474,320,240,189,587,729,725,970,3181,4123,2247,2470
CRY1,634,550,509,356,358,522,329,471,416,380,276,302
PGLYRP1,1,0,0,0,0,0,0,0,0,0,0,0
NFIX,239,189,291,210,560,949,312,460,550,721,638,585
ST3GAL1,118,138,240,150,4,19,24,31,5610,7287,4990,4974
MMP25,3,3,2,0,2,0,1,8,2,7,7,2
IL32,242,273,226,198,524,736,62,75,17,13,12,8
PKD1,3120,1976,1849,1381,1491,2605,1300,1588,1194,1169,1116,949
MAPK8IP2,18,9,6,7,23,58,23,25,9,8,8,6
MED24,1711,1254,1387,982,991,1989,1405,1917,1349,1218,1280,984
RHOBTB2,593,469,536,379,1522,2515,950,1306,98,125,99,84
HEATR5B,1163,825,1055,870,402,695,584,676,655,700,438,364
SEC62,2355,1727,2065,1500,1565,2285,1837,2501,3669,4476,2641,2830
RPS20,9461,8650,7830,5674,8681,12911,10940,13557,6479,9108,6847,7030
CSDE1,11540,9844,10411,7660,3955,5787,3592,5062,6773,8861,6398,6824
UBE3C,2900,2608,2198,2044,2876,4061,2835,3738,2743,3198,2564,2151
REV3L,1432,943,1111,660,773,905,588,884,802,939,773,733
TENM1,0,1,0,2,0,0,0,0,8,6,3,0
PAX7,0,0,0,0,0,0,0,0,1,2,2,0
MASP2,15,3,2,2,0,0,0,0,8,5,1,2
IYD,5,16,27,10,23,67,38,30,99,229,112,161
FAM76A,161,114,113,150,224,284,250,355,89,153,87,101
TRAF3IP3,1,2,1,0,0,3,2,1,0,3,0,0
POMT2,863,765,873,659,606,1063,652,881,425,376,295,187
VTA1,1393,1169,1259,902,1118,1587,1137,1374,817,1115,794,848
MLXIPL,77,35,83,59,1420,2393,1173,1563,42,40,24,31
BAZ1B,4759,3946,3784,2751,3143,4556,3146,3954,2794,3719,2490,2579
RANBP9,1326,1063,1044,787,1044,1351,1265,1464,579,813,576,648
ETV7,5,12,48,27,20,36,15,25,3,3,1,1
SPRTN,355,260,376,246,413,603,320,473,319,461,308,311
EEF1AKNMT,952,952,841,537,753,1376,919,1067,692,919,533,562
DYRK4,232,155,212,187,124,208,202,261,48,39,35,58
ZNF207,5050,4161,4184,3139,3765,5584,3827,5000,6809,7890,5788,5549
UQCRC1,2608,2289,2032,1512,2572,4896,3163,4357,1238,1832,1107,1362
STARD3NL,921,704,807,504,670,970,1001,1293,592,714,474,536
CD9,4639,4051,3840,2922,5574,8272,5101,6476,2725,3041,1658,1552
HHATL,0,0,0,1,0,1,1,0,0,0,0,0
NCAPD2,5387,4036,4220,3457,2720,4612,3218,4018,2752,3718,2589,2704
IFFO1,12,10,8,9,9,10,17,10,26,37,63,55
GIPR,107,63,142,86,12,11,6,17,71,101,116,71
PHF7,64,59,80,56,56,120,70,105,47,58,35,48
SEMA3G,53,58,138,85,14,22,13,7,15,20,20,37
NISCH,1761,1458,1616,1308,1146,2022,1150,1621,999,1128,980,841
STAB1,1,3,2,4,0,1,0,0,1,0,2,13
FUZ,21,28,74,57,198,280,343,498,8,4,16,12
SLC6A13,8,10,10,3,0,0,0,0,0,0,0,2
IDS,2058,1649,1850,1379,318,604,435,611,966,997,1191,1143
PRSS3,700,656,564,371,461,658,627,818,336,482,319,311
ZNF200,645,504,526,401,232,350,277,343,281,318,253,234
CD4,1,1,3,0,4,0,0,0,16,23,21,38
LRRC23,84,90,136,103,53,100,67,114,22,25,15,19
BTK,4,8,2,1,0,0,2,2,0,0,0,0
HFE,501,352,526,465,375,505,517,433,308,472,268,253
SCMH1,542,367,423,389,267,513,186,264,354,507,435,342
FYN,638,548,560,508,184,162,202,340,188,200,240,259
HIVEP2,810,627,673,566,141,210,207,303,313,397,343,333
FMO1,5,11,0,0,0,0,3,1,3,3,3,1
ELOA,2040,1671,1483,1002,1273,1794,1045,1442,1210,1603,1082,1080
LYPLA2,1188,1170,1185,892,1119,1702,1250,1481,1221,1771,1445,1407
CLCN6,595,428,509,394,454,711,517,699,466,464,452,418
MRC2,5,12,15,20,0,0,1,0,22,31,29,14
NME1-NME2,2327,1824,1362,1070,1312,2251,1399,1909,1177,1844,1370,1401
SLC6A7,9,3,3,1,24,44,34,50,1,1,1,5
TSPAN9,200,150,367,190,51,68,27,44,448,515,364,395
APBA3,470,453,387,250,254,422,282,423,105,202,186,174
MKS1,174,180,222,227,237,413,325,397,189,231,187,126
ABHD5,352,270,288,211,147,237,229,216,94,78,62,71
ANOS1,116,53,65,44,44,118,11,31,0,0,0,0
AKAP8L,1212,940,1102,746,813,1160,896,1051,629,753,614,517
MBTD1,480,329,372,309,620,913,631,841,720,857,748,647
UTP18,1465,1168,1009,674,931,1439,848,1159,767,1039,677,768
RNF216,831,715,918,700,574,965,548,797,606,820,502,534
TTC19,1587,1350,1384,941,1808,2778,2109,2627,283,446,287,296
PTBP1,9528,8758,7547,6059,7081,11706,8234,10902,5762,6741,5315,4876
DPF1,83,51,45,81,30,35,43,51,14,15,8,7
SYT7,376,345,276,248,36,65,75,91,377,550,409,338
LARS2,1206,898,1089,736,1099,1738,1226,1472,447,543,377,459
PIK3C2A,3023,2404,2241,1514,1802,2823,1699,2361,2692,3091,2113,2363
PLAUR,457,425,424,289,90,133,227,247,627,829,437,424
ANLN,6015,4457,4880,3594,6352,7012,4789,6484,2257,2718,1806,2034
WIZ,1153,963,964,805,882,1350,960,1090,503,637,572,550
RABGAP1,745,682,710,652,516,712,492,782,1108,1387,1076,1029
DCN,19,14,16,12,7,27,7,22,22,15,17,12
QPCTL,351,303,330,290,352,678,374,588,561,958,450,276
PPP5C,1605,1500,1671,1209,1402,2017,1275,1612,2031,2760,1560,1543
CEP68,425,363,552,423,554,886,599,764,169,178,124,143
MAP4K3,1080,800,905,625,388,780,479,560,483,557,454,447
ZBTB32,2,0,1,0,0,0,0,0,0,0,0,0
TYROBP,0,0,0,0,0,0,0,0,0,0,0,0
TMEM159,285,264,276,195,272,436,268,357,330,374,208,190
GABRA3,0,0,0,0,0,0,0,0,4,21,0,0
BRCA1,1802,1321,1646,1263,1455,1972,1300,1844,957,1226,721,703
ERCC1,509,464,521,354,245,323,396,386,737,798,575,664
CD22,47,21,17,18,0,11,15,19,7,13,17,6
SEMA3B,1739,1516,1026,731,1076,1878,1996,2558,1200,1436,807,705
MBTPS2,728,563,587,459,578,990,705,923,352,449,211,277
PRICKLE3,237,230,202,176,172,272,213,272,147,199,175,164
LTF,5,2,0,0,0,0,1,0,0,2,2,0
EXTL3,608,561,639,455,450,928,591,764,370,429,298,325
NR1H4,0,0,0,0,0,0,0,0,2,7,0,0
ELOVL5,2,1,0,0,1825,2606,1683,2103,0,0,1,0
ALOX5,2,2,2,1,0,0,5,3,124,229,131,104
KDM5D,411,307,430,274,7,13,10,2,11,21,10,11
CALCOCO1,345,229,422,375,250,280,341,513,1012,1381,1216,1163
UBR7,0,0,0,0,0,43,0,0,0,38,0,0
MAP4K5,1342,1009,1193,1024,1111,1718,1116,1605,624,720,596,641
EHD3,1,0,0,0,8,14,0,1,0,0,0,0
MAN2B2,1186,916,1279,1080,506,683,723,843,1060,1346,1030,873
SLC7A14,36,31,36,24,32,44,27,31,32,41,33,42
CLDN11,38,30,42,15,23,25,20,23,26,24,21,16
SLC25A39,3490,3163,2919,2004,4040,6692,3639,4842,2433,3347,2460,2449
MVP,867,691,742,575,1274,2054,1887,2370,1596,2017,1688,1646
NUB1,970,935,1155,866,979,1301,815,1119,920,1240,863,921
PGM3,1708,1360,1185,890,909,1443,1507,1801,638,762,715,582
RWDD2A,78,84,116,92,124,174,147,220,94,123,83,99
CLK1,1388,1101,1143,869,969,1513,948,1213,1700,1682,1195,1382
POLR3B,387,317,279,179,369,456,369,522,311,415,274,248
ANGEL1,579,472,595,365,445,850,642,796,380,457,329,378
RNF14,641,491,720,452,440,587,417,611,217,238,177,194
DNASE1L1,401,319,374,293,205,463,344,472,1103,1515,1128,1036
DDX11,3586,2575,2491,1872,1574,2826,1836,2596,3419,4103,3032,2666
HEBP1,515,486,449,394,408,622,614,724,58,102,55,43
GPRC5A,10480,8553,11108,8259,9696,17764,9457,11947,8318,10468,4635,5484
MAMLD1,61,63,25,21,6,3,0,0,6,3,6,8
CD6,18,5,13,0,8,10,12,0,13,29,24,12
TACC3,3296,2607,2738,2082,2395,3777,2208,3130,1807,2515,1627,1772
UFL1,1303,1066,1314,993,868,1281,1329,1692,866,906,581,604
POLA2,1355,1236,949,685,545,856,546,846,727,994,577,694
ZC3H3,257,185,266,213,264,509,281,383,229,302,258,224
CAPN1,5485,4543,4836,3586,2258,3666,2868,3627,3973,5157,3702,3434
ACP3,103,75,103,89,11,18,14,3,63,66,43,33
MDH1,4398,3712,3714,2530,2301,3755,3060,3959,1290,1771,1031,1187
SLC30A9,2224,1832,1531,1257,2155,2970,2308,3363,1430,1784,1052,1328
MTMR11,36,18,46,24,153,256,39,53,615,726,613,576
COX15,1134,869,1031,703,1011,1762,1142,1463,720,946,594,663
CCDC88C,623,467,368,264,690,911,634,823,956,1219,924,939
YAF2,241,314,270,206,269,432,253,299,208,211,152,151
ZMYND11,993,922,783,669,1234,1574,1105,1558,962,1106,773,914
WAS,3,4,4,1,5,2,4,5,3,10,8,3
DPEP1,14,12,12,10,1349,2172,1645,2291,914,1124,721,619
BID,817,868,847,530,568,779,522,798,553,915,518,633
MATR3,7582,7105,6683,5237,7048,10401,6666,8771,5670,7533,4512,5121
NPC1L1,1,1,4,0,10,9,3,1,9,16,15,16
XYLT2,462,439,492,370,333,573,300,418,525,582,400,381
RGPD5,255,106,127,144,150,282,128,246,122,133,124,77
STMN4,3,2,2,0,1,2,2,1,1,0,2,0
NUDCD3,1449,1290,1160,874,1051,1701,1376,1953,814,1088,858,729
ISL1,9,9,2,1,52,87,18,24,186,236,127,141
CHDH,403,519,351,391,1465,2581,1182,1543,810,1137,886,899
IL20RA,1301,986,558,442,175,285,411,578,156,169,156,171
CLCA1,0,0,0,0,0,0,0,0,0,0,0,1
CLCA4,0,0,0,0,0,0,0,1,11,20,9,9
GLT8D1,917,717,979,682,532,866,667,738,599,580,536,482
ATP2C1,9295,7152,10739,8187,2160,3803,3195,4025,2756,2853,2050,2382
IGF1,27,8,38,10,4,28,17,11,9,2,7,5
SLC38A5,9,4,9,5,20,6,10,3,1371,1652,942,846
RALBP1,2556,2235,2371,1796,1470,2184,1865,2379,1716,2276,1622,1593
RUFY3,532,369,441,303,261,474,378,511,428,625,488,484
CNTN1,10,4,2,4,1,3,2,3,5,2,2,0
SLC11A1,17,22,7,43,17,48,40,33,27,35,34,34
WWTR1,89,223,224,121,860,1146,1313,1897,39,82,8,27
AGPS,3215,2958,3001,2114,2204,3766,2212,2825,835,1162,886,742
ZNF806,0,0,0,0,0,0,0,0,0,0,0,0
CXorf56,535,377,406,321,458,635,428,578,435,576,431,410
ATP1A2,12,9,11,8,0,5,2,5,8,9,1,5
TTC27,912,702,766,574,450,581,393,522,365,431,276,261
ZNF582,0,0,0,0,0,0,0,0,0,0,0,0
VSIG2,0,1,0,0,0,0,0,1,2081,2726,1834,1786
PHLDB1,953,935,1125,777,578,953,1090,1267,3890,4313,3790,3614
MARCO,1,0,0,0,2,6,0,2,0,0,0,0
CYP24A1,20,63,21,16,0,0,0,0,16,16,16,26
PRDM11,164,146,130,101,63,115,70,133,39,70,80,45
SYT13,8,8,4,2,0,3,2,0,464,569,177,181
SNAI2,0,0,1,1,0,0,0,1,0,0,0,0
CD74,11,5,0,1,0,5,2,3,45,59,33,36
HGF,0,0,0,0,0,0,0,0,0,0,0,0
ZRANB1,669,525,606,519,628,858,568,677,406,503,407,433
NCDN,750,648,573,437,452,720,541,737,772,1041,782,726
ADGRA2,15,6,10,7,104,157,31,41,2,1,0,0
CCT8L1P,0,0,0,0,0,0,0,0,0,0,0,0
ZFP64,274,264,308,261,426,502,364,497,325,394,277,285
MNAT1,391,320,315,236,260,312,261,343,162,177,183,165
SAMD4A,1366,1179,1599,1155,522,835,988,1424,337,260,212,136
RUNX3,6,0,1,0,1,2,0,2,1,1,1,2
MRE11,1116,854,1103,834,447,645,443,577,1527,1733,1339,1266
PLEKHB1,75,71,136,105,61,80,60,88,288,395,518,485
SERPINB1,1751,1628,1535,1004,2382,3572,2610,3086,2796,3625,2446,2328
CYP3A43,4,7,2,4,2,2,6,5,8,4,5,3
SLC7A9,17,4,8,7,10,18,16,18,13,21,9,9
SPAST,1044,814,982,728,706,949,647,879,647,709,460,504
NRXN3,179,179,19,16,183,179,677,862,2,2,1,1
OSBPL5,450,404,482,346,11,15,61,104,754,906,697,580
AQR,1316,1195,1360,819,1422,1899,1290,1771,2005,2212,1894,1857
CPS1,34,19,17,3,31,79,89,45,7,10,7,9
C8B,0,0,0,0,0,0,0,0,0,0,0,0
FHL1,0,1,0,0,0,0,0,0,0,1,1,0
RTF2,1273,1073,1143,788,1326,1874,1249,1800,1599,1884,1299,1301
GABRA1,0,0,0,0,0,0,0,0,0,0,0,2
NLRP2,211,136,159,84,99,334,351,280,15,10,11,4
SLC45A4,624,482,715,478,485,773,557,701,1605,2037,1505,1493
RNF10,2181,1565,2501,1783,1667,2298,1490,1536,1875,1995,1660,1388
