gene_name,1-D0-Del_PLEC,2-D0-Del_PLEC,3-D0-Del_PLEC,4-D0-Del_PLEC,6-D0-Neg,7-D0-Neg,8-D0-Neg
COPZ2,1077,1180,1159,1315,1188,956,15
PRKAR2B,31,31,33,24,18,17,0
MSL3,1557,1622,1565,1685,1479,1580,23
CREBBP,6164,5360,5989,8663,5443,6223,63
TSPOAP1,1,2,4,3,3,7,1
MPO,0,0,0,0,0,0,0
PON1,1,0,0,2,0,0,0
GCFC2,1055,964,1064,1101,1126,1147,13
WDR54,1486,1750,1465,1755,1738,1581,18
CROT,1108,1040,929,1304,1030,931,17
ABCB4,7,7,7,6,6,7,0
KMT2E,5738,6153,5982,7357,5590,6131,65
RHBDD2,1035,1341,1312,1693,1498,1404,20
SOX8,0,0,0,0,0,0,0
ZNF195,867,702,596,905,744,725,4
MYCBP2,4398,6224,5896,6531,6279,6473,41
FBXL3,3323,3418,3349,3730,3625,3522,50
ITGAL,28,36,31,45,23,26,0
PDK2,1038,1312,1218,1563,1185,1124,19
ITGA3,9851,11401,10250,11295,9479,10310,77
ZFX,2513,2761,2720,2714,2546,2751,36
LAMP2,8944,9346,9650,9768,8374,7787,124
ITGA2B,8,26,9,20,9,36,4
ASB4,8,6,7,2,7,5,0
GDE1,3752,3861,3686,4118,3626,3308,40
REX1BD,460,637,572,797,787,609,9
CRLF1,10,14,13,7,10,28,4
OSBPL7,560,884,686,798,515,504,18
TMEM98,3325,3505,3339,3600,3493,3140,49
YBX2,0,0,0,1,0,0,0
KRT33A,0,0,0,0,0,0,0
MAP3K14,793,881,850,911,787,911,7
ABCC8,0,0,0,0,0,0,0
CACNG3,0,0,0,0,0,0,0
TMEM132A,311,650,520,633,456,578,11
AP2B1,21367,23602,22565,25803,21196,21988,282
TAC1,0,0,0,0,0,0,0
ZNF263,2030,2078,1998,2268,2137,2232,27
CX3CL1,8,11,9,11,5,10,0
SPATA20,3109,3745,3725,4424,3489,3443,49
CACNA1G,29,33,45,19,20,23,0
TNFRSF12A,5825,7054,6187,6915,7623,7641,67
DLX6,0,0,0,0,0,0,0
MAP3K9,8,13,15,14,7,13,0
RALA,4171,4106,3943,4126,4181,3773,38
BAIAP2L1,6,4,2,2,0,1,0
KDM7A,424,466,652,488,591,597,48
ETV1,6648,6963,6369,7550,5647,6739,63
AGK,1802,2029,1689,1906,1707,1703,27
ALDH3B1,1604,2005,1950,2478,2051,1812,28
TTC22,4,5,2,4,4,4,0
PHTF2,2663,2822,2606,3125,3091,3128,25
CCL26,24,26,28,49,21,23,0
FARP2,3531,3088,3352,3794,3418,3622,46
USH1C,0,0,0,0,0,0,0
GGCT,1996,1801,1791,1887,2075,1856,21
DBF4,1947,2146,1767,2259,2324,2082,14
TBXA2R,207,335,325,305,279,279,3
IFRD1,2505,2119,2005,2545,1716,1687,25
LGALS14,0,0,0,0,0,0,0
COX10,446,402,391,396,424,362,7
GTF2IRD1,1171,1564,1382,1607,1411,1427,23
PAF1,2264,2675,2425,2936,2401,2319,26
VPS41,3789,4184,4149,4330,3205,3637,32
ARHGAP44,3,7,4,8,3,5,0
ELAC2,1814,2572,2117,2178,1880,2073,17
SCIN,7,13,30,21,12,10,1
ARSD,961,1025,1091,1116,1040,1006,8
PNPLA4,2,4,1,2,4,1,0
MYH13,0,0,0,0,0,0,0
ADIPOR2,4935,5080,5012,5921,5233,5104,54
CDKL3,93,89,83,115,76,86,1
UPP2,0,0,0,0,0,0,0
MARK4,1637,1847,2002,2503,1807,1455,25
PROM1,25,4,5,8,3,3,0
CCDC124,1197,1645,1608,1973,2082,1960,36
CEACAM21,0,0,0,0,0,0,0
PAFAH1B1,3873,4206,4344,4845,3891,3966,37
NOS2,0,0,0,1,1,1,0
DNAH9,2,1,1,5,3,2,0
KIAA0100,13019,14689,12514,15927,13131,14565,200
SLC13A2,0,0,0,1,0,0,0
GAS7,198,130,158,207,139,226,9
TRAPPC6A,167,177,221,215,217,185,2
MATK,5,2,2,6,2,6,0
CEACAM7,0,0,0,0,0,0,0
CD79B,1,1,1,6,0,0,0
SCN4A,0,0,0,0,0,0,0
ST7L,1049,883,937,1090,1009,1049,8
TKTL1,0,2,0,0,0,2,0
PAX6,1293,1449,1360,1465,1181,1468,8
RPUSD1,770,1237,1066,1233,1358,1354,13
RHBDF1,3935,5109,4238,5534,4570,4730,55
LUC7L,1209,1369,1348,1547,1251,1287,12
CACNA2D2,2,3,4,3,2,3,0
BAIAP3,6,6,6,16,3,2,0
TSR3,1099,1490,1503,1829,1858,1562,36
PIGQ,1355,1722,1626,2192,1688,1789,23
CRAMP1,1384,1734,1564,2261,1555,1593,19
TEAD3,1652,2353,1868,2421,2035,2169,44
SELE,0,0,0,0,0,0,0
DNAJC11,3094,3358,2760,3496,2971,3023,30
FMO3,228,143,120,182,117,71,5
MYLIP,1933,2002,1962,1987,2254,2226,23
NOX1,0,0,0,0,0,0,0
PSMB1,7071,7179,6779,7483,7836,7035,102
SYN1,107,127,100,89,107,116,1
JARID2,808,931,951,1089,867,922,18
CDKL5,443,501,431,602,341,497,2
CAMK1G,1565,1824,1870,2202,1665,1597,20
CDK11A,883,1104,1146,1246,980,972,26
NADK,3061,3526,3305,4158,3527,3517,41
TFAP2B,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0
DLEC1,1,4,27,2,0,3,0
CYTH3,4878,6323,6318,7385,5811,6250,60
ADAM22,30,33,70,67,28,39,1
SYPL1,6957,7052,6524,7123,6945,6319,73
CYB561,3317,3873,3620,4180,3807,3603,40
SPAG9,10859,11129,10983,12299,10037,11261,103
CELSR3,978,2155,1167,2452,2154,1176,13
AASS,2248,2601,2572,3094,2166,2331,46
PLEKHG6,1,0,1,1,1,0,0
SS18L2,797,715,619,697,708,604,6
MPND,309,321,450,426,359,351,12
MGST1,12389,12741,11583,13240,11900,11413,156
CRY1,1662,1991,1487,1644,2123,1710,18
PGLYRP1,0,0,0,0,0,0,0
NFIX,16909,21970,21604,26427,21031,22280,342
ST3GAL1,1026,1217,1179,1691,1263,1138,14
MMP25,68,83,108,94,68,77,5
IL32,169,178,206,239,144,155,2
PKD1,4924,7007,7342,9408,8145,8561,72
MAPK8IP2,10,27,38,40,19,29,0
MED24,3492,4178,3488,4545,3765,4113,82
RHOBTB2,888,921,1061,1294,962,1085,23
HEATR5B,1455,1322,1308,1762,1278,1444,61
SEC62,8391,7850,7714,8197,7160,6594,106
RPS20,37288,36317,36404,37590,39662,34096,514
CSDE1,36767,41014,38026,42180,38219,38570,483
UBE3C,7503,7413,6901,8752,7106,7020,88
REV3L,5718,6190,7217,8229,7112,6697,152
TENM1,0,0,0,0,0,0,0
PAX7,1,0,0,0,0,0,0
MASP2,0,1,1,3,2,1,0
IYD,23,17,22,18,12,14,2
FAM76A,661,754,628,879,745,733,15
TRAF3IP3,3,4,17,9,11,2,0
POMT2,1813,1418,1428,2095,1692,1346,34
VTA1,3572,3481,3210,3624,3500,3305,54
MLXIPL,30,48,38,46,23,31,0
BAZ1B,8504,9248,7868,9816,8259,8710,93
RANBP9,4451,4781,4664,5168,5083,4525,65
ETV7,20,25,26,26,24,22,0
SPRTN,546,695,634,736,599,659,3
EEF1AKNMT,2479,2502,1867,2197,1980,2080,13
DYRK4,1105,1090,1122,979,1129,931,21
ZNF207,13881,14325,13250,15286,15149,14573,166
UQCRC1,7742,8533,7935,8835,8205,8250,63
STARD3NL,2957,2758,2508,2538,2548,2284,30
CD9,5334,5548,4999,5593,5786,4871,63
HHATL,0,0,0,0,1,0,0
NCAPD2,12375,13677,11113,14181,12138,12296,118
IFFO1,2188,2618,2646,3522,2420,2427,45
GIPR,37,17,22,29,14,4,0
PHF7,199,163,161,237,200,185,3
SEMA3G,0,0,0,0,3,0,0
NISCH,3393,3752,3762,4423,2823,3208,66
STAB1,11,21,14,30,28,6,0
FUZ,424,578,546,636,605,474,8
SLC6A13,1,3,3,2,0,2,0
IDS,7589,7649,8372,9339,8058,8274,101
PRSS3,141,157,143,194,235,240,2
ZNF200,222,195,169,326,229,156,2
CD4,6,4,4,5,4,5,6
LRRC23,228,234,231,278,217,197,6
BTK,2,0,0,5,1,0,0
HFE,1086,1039,1194,1126,862,718,29
SCMH1,1748,1981,2091,1912,1997,1930,44
FYN,4924,4843,5028,5618,4309,4563,61
HIVEP2,5517,6819,6167,7890,5370,6376,162
FMO1,43,38,37,60,25,28,0
ELOA,4212,4550,4105,4603,4201,4424,49
LYPLA2,1965,2237,1908,2628,2236,2250,25
CLCN6,1789,2126,1880,2427,1707,1935,16
MRC2,20236,26961,28248,30403,23601,25679,307
NME1-NME2,1602,1698,1426,1720,1516,1601,36
SLC6A7,4,4,5,2,6,7,0
TSPAN9,917,1019,1162,1167,856,921,21
APBA3,305,430,399,488,396,389,15
MKS1,427,595,539,540,436,464,10
ABHD5,889,796,783,740,797,785,12
ANOS1,0,0,0,0,0,0,0
AKAP8L,2415,2644,2694,2944,2783,2612,37
MBTD1,591,706,654,880,620,614,5
UTP18,2546,2651,2299,2670,2678,2415,31
RNF216,2842,3293,3132,3705,2982,2995,47
TTC19,1643,1501,1516,1563,1558,1416,23
PTBP1,14811,18985,16561,20212,20211,22464,186
DPF1,133,132,107,176,151,134,2
SYT7,3575,4459,4635,5122,4467,4648,61
LARS2,1839,2209,1942,2199,1835,1889,38
PIK3C2A,4005,4155,4256,4821,3809,3895,65
PLAUR,8870,10363,8844,9320,10592,9869,104
ANLN,15935,17993,14822,17527,19395,18467,122
WIZ,2121,2960,2914,3600,3307,3219,52
RABGAP1,3263,3421,3408,3847,3007,3115,79
DCN,29218,27484,30974,29349,26806,22809,522
QPCTL,570,810,606,701,644,589,3
PPP5C,5428,6124,6012,7682,6121,5744,75
CEP68,1198,1149,1340,1390,1254,997,17
MAP4K3,1923,1874,1639,2099,1733,1835,33
ZBTB32,0,3,0,3,1,0,0
TYROBP,0,0,0,0,0,0,0
TMEM159,752,840,845,907,774,715,13
GABRA3,0,0,0,0,0,0,0
BRCA1,4326,4459,3709,3820,4662,3870,12
ERCC1,4732,5332,5215,6045,5232,5349,59
CD22,12,19,20,29,14,23,0
SEMA3B,48,52,63,91,61,54,0
MBTPS2,2346,2526,2296,2623,2123,2111,27
PRICKLE3,171,237,249,301,149,156,5
LTF,0,0,0,2,0,0,0
EXTL3,1290,1736,1360,1821,1321,1387,28
NR1H4,0,0,0,0,0,0,0
ELOVL5,10709,10985,10225,11601,10776,10450,124
ALOX5,0,0,0,0,0,0,0
KDM5D,1,1,0,0,0,0,0
CALCOCO1,3967,3969,4756,4834,3558,3586,87
UBR7,0,15,57,23,0,8,0
MAP4K5,5338,5646,5074,6224,5895,5562,58
EHD3,1423,1503,1472,1444,1261,1153,19
MAN2B2,2940,4236,4166,4958,3686,3863,67
SLC7A14,65,54,25,31,40,44,0
CLDN11,70415,79584,70229,87856,68885,69537,913
SLC25A39,5362,6239,5642,6568,6349,6196,89
MVP,20282,24284,24516,28261,20798,20880,280
NUB1,3579,3781,3562,4274,3886,3523,60
PGM3,5734,5239,4634,5141,4671,4978,43
RWDD2A,376,351,382,377,322,288,10
CLK1,2249,1994,2142,2790,1963,2171,31
POLR3B,1054,1170,910,1271,932,955,13
ANGEL1,1222,1348,1395,1641,1203,1204,17
RNF14,1393,1459,1307,1666,1451,1298,25
DNASE1L1,1408,1589,1604,1703,1357,1273,23
DDX11,2266,2745,2197,3159,2296,2597,31
HEBP1,3070,3127,3072,3357,3051,2708,42
GPRC5A,990,941,468,1120,1163,477,8
MAMLD1,1110,1303,962,1484,1103,1337,33
CD6,1,3,2,2,0,1,0
TACC3,4287,5065,3916,5036,5170,4667,80
UFL1,3146,3198,3048,3523,3135,3005,26
POLA2,1676,2138,1528,1794,2156,2090,8
ZC3H3,240,348,335,557,383,375,6
CAPN1,7532,9575,9011,10386,8184,8095,140
ACP3,260,348,238,274,277,256,4
MDH1,11111,9746,9138,9251,9841,8538,124
SLC30A9,5663,5403,5162,5720,5467,5037,73
MTMR11,1031,1124,1069,1271,1045,875,12
COX15,1504,1657,1527,1862,1413,1448,23
CCDC88C,5,1,2,5,0,3,0
YAF2,863,831,732,856,797,805,23
ZMYND11,5826,6141,5626,5965,5600,5477,71
WAS,3,11,3,11,5,3,0
DPEP1,0,0,3,0,0,1,0
BID,931,1148,1121,1178,1125,1052,20
MATR3,28747,26900,22502,22311,25811,23884,257
NPC1L1,3,2,3,2,0,4,0
XYLT2,1501,1995,1802,2304,1772,1664,21
RGPD5,122,205,114,219,240,187,16
STMN4,3,0,0,0,0,1,0
NUDCD3,4566,4649,4816,5056,4253,4108,49
ISL1,0,0,0,0,0,0,0
CHDH,22,31,20,35,21,26,0
IL20RA,6,10,2,5,7,10,0
CLCA1,0,0,1,1,3,0,1
CLCA4,0,0,0,0,0,0,0
GLT8D1,3525,3476,3472,3652,3411,3031,58
ATP2C1,6060,6430,5785,6846,5753,5769,62
IGF1,7,9,12,17,9,12,0
SLC38A5,2,4,2,8,4,3,0
RALBP1,5726,5997,5725,6875,5611,5685,92
RUFY3,1838,1866,1776,2321,1641,1716,31
CNTN1,4,6,4,4,6,8,0
SLC11A1,19,16,16,45,52,26,0
WWTR1,14265,15966,15162,15576,14674,15783,184
AGPS,4267,4289,3842,4526,4055,3917,45
ZNF806,0,0,0,0,0,0,0
CXorf56,1444,1269,1245,1447,1373,1297,10
ATP1A2,6,6,4,2,1,7,0
TTC27,1687,1650,1469,1668,1664,1776,28
ZNF582,0,0,0,0,0,0,0
VSIG2,1,0,0,0,0,0,0
PHLDB1,5635,6343,6576,7686,5116,4960,78
MARCO,3,2,3,4,1,3,0
CYP24A1,10,9,2,4,0,4,0
PRDM11,108,208,173,248,136,114,3
SYT13,0,3,3,1,0,0,0
SNAI2,19724,20174,20744,20106,21715,19568,270
CD74,2324,2508,2006,2990,1784,1472,39
HGF,9686,10161,9308,11451,10454,8953,106
ZRANB1,2508,2783,2638,2790,2727,2518,42
NCDN,1882,2709,2401,2889,2439,2409,45
ADGRA2,6043,7507,8314,9048,7400,7257,128
CCT8L1P,0,0,0,0,0,0,0
ZFP64,1075,1032,1065,1324,939,1056,15
MNAT1,1528,1435,1334,1383,1470,1368,20
SAMD4A,3441,3970,3717,4927,3742,4015,60
RUNX3,0,1,0,0,0,2,0
MRE11,2698,2646,2044,2780,2549,2333,27
PLEKHB1,9,11,20,14,10,7,0
SERPINB1,2520,2696,2817,3144,2733,2696,35
CYP3A43,5,6,8,4,4,4,0
SLC7A9,2,3,2,4,4,3,0
SPAST,1273,1310,1196,1392,1189,1192,19
NRXN3,3,3,10,7,16,7,0
OSBPL5,2065,2821,2611,3255,2569,2434,35
AQR,4476,4579,4101,4852,4664,4664,32
CPS1,2657,2747,2762,3229,2340,2493,46
C8B,1,0,0,2,0,0,0
FHL1,4171,4017,4045,4748,3876,3947,79
RTF2,4746,4875,4816,5259,5173,4946,46
GABRA1,0,0,0,0,0,0,0
NLRP2,5,3,4,7,6,4,0
SLC45A4,47,117,74,109,57,89,0
RNF10,6071,6617,5756,7459,6415,6544,67
ZNF839,590,730,638,805,642,706,7
ZDHHC6,2403,2525,2234,2840,2502,2130,41
GRAMD1B,1061,1309,1336,1614,1286,1275,16
RB1CC1,5681,5519,5733,5780,5524,4886,92
ERP44,3904,4151,4060,4246,3883,3560,52
ALAS1,1719,1847,1737,2001,1814,1768,27
BIRC3,554,508,505,546,549,467,3
AKAP11,5263,5573,4911,6356,4573,4833,51
GLRX2,446,430,368,451,444,390,8
SNAPC1,1018,893,843,980,878,871,10
DERA,1786,1892,1800,1913,2309,2123,22
STRAP,9265,9617,8607,10032,10290,9358,116
ABCC2,80,116,119,107,119,112,1
DEF6,6,5,7,2,4,6,0
PLEKHO1,1859,1935,1957,2038,2069,1927,28
GCLM,3609,3587,3100,3565,3432,3411,46
UBR2,2442,2614,2435,3174,2274,2110,38
EHD2,8371,10743,10757,13331,9418,9528,191
DEPDC1,4191,4263,3354,4364,3929,4191,24
CCDC28A,484,527,514,578,487,484,2
RRAGD,0,0,0,0,0,0,0
HSF2,1712,1241,1423,1536,1531,1168,14
PHF20,3142,3082,2932,3189,2970,2793,49
HSD17B6,24,18,21,25,20,14,0
NR1H3,704,698,696,724,566,525,11
TYMP,19,32,27,49,41,26,0
NCAPH2,2052,2586,2077,2457,2876,2480,17
TOMM34,4769,5067,4439,5427,5767,5715,57
SEC63,9092,9257,8980,10235,9878,9869,79
KPNA6,4840,5204,4968,5687,4964,5101,98
VIM,520380,582031,576866,691500,607811,526021,8572
RTEL1-TNFRSF6B,331,500,505,761,701,670,3
FAS,5349,4912,5209,5165,5260,4860,77
RNASET2,542,585,667,696,520,528,9
CD44,86355,87474,82739,84040,74853,79555,875
KCNG1,24,53,33,25,36,34,1
AGPAT4,1385,1378,1276,1743,1285,1410,18
SLAMF7,3,11,2,4,6,7,0
BTN3A1,2155,2373,2333,2539,1691,1714,26
MIPEP,1710,1869,1543,1935,1950,1770,15
PRKCH,22,26,24,28,29,25,0
INSRR,4,3,0,1,2,2,0
IFNGR1,1874,1688,1832,1863,1665,1446,18
B4GALT7,611,776,689,827,725,744,10
SH2D2A,4,10,14,5,7,9,0
VRK2,2261,2173,1878,2308,2120,2112,23
TNFRSF1B,539,626,545,779,548,469,7
VEZT,2763,2919,2822,3106,3059,2887,39
POU2F2,641,899,764,1238,659,735,9
BRD9,2035,2180,2133,2674,2288,2333,17
SNX1,5210,5846,5667,6191,5136,5156,91
TBPL1,1085,1157,1068,1145,1178,1050,10
ARNTL2,5850,5845,5059,5443,5838,5327,54
BCLAF1,17459,18595,16696,19786,18158,18874,206
SLC39A9,4181,4403,4189,4749,3985,4142,57
ANK1,199,279,313,253,180,241,0
IBSP,0,0,0,0,0,0,0
TFB1M,1253,1257,927,1212,1222,1127,13
RABEP1,2431,2302,1983,2550,2196,2025,36
HMGB3,2617,2538,2407,2765,3333,2871,18
NUP160,4719,4974,4227,5569,4835,4601,46
BAK1,731,810,739,892,880,818,16
MUSK,11,6,11,11,4,3,0
IKZF2,354,381,593,520,418,316,3
GRN,13385,15983,16480,18265,14851,14670,276
FAM13B,2319,2222,2212,2566,2211,2134,30
ARHGAP31,1068,1412,1354,1493,1214,1409,12
CENPQ,1526,1388,983,1093,1370,1084,8
SARS1,6938,7338,7045,7782,6805,6616,88
RANBP3,2646,2910,2403,2838,2383,2435,61
ARID4A,1030,1056,1026,1363,894,782,8
EIPR1,1283,1495,1373,1412,1483,1302,19
PNPLA6,3234,4388,3766,4915,4146,4392,43
IFT88,1666,1674,1615,1834,1673,1488,15
ALG1,1614,1824,1711,1816,1747,1651,14
ZCCHC8,916,1017,918,1209,898,852,11
ABCF2,5371,5929,5102,6352,5309,5924,70
CHPF2,3703,4661,4438,4908,3751,4055,57
LRRC7,4,1,0,1,2,2,0
FUT8,3320,3681,3140,3763,3107,2925,44
UBA6,4128,3464,3820,3903,3195,3579,43
GAB2,913,961,1111,1025,929,977,53
ATP6V0A1,2189,2433,2223,2526,1516,1989,19
PIAS1,2140,2016,1954,2470,1712,1840,21
SLC4A7,3587,3360,3602,4184,3958,3411,46
APBA2,4,0,4,2,1,1,0
MAP2K3,2415,2719,2330,2650,2756,2632,38
EFCAB1,116,98,117,160,95,102,2
TMSB10,99597,96165,95451,98313,97466,89041,1282
ASTE1,249,256,204,347,214,198,3
RNF19A,2408,2517,2572,2402,2455,2353,30
PEX3,1105,1269,916,1196,1111,1142,18
GABARAPL2,2761,2705,2756,2813,2824,2442,30
MYOC,1,0,0,0,0,0,0
SH3YL1,1072,1036,1019,1107,828,853,11
FAM136A,2330,2333,2152,2573,2698,2572,34
VCL,43529,47389,45997,51468,41944,42255,743
DEPDC1B,571,546,414,593,648,600,5
DAPK2,54,115,52,239,86,91,1
NSMAF,4200,4539,4065,5050,4639,4510,46
ADSS2,3512,3707,3160,4091,3622,3498,38
STAP1,0,1,1,0,0,0,0
TIMP2,72291,83030,88439,93737,78600,77544,1387
RFC1,3949,4635,4301,4837,4531,4349,32
TBC1D23,5919,5834,6273,6758,5726,5624,79
CUL3,4119,4109,3704,4445,4446,4177,53
MYOM2,2,1,0,0,0,9,0
OTC,0,0,0,0,1,0,0
CYP46A1,34,45,45,61,45,49,1
ZZZ3,3043,3172,2972,3379,3180,2890,44
SLC18A1,1,0,0,0,0,2,0
USP2,54,45,80,50,40,47,2
CASR,0,0,0,0,0,0,0
TUBG2,979,1240,1181,1456,1227,1218,18
RPL26L1,1970,1821,1630,1759,1876,1597,23
FLT4,3,16,8,14,13,11,1
NSUN2,3190,3835,3192,4121,3529,3834,57
FBXO42,1110,1303,1039,1379,913,928,4
MFAP3,1002,957,1076,1360,808,962,10
MRI1,1460,1556,1540,1765,1405,1446,23
METTL1,810,880,816,846,859,790,10
HOXC8,1936,2200,2048,2107,1953,2237,31
AGA,833,793,833,932,932,930,9
PI4K2B,3069,2898,2594,3091,3076,2748,26
BOD1L1,4154,4517,4406,5528,4587,4519,49
MAT2B,4429,4284,4090,4642,4251,3843,53
TLL1,0,0,0,0,0,0,0
EDC4,3838,4063,4263,4768,4061,4434,32
TRIO,16302,18467,14594,20656,15954,19007,141
VCAN,74739,80953,86001,88042,74625,80142,1099
CLEC16A,1345,1759,1654,1945,1459,1639,16
MSR1,3,6,8,6,1,2,0
CDH1,21,42,28,43,16,21,1
MTREX,7223,7477,6353,7386,6592,6789,58
DNAH5,191,209,168,193,261,226,2
ZFYVE16,2155,1616,1505,2453,1842,1344,43
RIPOR1,4655,5745,5152,5966,4883,5574,71
C6,1,0,0,0,0,0,0
RAI14,12012,13191,11773,13635,11551,11914,135
SOX30,0,5,3,1,1,1,1
PNKP,784,1037,867,1216,904,1069,9
BEST2,0,0,3,0,0,0,0
PHLPP2,1456,1628,1287,1831,1462,1550,23
SPDL1,2435,2436,2231,2855,2655,2661,25
STAU2,2264,1957,1825,2170,1907,1814,47
SLC66A1,510,610,537,777,588,586,6
CTNS,356,367,412,412,360,291,3
RTN4R,8,13,13,17,21,10,0
PHF23,849,845,813,1032,741,661,17
CDH10,1,1,0,0,0,0,0
INPP4A,1791,2093,2104,2212,1804,1846,20
RAB27B,3254,3358,2900,3492,2250,2624,27
PSMA4,8564,7373,6930,7092,7965,6918,97
LSG1,2084,2323,1984,2555,2518,2370,33
PARP3,2080,2448,2439,3063,2053,2172,26
TNC,32103,36717,37361,39595,30398,37146,405
THAP3,359,477,441,596,467,421,9
RIPOR3,1870,2239,2464,3024,2024,1617,31
TDP1,1345,1472,1250,1387,1471,1421,24
AIFM2,1238,1421,1151,1619,1498,1354,17
C2orf83,9,9,9,8,6,5,0
SPATA7,681,661,720,715,686,584,6
MED17,1762,1749,1664,2246,1421,1461,5
RETSAT,3329,3438,3299,3678,3115,2954,30
CAPG,5888,5721,5688,5528,5748,4494,67
AP2S1,4129,4268,4170,4996,4629,4418,65
USH2A,10,9,10,9,17,3,0
ZPBP,0,0,0,0,0,0,0
TG,37,43,52,66,33,38,1
ADAM28,5,5,4,3,1,0,0
BARX2,9,9,5,9,10,10,0
DCUN1D1,3293,2946,2810,2781,2892,2708,25
JADE2,3698,4556,3771,4730,4068,4348,42
ZIC2,0,2,3,5,2,4,0
LCP2,1,0,0,0,0,0,0
TRIT1,1274,1137,1259,1469,1241,1194,16
ADRB1,0,0,0,0,0,0,0
GUCA2B,0,0,0,0,0,0,0
CUL7,5614,6437,6518,7049,4657,5126,102
CTNNA1,22123,23390,20888,25891,22294,21137,269
PHKA2,1098,1103,1096,1417,1065,1106,18
CNTLN,1955,2091,1862,2004,2012,2036,30
EPHA3,0,0,0,0,0,0,0
