gene_name,1_S5_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep1,2_S6_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep2,3_S7_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep3,4_S8_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep1,5_S9_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep2,6_S10_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep3,7_S11_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep1,8_S12_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep2,9_S13_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep3,10_S14_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep1,11_S15_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep2,12_S16_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep3
HOXA11,0,0,0,0,1,0,0,0,0,0,0,0
POLR2J,395,552,426,561,486,421,307,519,246,273,346,242
DHX33,705,1013,742,851,871,812,623,786,462,353,409,312
MEOX1,0,0,0,0,0,0,0,0,0,0,1,0
THSD7A,0,0,0,0,1,0,0,4,0,1,0,0
LIG3,756,992,728,825,847,895,729,970,597,547,507,379
RPAP3,717,988,642,953,547,752,697,1047,683,408,517,318
ACSM3,1276,1843,1216,940,639,748,260,313,209,523,484,387
REXO5,961,1168,743,883,647,508,1088,1490,894,858,1130,807
CIAPIN1,511,668,440,755,599,592,391,499,331,320,247,265
SPPL2B,292,461,327,344,406,267,339,541,312,241,235,225
FAM214B,61,95,109,94,147,81,94,156,90,167,171,174
COPZ2,7,6,4,16,12,2,5,11,7,7,11,3
PRKAR2B,1568,2155,1404,2689,1690,1939,2874,3960,2313,2665,2978,1657
MSL3,406,466,383,475,343,367,607,697,494,355,357,252
CREBBP,350,658,443,528,419,321,439,602,551,536,634,532
TSPOAP1,9,7,6,3,4,9,12,19,12,16,19,16
MPO,0,0,1,0,0,0,0,0,1,0,0,1
PON1,0,0,0,0,2,0,0,1,0,0,0,0
GCFC2,913,1312,810,1255,791,1012,537,749,533,492,560,310
WDR54,31,24,22,43,22,28,21,19,14,10,7,5
CROT,104,144,116,100,84,93,36,71,54,12,22,13
ABCB4,1,0,1,0,0,0,0,0,0,1,0,0
KMT2E,964,1018,786,1135,724,870,1126,1218,869,1049,1057,850
RHBDD2,53,58,78,53,54,44,57,82,57,26,28,43
SOX8,0,0,1,0,0,0,0,0,0,0,0,2
ZNF195,414,522,321,460,342,362,546,736,482,276,325,201
MYCBP2,3810,5572,4061,4990,3845,4374,3378,3938,2791,1788,1702,1405
FBXL3,808,1046,713,1125,864,894,593,825,519,658,806,587
ITGAL,16,12,12,13,24,15,5,8,14,7,8,17
PDK2,47,68,48,127,109,81,39,77,47,87,78,76
ITGA3,22,18,16,20,9,16,23,30,5,14,13,15
ZFX,814,985,813,1102,861,848,960,1245,871,816,785,648
LAMP2,2051,2727,1917,2484,1933,2034,1620,2326,1573,1332,1469,1096
ITGA2B,313,387,382,474,761,421,106,115,113,53,55,55
ASB4,4,2,0,2,4,6,3,5,2,1,0,0
GDE1,1511,2078,1365,1625,1457,1293,1067,1423,1040,777,893,616
REX1BD,287,510,369,443,406,300,410,575,371,296,299,251
CRLF1,2,3,2,9,5,12,2,1,2,2,0,2
OSBPL7,49,65,57,31,37,17,60,68,36,22,37,21
TMEM98,207,287,221,260,227,188,89,122,85,83,96,60
YBX2,293,419,303,344,372,246,582,885,473,403,487,388
KRT33A,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K14,26,18,14,30,16,21,35,26,22,16,16,22
ABCC8,0,0,0,0,0,0,0,0,1,0,0,0
CACNG3,0,0,0,0,0,0,1,0,0,0,1,0
TMEM132A,0,0,1,0,1,1,6,0,0,2,2,0
AP2B1,2821,4199,2665,3803,3311,2774,4537,6312,3870,3723,4307,3136
TAC1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF263,395,470,375,462,398,495,390,515,340,204,276,257
CX3CL1,8,2,2,4,3,4,5,4,2,1,3,2
SPATA20,104,218,216,147,106,66,135,288,209,34,38,79
CACNA1G,0,0,0,0,0,0,6,2,1,1,1,1
TNFRSF12A,128,156,123,109,81,103,98,130,102,30,33,34
DLX6,0,0,0,0,0,0,0,1,0,0,0,0
MAP3K9,4,5,10,10,10,13,16,11,11,7,8,7
RALA,291,361,292,371,270,318,177,221,146,140,132,89
BAIAP2L1,6,5,1,0,1,0,2,6,0,0,0,0
KDM7A,112,264,165,378,188,237,224,286,217,511,572,453
ETV1,0,0,0,1,7,3,1,5,0,0,6,1
AGK,383,469,290,371,191,229,296,524,301,187,242,143
ALDH3B1,393,565,388,447,440,316,518,707,444,547,601,534
TTC22,2,2,0,2,4,0,2,5,5,2,1,0
PHTF2,445,576,443,460,314,327,403,504,379,270,293,245
CCL26,0,0,0,0,0,0,0,0,0,0,0,0
FARP2,669,925,703,608,661,667,720,1152,640,499,555,358
USH1C,0,0,0,0,0,0,2,1,0,0,0,0
GGCT,885,1222,768,1122,774,844,483,635,492,420,466,321
DBF4,1130,1588,1051,1435,1133,1286,1269,1404,1056,1047,996,767
TBXA2R,33,44,25,50,29,33,62,73,35,34,39,28
IFRD1,516,673,470,735,494,524,633,980,614,604,627,454
LGALS14,0,0,0,1,0,0,0,0,3,0,0,0
COX10,158,230,189,186,173,167,222,247,175,111,120,95
GTF2IRD1,25,41,82,92,77,93,21,51,14,24,50,36
PAF1,219,326,278,363,392,308,271,333,248,220,344,245
VPS41,1444,2102,1220,1698,1292,1231,2193,3158,2033,1229,1497,1129
ARHGAP44,1,0,1,3,0,2,3,3,0,0,1,0
ELAC2,1404,1804,1277,1775,1592,1542,1285,1526,1140,978,981,759
SCIN,35,78,33,115,93,93,14,10,8,17,12,7
ARSD,22,32,33,15,4,6,27,9,18,6,0,2
PNPLA4,145,237,166,179,184,168,94,151,105,103,132,75
MYH13,0,0,0,0,0,1,0,1,1,0,0,0
ADIPOR2,832,1018,785,1140,963,1064,1064,1324,937,1334,1462,1173
CDKL3,26,26,11,28,19,16,19,41,16,27,19,15
UPP2,1,0,0,0,0,0,0,0,1,0,0,0
MARK4,22,41,16,15,40,14,12,21,7,7,15,17
PROM1,0,0,0,0,0,0,0,0,0,0,1,0
CCDC124,123,263,213,232,298,191,214,269,174,141,188,136
CEACAM21,0,0,0,0,0,0,0,0,0,0,0,0
PAFAH1B1,701,929,568,960,871,757,931,1086,630,889,979,743
NOS2,0,0,0,0,1,0,0,1,0,1,1,0
DNAH9,2,2,2,2,1,6,8,5,4,2,6,1
KIAA0100,3164,4025,2911,3893,3524,3857,2324,2951,2233,1208,1431,1194
SLC13A2,0,0,0,0,0,0,0,0,0,0,0,0
GAS7,28,12,9,6,4,13,5,9,2,12,4,10
TRAPPC6A,56,86,72,105,82,53,78,129,82,103,111,87
MATK,22,27,23,59,44,41,6,12,13,9,6,7
CEACAM7,0,0,0,0,0,0,0,0,0,0,0,0
CD79B,1,0,0,0,0,0,0,0,3,0,0,0
SCN4A,0,0,1,0,2,0,16,29,5,35,16,10
ST7L,146,165,116,170,84,123,117,198,97,122,111,99
TKTL1,0,0,0,0,0,0,13,1,1,0,5,10
PAX6,0,0,0,0,0,0,0,3,0,4,0,0
RPUSD1,54,70,43,72,81,72,29,88,32,19,41,27
RHBDF1,0,1,0,0,0,2,4,1,2,5,5,5
LUC7L,498,780,499,769,603,604,588,761,495,448,634,384
CACNA2D2,0,1,0,0,0,2,1,2,1,0,1,1
BAIAP3,12,8,2,6,4,4,16,19,8,4,8,4
TSR3,259,392,258,408,409,345,225,325,202,199,210,178
PIGQ,233,412,335,476,544,362,569,739,418,933,1107,921
CRAMP1,175,288,194,250,194,187,288,269,170,188,235,178
TEAD3,4,8,5,13,19,13,6,10,5,4,2,12
SELE,0,0,0,0,0,0,0,1,0,0,0,0
DNAJC11,899,1286,773,1019,774,950,1601,1970,1220,885,975,742
FMO3,4,3,2,2,4,4,2,7,6,2,4,0
MYLIP,288,410,270,649,491,483,682,849,542,675,683,507
NOX1,0,0,0,0,0,0,0,0,0,0,0,0
PSMB1,2722,3490,2442,3678,2672,2823,1976,2633,1855,1753,1853,1339
SYN1,0,2,1,7,2,3,1,1,1,0,1,1
JARID2,1278,1943,1309,1886,1656,1528,1910,2527,1607,1812,2036,1451
CDKL5,62,71,42,80,67,59,106,127,63,81,66,49
CAMK1G,0,0,1,0,0,0,0,0,0,0,0,0
CDK11A,393,510,419,508,448,449,582,772,544,675,771,543
NADK,518,800,590,772,848,642,644,842,544,453,501,449
TFAP2B,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0,0,0,0,0
DLEC1,2,3,1,1,2,0,0,3,2,0,2,0
CYTH3,229,384,300,360,259,260,362,582,437,192,272,164
ADAM22,81,114,102,133,96,92,80,68,72,62,85,42
SYPL1,391,544,326,345,316,342,313,312,239,231,213,180
CYB561,204,326,270,208,255,214,93,196,119,27,24,36
SPAG9,2091,2881,1942,2748,2009,2182,2518,2653,2094,1658,1892,1448
CELSR3,161,225,150,211,212,197,109,134,81,89,75,51
AASS,164,281,153,331,281,258,106,128,79,77,91,70
PLEKHG6,0,3,0,1,0,1,0,0,3,0,0,0
SS18L2,305,449,314,405,295,374,198,271,191,148,178,118
MPND,69,144,127,178,204,102,55,96,66,42,46,60
MGST1,718,1166,768,696,783,688,255,418,293,103,149,97
CRY1,391,537,349,418,384,419,371,461,305,350,356,217
PGLYRP1,0,0,0,0,0,0,0,0,0,0,0,0
NFIX,104,161,132,229,229,141,250,254,166,183,177,186
ST3GAL1,917,1236,790,775,762,751,982,1400,832,469,528,432
MMP25,0,1,0,0,0,0,1,0,0,1,0,0
IL32,0,0,0,0,0,1,3,2,1,2,0,0
PKD1,328,507,425,879,622,399,1058,1428,962,1222,1319,1199
MAPK8IP2,4,1,6,3,6,6,5,7,3,1,2,2
MED24,621,810,605,747,754,692,726,988,609,480,442,443
RHOBTB2,33,81,54,36,19,17,14,24,9,12,8,20
HEATR5B,991,1242,708,1018,823,779,679,852,595,477,483,389
SEC62,1451,2212,1436,1865,1613,1791,1420,1770,1275,2032,2363,1481
RPS20,20935,27230,18220,27207,18698,19781,17180,23249,15984,14495,15185,11007
CSDE1,9649,11907,7453,11640,8794,9178,8564,11608,7213,7077,8667,5682
UBE3C,1377,2186,1423,2146,1821,1866,1985,2651,1608,1721,1964,1133
REV3L,3552,4178,2473,3750,2030,2181,3757,5076,3006,2299,2438,1671
TENM1,38,2,1,2,74,1,1,2,4,7,6,6
PAX7,0,0,0,0,0,0,0,0,0,0,1,0
MASP2,2,0,0,0,2,1,0,0,1,1,0,0
IYD,11,18,7,22,14,16,12,21,12,11,13,9
FAM76A,130,197,102,164,166,136,150,155,104,98,104,65
TRAF3IP3,16,22,37,5,15,5,12,7,7,0,8,2
POMT2,111,118,94,164,74,75,166,121,66,62,78,60
VTA1,1130,1580,1116,1492,1302,1274,824,1068,734,563,731,543
MLXIPL,20,16,21,56,60,32,120,138,100,67,79,99
BAZ1B,2471,3433,2262,3595,2883,2979,2598,3304,2063,2124,2435,1875
RANBP9,1061,1501,1052,1442,1134,1188,990,1094,804,626,787,532
ETV7,0,1,1,0,0,0,0,0,0,0,0,0
SPRTN,306,422,288,313,401,378,288,430,359,267,177,202
EEF1AKNMT,896,1434,1071,1174,1127,1131,1220,1632,1243,762,946,667
DYRK4,178,216,160,223,136,103,138,231,152,131,147,100
ZNF207,3533,5160,3546,4838,3966,3835,4528,6643,3959,3785,4361,3284
UQCRC1,1912,2615,1966,2897,2470,2286,1268,1832,1119,915,1090,951
STARD3NL,364,523,337,513,347,345,186,239,181,103,117,100
CD9,1,0,0,2,1,0,0,0,0,0,0,0
HHATL,0,0,0,0,0,0,0,0,0,0,0,0
NCAPD2,2493,3908,2783,3650,2939,2986,2682,3283,2017,1943,2347,2125
IFFO1,96,129,122,111,120,109,113,125,85,54,74,45
GIPR,86,85,68,93,94,87,22,47,28,2,17,12
PHF7,406,527,384,473,379,346,444,556,384,360,444,299
SEMA3G,3,6,6,47,49,31,21,20,13,12,22,29
NISCH,524,786,556,612,571,574,566,747,420,320,441,425
STAB1,0,0,0,0,0,0,1,2,0,0,0,0
FUZ,346,405,284,300,338,182,158,262,132,118,149,103
SLC6A13,0,2,1,1,5,3,2,2,1,6,10,1
IDS,111,109,54,100,87,80,59,91,50,52,61,29
PRSS3,0,0,0,0,0,0,0,0,0,0,0,1
ZNF200,210,291,211,274,304,326,150,183,136,101,120,78
CD4,0,0,0,7,2,1,0,1,0,2,2,2
LRRC23,39,56,40,73,37,33,60,94,61,53,52,30
BTK,2004,2715,1774,2292,1719,1804,1036,1493,1111,932,1032,749
HFE,45,77,47,60,55,80,48,64,32,27,29,17
SCMH1,288,356,303,278,192,238,381,585,316,281,204,266
FYN,3,3,1,36,3,8,14,34,17,125,121,87
HIVEP2,10,19,13,36,27,43,15,12,149,10,13,11
FMO1,0,1,0,1,0,0,0,0,0,0,0,0
ELOA,479,693,465,545,554,529,393,588,367,288,370,298
LYPLA2,116,116,128,101,154,152,102,107,90,60,52,60
CLCN6,232,312,217,336,289,194,348,409,261,246,290,224
MRC2,36,49,43,338,218,213,15,20,5,135,124,79
NME1-NME2,106,185,63,154,220,124,149,269,39,77,132,27
SLC6A7,0,0,0,0,0,0,0,1,0,0,0,0
TSPAN9,0,2,0,3,1,3,2,0,0,1,0,1
APBA3,95,147,116,172,155,134,138,160,141,84,95,131
MKS1,401,526,356,453,375,356,552,670,391,272,272,248
ABHD5,334,470,312,595,391,450,753,861,583,1019,1080,801
ANOS1,16,13,2,11,7,35,14,6,3,23,22,27
AKAP8L,1488,2038,1435,2568,2137,1677,2016,2917,1957,2482,2529,2073
MBTD1,586,749,491,683,432,502,527,673,446,449,556,381
UTP18,1213,1588,977,1399,1064,1189,898,1243,825,726,782,541
RNF216,388,514,351,395,343,332,705,951,502,381,459,288
TTC19,677,1058,669,944,662,624,695,882,540,484,513,413
PTBP1,3163,4275,2919,3871,4681,3375,2941,4073,2488,2204,2492,2141
DPF1,24,40,27,31,33,33,14,15,13,11,9,4
SYT7,1,0,0,2,0,0,0,0,0,0,0,1
LARS2,478,691,390,621,556,515,616,800,547,238,361,160
PIK3C2A,1362,1366,869,1320,798,923,1163,1910,1004,876,841,589
PLAUR,41,55,27,47,51,28,40,68,35,61,83,54
ANLN,1014,1397,1043,1744,1362,1518,1350,2012,1156,1802,2239,1644
WIZ,101,128,76,93,131,128,87,121,47,86,67,94
RABGAP1,595,882,701,843,789,636,770,884,633,571,559,467
DCN,0,2,0,0,2,2,6,2,0,3,0,0
QPCTL,48,101,86,92,83,47,79,94,24,28,38,52
PPP5C,813,1112,878,1253,1151,1078,639,910,666,482,508,361
CEP68,142,229,104,140,106,97,99,142,108,51,77,52
MAP4K3,469,394,291,376,186,198,339,502,263,134,222,94
ZBTB32,4,1,1,9,5,10,0,6,5,1,2,2
TYROBP,0,0,1,6,4,1,0,0,0,1,0,0
TMEM159,75,89,56,90,74,79,26,63,19,17,16,13
GABRA3,0,0,0,0,0,0,0,0,0,0,1,0
BRCA1,1947,2870,1761,2176,1496,1574,1970,3105,1795,1481,1695,1169
ERCC1,327,438,298,416,330,263,649,1047,600,460,507,433
CD22,7,11,9,3,4,10,7,9,11,5,6,7
SEMA3B,0,5,2,4,1,4,3,9,3,1,3,10
MBTPS2,228,269,195,211,181,165,100,171,111,86,101,75
PRICKLE3,17,49,31,41,49,28,42,42,14,24,36,23
LTF,5,3,12,1,2,5,3,5,2,7,18,5
EXTL3,1306,2019,1327,1550,1637,1463,720,1105,689,421,476,377
NR1H4,0,0,0,0,0,0,0,0,0,0,1,0
ELOVL5,3394,4685,3121,3877,2912,2830,4059,5262,3666,2777,3111,2101
ALOX5,609,827,748,616,494,612,365,587,405,275,205,208
KDM5D,2059,2397,1764,2065,1594,1543,1796,2390,1429,1266,1365,944
CALCOCO1,310,306,259,350,404,266,405,597,305,466,507,485
UBR7,143,156,47,115,82,45,65,128,50,90,73,31
MAP4K5,544,828,510,626,492,640,696,942,546,603,717,390
EHD3,4,0,2,8,5,7,0,1,0,0,2,3
MAN2B2,103,194,145,195,278,143,124,197,117,99,136,111
SLC7A14,44,44,17,20,17,17,5,89,31,20,31,5
CLDN11,30,41,13,33,23,25,35,36,23,14,27,23
SLC25A39,155,260,220,569,626,411,869,1336,699,1483,1782,1722
MVP,116,184,192,172,128,108,146,163,85,61,71,93
NUB1,301,511,296,421,325,345,378,513,340,298,349,280
PGM3,857,1294,682,1086,879,705,549,1069,599,509,565,437
RWDD2A,72,98,61,79,70,79,42,50,39,17,21,22
CLK1,1767,2191,1295,2156,1325,1567,2282,2968,1876,2453,2596,1820
POLR3B,526,824,580,802,566,580,449,695,479,310,416,281
ANGEL1,156,218,212,187,182,229,147,238,112,105,91,125
RNF14,688,935,603,995,785,666,587,850,588,598,597,404
DNASE1L1,140,200,141,192,150,121,107,154,104,117,145,122
DDX11,867,1097,745,1125,878,948,970,1306,934,721,772,547
HEBP1,142,200,129,92,86,75,71,80,67,34,50,17
GPRC5A,3,2,0,0,4,0,3,3,4,2,1,3
MAMLD1,0,0,0,0,0,0,0,0,0,0,1,2
CD6,1,1,2,6,2,3,1,12,5,2,12,5
TACC3,483,908,713,819,901,735,687,1039,693,802,921,699
UFL1,1606,2307,1381,1927,1486,1369,1386,1850,1275,1246,1476,968
POLA2,577,841,638,729,666,471,490,791,399,362,493,315
ZC3H3,23,37,17,29,30,26,23,31,10,18,33,30
CAPN1,729,949,608,881,1034,648,761,941,536,422,568,498
ACP3,621,864,634,313,312,371,71,187,81,13,9,13
MDH1,2988,3854,2626,3140,2268,2624,2514,3619,2341,1474,1635,1209
SLC30A9,2190,2706,1645,2433,1490,1575,1728,2462,1487,1470,1673,1159
MTMR11,1,5,1,3,6,2,5,5,2,5,1,11
COX15,860,1309,881,1063,924,799,606,779,535,485,532,384
CCDC88C,622,941,673,767,593,484,423,685,324,340,438,198
YAF2,333,441,321,424,305,370,254,304,220,301,200,122
ZMYND11,1164,1601,1084,1301,1050,983,882,1067,778,541,637,475
WAS,4,4,4,8,11,9,2,8,4,0,0,4
DPEP1,0,0,0,0,0,0,0,0,0,0,0,0
BID,170,380,247,335,411,349,296,335,246,173,166,142
MATR3,6813,8665,5708,7651,5738,6700,5054,6457,5002,4185,4802,3394
NPC1L1,0,0,0,0,3,2,1,2,0,0,2,2
XYLT2,40,94,55,57,67,44,48,84,39,28,40,18
RGPD5,344,279,111,288,164,217,276,342,317,73,91,70
STMN4,0,0,0,0,0,0,0,1,0,0,1,0
NUDCD3,571,945,639,814,805,599,635,1013,571,711,658,520
ISL1,0,0,2,0,0,0,0,0,1,0,0,0
CHDH,122,164,119,134,123,121,122,73,47,42,45,35
IL20RA,0,0,0,0,0,0,0,2,0,0,0,0
CLCA1,21,29,26,59,30,57,2,6,1,1,1,5
CLCA4,0,0,0,0,1,0,0,0,0,0,0,0
GLT8D1,658,983,662,883,698,677,415,787,454,335,404,255
ATP2C1,1880,2674,1511,2419,1647,2144,1322,1663,1148,849,1012,758
IGF1,5,12,5,13,13,3,3,18,5,7,13,4
SLC38A5,417,647,573,887,940,719,423,574,348,314,428,358
RALBP1,2963,4360,3043,1925,1712,1716,2269,3103,2036,952,1299,897
RUFY3,352,476,306,448,265,410,245,352,248,188,186,127
CNTN1,0,1,0,0,0,2,0,1,0,0,2,0
SLC11A1,112,170,119,126,127,98,90,110,68,49,65,27
WWTR1,4,12,12,26,31,23,12,9,6,7,4,17
AGPS,2326,2852,1817,2763,2262,2151,1854,2484,1713,1261,1541,1122
ZNF806,0,0,0,0,0,0,0,0,0,0,0,0
CXorf56,406,543,327,496,411,362,385,518,305,303,346,243
ATP1A2,2,5,2,3,0,1,5,4,5,2,2,1
TTC27,943,1428,951,1343,974,1075,1035,1342,977,550,694,486
ZNF582,53,75,63,101,67,61,29,28,27,32,42,48
VSIG2,0,0,0,0,0,0,0,0,0,0,0,0
PHLDB1,179,264,180,390,338,222,99,148,66,77,68,74
MARCO,0,0,2,0,0,0,0,1,0,0,0,0
CYP24A1,0,0,0,0,1,0,0,0,0,0,0,0
PRDM11,49,81,75,88,83,61,85,135,62,133,90,115
SYT13,3,0,2,0,1,1,5,5,2,5,3,1
SNAI2,211,285,232,37,30,29,24,19,17,14,12,4
CD74,0,1,0,0,1,2,0,0,0,0,1,1
HGF,0,0,0,0,0,0,0,0,0,1,0,1
ZRANB1,887,936,568,1042,668,815,810,986,685,816,978,716
NCDN,84,135,94,149,159,110,92,174,85,48,93,67
ADGRA2,42,63,43,98,116,79,5,16,6,17,12,11
CCT8L1P,0,0,0,0,0,0,0,0,0,0,0,0
ZFP64,110,162,109,134,119,116,72,90,90,36,47,37
MNAT1,249,296,199,296,170,189,365,497,320,226,259,184
SAMD4A,109,178,124,165,103,79,168,197,128,51,45,42
RUNX3,10,18,6,10,13,11,7,7,3,1,3,4
MRE11,1322,1708,1081,1760,1029,1262,1895,2142,1495,1386,1379,946
PLEKHB1,2,0,3,1,0,0,0,1,0,0,0,0
SERPINB1,16,13,9,53,72,58,15,17,8,15,18,17
CYP3A43,3,8,0,4,3,1,4,2,1,8,1,1
SLC7A9,0,0,0,0,1,0,0,2,0,1,0,0
SPAST,688,944,678,998,776,816,809,997,760,751,864,702
NRXN3,14,4,3,5,3,2,8,3,4,27,26,1
OSBPL5,113,157,109,259,265,201,124,125,139,65,102,81
AQR,2066,2444,1742,2591,1690,1944,1807,2540,1682,1306,1419,1034
CPS1,20,29,46,92,64,63,32,27,43,111,127,64
C8B,0,0,0,0,0,0,0,1,0,0,0,0
