gene_name,Wild-type_rep1,Wild-type_rep2,Wild-type_rep3,ATF7IP_KO_rep1,ATF7IP_KO_rep2,ATF7IP_KO_rep3,SETDB1_KO_rep1,SETDB1_KO_rep2,SETDB1_KO_rep3
TEAD3,165,237,213,164,262,98,213,235,144
SELE,0,0,0,0,0,0,0,0,0
DNAJC11,822,1124,1088,656,908,503,717,962,623
FMO3,12,10,15,8,8,7,6,11,9
MYLIP,60,87,68,117,178,95,103,167,103
NOX1,2,9,7,8,5,2,8,13,3
E2F2,235,277,236,216,390,147,366,316,219
PSMB1,1826,2495,2071,2015,2512,1307,1697,2667,1674
SYN1,2,1,4,0,4,2,2,3,2
JARID2,720,1033,1078,817,1184,647,865,1051,840
CDKL5,552,782,746,416,634,446,515,661,468
CAMK1G,9,15,16,5,2,8,18,0,3
CDK11A,142,197,264,139,255,129,194,244,211
NADK,653,800,621,538,749,288,605,810,477
TFAP2B,0,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0,0
DLEC1,9,26,18,15,32,8,12,29,27
CYTH3,806,1117,1145,575,1099,479,819,904,670
ADAM22,342,427,486,238,479,133,470,384,262
SYPL1,942,1459,1198,963,1534,563,1351,1499,1038
CYB561,607,784,580,540,750,354,485,803,510
SPAG9,2029,2661,2570,2063,2856,1679,2073,2636,1962
CELSR3,108,150,96,114,182,52,153,155,106
AASS,1,2,0,1,0,0,1,1,1
PLEKHG6,8,25,15,32,51,19,31,42,23
SS18L2,172,218,157,134,254,107,174,224,152
MPND,80,80,68,55,86,27,75,99,38
MGST1,721,1004,1032,476,729,280,506,618,436
CRY1,338,432,418,376,551,313,443,495,385
PGLYRP1,6,6,5,5,3,3,2,3,1
NFIX,89,115,105,99,107,77,82,132,65
ST3GAL1,189,213,205,87,127,83,98,174,126
MMP25,2,5,2,5,3,0,7,6,8
IL32,22,43,24,4,10,4,8,14,7
PKD1,525,589,413,520,881,393,758,692,437
MAPK8IP2,33,46,41,28,50,17,23,40,20
MED24,676,868,775,610,893,470,541,872,571
RHOBTB2,482,711,714,447,788,307,887,724,524
HEATR5B,656,858,859,649,969,403,624,861,660
SEC62,1463,2201,2483,1679,2721,1294,2146,2660,1927
RPS20,8200,11085,11022,8243,11700,5515,9308,13554,8259
CSDE1,13965,19490,20088,12719,18722,9521,15532,16486,13682
UBE3C,1622,2245,1974,1400,2218,955,1512,2047,1319
REV3L,1537,2179,2234,1549,2387,1111,1991,2017,1569
TENM1,5,3,2,193,3,36,3,10,6
PAX7,0,0,0,0,0,0,0,0,0
MASP2,14,26,18,23,36,11,22,16,23
IYD,28,32,50,30,55,24,31,42,39
FAM76A,130,171,164,105,213,98,205,202,150
TRAF3IP3,18,29,33,16,19,7,9,16,17
POMT2,206,284,195,196,283,130,184,291,183
VTA1,642,909,798,571,913,398,708,860,645
MLXIPL,65,76,62,58,94,42,63,66,51
BAZ1B,3824,5059,5868,3577,5977,2303,6108,5364,4011
RANBP9,876,1198,1223,1066,1527,710,1267,1446,923
ETV7,11,18,15,19,27,14,13,24,9
SPRTN,387,521,528,386,561,278,413,499,411
METTL13,458,676,539,377,654,304,407,518,380
DYRK4,7,10,7,3,8,5,2,10,5
ZNF207,3702,5026,4696,3335,5241,2318,3988,4996,3575
UQCRC1,1834,2335,2115,1728,2882,1040,2336,2914,1768
STARD3NL,399,568,472,467,624,276,439,630,394
CD9,1729,2550,2060,1942,3005,1220,1440,2593,2043
HHATL,0,0,1,0,0,0,0,1,0
NCAPD2,3880,5386,5304,3633,5996,2986,3909,5816,3776
IFFO1,6,6,4,3,16,2,7,8,12
GIPR,14,20,23,18,18,7,15,21,16
PHF7,31,41,47,56,69,25,43,61,42
SEMA3G,44,41,47,7,10,7,23,11,11
NISCH,609,775,673,522,985,405,601,855,544
STAB1,9,11,4,17,18,18,7,9,21
FUZ,1,2,0,1,2,1,3,2,0
SLC6A13,0,0,0,0,1,0,0,0,0
IDS,123,168,151,173,216,93,150,184,158
PRSS3,0,0,0,0,0,1,0,0,0
ZNF200,346,461,418,482,611,265,455,556,454
CD4,2,4,0,0,1,1,0,1,2
LRRC23,64,88,67,74,118,52,117,103,92
BTK,1,0,0,0,3,1,2,0,0
HFE,268,415,336,345,459,178,342,396,263
SCMH1,382,464,473,316,438,171,444,376,267
FYN,3551,4825,4675,3542,5567,2887,4062,5320,3581
HIVEP2,414,568,608,377,540,259,616,531,348
FMO1,1,0,0,0,0,0,0,0,1
ELOA,800,984,1146,730,1004,489,778,863,721
LYPLA2,337,416,292,258,361,159,223,345,206
CLCN6,134,173,162,108,193,72,83,165,98
MRC2,983,1255,1079,1053,1691,508,1111,1583,930
NME1-NME2,159,119,146,132,141,98,93,232,130
SLC6A7,0,0,0,0,0,0,1,0,1
TSPAN9,120,178,123,105,188,108,150,236,94
BTBD7,269,387,367,278,423,198,293,435,302
APBA3,132,127,102,119,161,56,146,147,77
MKS1,176,302,198,178,276,110,329,307,177
ABHD5,215,312,280,192,333,168,250,313,217
ANOS1,0,0,0,0,0,0,0,0,0
AKAP8L,588,718,881,595,936,496,859,916,569
MBTD1,535,751,703,472,772,351,582,679,469
UTP18,1476,1948,1627,1285,1927,849,1639,1715,1214
RNF216,991,1310,1297,844,1606,703,1500,1521,1025
TTC19,844,1101,1099,786,1103,432,1083,1250,783
PTBP1,4366,5930,4860,3348,5382,2458,3240,5024,3062
DPF1,59,78,85,58,86,48,86,65,50
SYT7,149,191,161,295,483,165,176,244,276
LARS2,927,1322,1265,754,1288,541,1043,1237,848
PIK3C2A,1887,2616,2701,1433,2754,1224,2175,2699,1840
PLAUR,170,209,228,198,307,121,226,251,223
ANLN,6478,8797,9977,5767,8717,3964,4338,9394,5731
WIZ,168,229,235,184,295,142,220,226,152
GPR21,861,1083,1074,895,1276,573,1017,1201,842
DCN,6,6,14,5,10,6,5,9,9
QPCTL,198,242,203,175,256,75,166,262,123
PPP5C,1037,1304,1235,901,1391,662,931,1320,888
CEP68,536,726,630,476,837,273,772,745,445
MAP4K3,866,1188,1167,836,1321,618,1068,1087,849
ZBTB32,40,37,41,31,50,17,42,52,28
TYROBP,0,0,0,0,0,0,1,0,0
TMEM159,71,104,74,77,87,44,63,101,55
GABRA3,74,76,111,91,123,77,95,132,94
BRCA1,1453,2173,2290,1554,2513,1001,2905,2271,1787
ERCC1,501,644,564,542,769,264,612,749,534
CD22,31,34,41,85,76,25,79,63,87
SEMA3B,1030,1314,1189,843,1495,808,1154,1379,1029
MBTPS2,395,540,516,413,693,279,712,667,507
PRICKLE3,107,148,142,104,166,82,108,152,99
LTF,0,0,0,0,0,0,0,0,0
EXTL3,705,997,744,577,800,453,467,773,438
NR1H4,0,0,0,0,0,0,0,0,0
ELOVL5,2211,3162,3158,2480,4105,1812,2838,3810,2503
ALOX5,0,0,0,0,0,0,0,0,0
KDM5D,10,6,7,2,7,4,7,6,7
CALCOCO1,297,356,379,348,476,234,345,399,360
UBR7,327,438,422,329,558,220,420,520,375
MAP4K5,923,1186,1354,655,1201,497,971,1075,767
EHD3,0,1,1,0,3,0,1,0,1
PSMC4,413,556,530,421,551,277,364,551,402
MAN2B2,210,276,258,230,311,114,231,375,205
SLC7A14,45,34,41,40,59,17,24,46,26
CLDN11,17,22,22,19,39,22,26,20,18
SLC25A39,1898,2635,2138,1759,2550,901,1935,2326,1399
MVP,225,281,249,234,383,176,189,335,237
NUB1,808,1007,1223,824,1138,568,1087,1119,858
PGM3,1003,1389,1235,995,1333,664,933,1313,876
RWDD2A,102,131,131,108,149,63,124,159,94
CLK1,985,1355,1374,647,1056,591,1199,1158,810
POLR3B,455,741,743,445,681,305,737,590,517
ANGEL1,144,184,125,152,154,91,151,177,118
RNF14,422,624,487,493,658,301,562,719,450
DNASE1L1,167,286,206,231,286,100,161,272,195
DDX11,1252,1572,1355,1121,1877,810,1578,1756,1184
HEBP1,129,196,223,103,183,75,212,207,146
GPRC5A,2893,3710,2811,2140,3656,1731,2032,2694,2458
MAMLD1,77,97,82,63,107,63,128,69,48
CD6,19,32,15,24,22,15,15,19,11
TACC3,612,884,945,630,1051,469,864,1235,637
UFL1,619,949,923,774,1072,501,843,913,788
POLA2,606,730,651,493,751,304,769,731,565
ZC3H3,104,168,120,96,236,110,125,175,111
CAPN1,516,640,621,497,745,309,330,747,435
ACPP,9,6,11,11,9,6,3,10,12
MDH1,2231,3077,2204,2065,3001,1242,2194,3167,1800
SLC30A9,1143,1638,1684,1064,1642,683,1416,2083,1205
MTMR11,51,53,49,86,90,34,69,79,63
COX15,906,1281,1111,895,1245,534,1059,1237,864
CCDC88C,205,273,345,123,216,94,264,188,117
YAF2,328,430,389,327,549,258,390,482,316
ZMYND11,1034,1465,1576,917,1401,729,1241,1503,917
WAS,2,7,6,6,3,2,5,6,4
DPEP1,0,1,0,1,2,0,0,1,1
BID,238,317,273,206,262,116,265,304,171
MATR3,6975,9846,11047,6555,10618,5193,8260,9228,7654
NPC1L1,2,2,2,3,2,1,0,1,1
XYLT2,337,458,434,318,509,210,331,477,291
RGPD5,386,219,185,130,205,235,198,202,355
STMN4,8,7,5,6,9,2,4,3,2
NUDCD3,834,1152,1001,798,1223,447,974,1251,825
ISL1,0,0,0,0,0,0,0,0,1
CHDH,301,399,296,251,392,155,331,399,236
IL20RA,0,0,0,0,0,0,0,0,0
CLCA1,0,0,0,0,0,0,0,0,0
CLCA4,0,0,0,0,0,0,0,0,0
GLT8D1,592,734,720,508,831,360,628,838,554
ATP2C1,1177,1681,1507,1101,1720,773,1236,1812,1190
IGF1,0,0,0,0,0,0,0,0,0
SLC38A5,0,2,1,1,1,0,8,1,0
RALBP1,1105,1607,1625,958,1441,598,1222,1470,1007
RUFY3,265,331,348,334,449,216,341,497,338
CNTN1,0,0,0,1,1,1,0,0,1
SLC11A1,31,42,39,33,49,30,25,52,33
WWTR1,1267,1866,1768,1644,2975,1371,1988,2329,1901
AGPS,1560,2208,2083,1448,2112,965,1624,1919,1466
CXorf56,449,594,565,465,571,309,460,576,488
ATP1A2,1,1,3,6,1,1,2,2,4
TTC27,637,928,945,594,767,395,754,744,540
ZNF582,0,0,0,6,6,4,1,1,1
VSIG2,3,3,2,11,8,4,9,8,11
PHLDB1,547,631,615,373,664,295,395,634,429
MARCO,0,1,0,0,0,0,0,0,0
CYP24A1,7,11,6,67,66,19,18,13,70
PRDM11,290,357,317,253,362,176,362,397,292
SYT13,2,1,1,2,2,0,0,2,0
SNAI2,184,255,290,353,577,420,430,532,417
CD74,17,26,17,22,23,14,17,18,9
HGF,0,0,0,0,0,0,0,0,0
ZRANB1,624,898,943,601,886,427,895,923,675
NCDN,203,268,234,174,282,112,168,208,163
ADGRA2,80,87,107,111,177,63,196,177,122
ZFP64,266,364,360,280,388,218,294,383,271
MNAT1,445,549,620,299,538,236,466,497,352
SAMD4A,378,471,463,205,272,198,322,349,223
RUNX3,42,80,55,66,59,50,63,68,53
MRE11,1692,2305,2383,1953,2799,1232,2455,2813,2053
PLEKHB1,1,1,2,0,7,1,1,6,1
SERPINB1,1324,1900,1830,1371,1848,679,2007,1751,1324
CYP3A43,5,5,9,4,8,3,6,8,6
SLC7A9,2,1,1,2,4,1,3,2,4
SPAST,1001,1388,1260,1020,1423,747,1105,1251,964
NRXN3,178,306,271,129,270,102,154,199,122
OSBPL5,460,616,493,422,737,278,353,557,419
AQR,2104,2856,2901,1820,2771,1287,2244,2526,1789
CPS1,63717,89953,83796,63240,95587,36837,90628,91901,59481
C8B,0,0,0,0,0,0,0,0,0
FHL1,10,12,11,12,8,8,8,9,6
RTFDC1,786,1054,1031,788,1044,549,905,1114,784
GABRA1,0,0,2,0,2,1,0,1,0
NLRP2,2,4,6,4,5,0,9,5,4
SLC45A4,340,398,361,344,527,207,408,431,290
RNF10,784,983,972,792,1304,547,844,1237,761
ZNF839,173,239,186,176,278,107,228,213,191
ZDHHC6,523,738,687,522,707,372,627,657,506
GRAMD1B,625,766,698,611,965,556,640,878,695
RNH1,407,517,414,368,608,307,355,677,348
NDUFS1,1275,1696,1557,1194,1799,762,1476,1758,1133
RB1CC1,2515,3262,3840,2559,3417,1910,3959,4732,2611
ERP44,558,790,783,575,943,502,786,898,639
ALAS1,506,721,614,573,862,359,640,772,448
BIRC3,173,216,218,38,77,33,292,96,72
AKAP11,593,844,755,615,1069,470,775,948,674
GLRX2,233,290,271,224,269,163,318,241,193
SNAPC1,244,342,371,198,311,135,343,287,162
DERA,456,663,606,504,764,272,545,675,468
STRAP,2510,3630,3354,2034,3446,1753,2794,3592,2540
ABCC2,1053,1522,1372,1461,2089,813,1164,1744,1227
DEF6,83,112,106,137,213,117,133,156,105
PLEKHO1,11,6,8,8,16,8,10,3,7
GCLM,688,922,820,563,812,430,549,571,479
UBR2,1605,2152,2045,1633,2243,1120,1716,2266,1618
EHD2,278,324,293,203,282,144,153,353,162
DEPDC1,3803,5157,5034,3351,5062,2198,4223,4757,2980
CCDC28A,70,96,108,66,114,50,108,126,90
RRAGD,3,4,4,2,5,0,2,4,2
HSF2,376,461,427,334,458,232,430,459,346
PHF20,1613,2239,2290,1942,3327,1674,2187,2793,2503
HSD17B6,62,91,72,81,124,46,78,85,87
NR1H3,202,314,224,196,313,112,315,311,179
TYMP,223,329,254,221,305,99,312,260,183
NCAPH2,449,604,454,458,596,288,633,712,415
TOMM34,626,896,843,508,759,343,604,764,481
SEC63,1150,1719,1738,1214,2012,803,2277,1720,1348
KPNA6,3157,4112,3576,2772,4011,1858,2828,3131,2595
VIM,8815,12418,12475,8762,12090,5968,8392,10761,9194
RTEL1,136,133,96,113,113,47,98,142,70
FAS,264,358,338,203,263,85,243,316,159
RNASET2,112,160,140,158,221,82,209,267,123
CD44,1150,1771,1763,304,581,329,1077,726,345
KCNG1,14,9,22,12,20,7,11,7,13
AGPAT4,9,5,14,14,30,8,9,17,7
SLAMF7,4,3,1,1,5,4,3,7,6
BTN3A1,328,398,336,265,330,115,187,371,221
MIPEP,186,244,249,202,279,111,207,262,158
PRKCH,57,45,51,13,35,19,31,23,17
INSRR,2,0,1,1,1,1,1,1,0
IFNGR1,238,354,307,244,432,212,482,403,305
B4GALT7,111,102,110,80,113,45,97,115,57
SH2D2A,53,64,53,66,89,34,80,35,40
VRK2,461,612,631,438,669,329,576,600,478
TNFRSF1B,7,9,7,7,5,2,3,10,10
VEZT,808,1081,1106,749,1084,484,1141,1029,812
POU2F2,2,6,4,4,6,3,0,9,6
BRD9,1368,1938,1741,1151,1722,839,1224,1777,1164
SNX1,980,1501,1493,916,1518,704,1328,1578,1097
TBPL1,174,222,195,147,194,144,139,198,142
ARNTL2,257,337,310,124,173,73,184,204,106
BCLAF1,6306,8449,9384,5668,8709,4126,6462,7924,5861
SLC39A9,1181,1590,1461,1177,1726,742,1130,1794,1076
ANK1,116,157,157,97,160,64,191,212,83
IBSP,0,0,0,0,0,0,0,0,0
TFB1M,128,184,190,111,191,66,203,208,123
RABEP1,2080,2712,3068,1795,2737,1353,2503,2886,1884
HMGB3,1576,2262,2281,1765,2415,1165,1544,2452,1830
NUP160,3954,5638,4976,3616,6071,2489,5009,5494,3919
BAK1,243,313,246,194,318,134,306,415,227
MUSK,0,0,0,0,0,0,0,0,0
IKZF2,0,2,1,0,2,0,0,3,0
GRN,1156,1438,1182,1243,1694,730,1130,1544,1032
FAM13B,549,774,710,641,1022,524,1147,1040,788
ARHGAP31,3,7,7,7,6,2,2,9,9
CENPQ,339,399,411,288,446,200,381,410,303
SARS,1812,2562,2743,1837,2772,1247,6323,2919,2257
RANBP3,594,798,746,521,857,416,601,850,558
ARID4A,392,502,594,416,755,269,769,663,481
TSSC1,236,347,259,270,304,114,246,302,203
PNPLA6,345,375,298,317,468,213,195,338,225
IFT88,287,335,386,231,410,150,384,377,274
ALG1,292,428,335,246,409,172,300,411,246
ZCCHC8,507,703,622,485,755,352,1078,706,499
ABCF2,1370,1963,1736,1087,1528,776,1312,1614,1071
CHPF2,254,329,284,361,476,258,218,454,269
LRRC7,34,71,74,50,59,46,60,50,55
FUT8,148,220,215,233,338,110,204,288,206
UBA6,1700,2309,2326,1698,2542,1098,2058,2784,1675
GAB2,436,539,567,136,257,142,277,233,162
ATP6V0A1,438,519,490,406,540,289,315,496,329
PIAS1,922,1248,1277,795,1288,621,1000,1217,867
SLC4A7,1295,1687,1752,695,1410,472,1714,1534,786
APBA2,0,3,1,0,2,0,1,2,2
MAP2K3,160,271,199,132,251,109,159,226,151
EFCAB1,2,1,0,1,0,1,1,2,0
TMSB10,7907,10408,9002,7393,8523,4704,6273,10789,6793
ASTE1,100,154,142,126,159,84,192,158,128
RNF19A,1701,2274,2222,1845,2647,1489,2217,2897,2091
PEX3,187,263,260,175,236,109,233,240,199
GABARAPL2,448,577,602,411,612,272,399,605,432
MYOC,0,0,0,0,0,0,0,0,0
SH3YL1,60,75,61,45,73,44,63,82,63
FAM136A,1008,1423,1503,798,1068,505,1162,1284,795
VCL,3968,5332,4932,2936,3917,2020,2702,3711,2648
DEPDC1B,380,552,425,347,503,227,333,505,311
DAPK2,70,69,67,96,155,45,120,101,88
NSMAF,616,909,1072,634,842,389,870,936,629
ADSS,952,1350,1246,927,1254,637,928,1078,998
STAP1,0,2,0,0,1,0,0,0,0
TIMP2,899,1266,1203,1013,1705,802,997,1393,1214
RFC1,2343,3266,3399,2358,3519,1886,3530,5309,2809
TBC1D23,628,865,848,565,809,441,759,928,573
CUL3,973,1302,1388,931,1368,697,953,1361,949
MYOM2,0,0,0,0,1,0,1,0,0
OTC,0,0,0,0,0,0,0,0,0
CYP46A1,130,169,200,156,251,110,136,201,174
ZZZ3,2938,3965,4021,2564,3904,1826,4230,3354,2658
SLC18A1,2,0,0,0,1,1,0,1,0
USP2,46,63,60,31,58,21,46,53,41
CASR,0,0,0,0,0,0,0,0,0
TUBG2,71,88,76,88,116,53,71,102,61
RPL26L1,350,498,499,312,484,234,325,578,381
