gene_name,WT1,WT2,WT3,KO2_ASH1L,KO1_ASH1L,KO4_ASH1L,KO3_ASH1L
HFE,306,420,286,1611,133,466,328
SCMH1,2048,2040,2145,2081,2460,2783,2353
FYN,124,280,269,50,3428,532,316
HIVEP2,1655,2056,2399,1285,4101,4699,2924
FMO1,0,0,0,0,0,0,0
ELOA,11236,12152,10503,9886,9976,12876,11601
LYPLA2,5011,5210,5113,5423,4596,6369,4403
CLCN6,2211,2488,2829,3022,1942,3093,1666
MRC2,1275,1230,1640,48,4982,3655,2102
NME1-NME2,7845,10479,8373,5220,5637,5571,3739
SLC6A7,1,0,0,1,0,0,0
TSPAN9,1902,2133,2415,2934,443,820,438
APBA3,879,1086,969,738,1217,1141,1153
MKS1,901,1133,1297,1334,798,1150,739
ABHD5,965,1258,911,1077,1114,1317,844
ANOS1,0,0,0,0,0,0,0
AKAP8L,2717,3045,2895,2606,3287,4303,3479
MBTD1,1106,1503,1774,2055,1119,1495,978
UTP18,5649,7987,6101,5765,4927,6470,3890
RNF216,4778,5176,4971,6182,4203,6230,4331
TTC19,2113,2808,2668,2838,2777,2899,2026
PTBP1,36879,38118,31695,26739,38350,46414,34023
DPF1,77,90,65,120,163,174,148
SYT7,146,131,115,435,134,205,105
LARS2,4053,4442,4164,5123,4188,5764,2700
PIK3C2A,6222,7442,6095,10716,6606,8347,6312
PLAUR,2543,2750,2720,1348,4522,6590,1525
ANLN,20365,20177,16674,21575,21242,31814,17960
WIZ,3648,3554,3498,3522,4485,5202,3684
RABGAP1,2079,2508,2142,3489,2383,3233,1478
DCN,12,27,6,18,8,12,6
QPCTL,932,1251,1432,873,763,1241,720
PPP5C,7294,7749,7281,6357,5703,10396,4813
CEP68,1126,1316,1538,1485,934,1630,965
MAP4K3,4103,4185,3954,3469,1319,2417,2904
ZBTB32,38,48,67,59,16,57,16
TYROBP,1,1,0,3,0,0,0
TMEM159,547,670,586,702,254,414,386
GABRA3,1505,1862,1843,1450,1726,3505,612
BRCA1,5314,6525,5871,7935,7157,11177,3952
ERCC1,1970,2120,2083,1635,2101,3041,1244
CD22,32,44,45,325,33,60,38
SEMA3B,1317,1269,1463,2419,267,631,956
MBTPS2,2314,2928,2900,4578,1020,3759,972
PRICKLE3,951,1014,1137,803,453,1314,540
LTF,1,0,1,3,5,9,15
EXTL3,2832,3107,2700,2776,3560,5997,2784
NR1H4,0,0,0,4,2,0,0
ELOVL5,12348,13497,12045,11786,8394,14909,7839
ALOX5,394,342,439,1005,9,184,103
KDM5D,0,0,0,0,0,0,0
CALCOCO1,1279,1745,2143,2081,2060,2544,824
UBR7,77,0,86,40,51,42,83
MAP4K5,5117,5585,5447,6080,5781,6552,4712
EHD3,70,93,77,51,163,372,66
MAN2B2,2852,2600,2862,4214,4079,6379,1575
SLC7A14,36,40,61,59,49,70,67
CLDN11,41,26,24,99,28,20,25
SLC25A39,9404,9269,9549,10630,11789,13132,12572
MVP,8975,10266,11329,14583,5170,10479,6214
NUB1,8412,11015,9568,10254,4861,11022,3697
PGM3,5216,5797,5388,4855,3190,5787,3905
RWDD2A,301,359,415,543,285,441,285
CLK1,1808,1692,1614,1901,1601,1537,1466
POLR3B,3565,4369,3797,3204,2045,3177,2889
ANGEL1,1500,1924,1616,3074,1805,2797,1654
RNF14,4773,5218,4789,4592,3999,6570,2633
DNASE1L1,3573,3965,3770,2168,1138,3290,1906
DDX11,9151,8016,7660,7002,6663,6949,8137
HEBP1,1205,1378,1370,1468,864,1185,527
GPRC5A,6466,6843,6152,8080,3080,4463,1221
MAMLD1,4399,3491,2819,1799,5145,5042,5253
CD6,34,32,27,66,19,91,14
TACC3,8994,9275,7132,10386,10744,11894,5965
UFL1,2813,3170,3072,3970,2077,4147,2135
POLA2,2995,3560,2559,3410,2515,3681,2359
ZC3H3,1470,1353,1265,1262,1520,1620,1160
CAPN1,10236,11131,10242,8261,6877,9611,6084
ACP3,0,1,1,0,0,0,0
MDH1,10492,12863,12066,9588,11752,12220,10765
SLC30A9,6114,7147,6861,6634,5913,8318,3497
MTMR11,4909,5510,6084,4229,2332,6648,3500
COX15,3931,4975,4707,5437,3124,3772,2574
CCDC88C,1518,1506,1529,926,1084,1418,1085
YAF2,471,561,565,332,506,774,403
ZMYND11,3316,3538,3153,2360,2799,3621,2283
WAS,92,51,75,28,4,61,31
DPEP1,1,3,7,23,0,4,0
BID,1181,1496,1159,3510,701,1365,1693
MATR3,27559,27565,24142,29670,24098,31700,20034
NPC1L1,859,1010,1233,4717,0,202,362
XYLT2,1163,1307,1527,1689,1567,2138,916
RGPD5,29,68,32,27,43,20,36
STMN4,1,0,0,0,0,0,0
NUDCD3,5039,5989,6650,6522,6343,8105,4261
ISL1,2,4,4,6,69,30,0
CHDH,149,148,90,877,24,45,177
IL20RA,105,142,157,526,2,712,154
CLCA1,0,0,0,0,0,0,0
CLCA4,1,0,0,0,0,1,0
GLT8D1,3386,3952,3522,4056,3722,5206,1888
ATP2C1,13457,16792,15237,15923,14464,15266,9802
IGF1,1,0,2,0,2,1,3
SLC38A5,7244,7966,7434,7048,3705,6714,4510
RALBP1,8814,10588,9114,6901,9757,9158,5504
RUFY3,1027,1470,1155,1078,1332,1243,1384
CNTN1,5,4,1,3,2,0,0
SLC11A1,27,18,59,23,9,55,44
WWTR1,7141,7664,7242,5502,5789,10165,3634
AGPS,7715,9014,8180,9501,5884,7378,6515
ZNF806,0,0,0,0,0,0,0
CXorf56,1885,2292,2207,1828,1761,2186,1363
ATP1A2,14,9,17,8,4,49,8
TTC27,3557,3965,3346,3168,2240,3077,3006
ZNF582,47,96,65,94,45,233,64
VSIG2,38,40,33,37,0,12,12
PHLDB1,1602,1725,1544,1517,1839,3650,1025
MARCO,0,0,0,0,4,1,0
CYP24A1,10,10,20,1091,6,76,0
PRDM11,104,111,81,304,210,227,149
SYT13,334,317,366,754,4,30,80
SNAI2,419,354,275,1119,2347,1772,677
CD74,66,83,82,173,94,142,6
HGF,7,8,6,3,0,0,0
ZRANB1,2312,2763,2393,2651,2277,2793,1605
NCDN,4310,4161,4162,4162,6804,6849,4681
ADGRA2,50,80,148,76,121,865,57
CCT8L1P,1,0,0,0,0,0,0
ZFP64,1441,1906,1935,2259,1725,2341,1256
MNAT1,1403,1589,1421,1290,1305,1765,1011
SAMD4A,2535,2949,2713,1704,1937,1879,2655
RUNX3,98,80,93,612,74,638,296
MRE11,2733,3724,3342,2008,1813,2491,1343
PLEKHB1,47,58,79,113,152,321,137
SERPINB1,8045,10519,9295,10499,2639,8631,3979
CYP3A43,4,1,1,3,0,12,3
SLC7A9,5,9,11,166,3,0,0
SPAST,1184,1709,1397,1201,896,1377,861
NRXN3,8,7,12,9,69,80,11
OSBPL5,1086,1527,1762,1629,1019,1474,1540
AQR,5695,5252,4548,6026,4645,5740,4399
CPS1,559,810,776,663,1500,966,1223
C8B,0,0,0,0,0,0,0
FHL1,24663,33201,35040,5166,11787,30591,4947
RTF2,8013,8830,7153,8452,7889,11149,4277
GABRA1,5,7,5,0,0,0,5
NLRP2,290,191,97,505,295,312,693
SLC45A4,721,709,710,657,558,986,490
RNF10,12006,14406,13527,13301,9944,14726,7516
ZNF839,774,939,980,1095,898,1056,901
ZDHHC6,3696,4420,3383,3490,2855,3188,2319
GRAMD1B,634,793,631,1616,9,1131,158
RB1CC1,10855,16081,16523,14773,13448,22871,7045
ERP44,4133,4670,4306,5183,4478,5651,4374
ALAS1,4849,5505,5267,4526,4334,5282,3554
BIRC3,3098,3701,3048,4488,1213,1327,2074
AKAP11,4142,4902,4071,5017,4458,6744,3631
GLRX2,1458,1709,1475,998,486,892,836
SNAPC1,1438,1974,1938,1368,1240,2301,1007
DERA,3090,3877,3621,4214,2135,3283,2356
STRAP,23622,29245,24182,19581,16992,24021,15766
ABCC2,13065,13606,12971,26424,168,4913,7790
DEF6,486,569,556,230,341,772,737
PLEKHO1,701,588,535,255,841,695,536
GCLM,8140,11426,9769,5163,4584,8668,3639
UBR2,3131,3753,3770,3326,2580,4663,2341
EHD2,11864,12980,12298,6530,8400,9976,4027
DEPDC1,5638,7083,5639,7027,6610,6012,5930
CCDC28A,876,1219,1350,1743,855,1768,500
RRAGD,43,60,109,377,22,331,6
HSF2,988,1027,856,905,1115,1974,776
PHF20,4099,5405,4441,5063,3754,5573,2926
HSD17B6,61,69,74,85,62,80,121
NR1H3,478,531,556,638,116,176,208
TYMP,765,942,975,947,1340,1004,1170
NCAPH2,3475,3317,3020,3925,3880,4111,3528
TOMM34,10366,11518,12052,9798,10514,14871,8101
SEC63,9215,10997,10485,10110,6667,10944,9302
KPNA6,6181,7130,5865,8240,6245,9717,7678
VIM,151718,160712,139823,78377,177075,204860,94689
RTEL1-TNFRSF6B,466,315,488,433,455,790,296
FAS,202,191,137,335,683,450,241
RNASET2,470,689,645,1144,171,1062,308
CD44,38874,41115,36605,17802,74836,81699,34245
KCNG1,13,11,40,14,12,38,36
AGPAT4,2019,2684,2942,1988,1648,3081,1233
SLAMF7,6,4,0,11,11,15,17
BTN3A1,587,668,786,1738,524,988,612
MIPEP,1707,2268,2190,1920,1380,2674,1394
PRKCH,113,189,105,156,8,189,25
INSRR,0,0,0,0,0,0,0
IFNGR1,4063,4681,4195,5544,2256,4923,2117
B4GALT7,2079,2113,2212,3068,2078,3283,1436
SH2D2A,34,34,83,59,72,127,23
VRK2,3141,3823,3259,2347,1838,2555,2804
TNFRSF1B,2152,2121,1619,3365,1093,654,910
VEZT,7237,9125,8895,7113,4101,6637,4749
POU2F2,40,33,38,63,52,27,61
BRD9,4476,4997,4323,3963,3553,5672,4225
SNX1,3629,3963,3444,4530,4221,5261,2370
TBPL1,1685,1861,1631,1971,2586,3695,1450
ARNTL2,5198,6210,5226,3667,4293,4667,4124
BCLAF1,15176,15659,12893,15201,11371,18422,11322
SLC39A9,4612,5600,4644,7732,4638,6729,4005
ANK1,760,767,679,76,104,617,130
IBSP,0,5,5,51,0,4,6
TFB1M,1468,1632,1768,1148,992,1440,980
RABEP1,4379,5287,4164,4630,3729,4979,4100
HMGB3,26347,30716,28146,13177,12489,32577,11602
NUP160,5903,7125,6367,8188,5520,7098,4475
BAK1,1647,1936,1765,1875,1935,2240,1649
MUSK,0,0,0,2,2,2,6
IKZF2,84,152,146,368,123,263,138
GRN,8414,9175,10590,17966,15752,20613,8479
FAM13B,3369,3491,3277,3183,4384,4359,2003
ARHGAP31,2553,2674,2133,1116,2584,2064,1583
CENPQ,1306,1394,1192,1612,1218,2048,919
SARS1,10747,16703,23497,10684,11338,11489,11509
RANBP3,2982,2900,2622,2536,3651,4511,3391
ARID4A,1167,1745,1536,1773,1281,1706,841
EIPR1,2222,2404,2604,1894,1721,2178,2085
PNPLA6,2737,3128,3703,3146,3963,5174,3064
IFT88,938,1098,1024,1204,434,1321,623
ALG1,3500,3718,3537,3772,2067,3368,2701
ZCCHC8,2718,3839,3934,3030,2492,2859,2168
ABCF2,21031,24407,22469,15607,12090,21380,14696
CHPF2,7807,7419,6438,7147,4750,9045,6239
LRRC7,0,0,0,0,1,0,0
FUT8,3921,4219,3551,5177,5289,7680,3368
UBA6,6237,7756,7374,7871,7915,9687,7509
GAB2,1505,1825,1856,643,248,659,1064
ATP6V0A1,3352,3445,3502,3643,2551,3743,3197
PIAS1,2061,2149,1795,3434,1781,2686,1716
SLC4A7,6489,7369,5684,6778,5239,7326,4764
APBA2,4,1,0,14,185,30,7
MAP2K3,3562,3588,3535,4986,3247,3698,2763
EFCAB1,5,6,7,51,55,204,26
TMSB10,78335,87064,85295,48533,42115,68907,42796
ASTE1,465,487,390,746,335,591,466
RNF19A,1343,936,713,1399,895,1383,847
PEX3,1810,2101,1484,1862,1899,2820,1134
GABARAPL2,3371,4277,4031,4097,3364,5544,2029
MYOC,0,0,0,16,0,0,0
SH3YL1,408,459,668,594,768,755,489
FAM136A,6750,7438,6195,5235,4785,5916,5956
VCL,32931,33530,27009,17202,23398,33234,15403
DEPDC1B,2200,2621,2219,2246,2404,2335,1593
DAPK2,215,381,248,584,62,190,262
NSMAF,5958,6242,6506,7132,5618,11022,6962
ADSS2,5669,7429,6517,6851,2840,5660,3943
STAP1,0,0,0,0,0,0,0
TIMP2,11130,12188,11339,18942,30688,37767,6209
RFC1,6786,8081,6648,9689,8604,10633,4859
TBC1D23,2004,3212,2774,2596,3294,4043,1510
CUL3,5851,6507,5100,5961,4250,5862,5157
MYOM2,1,0,6,0,2,2,7
OTC,0,0,0,0,0,0,0
CYP46A1,25,17,24,41,16,30,21
ZZZ3,6332,8394,7218,7071,5269,7245,6278
SLC18A1,5,7,4,2,7,5,4
USP2,122,141,147,117,131,228,117
CASR,0,0,0,0,0,0,0
TUBG2,795,766,859,1239,758,1162,973
RPL26L1,2344,2772,2374,2413,2152,3207,1587
FLT4,4,4,16,13,4,7,12
NSUN2,20655,23009,18117,17972,14009,21291,17031
FBXO42,1677,2147,1902,2662,1736,2797,1904
MFAP3,1250,1637,1360,1393,1913,1969,990
MRI1,1842,1881,1685,1202,1577,1676,1522
METTL1,2934,3070,2934,2408,1883,2949,1676
HOXC8,8,10,11,22,18,8,10
AGA,838,948,995,1785,676,1234,977
PI4K2B,1351,1365,1096,1893,857,1299,670
BOD1L1,3195,3756,3390,4505,3709,5085,1989
MAT2B,4296,5781,5794,4603,4913,6291,2409
TLL1,457,575,480,898,33,29,710
EDC4,7303,6222,5941,7179,5612,8155,6365
TRIO,19959,20228,20856,19890,23859,32858,16451
VCAN,19749,22761,20995,12435,14473,33965,15305
CLEC16A,1943,1763,1732,2748,1475,3038,1586
MSR1,836,1232,1352,891,708,865,768
CDH1,550,599,455,1433,28,52,57
MTREX,11757,14387,12071,10454,11737,13379,7832
DNAH5,1749,2293,2049,1486,1110,1707,1019
ZFYVE16,3341,3874,2141,3242,1663,2543,1938
RIPOR1,3727,3815,4065,3855,3983,5714,3022
C6,0,2,0,1,0,6,0
RAI14,6707,8171,7347,8056,5663,10285,4095
SOX30,3,0,1,11,0,19,1
PNKP,1889,1848,1826,1279,1324,1890,1580
BEST2,0,0,0,0,0,0,0
PHLPP2,1578,1625,1241,1901,1029,1689,789
SPDL1,4739,5245,4455,5526,5587,7705,3157
STAU2,4007,5156,4443,2830,3404,3984,2176
SLC66A1,1328,1227,1220,1619,1134,1828,1438
CTNS,1524,1551,1892,1455,1668,1850,1500
RTN4R,57,84,52,215,30,55,97
PHF23,2374,3021,2548,3338,2519,3300,2898
CDH10,0,12,2,9,2,0,0
INPP4A,1071,1191,1221,1434,786,1359,849
RAB27B,18322,19775,16284,22681,893,4924,11014
PSMA4,10514,13133,11196,11487,11338,14329,8699
LSG1,5490,5611,4312,6320,7052,8521,3935
PARP3,440,523,500,718,604,614,510
TNC,1340,1400,1358,6286,2709,2508,6214
THAP3,594,621,618,728,489,856,678
RIPOR3,22,25,32,51,4,19,34
TDP1,2624,2869,2622,2099,2205,3156,2050
AIFM2,1936,2079,2270,1637,2511,2520,1832
C2orf83,4,1,2,5,3,0,5
SPATA7,390,470,465,561,285,686,255
MED17,2246,2482,2257,1304,1228,1786,1127
RETSAT,4845,5472,5227,4397,2095,3647,2788
CAPG,11080,13296,13848,13852,5168,10857,7530
AP2S1,9529,10922,11065,6038,5393,9944,5284
USH2A,32,16,29,69,1,15,10
