gene_name,A375_Control_1,A375_Control_2,A375_Control_3,A375_POLK_1,A375_POLK_2,A375_POLK_3
DHX33,4018,4827,4359,4916,3956,3885
MEOX1,9,12,5,12,9,7
THSD7A,8,7,10,24,46,39
LIG3,2929,3614,3096,3525,3000,3215
RPAP3,1822,2157,2016,3180,2416,2460
ACSM3,14,17,5,32,33,36
REXO5,273,376,350,804,591,637
CIAPIN1,4703,5760,5159,5052,3767,3679
SPPL2B,1153,1041,1117,1463,1221,1464
FAM214B,1027,1496,1271,1522,1467,1412
COPZ2,319,541,330,550,437,772
PRKAR2B,2555,3194,2768,3223,2542,2643
MSL3,1707,2165,1995,1431,1319,1312
CREBBP,4396,5360,4732,4984,3778,3771
TSPOAP1,1,0,0,0,1,0
MPO,0,0,0,0,0,0
PON1,11,0,1,1,1,0
GCFC2,1146,1605,1323,1546,1414,1385
WDR54,2503,2857,2650,2998,2433,2677
CROT,260,289,333,440,333,392
ABCB4,137,181,164,371,305,332
KMT2E,1656,2343,2171,2287,1805,1984
RHBDD2,2295,2999,2708,3594,2971,3203
SOX8,155,166,194,164,114,124
ZNF195,411,609,485,472,426,504
MYCBP2,2690,3173,2786,4174,3083,3219
FBXL3,1512,2104,1775,2169,1886,1982
ITGAL,1,0,0,0,1,1
PDK2,1026,1353,1195,1481,1218,1190
ITGA3,19817,23444,21815,19024,15564,16533
ZFX,1251,1581,1395,1846,1323,1710
LAMP2,3596,4644,4059,4478,3363,3485
ITGA2B,9,16,20,19,23,31
ASB4,2,2,13,11,2,2
GDE1,2524,3392,3030,3998,3036,3101
REX1BD,1946,2376,2227,2861,2429,2549
CRLF1,733,955,817,300,280,342
OSBPL7,344,374,369,391,364,443
TMEM98,1290,1499,1347,1671,1366,1441
YBX2,1,2,1,1,3,2
KRT33A,0,0,0,0,0,0
MAP3K14,782,1008,878,766,671,626
ABCC8,23,10,6,10,4,1
CACNG3,0,0,1,2,0,0
TMEM132A,3588,4284,3518,3763,3330,3273
AP2B1,10463,13733,12168,14285,11855,12450
TAC1,177,239,227,120,83,84
ZNF263,1174,1524,1308,1713,1386,1347
CX3CL1,199,197,177,186,205,171
SPATA20,1543,1868,1844,2402,1775,2141
CACNA1G,16,34,15,5,3,5
TNFRSF12A,4483,6168,5365,7767,6350,6609
DLX6,122,133,140,44,46,51
MAP3K9,527,650,511,761,689,697
RALA,2657,3136,2982,3478,2656,2787
BAIAP2L1,1824,2281,1745,2593,1940,2138
KDM7A,714,755,610,527,638,425
ETV1,3386,4489,3361,3477,3224,3595
AGK,1373,1801,1571,2103,1702,1617
ALDH3B1,381,601,511,906,761,841
TTC22,0,0,0,0,1,0
PHTF2,1062,1542,1425,1797,1503,1547
CCL26,0,0,0,6,2,6
FARP2,2042,2231,1797,2402,1783,2047
USH1C,0,2,0,1,0,0
GGCT,2415,3140,2860,3453,2775,2883
DBF4,2003,2405,2069,2479,1899,1909
TBXA2R,146,185,129,130,86,112
IFRD1,1767,2214,2096,1994,1450,1565
LGALS14,0,0,0,0,0,0
COX10,1091,1221,1208,1527,1107,1212
GTF2IRD1,1485,1835,1540,1716,1322,1457
PAF1,3309,4379,3894,4866,3999,4296
VPS41,1737,2208,1961,2351,1847,2056
ARHGAP44,124,136,136,152,129,165
ELAC2,6827,8030,6954,8473,6967,6974
SCIN,4,37,25,32,18,10
ARSD,538,618,575,642,585,619
PNPLA4,3,4,4,10,1,2
MYH13,48,55,59,80,85,74
ADIPOR2,5728,7337,5953,8404,6849,6737
CDKL3,65,61,46,25,8,82
UPP2,0,0,0,0,0,0
MARK4,2081,2606,2290,2687,2312,2228
PROM1,3,2,6,10,4,6
CCDC124,6737,8438,7625,10108,8178,8465
CEACAM21,0,0,0,0,0,0
PAFAH1B1,5741,7369,6187,7010,5797,5737
NOS2,13,8,5,17,8,14
DNAH9,788,924,950,2368,2089,2005
KIAA0100,12208,15525,13536,16390,13990,13858
SLC13A2,0,0,0,0,0,0
GAS7,13663,16444,14763,20895,15512,16518
TRAPPC6A,177,231,204,185,142,161
MATK,0,0,0,1,0,0
CEACAM7,0,0,0,0,0,0
CD79B,6,10,0,8,4,3
SCN4A,0,0,0,2,0,1
ST7L,336,435,412,560,406,422
TKTL1,10,1,8,19,20,25
PAX6,44,45,53,72,35,41
RPUSD1,2332,2913,2552,2910,2245,2350
RHBDF1,2531,2936,2559,3822,3267,3327
LUC7L,1283,1540,1379,1677,1313,1281
CACNA2D2,34,26,24,13,9,12
BAIAP3,31,44,29,20,16,14
TSR3,3029,3652,3020,3684,3259,3469
PIGQ,1894,2387,2130,2408,2296,2276
CRAMP1,2012,2510,2165,2558,2202,2411
TEAD3,475,604,529,626,522,464
SELE,0,0,0,0,0,0
DNAJC11,4791,6847,6385,6554,5405,5062
FMO3,0,3,3,0,1,2
MYLIP,647,808,671,784,674,678
NOX1,4,11,5,5,4,3
PSMB1,6720,8270,7632,9177,7315,7372
SYN1,49,80,61,38,31,29
JARID2,2522,3229,2803,2750,2329,2424
CDKL5,267,292,279,366,229,224
CAMK1G,0,0,2,1,0,2
CDK11A,1631,1799,1595,1761,1801,1837
NADK,3398,4241,3778,4713,4105,4599
TFAP2B,9679,12248,11218,12775,10621,10376
TFAP2D,0,0,0,0,0,0
DLEC1,13,2,7,5,7,5
CYTH3,1198,1489,1240,1769,1395,1450
ADAM22,489,696,673,858,695,652
SYPL1,3120,3797,3281,3962,3200,3332
CYB561,2773,3242,2720,3668,2984,2992
SPAG9,5085,5813,5725,6288,4679,5082
CELSR3,1230,1494,1401,1570,1309,1291
AASS,1366,1712,1468,2043,1647,1668
PLEKHG6,44,45,45,28,36,26
SS18L2,945,1180,1074,1138,867,864
MPND,489,606,594,798,662,680
MGST1,1027,1295,1108,2685,2111,2075
CRY1,734,869,825,992,764,773
PGLYRP1,2,0,0,2,0,4
NFIX,7748,9646,8129,9409,7346,7905
ST3GAL1,2799,3708,3251,2266,1916,2069
MMP25,48,63,52,45,48,57
IL32,13,10,3,13,8,8
PKD1,3310,3615,3197,4635,3911,3863
MAPK8IP2,16,29,23,18,13,17
MED24,3297,3600,3188,4060,3390,3377
RHOBTB2,1373,1651,1491,1917,1472,1730
HEATR5B,1668,2196,1965,2299,1806,1831
SEC62,2965,3825,3489,4013,3150,3264
RPS20,31587,39533,37228,42669,35285,36588
CSDE1,30864,38101,34507,39820,32598,33280
UBE3C,6855,8154,7007,9099,7366,7804
REV3L,1494,2033,2227,2121,1777,1708
TENM1,127,164,154,678,588,579
PAX7,1,0,2,0,0,0
MASP2,6,2,5,5,4,7
IYD,11,9,10,11,7,11
FAM76A,323,345,266,412,293,361
TRAF3IP3,7,7,4,3,4,6
POMT2,878,933,908,1170,881,1031
VTA1,2494,3083,2677,3588,2886,2963
MLXIPL,20,13,33,59,31,34
BAZ1B,10562,13243,11474,12786,10553,10684
RANBP9,1625,1882,1749,2026,1767,1809
ETV7,4,2,2,2,5,4
SPRTN,1124,1497,1170,1397,1332,1429
EEF1AKNMT,5957,7351,6954,8209,6046,6405
DYRK4,464,630,523,534,499,437
ZNF207,7669,9598,8536,9531,7408,7655
UQCRC1,8782,11075,9721,12139,9746,9881
STARD3NL,1802,2368,2145,2003,1581,1616
CD9,2838,3457,3100,4038,3326,3392
HHATL,0,0,1,0,0,2
NCAPD2,15746,20570,17182,20579,17045,17720
IFFO1,1054,1232,1144,1508,1244,1369
GIPR,41,64,23,57,54,62
PHF7,165,220,173,207,170,205
SEMA3G,290,427,388,1222,1102,1253
NISCH,2507,2793,2514,2856,2274,2438
STAB1,4,2,1,0,2,6
FUZ,2010,2462,2262,3845,3101,3217
SLC6A13,0,1,0,0,0,2
IDS,3269,3968,3495,4080,3170,3449
PRSS3,1,0,2,1,1,0
ZNF200,718,919,803,1197,889,1019
CD4,34,46,45,32,23,27
LRRC23,253,392,307,368,323,289
BTK,0,1,2,0,0,0
HFE,277,370,290,690,489,539
SCMH1,1443,1728,1702,1954,1589,1695
FYN,1850,2083,1803,2502,2049,1852
HIVEP2,659,541,456,817,647,790
FMO1,11,0,1,3,2,2
ELOA,7206,9523,8418,9094,6870,7188
LYPLA2,7240,9179,8481,10084,8040,8447
CLCN6,791,877,864,1004,731,705
MRC2,4310,5154,5061,5884,5303,5559
NME1-NME2,487,749,555,477,419,418
SLC6A7,0,0,1,0,1,1
TSPAN9,1207,1500,1350,1035,896,950
APBA3,455,518,447,522,494,481
MKS1,622,628,600,800,619,729
ABHD5,461,555,536,713,605,614
ANOS1,3,4,3,19,2,7
AKAP8L,2501,2629,2416,2659,2324,2309
MBTD1,741,990,966,925,780,887
UTP18,2918,3630,3242,4055,3224,3261
RNF216,2409,2955,2655,3387,2609,2741
TTC19,2434,3325,2704,2819,2506,2798
PTBP1,29743,38256,34948,36132,29592,28959
DPF1,636,819,749,714,561,601
SYT7,39,49,47,35,56,20
LARS2,2004,2570,2369,2703,2053,2165
PIK3C2A,1582,2484,2495,2483,2484,2085
PLAUR,1400,1760,1538,1724,1305,1447
ANLN,8022,10095,8726,11348,8944,9353
WIZ,4084,5044,4138,5009,4338,4273
RABGAP1,2093,2754,2613,2800,2282,2329
DCN,5,3,7,46,33,55
QPCTL,1270,1502,1374,1697,1351,1415
PPP5C,5600,7405,6379,7145,5871,6113
CEP68,791,1146,797,918,650,620
MAP4K3,902,1381,921,1085,1021,787
ZBTB32,12,21,13,18,11,13
TYROBP,0,0,0,1,1,0
TMEM159,112,189,174,137,153,146
GABRA3,485,571,584,463,368,452
BRCA1,2457,2655,2542,4012,3189,3390
ERCC1,8302,9665,8991,12257,9843,10437
CD22,300,297,389,418,310,327
SEMA3B,7104,9101,8174,11022,8929,9125
MBTPS2,2616,3201,2844,3705,2905,3144
PRICKLE3,375,545,408,688,633,587
LTF,0,0,0,0,0,0
EXTL3,3077,3858,3428,4347,3514,3573
NR1H4,4,2,2,0,1,2
ELOVL5,4609,5747,5229,5685,4474,4838
ALOX5,0,4,0,0,3,0
KDM5D,2,0,0,1,0,0
CALCOCO1,801,1110,1167,1795,1446,1531
UBR7,69,80,97,81,164,111
MAP4K5,1315,1480,1313,1495,1305,1559
EHD3,2748,3469,3065,3078,2543,2632
MAN2B2,697,880,738,1052,921,895
SLC7A14,13,7,6,11,5,14
CLDN11,18,13,16,20,14,15
SLC25A39,4040,4866,4303,5292,4232,4625
MVP,2662,3224,3100,5073,4062,4453
NUB1,2745,3580,3427,4761,3671,4361
PGM3,1663,1941,1279,1527,1092,1208
RWDD2A,129,165,178,178,149,152
CLK1,639,704,674,727,612,562
POLR3B,890,1438,1652,1898,1426,1795
ANGEL1,594,713,720,862,822,916
RNF14,2044,2425,2377,2506,2154,2250
DNASE1L1,979,1093,1128,1550,1221,1227
DDX11,2996,3410,3037,4360,3901,3816
HEBP1,492,617,530,816,665,736
GPRC5A,10513,13700,10825,11508,8555,9096
MAMLD1,209,334,263,231,159,176
CD6,0,0,0,0,0,1
TACC3,7665,8928,8063,9644,8337,8182
UFL1,894,977,887,1116,993,1025
POLA2,1862,2281,1809,2787,2052,2120
ZC3H3,1206,1490,1244,1555,1227,1330
CAPN1,4815,6198,5561,6880,5592,6326
ACP3,100,85,82,192,163,214
MDH1,7893,9505,8664,9473,7886,7872
SLC30A9,3366,4372,3918,4697,3625,3691
MTMR11,77,88,50,151,131,116
COX15,2733,3507,3216,3867,3176,3239
CCDC88C,166,200,225,111,100,138
YAF2,454,617,564,791,699,735
ZMYND11,1715,2102,1959,2388,1935,1916
WAS,16,24,13,9,18,9
DPEP1,0,1,1,2,3,0
BID,1166,1449,1202,1761,1424,1378
MATR3,12642,15472,14303,17885,14948,14593
NPC1L1,6,3,4,0,1,2
XYLT2,1656,1925,1823,2715,2257,2391
RGPD5,1247,2103,2579,1854,1132,1597
STMN4,0,0,2,1,0,0
NUDCD3,3809,4791,4299,5595,4299,4479
ISL1,374,458,372,333,246,310
CHDH,5,11,5,2,5,8
IL20RA,0,0,0,0,0,0
CLCA1,2,0,2,0,0,0
CLCA4,0,0,0,0,0,0
GLT8D1,1650,2078,2020,2987,2331,2252
ATP2C1,2811,3734,3604,4328,3673,3430
IGF1,1,0,0,0,1,0
SLC38A5,4,4,9,2,2,7
RALBP1,2968,3777,3128,3889,3157,3302
RUFY3,308,305,365,446,383,381
CNTN1,79,155,100,248,292,301
SLC11A1,5,8,6,8,15,17
WWTR1,40046,49472,43197,54678,43835,45200
AGPS,4091,4998,4244,6035,4700,5315
ZNF806,1,0,0,0,0,1
CXorf56,1346,1674,1410,1694,1331,1310
ATP1A2,2,0,77,6,45,18
TTC27,1410,1854,1543,2051,1645,1662
ZNF582,71,67,64,89,68,65
VSIG2,15,14,23,10,14,4
PHLDB1,4936,6324,5472,5756,4532,4887
MARCO,0,0,0,0,0,0
CYP24A1,0,3,0,2,2,2
PRDM11,274,273,260,289,271,260
SYT13,0,0,6,0,0,0
SNAI2,114,97,120,84,72,80
CD74,37514,46630,43729,87462,70694,72913
HGF,11,11,26,27,53,19
ZRANB1,1370,1640,1452,1936,1368,1425
NCDN,3466,4388,4126,5533,4388,4553
ADGRA2,922,1163,966,1546,1491,1353
CCT8L1P,0,2,0,1,1,0
ZFP64,1312,1499,1402,2199,1749,1773
MNAT1,911,1310,1005,968,1011,856
SAMD4A,324,362,368,289,286,354
RUNX3,1546,2088,1736,2136,2382,2140
MRE11,1435,1695,1601,2186,1781,1968
PLEKHB1,419,563,534,1047,825,821
SERPINB1,803,1066,924,1802,1472,1568
CYP3A43,0,0,1,1,0,0
SLC7A9,0,0,1,0,0,1
SPAST,1293,1560,1460,1575,1127,1277
NRXN3,55,58,55,104,67,86
OSBPL5,752,926,782,907,741,813
AQR,3190,3676,3357,3894,3221,3273
CPS1,880,877,794,904,884,705
C8B,0,0,0,0,0,0
FHL1,839,898,746,772,795,725
RTF2,5904,7472,6654,9829,7765,7917
GABRA1,0,0,0,0,2,2
NLRP2,5,0,0,2,0,0
SLC45A4,628,942,917,656,731,692
RNF10,3024,3922,3420,5941,4626,5136
ZNF839,221,236,272,302,209,260
ZDHHC6,1016,1348,1119,1364,1082,1152
GRAMD1B,5108,6377,5599,8332,6712,7234
RB1CC1,2723,3115,2633,3529,2749,3490
ERP44,1942,2408,2103,2373,1832,1939
ALAS1,3140,3874,3452,4398,3574,3747
BIRC3,41,35,50,92,74,88
AKAP11,3138,3812,3293,4847,3788,3810
GLRX2,1044,1334,1239,1811,1433,1329
SNAPC1,1073,1403,1224,1451,1104,1189
DERA,1396,1684,1480,2053,1683,1692
STRAP,14246,17861,15563,18952,14499,15175
ABCC2,965,1198,1055,1951,1491,1533
DEF6,13,23,28,15,12,20
PLEKHO1,1214,1435,1220,1534,1383,1530
GCLM,1598,2046,1587,1672,1360,1432
UBR2,1513,1784,1656,2027,1587,1729
EHD2,2458,2962,2870,3147,2520,2737
DEPDC1,2868,3549,3046,3389,2864,3106
CCDC28A,558,702,601,764,617,696
RRAGD,667,953,895,1090,954,1044
HSF2,648,828,648,819,745,735
PHF20,1691,2268,1964,3714,2302,2422
HSD17B6,7,25,11,43,32,28
NR1H3,627,753,615,1112,929,1008
TYMP,48,81,82,68,73,66
NCAPH2,1713,2146,1779,2315,1942,2015
TOMM34,5237,6547,5688,7087,5666,5826
SEC63,3819,4625,4995,4961,4101,3885
KPNA6,5185,5814,5448,6374,4619,4855
VIM,136211,170449,144784,166331,133409,141032
RTEL1-TNFRSF6B,301,289,252,456,444,435
FAS,406,532,516,495,390,440
RNASET2,229,311,293,378,366,345
CD44,14275,17580,15393,20900,16873,17249
KCNG1,1995,2340,1864,3335,2668,2966
AGPAT4,151,346,271,247,222,217
SLAMF7,3,2,0,5,4,7
BTN3A1,374,409,383,734,607,666
MIPEP,1097,1237,1134,1636,1264,1313
PRKCH,287,435,296,470,458,469
INSRR,0,0,1,1,0,0
IFNGR1,507,745,597,566,492,567
B4GALT7,824,1139,883,1267,1026,1040
SH2D2A,14,21,15,11,4,6
VRK2,845,923,786,1161,850,824
TNFRSF1B,345,321,241,544,861,683
VEZT,1126,1422,1146,2302,1630,2014
POU2F2,88,53,20,30,44,35
BRD9,1964,2391,2051,3115,2618,2831
SNX1,7351,9418,8770,8800,7134,7893
TBPL1,882,1005,939,1120,1023,985
ARNTL2,224,248,227,460,371,363
BCLAF1,8877,11088,9922,11216,8872,8197
SLC39A9,2382,2907,2625,3462,2685,2997
ANK1,204,110,104,85,45,61
IBSP,0,0,0,0,0,0
TFB1M,1388,1556,1536,2020,1673,1623
RABEP1,4257,5283,4839,5795,4833,5112
HMGB3,4025,4995,4518,4007,3439,3482
NUP160,7632,8738,8733,9865,8144,8428
BAK1,1551,1909,1779,2099,1724,1725
MUSK,0,0,0,0,2,1
IKZF2,97,104,102,105,58,148
GRN,5934,8234,7315,9268,7962,8080
FAM13B,937,1108,896,852,675,591
ARHGAP31,1657,1873,1508,2163,1544,1737
CENPQ,501,578,518,741,530,495
SARS1,5852,6977,6729,9924,8048,8383
RANBP3,3855,4636,3990,4601,3625,3878
ARID4A,731,961,751,923,748,613
EIPR1,2054,2672,2215,2407,1949,2055
PNPLA6,5396,7026,5999,8862,6953,7808
IFT88,565,723,595,820,602,667
ALG1,1474,1809,1700,1956,1597,1596
ZCCHC8,840,1038,911,1613,1212,1225
ABCF2,5573,6943,6179,6318,5275,5171
CHPF2,2820,3720,3062,3374,2529,2652
LRRC7,3,3,2,5,2,11
FUT8,938,1115,1009,1682,1410,1321
UBA6,2337,2975,3021,3240,2717,2642
GAB2,539,576,506,764,813,763
ATP6V0A1,2500,2806,2439,2364,1907,1953
PIAS1,1731,2164,1760,2277,1910,1861
SLC4A7,3452,4187,3517,3643,3097,3192
APBA2,926,979,974,1012,801,946
MAP2K3,3912,4609,3784,4621,3750,3846
EFCAB1,0,0,0,0,0,0
TMSB10,28748,36582,34564,34005,27899,29421
ASTE1,235,343,306,456,382,357
RNF19A,642,907,1073,990,809,1007
PEX3,523,620,596,840,595,668
GABARAPL2,4030,5031,4593,4321,3261,3614
MYOC,1,1,0,1,0,0
SH3YL1,204,266,215,146,105,114
FAM136A,3191,4246,3841,3865,2861,2907
VCL,5143,6372,5649,6066,4769,4951
DEPDC1B,1845,2276,1989,2087,1770,1752
DAPK2,40,52,42,49,50,59
NSMAF,1626,1915,2043,2408,1940,2078
ADSS2,4495,5556,4904,6630,5143,5355
STAP1,0,0,0,0,0,0
TIMP2,4816,6190,5059,7476,5720,6102
RFC1,4483,6252,5243,6388,4874,5066
TBC1D23,1498,1658,1520,2000,1786,1662
CUL3,3189,4111,3595,4161,3237,3409
MYOM2,0,1,2,2,0,1
OTC,0,0,0,0,0,0
CYP46A1,6,6,19,13,5,14
ZZZ3,2093,2292,2212,2738,2173,2223
SLC18A1,8,24,9,17,17,44
USP2,156,215,230,166,124,129
CASR,0,0,0,0,0,0
TUBG2,676,780,703,945,873,822
RPL26L1,1951,2540,2220,2753,2260,2210
FLT4,4,6,10,8,4,4
NSUN2,9389,11682,10748,12838,10212,10278
FBXO42,1116,1233,1228,1513,1218,1312
MFAP3,1305,1523,1385,1529,1188,1254
MRI1,3273,3990,3730,4715,3839,4102
METTL1,523,710,536,1242,906,944
HOXC8,277,414,295,487,383,347
AGA,822,1017,1032,1275,1074,1061
PI4K2B,1333,1650,1549,1786,1576,1586
BOD1L1,5773,7572,6483,8574,7199,7046
MAT2B,3827,4703,4296,4697,3981,3850
TLL1,7,11,3,13,9,59
EDC4,5726,7202,6328,5997,4584,4915
TRIO,4138,4246,4014,3522,3081,3404
VCAN,510,445,278,336,406,424
CLEC16A,1464,1918,1740,1895,1550,1589
MSR1,39,55,49,257,230,272
CDH1,6,2,2,9,2,0
MTREX,6216,8188,7269,8834,6951,7387
DNAH5,42,33,30,51,24,35
ZFYVE16,1794,2137,1954,2029,2218,1792
RIPOR1,5909,7826,6269,6567,5084,5441
C6,0,0,0,0,1,0
RAI14,3461,4438,3674,4366,3881,3311
SOX30,2,6,3,15,5,7
PNKP,1708,1828,1741,2748,2437,2382
BEST2,0,3,1,1,0,0
PHLPP2,728,1043,933,911,755,653
SPDL1,2483,3280,2762,2450,1997,2237
STAU2,1531,1672,1570,1936,1392,1468
SLC66A1,763,950,813,1030,856,871
CTNS,805,839,735,955,681,893
RTN4R,98,173,136,135,86,122
PHF23,3265,4261,3769,4527,3647,3935
CDH10,16,22,13,33,33,49
INPP4A,1262,1519,1290,1142,1090,1093
RAB27B,30,67,60,327,93,302
PSMA4,8895,10838,10280,11714,9469,9117
LSG1,2934,3745,3326,3206,2270,2471
PARP3,629,790,698,976,774,863
TNC,72183,93635,87236,78411,66842,63446
THAP3,474,523,468,731,602,626
RIPOR3,16,13,3,3,6,6
TDP1,567,739,669,870,853,783
AIFM2,1106,1350,1176,1694,1313,1380
C2orf83,0,0,0,0,2,0
SPATA7,73,100,76,63,77,73
MED17,2367,3015,2899,2882,2393,2357
RETSAT,1655,1975,1868,2186,1716,1580
CAPG,2037,2744,2491,5970,4691,4787
AP2S1,8947,11484,10629,14693,11861,12437
USH2A,6,4,7,14,8,9
ZPBP,0,0,0,0,0,0
TG,1,1,0,2,0,0
ADAM28,0,0,0,0,0,1
BARX2,129,172,112,97,59,74
DCUN1D1,1761,2057,1811,1668,1150,1179
JADE2,4042,4888,4033,5913,4857,5530
ZIC2,447,513,540,487,434,457
LCP2,30,53,22,102,58,90
TRIT1,1052,1365,1205,1441,1131,1170
ADRB1,27,42,31,49,55,42
GUCA2B,0,0,0,0,0,0
CUL7,1839,2001,1856,2305,2068,2041
CTNNA1,19182,24937,21985,29047,23472,23722
PHKA2,903,954,892,1142,1005,1016
CNTLN,798,988,953,1316,1106,1056
EPHA3,2212,2862,2596,7465,5932,6012
HSPA5,43988,54817,49186,40408,31008,31911
DSG2,2631,2937,2611,3753,3159,3153
GEMIN8,221,291,288,328,310,318
OFD1,718,862,861,985,824,768
GPM6B,48,24,33,33,72,61
MAGEC2,4826,6195,5373,8360,6713,7131
PREX2,199,105,178,2,1,4
WDR37,599,865,729,996,738,696
YTHDC2,1494,1603,1416,1733,1278,1554
CTPS2,1431,1826,1532,1772,1423,1396
ATP6V1H,2033,2558,2355,2797,1997,2123
POLR2B,10345,13307,11914,13369,10396,10932
FAM214A,550,790,665,828,745,806
ARAP2,194,258,238,344,264,289
TPR,9813,11993,11221,14044,12681,11544
CP,2,1,0,0,1,1
KATNIP,935,1260,1039,1290,1197,1255
DTNBP1,369,501,415,677,572,522
XK,35,35,42,47,37,43
ANO2,0,0,0,1,0,0
C12orf4,1030,1161,1093,1474,1185,1032
SCML1,447,499,493,674,583,547
WWC3,621,794,790,820,737,805
ARHGAP6,47,46,70,2,17,4
FAM184B,12,13,4,83,68,59
MAP4,12330,15943,13967,17298,14052,14131
GOPC,1564,1957,1665,1971,1614,1659
ROS1,0,0,0,2,0,1
USP28,1393,1699,1603,1832,1388,1493
HDAC9,239,264,251,133,194,211
TSPAN17,1277,1487,1463,1640,1364,1309
NOP16,2985,4123,3655,4543,3600,3751
CC2D2A,927,1143,1065,1183,1156,1166
RRM2B,2288,3170,2388,2634,2059,2079
ZNF800,1132,1244,1034,1490,1044,1168
TNFRSF17,0,0,1,0,1,2
SNX29,786,1227,873,1663,1322,1371
LMO3,1,0,3,5,9,4
MRPS10,1401,1778,1491,1968,1542,1564
GUCA1A,0,0,0,0,0,0
RSF1,3604,5440,4505,4918,4067,3610
VPS13D,1829,2637,2085,3387,2683,3148
CELF2,16,1,6,6,3,3
FAM120A,9428,11549,10103,14188,11692,11670
R3HDM1,2204,2803,2152,2278,1768,1876
COL9A2,390,481,445,454,545,565
KITLG,48,108,82,224,145,181
ERCC8,382,410,370,446,347,376
ADAMTS6,33,42,39,53,85,68
H6PD,2584,3107,2773,3787,3480,3634
VAMP3,3132,4002,3505,4442,3319,3780
PER3,166,200,197,252,205,220
UTS2,17,8,19,6,0,0
TNFRSF9,9,4,9,16,12,18
EPN3,7,4,2,15,6,18
LTBP1,414,522,424,332,305,404
RCN1,4812,6109,5605,11266,9447,8944
ELN,8,15,20,17,5,14
RFC2,4077,5131,4588,5161,3854,4199
ARID1B,3064,3678,3269,3447,2924,2880
CLPTM1L,6637,7726,6902,8094,6262,6192
NEDD4L,3717,4451,4192,4693,3750,3645
FOXP3,14,10,23,13,9,8
PPP1R3F,88,134,82,109,65,68
HEXB,3520,4346,4007,5318,4266,4415
PTCD2,931,1138,1022,1188,1157,1091
NEXMIF,0,0,0,0,1,0
