gene_name,Jurkat_ctrl_repl.1,Jurkat_ctrl_repl.2,Jurkat_ctrl_repl.3,Jurkat_SIX6_KO_repl.1,Jurkat_SIX6_KO_repl.2,Jurkat_SIX6_KO_repl.3
FAM76A,617,525,703,986,710,629
TRAF3IP3,1569,1612,1919,3513,3442,2571
POMT2,574,431,482,794,815,559
VTA1,2855,2796,2774,4203,3244,3039
MLXIPL,16,17,38,53,41,26
BAZ1B,9708,8845,9573,10157,8448,8087
RANBP9,4676,4114,4459,7545,6955,5332
ETV7,2,1,1,1,0,1
SPRTN,889,854,817,1111,962,784
EEF1AKNMT,1961,1901,2196,2096,1793,2107
DYRK4,661,667,678,1138,1061,750
ZNF207,7534,6918,8135,10814,9114,8352
UQCRC1,7690,6901,7489,11849,9137,7771
STARD3NL,2783,2577,2879,4017,3428,2866
CD9,501,569,552,500,522,414
HHATL,0,0,1,0,0,0
NCAPD2,5795,5058,5833,9464,8315,6039
IFFO1,1148,997,1197,2434,2072,1598
GIPR,87,59,61,219,299,108
PHF7,393,380,482,826,583,436
SEMA3G,394,291,323,326,356,326
NISCH,3471,2831,3627,5925,4825,4553
STAB1,12,16,18,47,49,37
FUZ,892,830,907,1254,1055,912
SLC6A13,0,2,1,9,1,2
IDS,2756,2444,2263,4003,3276,2700
PRSS3,8,5,3,7,12,3
ZNF200,641,638,695,909,810,701
CD4,710,741,839,888,902,585
LRRC23,244,237,260,453,348,223
BTK,7,1,6,8,14,5
HFE,24,20,26,63,32,36
SCMH1,2194,2135,2120,3998,3164,2808
FYN,3973,3492,4203,6521,5615,4043
HIVEP2,1851,1628,2035,2564,2839,1714
FMO1,0,0,0,1,0,0
ELOA,2236,2107,2263,2880,2180,1962
LYPLA2,1715,1726,1791,3166,2658,2038
CLCN6,699,628,653,2297,2251,1459
MRC2,593,443,558,1620,1593,905
NME1-NME2,450,412,472,729,444,522
SLC6A7,0,0,0,0,0,0
TSPAN9,74,62,60,15,13,32
APBA3,544,492,488,1104,1098,821
MKS1,1061,970,1038,1911,1808,1231
ABHD5,620,545,696,866,680,613
ANOS1,61,52,57,141,202,152
AKAP8L,2449,2444,2683,6384,6552,4065
MBTD1,1868,1730,1789,3461,3414,2589
UTP18,3327,3128,3463,3397,2611,2723
RNF216,2868,2574,3004,4515,4041,3333
TTC19,3283,3004,3319,4847,3935,3285
PTBP1,18643,16663,18554,30261,25181,21332
DPF1,261,188,194,284,303,246
SYT7,594,682,666,343,332,291
LARS2,2867,2644,2958,2947,2514,2457
PIK3C2A,1406,1221,1348,1479,1460,995
PLAUR,442,462,470,1190,882,657
ANLN,3391,3043,3762,4597,3336,2820
WIZ,1412,1463,1378,3526,3389,2418
RABGAP1,638,442,584,723,672,524
DCN,0,0,0,1,0,1
QPCTL,679,672,800,1086,1065,829
PPP5C,4294,3817,4285,5321,3838,3865
CEP68,1093,1047,1145,2163,1875,1595
MAP4K3,297,400,272,428,399,327
ZBTB32,11,19,13,17,13,24
TYROBP,2,0,6,1,1,0
TMEM159,453,448,534,772,646,647
GABRA3,0,0,0,0,1,0
BRCA1,3468,3004,3716,3777,2589,2794
ERCC1,1729,1739,1860,3021,2729,2074
CD22,2,0,0,0,1,0
SEMA3B,23,12,21,64,114,59
MBTPS2,693,667,635,912,736,757
PRICKLE3,255,279,307,802,568,521
LTF,13,9,59,9,20,17
EXTL3,2554,2272,2474,3240,2779,3334
NR1H4,0,0,0,0,0,0
ELOVL5,15080,14607,16236,24654,23169,17644
ALOX5,21,9,45,45,64,45
KDM5D,1911,1627,2083,3253,3091,2236
CALCOCO1,842,730,919,2392,2358,1279
UBR7,90,55,104,159,94,122
MAP4K5,2450,2339,2617,5052,3758,3342
EHD3,106,85,109,200,180,168
MAN2B2,1771,1499,1524,2490,2314,1757
SLC7A14,7,20,18,38,30,19
CLDN11,16,11,16,7,25,21
SLC25A39,6887,6462,6916,10783,8118,7475
MVP,207,186,217,401,420,233
NUB1,3027,3365,3403,4182,3992,3069
PGM3,660,507,1045,1222,1708,534
RWDD2A,276,243,245,353,289,227
CLK1,1783,1405,1625,2704,2957,2006
POLR3B,868,782,851,889,681,649
ANGEL1,1727,1666,1760,2366,1976,1845
RNF14,2068,1789,2052,3244,2597,1991
DNASE1L1,210,174,203,326,372,297
DDX11,5433,4520,5147,9380,7189,7095
HEBP1,513,524,582,554,386,367
GPRC5A,0,0,0,0,1,0
MAMLD1,3,2,1,0,0,1
CD6,1008,963,1025,2272,1914,1642
TACC3,3931,3569,4013,4943,3913,3290
UFL1,1806,1756,1970,3454,2772,2259
POLA2,2842,2495,3203,2792,2157,2071
ZC3H3,656,660,701,1564,1390,986
CAPN1,2916,2788,3576,5397,5176,3777
ACP3,0,11,1,0,0,0
MDH1,6043,5843,6450,9277,7098,6183
SLC30A9,2882,2763,2960,4358,3835,3010
MTMR11,8,15,8,20,18,13
COX15,2009,1794,2017,3028,2435,2101
CCDC88C,3908,3415,3494,6284,5759,4217
YAF2,746,820,573,1019,809,737
ZMYND11,2256,2154,2292,3346,3092,2539
WAS,1996,1794,2024,4012,3142,2817
DPEP1,13,3,10,4,12,4
BID,2564,2685,2860,5472,4194,3745
MATR3,16455,16436,16502,17639,14218,13232
NPC1L1,2,1,1,2,1,0
XYLT2,1156,1068,1113,1798,1538,1329
RGPD5,692,216,315,805,811,370
STMN4,2,1,0,0,1,1
NUDCD3,2696,2318,2606,4323,3912,2761
ISL1,0,0,0,0,0,0
CHDH,17,13,11,25,23,21
IL20RA,0,0,0,0,0,0
CLCA1,1,0,0,3,4,7
CLCA4,0,0,0,0,0,0
GLT8D1,1037,1249,1304,2279,2048,1747
ATP2C1,5783,4728,5897,7714,7224,5930
IGF1,0,0,0,0,0,0
SLC38A5,1724,1637,2027,1799,1559,1483
RALBP1,5385,5400,5626,8671,7719,6350
RUFY3,1581,1545,1559,3199,3252,2023
CNTN1,0,0,0,0,0,0
SLC11A1,12,20,41,33,41,20
WWTR1,6,6,10,21,17,13
AGPS,5950,6111,5911,5724,5252,4476
ZNF806,0,0,0,0,0,0
CXorf56,1135,1191,1234,1644,1330,1198
ATP1A2,1,0,1,2,0,1
TTC27,666,677,748,948,654,617
ZNF582,44,39,42,83,55,39
VSIG2,2,3,3,1,0,0
PHLDB1,344,302,412,184,247,141
MARCO,0,0,0,0,0,0
CYP24A1,0,0,0,0,0,0
PRDM11,158,182,224,563,411,386
SYT13,4,0,3,5,9,3
SNAI2,0,0,0,0,0,0
CD74,0,3,0,4,0,2
HGF,0,0,1,0,0,0
ZRANB1,1833,1753,1820,3018,2655,1996
NCDN,982,919,1062,1949,1783,1436
ADGRA2,1968,1730,1736,3420,3224,2293
CCT8L1P,1,1,0,0,0,0
ZFP64,1094,1030,1162,2903,2405,2212
MNAT1,1354,1219,1359,2751,2147,1728
SAMD4A,32,8,4,6,8,7
RUNX3,876,881,931,676,399,495
MRE11,1331,1519,1426,2607,1961,1547
PLEKHB1,262,326,285,341,423,339
SERPINB1,12,7,12,6,4,2
CYP3A43,0,2,1,5,8,6
SLC7A9,3,0,1,2,1,1
SPAST,1176,1054,1142,1584,1349,1145
NRXN3,42,21,71,14,13,11
OSBPL5,801,850,1008,3039,2962,1841
AQR,2800,2598,3075,3784,3016,2842
CPS1,369,293,289,523,564,439
C8B,0,0,0,0,0,0
FHL1,1964,1801,1875,2743,2650,2118
RTF2,4170,4008,4355,9151,8256,6327
GABRA1,0,0,0,0,0,0
NLRP2,0,0,1,0,1,1
SLC45A4,1329,1152,1336,1503,1328,1104
RNF10,7335,6185,6034,7574,6967,6458
ZNF839,877,831,922,1338,1093,867
ZDHHC6,1619,1609,1817,2406,1869,2057
GRAMD1B,383,229,360,414,429,358
RB1CC1,2454,2231,2770,4360,3952,2939
ERP44,1297,1299,1423,2195,2006,1518
ALAS1,2379,2152,2234,3934,3328,2547
BIRC3,878,936,1062,2094,1714,1300
AKAP11,2991,2455,2909,4718,4427,3634
GLRX2,431,388,408,388,271,242
SNAPC1,1145,1032,1171,1585,1318,1202
DERA,1246,1295,1359,1422,1197,902
STRAP,4145,4000,4508,4602,3543,3553
ABCC2,36,38,46,85,139,84
DEF6,2946,2716,2957,6836,6033,4143
PLEKHO1,1997,1858,1976,3735,3926,2871
GCLM,3119,3283,3584,4612,3565,2799
UBR2,2558,2369,2674,2928,2767,2209
EHD2,27,27,24,31,20,132
DEPDC1,1071,1055,1305,1623,1264,1234
CCDC28A,768,751,746,1445,1189,846
RRAGD,2299,1895,2448,3508,2932,2173
HSF2,1303,1217,1375,2090,1808,1439
PHF20,3479,3251,3170,4730,4359,4789
HSD17B6,434,505,421,946,852,701
NR1H3,151,151,147,237,213,260
TYMP,53,38,44,89,44,54
NCAPH2,2964,2770,3120,4205,3254,3010
TOMM34,1142,1116,1141,2679,2019,1993
SEC63,4889,3499,4114,3669,3354,2689
KPNA6,4374,3965,4250,6071,5228,4521
VIM,16310,14637,16281,29805,26114,21502
RTEL1-TNFRSF6B,871,684,755,1959,1555,1399
FAS,1125,1123,1209,1448,990,840
RNASET2,991,875,942,1604,1251,1030
CD44,6,6,8,12,25,15
KCNG1,10,2,5,14,19,6
AGPAT4,100,134,230,635,473,315
SLAMF7,12,7,7,2,5,4
BTN3A1,1532,1529,1583,2657,2506,1748
MIPEP,685,678,742,913,591,674
PRKCH,4473,4131,4520,7282,6306,5158
INSRR,0,1,0,2,1,2
IFNGR1,1040,896,1099,1806,1514,1124
B4GALT7,522,431,407,895,626,491
SH2D2A,281,291,265,353,289,252
VRK2,525,450,508,723,584,453
TNFRSF1B,74,68,82,18,8,10
VEZT,3145,2796,2955,3635,3233,2984
POU2F2,170,65,99,138,211,108
BRD9,4245,4026,4408,7018,5599,5189
SNX1,4810,4304,3899,6746,6248,5197
TBPL1,927,913,1067,1390,1084,868
ARNTL2,1968,1755,1940,2630,2088,1890
BCLAF1,6573,7287,7914,5526,4380,4520
SLC39A9,4341,3982,4285,6507,5487,4473
ANK1,5,4,1,0,3,2
IBSP,0,0,0,0,0,0
TFB1M,550,487,592,809,617,593
RABEP1,5669,4999,5407,6014,4153,3949
HMGB3,3299,3505,3651,5986,5148,4379
NUP160,4674,4325,5041,5617,4816,4220
BAK1,1187,1002,1118,1633,1299,1158
MUSK,0,0,2,0,0,0
IKZF2,2519,2381,2726,8067,8201,5429
GRN,1491,1528,1544,3930,3926,2608
FAM13B,1076,875,1147,1556,1330,962
ARHGAP31,18,17,22,85,119,83
CENPQ,715,644,755,769,660,581
SARS1,7267,6989,7600,14660,11632,9627
RANBP3,2281,2465,2381,4343,3755,2832
ARID4A,1218,1015,1457,2290,1682,1439
EIPR1,2229,1965,2193,4149,3236,2785
PNPLA6,2515,2085,2193,5955,5253,4060
IFT88,622,615,628,806,623,576
ALG1,1543,1336,1482,1877,1231,1449
ZCCHC8,2335,2159,2410,2516,2173,1890
ABCF2,4029,4228,4066,4917,4453,4549
CHPF2,1318,1291,1294,1552,1238,1044
LRRC7,25,5,13,20,29,18
FUT8,1562,1436,1686,2452,2507,1799
UBA6,3498,3227,2698,5670,4811,4047
GAB2,1176,1229,1214,2337,2041,1270
ATP6V0A1,1048,869,984,2076,1826,1436
PIAS1,2371,2187,2323,4175,3573,2757
SLC4A7,3821,3341,4784,9449,8913,6273
APBA2,1046,941,891,2613,2635,1808
MAP2K3,2122,2055,2042,3187,2237,2198
EFCAB1,0,0,0,0,0,0
TMSB10,11513,11383,12380,21038,17615,15369
ASTE1,349,419,475,566,380,315
RNF19A,1162,1537,1515,2773,2241,1764
PEX3,505,500,523,767,577,522
GABARAPL2,2107,1934,2126,3022,2614,2147
MYOC,2,0,0,0,0,0
SH3YL1,1291,1117,1282,2695,2435,1759
FAM136A,5302,4920,5481,5299,4159,4274
VCL,1220,1143,1305,2111,1990,1621
DEPDC1B,1927,1667,2000,3656,2827,2221
DAPK2,35,30,43,63,65,35
NSMAF,2863,2605,2809,4045,3642,3093
ADSS2,4018,3837,4267,5204,3902,3912
STAP1,4,6,1,3,3,4
TIMP2,4371,4012,4383,5918,5029,3962
RFC1,5038,4563,5216,6628,5332,4453
TBC1D23,1194,1183,1339,1824,1713,1357
CUL3,3780,3684,4054,4744,4106,3491
MYOM2,71,57,69,203,173,148
OTC,1,0,1,0,2,4
CYP46A1,36,35,43,44,55,19
ZZZ3,1994,2005,2216,2469,1996,1935
SLC18A1,2,0,0,2,2,3
USP2,392,376,465,472,438,353
CASR,1,0,0,0,0,0
TUBG2,473,478,528,971,909,698
RPL26L1,1172,1013,1123,1368,976,973
FLT4,1676,1646,1861,3404,2498,1995
NSUN2,7238,6617,7066,9467,7194,7297
FBXO42,1402,1220,1383,2519,2306,1848
MFAP3,1016,768,1073,1920,1660,1202
MRI1,942,924,859,1431,1135,1008
METTL1,667,584,510,641,510,584
HOXC8,29,23,21,4,8,2
AGA,425,415,425,503,482,444
PI4K2B,2382,2339,2556,2558,2059,2030
BOD1L1,1924,1849,1915,3919,4367,2340
MAT2B,3126,2875,3287,5169,4537,3685
TLL1,22,19,27,35,29,25
EDC4,3977,3651,3509,5863,4944,4253
TRIO,1154,1223,1089,1427,1669,1690
VCAN,136,66,223,104,152,134
CLEC16A,1067,985,1117,1836,1686,1431
MSR1,2,3,0,10,1,2
CDH1,2,1,3,6,4,3
MTREX,4418,4587,4927,5402,3740,4036
DNAH5,0,0,0,0,0,0
ZFYVE16,1232,1244,1596,2086,2491,1595
RIPOR1,1974,1770,1909,2925,2779,2181
C6,0,0,0,0,0,0
RAI14,5,10,12,0,1,3
SOX30,0,0,3,5,1,0
PNKP,1202,1250,1396,2472,2288,1871
BEST2,0,2,1,8,1,0
PHLPP2,576,544,608,850,653,660
SPDL1,2895,2373,2804,2643,2282,1915
STAU2,2929,2868,3376,5566,5469,4403
SLC66A1,233,316,279,464,405,291
CTNS,544,496,561,988,571,649
RTN4R,376,371,445,971,1044,648
PHF23,1049,1026,1175,1640,1530,1280
CDH10,0,0,0,0,0,0
INPP4A,4365,3666,4349,6751,5940,4648
RAB27B,145,155,198,62,32,9
PSMA4,12083,11784,12933,10796,8215,8235
LSG1,1900,1815,2202,2458,1744,1902
PARP3,403,401,303,869,762,610
TNC,0,0,0,0,5,2
THAP3,569,543,620,1401,1094,826
RIPOR3,10,11,4,26,9,12
TDP1,2082,2011,2157,3382,2725,2495
AIFM2,140,123,145,115,129,90
C2orf83,0,1,2,0,0,0
SPATA7,259,218,261,501,378,342
MED17,1389,997,1278,1704,1474,1610
RETSAT,1300,1344,1208,2280,1956,1562
CAPG,5234,4813,4691,5840,5454,3987
AP2S1,2465,2255,2468,3671,2817,2825
USH2A,1,0,1,0,0,1
ZPBP,0,0,0,0,0,2
TG,4,4,16,6,8,26
ADAM28,2,0,0,3,4,0
BARX2,2,4,0,2,7,3
DCUN1D1,2645,2449,2518,4625,4003,3406
JADE2,2972,2732,2936,4701,4187,2813
ZIC2,86,78,159,121,91,73
LCP2,2606,2561,3018,5763,5581,4374
TRIT1,1282,1125,1285,1714,1557,1299
ADRB1,86,81,126,104,120,75
GUCA2B,0,0,0,0,0,0
CUL7,885,780,812,1548,1602,1104
CTNNA1,5244,4674,5052,11459,11097,7864
PHKA2,1438,1269,1416,2844,2244,1812
CNTLN,343,349,399,549,427,324
EPHA3,214,217,215,0,5,1
HSPA5,9736,9164,10010,9783,9277,7854
DSG2,4126,3797,4305,5660,4636,3735
GEMIN8,429,416,458,796,613,578
OFD1,446,492,520,853,946,599
GPM6B,25,25,21,34,37,20
MAGEC2,1,4,1,0,0,0
PREX2,417,397,438,221,130,101
WDR37,710,704,755,1396,1200,935
YTHDC2,1877,1647,2175,3073,2508,2078
CTPS2,0,0,0,0,0,0
ATP6V1H,1334,1229,1483,1807,1517,1305
POLR2B,7937,7251,7812,10892,9080,7517
FAM214A,534,592,684,1128,1332,810
ARAP2,1037,987,1422,1791,1513,1170
TPR,4087,3341,4459,5698,5416,3660
CP,0,0,2,0,0,0
KATNIP,602,459,523,863,855,740
DTNBP1,967,918,1001,1965,1614,1327
XK,0,0,0,0,0,0
ANO2,0,0,4,0,0,0
C12orf4,768,862,710,949,788,715
SCML1,365,301,371,648,628,411
WWC3,1149,1036,1051,1944,1451,967
ARHGAP6,0,0,0,2,7,0
FAM184B,8,9,8,23,21,8
MAP4,7423,6717,7224,9455,7874,7340
GOPC,3625,3388,3713,4825,4341,3722
ROS1,0,0,4,3,1,0
USP28,997,846,984,1097,1345,1061
HDAC9,546,494,582,1963,1498,1152
TSPAN17,1133,973,1091,1926,1634,1470
NOP16,1707,1514,1693,1593,1068,1308
CC2D2A,16,11,22,39,27,41
RRM2B,1235,1148,1188,1735,1638,1555
ZNF800,1029,961,993,2010,1811,1473
TNFRSF17,0,0,1,1,4,0
SNX29,546,568,619,990,817,655
LMO3,0,0,0,0,0,0
MRPS10,2917,2834,2962,4189,3294,2927
GUCA1A,0,0,0,0,0,0
RSF1,1974,1437,1756,2381,2807,1857
VPS13D,1472,1148,1256,1463,1629,1065
CELF2,4280,3928,4688,10145,10168,6723
FAM120A,8412,8168,8651,10211,8478,8265
R3HDM1,4714,4188,4566,7109,5333,5232
COL9A2,737,719,753,1530,1752,1105
KITLG,0,0,0,0,0,0
ERCC8,811,730,796,1349,977,886
ADAMTS6,74,114,113,275,186,131
H6PD,1976,1982,1995,4522,4142,2712
VAMP3,1086,1053,1218,1650,1501,1574
PER3,387,407,355,811,676,548
UTS2,0,0,0,0,0,0
TNFRSF9,5,10,8,14,13,6
EPN3,2,3,2,7,24,4
LTBP1,715,533,559,794,1252,845
RCN1,4341,4259,4421,4847,4283,3736
ELN,1,10,6,12,5,3
RFC2,2950,2796,2919,3584,2605,2455
ARID1B,2435,2299,2345,3696,3327,2350
CLPTM1L,4941,4833,5236,8560,7498,6654
NEDD4L,113,70,129,117,124,99
FOXP3,8,10,14,25,13,11
PPP1R3F,221,198,220,321,520,244
HEXB,2331,2142,2210,3620,2861,2242
PTCD2,537,611,597,988,878,619
