gene_name,293T-1,293T-2,293T-3,YTHDF2_crispr-1,YTHDF2_crispr-2,YTHDF2_crispr-3
GCFC2,57,148,90,200,87,159
WDR54,2,3,4,1,1,3
CROT,7,13,17,24,13,23
ABCB4,1,0,0,0,0,0
KMT2E,21,45,27,60,25,40
RHBDD2,0,0,0,0,0,0
SOX8,1,9,3,12,11,18
ZNF195,28,47,25,52,35,23
MYCBP2,5,36,27,55,22,14
FBXL3,32,77,87,134,99,102
ITGAL,137,352,270,460,272,297
PDK2,0,0,0,0,0,0
ITGA3,0,0,0,1,0,0
ZFX,49,117,101,425,283,273
LAMP2,74,138,138,217,161,170
ITGA2B,0,0,0,0,0,0
ASB4,0,0,0,0,0,0
GDE1,11,19,12,36,19,39
REX1BD,0,0,0,3,0,0
CRLF1,1,0,0,0,0,0
OSBPL7,0,0,0,0,0,0
TMEM98,0,0,0,0,1,0
YBX2,0,0,0,0,0,0
KRT33A,0,0,0,0,0,0
MAP3K14,0,0,0,0,0,0
ABCC8,0,0,0,0,0,0
CACNG3,0,0,0,0,0,0
TMEM132A,3,4,1,9,2,1
AP2B1,4,56,42,260,152,217
TAC1,0,0,0,0,0,0
ZNF263,2,2,8,6,4,3
CX3CL1,0,0,0,0,0,0
SPATA20,0,0,0,0,0,0
CACNA1G,0,0,0,1,0,0
TNFRSF12A,3,3,3,4,0,1
DLX6,0,6,3,5,2,8
MAP3K9,1,3,2,10,8,10
RALA,72,73,78,104,134,93
BAIAP2L1,3,10,5,16,9,14
KDM7A,32,69,59,97,87,96
ETV1,9,2,2,5,5,2
AGK,14,50,23,40,39,50
ALDH3B1,0,0,0,2,0,0
TTC22,0,0,0,0,0,0
PHTF2,34,87,80,81,58,61
CCL26,0,0,0,0,0,0
FARP2,8,11,4,38,26,12
USH1C,1,1,1,1,3,5
GGCT,193,221,161,364,270,197
DBF4,43,110,81,101,71,77
TBXA2R,0,0,0,0,1,0
IFRD1,58,149,114,107,50,84
LGALS14,0,0,0,0,0,0
COX10,3,6,1,19,2,20
GTF2IRD1,5,9,4,6,3,2
PAF1,0,12,1,41,3,12
VPS41,3,30,30,98,126,84
ARHGAP44,2,9,8,12,13,10
ELAC2,0,3,0,1,3,5
SCIN,3,12,9,8,0,3
ARSD,0,0,0,0,1,0
PNPLA4,5,3,4,6,1,8
MYH13,0,0,0,0,0,0
ADIPOR2,18,42,7,62,36,33
CDKL3,0,3,3,6,2,5
UPP2,0,0,0,0,0,0
MARK4,2,4,8,3,0,2
PROM1,0,1,0,1,0,1
CCDC124,0,0,0,1,0,0
CEACAM21,0,0,0,0,0,0
PAFAH1B1,40,96,138,229,224,214
NOS2,0,0,0,0,0,0
DNAH9,0,0,0,0,0,0
KIAA0100,26,32,47,122,133,110
SLC13A2,0,0,0,0,0,0
GAS7,1,3,2,0,0,1
TRAPPC6A,4,2,3,2,4,2
MATK,0,0,0,0,0,0
CEACAM7,0,0,0,0,0,0
CD79B,0,0,0,0,0,0
SCN4A,0,0,0,1,0,0
ST7L,9,8,9,17,14,20
TKTL1,2,0,0,0,1,0
PAX6,26,28,18,39,56,41
RPUSD1,0,0,0,0,0,0
RHBDF1,0,0,0,0,0,0
LUC7L,13,23,16,38,12,18
CACNA2D2,4,5,5,6,5,10
BAIAP3,0,0,0,0,0,0
TSR3,0,0,0,0,1,3
PIGQ,0,0,0,0,0,0
CRAMP1,13,14,8,19,17,18
TEAD3,0,2,3,2,2,1
SELE,0,0,0,0,0,0
DNAJC11,16,7,7,44,21,12
FMO3,0,0,0,0,0,0
MYLIP,3,5,7,10,10,12
NOX1,0,1,0,0,0,0
PSMB1,7,2,14,36,14,23
SYN1,0,0,0,0,0,0
JARID2,0,5,11,9,3,3
CDKL5,6,8,16,24,16,42
CAMK1G,0,0,0,0,0,0
CDK11A,0,0,0,3,3,0
NADK,26,20,19,14,6,12
TFAP2B,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0
DLEC1,0,0,0,0,0,0
CYTH3,4,12,11,9,8,14
ADAM22,6,42,9,27,14,24
SYPL1,40,78,85,199,119,116
CYB561,1,0,1,1,6,0
SPAG9,30,176,114,182,105,106
CELSR3,3,3,2,2,0,2
AASS,2,12,22,53,38,42
PLEKHG6,0,0,0,0,0,0
SS18L2,0,0,2,2,0,0
MPND,0,0,4,4,1,4
MGST1,3,4,6,17,14,11
CRY1,46,57,47,103,95,81
PGLYRP1,0,0,0,0,0,0
NFIX,6,9,6,14,14,15
ST3GAL1,1,2,1,3,3,4
MMP25,0,0,0,0,0,0
IL32,0,0,0,0,0,0
PKD1,4,10,7,15,5,12
MAPK8IP2,1,2,0,7,2,5
MED24,15,45,28,23,12,20
RHOBTB2,1,1,0,0,0,1
HEATR5B,13,57,44,64,43,40
SEC62,39,93,49,114,72,133
RPS20,8,33,22,7,8,10
CSDE1,121,380,304,698,389,478
UBE3C,54,151,168,144,194,110
REV3L,12,28,42,21,66,28
TENM1,0,13,6,22,12,13
PAX7,0,0,0,0,0,0
MASP2,0,0,0,0,0,0
IYD,0,0,0,0,0,0
FAM76A,50,53,38,54,61,45
TRAF3IP3,0,0,0,0,0,0
POMT2,0,5,1,1,1,5
VTA1,157,239,212,382,308,348
MLXIPL,2,12,11,9,13,2
BAZ1B,41,51,62,118,61,99
RANBP9,10,52,35,32,31,22
ETV7,0,0,2,4,0,1
SPRTN,42,32,32,100,78,56
EEF1AKNMT,0,0,3,12,7,4
DYRK4,1,0,0,4,0,0
ZNF207,113,364,370,552,369,358
UQCRC1,10,13,0,25,15,16
STARD3NL,38,26,14,54,46,57
CD9,38,25,30,86,47,64
HHATL,0,0,0,0,0,0
NCAPD2,7,26,18,37,29,39
IFFO1,2,0,0,9,1,1
GIPR,1,4,2,3,6,4
PHF7,0,2,1,4,2,4
SEMA3G,1,2,6,5,3,6
NISCH,7,36,11,31,8,11
STAB1,0,0,0,0,0,0
FUZ,0,3,0,0,0,4
SLC6A13,0,0,0,1,0,0
IDS,40,86,64,80,59,68
PRSS3,0,0,0,0,0,0
ZNF200,7,7,9,31,13,20
CD4,0,0,0,0,0,0
LRRC23,0,1,0,2,0,1
BTK,1,0,0,0,2,0
HFE,0,0,0,0,0,0
SCMH1,2,9,10,23,9,14
FYN,10,52,21,113,60,34
HIVEP2,8,15,11,24,39,19
FMO1,0,0,0,0,0,0
ELOA,13,24,37,38,32,26
LYPLA2,0,0,1,0,0,0
CLCN6,3,3,5,4,3,4
MRC2,4,3,5,1,3,2
NME1-NME2,0,0,0,0,0,0
SLC6A7,0,0,0,0,0,0
TSPAN9,0,0,3,5,4,4
APBA3,0,1,0,0,0,0
MKS1,6,14,5,6,4,23
ABHD5,0,8,4,5,4,3
ANOS1,0,0,0,0,0,0
AKAP8L,18,15,2,20,11,13
MBTD1,27,85,62,117,56,55
UTP18,29,48,50,88,50,92
RNF216,5,17,45,41,17,52
TTC19,65,123,82,199,120,161
PTBP1,103,184,155,267,256,289
DPF1,10,7,1,16,2,5
SYT7,1,0,0,2,3,2
LARS2,1,7,2,54,4,23
PIK3C2A,25,63,57,110,64,62
PLAUR,2,0,1,0,4,2
ANLN,41,119,87,109,168,79
WIZ,3,3,3,12,6,5
RABGAP1,17,81,42,89,39,80
DCN,0,0,0,2,0,0
QPCTL,0,0,1,0,0,0
PPP5C,0,1,0,1,3,1
CEP68,5,5,2,15,7,5
MAP4K3,24,48,36,51,24,30
ZBTB32,0,0,0,0,0,0
TYROBP,0,0,0,0,0,0
TMEM159,0,6,2,3,8,2
GABRA3,0,0,0,0,0,0
BRCA1,25,36,31,86,20,21
ERCC1,3,0,4,0,1,2
CD22,0,0,0,0,0,0
SEMA3B,0,0,0,0,0,0
MBTPS2,47,79,54,161,113,118
PRICKLE3,0,0,0,0,0,0
LTF,0,0,0,0,0,0
EXTL3,7,9,7,16,16,12
NR1H4,0,0,0,0,0,0
ELOVL5,68,144,88,222,142,146
ALOX5,0,0,0,0,0,0
KDM5D,0,0,0,0,0,0
CALCOCO1,2,9,13,18,1,6
UBR7,0,0,0,0,0,0
MAP4K5,36,80,91,86,73,70
EHD3,3,0,1,3,2,3
MAN2B2,0,0,1,0,2,2
SLC7A14,0,0,0,0,0,0
CLDN11,0,0,0,0,0,0
SLC25A39,0,0,0,1,8,0
MVP,0,3,1,1,0,1
NUB1,25,55,37,47,78,60
PGM3,27,123,52,77,42,63
RWDD2A,3,11,4,8,3,8
CLK1,123,133,118,181,132,174
POLR3B,3,14,13,32,18,20
ANGEL1,5,14,9,22,18,20
RNF14,30,56,31,122,104,72
DNASE1L1,5,2,0,9,22,11
DDX11,2,5,6,19,19,4
HEBP1,19,43,12,61,28,36
GPRC5A,0,0,1,1,1,0
MAMLD1,2,6,7,10,10,6
CD6,0,0,0,0,0,0
TACC3,0,0,0,0,0,0
UFL1,93,141,132,139,101,94
POLA2,5,10,12,29,18,18
ZC3H3,0,0,0,0,0,0
CAPN1,4,9,3,5,0,7
ACP3,0,2,1,1,0,3
MDH1,38,26,27,130,82,92
SLC30A9,36,108,149,258,216,138
MTMR11,0,1,2,0,0,1
COX15,12,41,32,73,80,73
CCDC88C,5,17,2,4,7,14
YAF2,28,47,47,107,74,89
ZMYND11,18,32,24,43,45,29
WAS,3,4,0,1,0,0
DPEP1,0,0,0,0,0,0
BID,0,0,1,0,0,4
MATR3,151,514,477,990,827,813
NPC1L1,0,0,0,0,0,0
XYLT2,6,5,3,4,0,4
RGPD5,35,20,136,41,3,11
STMN4,0,0,0,0,0,0
NUDCD3,2,6,2,14,12,21
ISL1,9,3,0,7,4,5
CHDH,0,3,4,9,3,4
IL20RA,0,0,0,0,0,0
CLCA1,0,0,0,0,0,0
CLCA4,0,0,0,0,0,0
GLT8D1,2,15,15,24,10,18
ATP2C1,32,86,81,88,75,67
IGF1,0,0,0,7,1,0
SLC38A5,0,0,0,0,2,1
RALBP1,4,5,22,21,11,47
RUFY3,24,32,22,61,29,44
CNTN1,22,51,36,50,26,34
SLC11A1,0,0,0,0,0,0
WWTR1,25,28,30,62,40,19
AGPS,41,58,105,124,117,192
ZNF806,0,0,0,0,0,0
CXorf56,11,34,44,50,30,45
ATP1A2,0,0,0,0,0,0
TTC27,5,3,11,44,14,23
ZNF582,0,0,1,1,4,1
VSIG2,0,0,0,0,0,0
PHLDB1,3,7,2,10,3,2
MARCO,0,0,0,0,0,0
CYP24A1,0,0,0,1,0,0
PRDM11,1,0,0,3,0,3
SYT13,0,0,0,2,0,0
SNAI2,73,128,130,237,189,200
CD74,0,0,0,0,0,0
HGF,0,0,0,0,1,1
ZRANB1,34,39,46,87,42,43
NCDN,1,0,2,2,0,2
ADGRA2,7,9,4,6,4,1
CCT8L1P,0,0,0,0,0,0
ZFP64,12,16,13,40,13,20
MNAT1,53,79,47,144,86,98
SAMD4A,10,17,11,21,18,10
RUNX3,0,0,1,1,0,1
MRE11,46,92,87,164,87,104
PLEKHB1,1,0,0,4,0,0
SERPINB1,1,6,8,9,5,6
CYP3A43,0,0,0,2,1,2
SLC7A9,0,0,0,0,0,0
SPAST,29,34,29,71,42,49
NRXN3,9,15,19,24,23,20
OSBPL5,0,0,0,0,0,0
AQR,5,10,10,40,77,73
CPS1,11,12,17,99,14,49
C8B,0,0,0,0,0,0
FHL1,61,122,102,166,114,146
RTF2,7,9,11,15,16,14
GABRA1,0,0,0,1,0,0
NLRP2,0,0,0,0,0,0
SLC45A4,0,0,0,2,2,2
RNF10,4,18,13,36,11,16
ZNF839,1,2,5,3,8,3
ZDHHC6,11,10,22,17,33,21
GRAMD1B,8,2,0,6,3,6
RB1CC1,94,207,167,282,201,272
ERP44,42,73,62,78,123,96
ALAS1,2,12,6,10,6,5
BIRC3,0,0,0,0,0,0
AKAP11,57,149,86,196,140,149
GLRX2,23,17,19,30,18,9
SNAPC1,43,100,60,213,132,127
DERA,12,22,10,29,23,33
STRAP,183,249,203,349,203,253
ABCC2,0,7,1,4,1,1
DEF6,0,0,0,2,0,1
PLEKHO1,3,5,4,18,7,8
GCLM,37,52,33,58,46,58
UBR2,10,20,35,32,38,43
EHD2,0,1,0,0,0,0
DEPDC1,135,204,194,397,302,366
CCDC28A,15,18,20,21,15,42
RRAGD,23,29,24,71,54,75
HSF2,13,18,8,34,17,20
PHF20,9,15,10,37,26,43
HSD17B6,12,17,7,13,9,5
NR1H3,0,0,0,1,0,2
TYMP,0,0,0,0,0,1
NCAPH2,0,0,0,0,0,0
TOMM34,15,28,9,36,25,22
SEC63,63,147,100,158,136,130
KPNA6,5,12,12,31,31,27
VIM,60,111,122,92,75,83
RTEL1-TNFRSF6B,0,0,0,1,0,0
FAS,7,17,9,31,13,21
RNASET2,2,8,4,10,5,8
CD44,0,0,0,0,0,0
KCNG1,1,4,0,1,1,0
AGPAT4,29,16,18,22,23,16
SLAMF7,0,2,0,0,1,0
BTN3A1,1,15,22,14,14,3
MIPEP,0,2,4,19,8,18
PRKCH,5,17,12,20,27,20
INSRR,0,0,0,0,0,0
IFNGR1,70,86,69,114,89,116
B4GALT7,0,0,0,1,0,0
SH2D2A,1,0,0,3,0,0
VRK2,3,1,5,18,11,4
TNFRSF1B,0,0,0,0,0,0
VEZT,56,81,64,129,91,108
POU2F2,0,0,0,0,0,0
BRD9,1,6,1,20,4,7
SNX1,21,36,31,123,108,91
TBPL1,14,32,33,95,66,73
ARNTL2,13,25,18,45,30,20
BCLAF1,77,247,180,423,277,381
SLC39A9,19,40,35,69,47,55
ANK1,0,0,0,2,0,0
IBSP,0,0,0,0,0,0
TFB1M,7,15,9,52,16,24
RABEP1,84,97,48,218,70,112
HMGB3,84,109,92,322,95,173
NUP160,72,130,107,141,151,138
BAK1,9,3,4,14,8,4
MUSK,0,0,0,0,0,0
IKZF2,11,16,19,22,8,3
GRN,0,0,0,1,1,1
FAM13B,14,19,33,18,78,20
ARHGAP31,1,1,4,0,0,0
CENPQ,13,16,28,41,40,35
SARS1,86,144,72,189,146,169
RANBP3,4,0,1,4,8,3
ARID4A,11,43,36,100,48,63
EIPR1,0,0,0,0,0,0
PNPLA6,0,0,0,0,0,0
IFT88,4,21,10,21,8,6
ALG1,0,1,0,1,3,1
ZCCHC8,14,37,47,33,62,37
ABCF2,0,2,3,14,8,2
CHPF2,4,4,0,6,2,8
LRRC7,0,0,0,0,0,0
FUT8,1,10,5,8,8,4
UBA6,98,234,176,213,157,143
GAB2,0,4,3,2,2,3
ATP6V0A1,5,8,14,37,23,32
PIAS1,17,41,36,55,60,35
SLC4A7,42,130,156,164,87,83
APBA2,0,0,0,0,0,2
MAP2K3,10,22,7,38,31,13
EFCAB1,0,0,0,0,0,0
TMSB10,15,34,19,95,35,66
ASTE1,0,3,1,0,4,4
RNF19A,7,28,11,41,24,47
PEX3,5,18,9,37,36,29
GABARAPL2,40,36,33,180,126,99
MYOC,0,0,0,0,0,0
SH3YL1,6,3,4,11,10,10
FAM136A,73,124,102,242,171,183
VCL,8,17,11,28,23,10
DEPDC1B,62,95,73,205,132,131
DAPK2,0,1,1,5,0,0
NSMAF,4,11,19,20,22,16
ADSS2,89,78,88,285,141,133
STAP1,0,0,0,0,0,0
TIMP2,11,11,14,25,28,31
RFC1,28,69,85,183,65,57
TBC1D23,44,76,69,85,60,79
CUL3,67,81,45,243,82,114
MYOM2,2,2,1,0,0,0
OTC,0,0,0,0,0,0
CYP46A1,0,0,0,1,2,0
ZZZ3,48,121,125,177,139,131
SLC18A1,0,0,0,0,0,0
USP2,6,7,1,4,0,7
CASR,0,0,0,0,0,0
TUBG2,1,10,5,2,3,3
RPL26L1,34,18,13,54,38,30
FLT4,0,1,0,0,0,0
NSUN2,28,52,27,139,105,80
FBXO42,7,16,13,17,4,7
MFAP3,0,3,17,7,6,6
MRI1,22,48,30,98,62,63
METTL1,0,0,0,0,0,0
HOXC8,7,1,3,8,2,5
AGA,15,14,8,24,14,18
PI4K2B,42,85,76,150,96,102
BOD1L1,6,30,64,85,44,89
MAT2B,42,91,69,211,153,168
TLL1,2,0,2,3,11,0
EDC4,0,0,1,0,0,0
TRIO,31,35,19,44,43,33
VCAN,40,83,54,57,62,73
CLEC16A,0,1,4,5,14,7
MSR1,0,6,5,3,7,6
CDH1,6,1,4,6,2,1
MTREX,50,157,76,376,234,189
DNAH5,0,0,0,0,0,0
ZFYVE16,20,66,52,69,96,36
RIPOR1,0,1,0,1,0,0
C6,0,0,0,0,0,0
RAI14,28,58,60,96,56,63
SOX30,1,0,0,0,0,0
PNKP,1,3,0,3,0,1
BEST2,0,0,0,0,0,0
PHLPP2,19,34,19,52,47,51
SPDL1,116,150,155,341,253,268
STAU2,23,37,61,160,119,37
SLC66A1,0,0,0,0,0,0
CTNS,0,0,0,0,0,0
RTN4R,0,0,0,0,0,0
PHF23,7,6,2,33,23,16
CDH10,1,1,0,2,2,0
INPP4A,22,40,29,59,47,27
RAB27B,1,0,3,6,4,3
PSMA4,34,52,61,171,133,127
LSG1,7,12,8,16,10,19
PARP3,0,0,0,0,0,0
TNC,0,0,0,0,2,0
THAP3,0,0,0,0,0,0
RIPOR3,0,0,0,0,0,0
TDP1,8,10,21,33,19,46
AIFM2,0,0,0,0,0,0
C2orf83,0,0,0,0,0,0
SPATA7,3,34,13,27,15,14
MED17,22,40,27,38,52,86
RETSAT,3,10,1,2,4,5
CAPG,0,0,0,0,0,0
AP2S1,9,6,6,23,19,17
USH2A,0,0,0,0,0,0
ZPBP,0,0,0,0,0,0
TG,0,0,0,0,0,0
ADAM28,0,0,0,0,0,0
BARX2,0,0,1,8,4,15
DCUN1D1,26,25,45,149,108,91
JADE2,0,2,0,6,2,2
ZIC2,146,216,202,448,263,339
LCP2,0,0,0,0,0,0
TRIT1,4,7,2,28,4,3
ADRB1,0,0,0,0,0,2
GUCA2B,0,0,0,0,0,0
CUL7,1,4,0,4,0,7
CTNNA1,30,50,35,46,56,32
PHKA2,2,1,10,6,28,42
CNTLN,17,32,27,46,25,44
EPHA3,25,39,24,62,34,29
HSPA5,175,362,325,313,235,250
DSG2,112,129,141,245,170,184
GEMIN8,7,1,3,0,3,2
OFD1,40,90,36,77,28,42
GPM6B,16,22,35,38,29,31
MAGEC2,0,2,0,0,0,0
PREX2,7,7,15,69,7,21
WDR37,7,28,6,15,8,7
YTHDC2,58,140,93,308,150,159
CTPS2,10,23,25,41,37,28
ATP6V1H,8,40,38,81,51,83
POLR2B,85,169,92,217,202,142
FAM214A,10,19,18,20,6,12
ARAP2,11,5,5,9,9,12
TPR,84,395,242,613,281,479
CP,0,0,0,0,0,0
KATNIP,0,0,5,2,5,1
DTNBP1,1,0,0,0,0,0
XK,3,1,1,9,7,12
ANO2,0,0,0,0,0,0
C12orf4,19,27,36,93,33,45
SCML1,151,223,194,249,171,193
WWC3,0,0,0,0,0,0
ARHGAP6,0,0,0,0,0,0
FAM184B,99,192,143,217,261,174
MAP4,10,39,18,81,59,38
GOPC,103,163,170,348,222,240
ROS1,0,0,1,0,0,0
USP28,35,104,86,130,125,70
HDAC9,2,7,4,10,1,2
TSPAN17,12,6,13,22,21,12
NOP16,0,2,5,5,5,5
CC2D2A,5,0,5,10,11,8
RRM2B,40,34,35,92,71,66
ZNF800,30,31,18,25,19,27
TNFRSF17,0,0,0,0,0,0
SNX29,2,3,1,20,4,1
LMO3,1,11,8,0,1,7
MRPS10,9,18,16,28,17,11
GUCA1A,0,0,0,0,0,0
RSF1,9,88,92,47,63,57
VPS13D,74,21,10,15,17,25
CELF2,20,26,25,65,59,34
FAM120A,69,150,123,221,165,153
R3HDM1,6,32,21,28,23,28
COL9A2,0,0,0,0,0,0
KITLG,30,62,54,68,47,57
ERCC8,12,8,10,20,14,38
ADAMTS6,2,0,4,2,5,0
H6PD,4,7,3,3,10,5
VAMP3,15,24,36,63,95,56
PER3,4,18,13,8,1,2
UTS2,0,0,0,0,0,0
TNFRSF9,0,0,0,0,0,0
EPN3,0,0,0,0,0,0
LTBP1,9,44,13,24,23,18
RCN1,172,228,179,441,343,277
ELN,0,0,3,0,0,0
RFC2,2,10,6,10,6,5
ARID1B,38,41,55,108,62,70
CLPTM1L,15,18,18,100,42,85
NEDD4L,25,4,9,43,10,49
FOXP3,0,0,0,0,0,0
PPP1R3F,0,0,1,0,0,0
HEXB,9,10,11,44,24,15
PTCD2,67,39,6,65,85,83
NEXMIF,5,3,3,4,5,4
JKAMP,31,57,46,91,51,83
DKK3,2,1,0,4,5,2
ARHGEF5,0,0,0,0,0,0
NFE2L3,8,12,13,24,12,26
MCUR1,11,40,49,62,57,63
LIMA1,28,75,62,154,144,129
LETMD1,14,31,22,32,24,30
SLC4A8,0,2,2,6,23,1
LAMC3,0,0,0,0,0,0
PTGER3,0,0,0,2,1,0
TNIP3,2,4,2,0,2,0
MAPK9,29,84,60,221,101,94
COL23A1,0,0,0,0,0,0
BCAR1,0,0,2,0,0,3
FAM160A2,2,8,8,4,1,0
HERPUD1,42,63,54,59,54,49
HOMER3,0,0,0,0,0,0
RAD51,4,19,7,23,23,12
POLQ,11,35,29,25,18,18
PIK3CB,28,32,42,42,37,46
CYBA,0,0,0,0,0,0
THOC3,31,56,57,53,36,39
HEBP2,40,74,48,91,69,75
MPHOSPH9,41,43,60,54,46,57
PLEKHA5,26,23,26,28,29,33
PRSS8,0,0,0,0,0,0
SIKE1,63,140,106,456,208,160
RRP12,4,0,0,2,4,3
FNIP2,4,11,4,11,11,11
MSMO1,16,71,45,153,60,70
TTC17,8,61,46,28,10,18
ALX4,6,8,2,14,5,11
FSTL4,0,0,0,0,0,1
FOXN3,26,31,17,61,174,46
METTL24,0,0,0,0,0,0
AKR7A2,0,0,0,0,0,0
MRTO4,11,4,5,11,9,3
NNAT,0,0,0,0,0,0
USE1,0,0,0,0,0,0
MCF2L2,0,0,0,0,0,2
NRIP2,0,0,0,0,0,0
LAMA3,4,1,5,4,4,6
AP5M1,9,208,25,106,289,145
ANAPC4,10,42,46,73,50,58
KCNQ1,0,1,2,4,1,1
TRAPPC3,5,28,6,49,46,33
THRAP3,15,53,15,54,44,43
PHPT1,0,0,0,0,0,0
ENTPD2,0,0,0,0,0,0
LY75,0,0,0,0,0,0
ARID4B,52,107,95,196,99,95
OPN3,1,0,3,0,2,0
SDCCAG8,12,28,21,11,18,9
PTPRN,0,0,0,0,0,0
KIF1B,38,72,52,59,65,51
FOXC1,116,135,89,265,186,199
TBC1D22A,1,3,3,18,2,4
SYNE2,27,58,50,14,48,31
PLEKHH1,1,4,17,9,14,1
ATP9A,6,15,12,30,12,12
SPO11,0,0,0,0,0,0
CBLN4,0,0,0,0,0,0
CHRDL2,0,0,0,0,0,0
FAM168A,19,47,34,42,29,35
RELT,6,3,2,4,2,0
GALC,0,21,2,12,8,1
NOP58,153,204,178,238,176,159
SZRD1,42,56,46,87,59,37
KCNH2,0,0,0,0,0,1
CUL1,21,70,41,194,162,118
FAM114A2,32,45,42,36,52,38
CYFIP2,3,4,3,21,7,13
TAB2,49,71,40,133,93,80
GINM1,44,71,66,109,74,97
EIF2AK2,12,47,26,52,33,80
USP36,3,17,34,34,35,27
KMT2C,63,83,70,93,112,105
MCOLN3,6,15,14,23,21,27
CCDC85A,0,0,0,0,0,0
PUM2,79,152,133,153,110,125
MRPL43,1,2,4,4,3,3
ITIH4,0,0,0,0,0,0
ITIH1,0,0,0,0,0,0
HPF1,49,39,58,69,53,50
ZFR,95,190,204,401,268,270
ZNF280C,25,33,30,33,14,32
NPFFR2,0,0,0,0,0,0
PHF21B,14,8,6,3,7,5
TRAF1,1,0,0,0,0,1
RC3H2,81,136,98,145,131,155
KIFC1,0,0,0,0,0,0
IL17RB,4,1,0,2,0,1
TRAF3IP2,22,17,3,17,4,3
GYG2,6,5,4,13,7,3
DCBLD2,24,36,41,57,54,45
SERPINB3,0,0,0,0,0,0
SOAT1,28,48,44,104,74,84
PKP2,7,11,2,17,12,12
MSH4,0,0,0,0,0,1
F7,0,0,0,0,0,0
GDI2,60,100,105,197,209,128
PRDM1,0,0,0,0,0,0
ATG5,29,30,32,94,55,59
TMCC3,2,10,7,15,9,12
PITHD1,11,25,17,20,21,21
MTA3,14,9,17,52,38,13
USP13,15,32,32,53,42,40
ATP11B,20,69,78,106,45,51
LAMC2,1,1,0,16,0,2
CDK14,11,20,16,34,33,26
SEC61A1,17,9,19,33,11,11
PPP1R12A,39,118,106,202,167,191
