gene_name,5377-sg_Control,5377-sg_PAK4,5391-sg_Control,5391-sg_PAK4,5465-sg_Control,5465-sg_PAK4
HSPB6,41,32,144,101,220,23
ARHGAP33,132,19,18,48,37,7
NDUFAB1,1166,860,671,729,498,206
PDK4,79,70,86,73,1165,839
SLC22A16,0,0,0,0,0,0
ZMYND10,23,29,12,9,19,6
ABCB5,20,34,25,17,16,5
ARX,0,0,0,0,0,0
SLC25A13,1882,2200,870,1019,341,97
ST7,518,352,371,323,843,106
CDC27,3183,2638,2272,2605,2335,920
SLC4A1,17,14,16,10,16,9
CALCR,2,0,0,0,0,0
HCCS,493,536,1315,1580,269,138
DVL2,912,753,502,607,552,137
PRSS22,4,0,0,2,0,0
UPF1,2102,1662,1711,1779,949,383
SKAP2,3801,3099,106,48,20,16
SLC25A5,2985,2802,4288,5211,1391,390
MCUB,366,243,132,145,123,30
HOXA11,159,120,1,3,0,0
POLR2J,787,556,252,292,156,94
DHX33,974,1063,1165,1181,365,167
MEOX1,0,0,0,0,0,0
THSD7A,475,351,4,1,783,17
LIG3,1543,976,716,835,539,124
RPAP3,1090,1084,826,902,651,205
ACSM3,42,2,17,3,34,7
REXO5,150,153,139,154,33,19
CIAPIN1,1088,816,960,1175,550,189
SPPL2B,450,431,365,384,444,161
FAM214B,558,269,493,361,578,112
COPZ2,313,250,506,507,450,158
PRKAR2B,114,99,47,50,844,62
MSL3,522,653,1026,1177,470,115
CREBBP,1313,1302,1114,1008,1234,505
TSPOAP1,7,0,2,0,1,1
MPO,0,0,0,0,0,0
PON1,0,0,0,0,1,3
GCFC2,541,458,971,1087,534,101
WDR54,379,257,152,146,203,262
CROT,881,690,392,397,603,118
ABCB4,456,416,40,52,152,94
KMT2E,2241,2203,1169,1181,1705,729
RHBDD2,924,707,303,390,378,178
SOX8,1,3,90,87,0,1
ZNF195,467,435,573,527,164,71
MYCBP2,4179,4500,3677,4213,5647,1343
FBXL3,1304,1100,1322,1375,1319,463
ITGAL,6,10,10,4,11,7
PDK2,33,57,203,225,267,116
ITGA3,20978,8604,8413,6830,5812,3695
ZFX,2013,1716,4186,4763,2096,732
LAMP2,5843,5250,5003,6113,4221,1564
ITGA2B,3,2,6,23,7,4
ASB4,6,3,7,6,17,10
GDE1,1100,916,1417,1548,1543,459
REX1BD,302,194,549,546,248,96
CRLF1,474,114,472,460,40,104
OSBPL7,152,60,28,17,112,22
TMEM98,129,81,978,1065,506,154
YBX2,13,4,27,27,0,0
KRT33A,0,0,0,0,0,0
MAP3K14,596,345,362,385,424,247
ABCC8,0,0,0,0,0,0
CACNG3,0,0,0,0,0,0
TMEM132A,449,1651,1145,1745,288,603
AP2B1,3667,3211,4285,4216,4071,2178
TAC1,0,4,31,47,2,0
ZNF263,622,647,910,1058,612,181
CX3CL1,32,92,46,44,5,3
SPATA20,844,473,761,865,724,218
CACNA1G,16,11,1,2,3,0
TNFRSF12A,5184,4137,6514,7565,466,253
DLX6,0,1,3,0,0,0
MAP3K9,407,317,57,54,39,24
RALA,1625,1317,1918,2464,371,148
BAIAP2L1,982,605,265,316,1082,201
KDM7A,434,266,1325,1531,387,115
ETV1,1347,1136,256,237,1690,652
AGK,1205,532,235,196,352,109
ALDH3B1,460,237,372,489,439,187
TTC22,9,3,3,0,3,5
PHTF2,1982,1811,987,758,682,329
CCL26,15,10,36,24,3,0
FARP2,1663,1367,2413,1826,1137,305
USH1C,0,0,1,0,0,0
GGCT,758,782,941,996,204,64
DBF4,2250,1661,433,335,83,72
TBXA2R,174,157,141,170,189,86
IFRD1,4280,5152,3196,3458,1229,424
LGALS14,0,0,0,0,0,0
COX10,225,225,277,364,103,76
GTF2IRD1,1553,1187,488,480,206,141
PAF1,441,386,431,493,528,164
VPS41,2768,2422,1401,1769,2373,450
ARHGAP44,5,4,78,106,120,51
ELAC2,1187,1101,1283,1386,937,287
SCIN,15,16,41,24,31,4
ARSD,504,485,794,963,411,186
PNPLA4,202,151,217,362,86,15
MYH13,0,0,0,0,0,0
ADIPOR2,2015,2084,1633,1736,1295,412
CDKL3,94,83,94,135,89,26
UPP2,0,0,0,0,0,0
MARK4,396,192,353,311,256,194
PROM1,0,0,0,0,0,2
CCDC124,244,202,357,400,132,60
CEACAM21,1,0,0,0,0,0
PAFAH1B1,4120,3057,4898,4402,3239,1010
NOS2,0,1,0,0,0,0
DNAH9,3,4,9,5,3,4
KIAA0100,3813,3216,3493,4583,5022,1744
SLC13A2,0,0,0,0,0,0
GAS7,11,12,5,6,39,4
TRAPPC6A,24,18,43,49,91,17
MATK,0,0,5,11,2,3
CEACAM7,2,0,0,0,1,0
CD79B,0,0,4,8,8,5
SCN4A,0,0,1,6,2,0
ST7L,261,382,231,329,321,144
TKTL1,7,8,0,0,0,0
PAX6,149,237,3,2,3,0
RPUSD1,568,308,680,644,191,45
RHBDF1,533,458,413,460,527,285
LUC7L,567,758,543,482,928,291
CACNA2D2,1,0,0,0,1,0
BAIAP3,45,7,1,0,5,7
TSR3,808,678,1162,1227,348,121
PIGQ,569,381,245,307,306,132
CRAMP1,513,565,613,877,434,168
TEAD3,441,251,427,387,350,137
SELE,0,8,7,4,0,0
DNAJC11,1134,849,813,1050,676,182
FMO3,22,17,16,33,42,12
MYLIP,130,227,286,282,556,99
NOX1,0,0,0,0,0,0
PSMB1,2498,2513,1630,1791,1779,527
SYN1,6,3,23,32,14,0
JARID2,798,447,1285,1157,441,243
CDKL5,833,715,1022,1261,931,372
CAMK1G,0,1,0,3,0,0
CDK11A,179,174,75,91,222,60
NADK,1008,930,1135,1119,690,385
TFAP2B,3,2,0,0,0,0
TFAP2D,0,0,0,0,0,0
DLEC1,0,0,1,1,4,1
CYTH3,1219,548,1151,980,1902,447
ADAM22,1,1,4,1,182,32
SYPL1,3228,2829,1447,1697,1085,404
CYB561,774,972,338,339,351,197
SPAG9,5739,4892,4494,5246,4143,1356
CELSR3,173,264,19,20,121,16
AASS,415,563,314,340,498,170
PLEKHG6,2,23,8,2,19,1
SS18L2,270,230,99,188,118,38
MPND,33,22,62,78,31,14
MGST1,1767,1781,2505,2338,2077,689
CRY1,844,603,697,1001,271,81
PGLYRP1,0,0,0,0,0,0
NFIX,1152,1014,554,582,175,117
ST3GAL1,1601,1907,3579,4447,2096,819
MMP25,3,9,5,8,9,2
IL32,167,626,140,187,9,2
PKD1,4681,3559,4582,5454,2828,883
MAPK8IP2,143,195,115,142,12,12
MED24,702,716,661,635,484,225
RHOBTB2,574,340,236,395,1275,573
HEATR5B,1045,937,934,701,882,256
SEC62,2030,2458,2155,2486,2866,846
RPS20,10008,10926,10108,11349,7845,2083
CSDE1,12817,13129,13156,13706,10087,3611
UBE3C,8383,7909,3959,3626,2997,930
REV3L,2188,2322,1626,1789,2056,869
TENM1,8,0,0,0,0,0
PAX7,0,0,0,0,0,0
MASP2,7,8,1,4,1,0
IYD,30,27,32,34,28,13
FAM76A,207,162,291,329,161,47
TRAF3IP3,0,0,0,0,0,0
POMT2,549,484,634,993,229,145
VTA1,1024,766,1082,1042,640,204
MLXIPL,69,38,47,44,30,14
BAZ1B,10473,7938,4039,4573,2579,1026
RANBP9,1435,1213,1177,1429,942,305
ETV7,1,54,146,96,8,30
SPRTN,273,355,361,403,463,107
EEF1AKNMT,678,722,808,737,340,87
DYRK4,347,193,278,222,222,49
ZNF207,5054,4142,2811,3164,3780,1286
UQCRC1,2883,2778,2034,2704,2310,972
STARD3NL,2592,1939,872,861,892,249
CD9,618,293,222,229,921,209
HHATL,4,0,0,0,0,0
NCAPD2,5625,4280,1097,823,541,730
IFFO1,282,273,288,286,314,95
GIPR,33,31,42,39,25,18
PHF7,66,36,73,63,33,28
SEMA3G,3,4,0,0,0,0
NISCH,1469,1301,1016,1072,1665,664
STAB1,8,6,3,4,3,4
FUZ,81,65,55,69,121,29
SLC6A13,1,10,4,7,7,2
IDS,2656,1488,3869,4157,2064,1063
PRSS3,30,18,20,12,58,73
ZNF200,357,303,569,537,263,83
CD4,1,0,166,207,1812,706
LRRC23,110,128,46,49,74,32
BTK,1,19,0,0,0,3
HFE,293,313,229,239,550,267
SCMH1,755,727,458,404,445,132
FYN,993,1005,1022,887,1438,628
HIVEP2,1807,2490,3498,3916,3379,1240
FMO1,0,0,0,0,6,3
ELOA,1652,1461,1451,1216,969,408
LYPLA2,570,446,550,515,462,212
CLCN6,361,375,294,295,368,161
MRC2,3018,2514,3169,3475,9249,2769
NME1-NME2,345,136,256,275,94,61
SLC6A7,2,1,3,6,8,1
TSPAN9,229,241,430,550,846,240
APBA3,134,314,486,539,187,76
MKS1,196,137,157,109,134,36
ABHD5,310,241,1721,1402,1478,447
ANOS1,13,5,0,4,0,0
AKAP8L,602,666,632,592,951,312
MBTD1,415,442,290,348,526,190
UTP18,996,957,972,1052,477,213
RNF216,3398,2560,1613,1744,1348,513
TTC19,915,832,915,812,846,298
PTBP1,3634,2973,3956,3728,1550,753
DPF1,34,27,32,21,0,5
SYT7,17,7,72,78,0,0
LARS2,1082,1292,668,687,457,214
PIK3C2A,2647,2640,3089,4096,3114,845
PLAUR,1194,850,981,1166,504,359
ANLN,12887,8303,2490,2161,434,1008
WIZ,556,371,606,718,401,155
RABGAP1,1386,1638,1164,1267,1439,362
DCN,184,261,3561,3607,11540,3614
QPCTL,123,104,212,233,266,78
PPP5C,982,809,1069,805,582,309
CEP68,402,447,1008,1322,1062,174
MAP4K3,1068,1270,1183,1018,1051,426
ZBTB32,0,0,0,0,0,0
TYROBP,0,0,0,0,1,0
TMEM159,172,319,594,848,121,63
GABRA3,33,1,0,0,0,0
BRCA1,1964,1478,531,696,163,134
ERCC1,760,532,1263,1315,878,426
CD22,24,19,17,27,18,13
SEMA3B,65,39,17,18,92,17
MBTPS2,1290,976,1324,1492,1001,400
PRICKLE3,93,96,175,161,55,29
LTF,0,0,14,4,0,0
EXTL3,2144,2016,1464,1479,1483,627
NR1H4,0,2,0,1,0,1
ELOVL5,2765,3423,2026,1967,5366,798
ALOX5,0,0,0,0,0,0
KDM5D,383,446,1,4,0,4
CALCOCO1,339,414,634,630,1651,519
UBR7,12,18,0,48,0,0
MAP4K5,1321,1706,2398,2810,1636,623
EHD3,502,144,1186,1084,2825,638
MAN2B2,860,659,916,852,1139,472
SLC7A14,67,71,97,69,30,15
CLDN11,548,677,964,812,4692,1698
SLC25A39,934,611,1309,1550,429,185
MVP,3860,3342,5887,6493,8632,2434
NUB1,2130,2781,1412,1280,807,375
PGM3,2492,2491,2807,4046,2581,929
RWDD2A,122,122,186,259,198,67
CLK1,1050,1127,1425,1578,2774,716
POLR3B,497,414,452,411,366,162
ANGEL1,300,207,319,437,273,143
RNF14,1330,1143,2390,2508,1039,444
DNASE1L1,346,244,683,690,752,286
DDX11,1493,1331,401,505,274,193
HEBP1,363,316,296,394,225,102
GPRC5A,1164,497,1702,1129,10565,4070
MAMLD1,133,65,244,321,59,42
CD6,1,0,0,4,0,0
TACC3,2330,1435,721,610,159,236
UFL1,1205,1029,948,972,1249,413
POLA2,830,899,366,402,151,79
ZC3H3,159,121,66,56,49,17
CAPN1,1729,1003,939,1206,1338,487
ACP3,43,63,5,0,2,0
MDH1,2136,2287,1749,1920,2125,728
SLC30A9,2078,1988,2478,2442,2227,714
MTMR11,178,155,50,99,190,106
COX15,613,535,971,877,743,251
CCDC88C,2,2,73,120,4,9
YAF2,463,552,635,727,516,218
ZMYND11,1149,1000,2839,2885,1719,597
WAS,6,1,14,9,4,2
DPEP1,4,0,1,0,14,0
BID,914,1472,708,825,312,168
MATR3,6301,6968,6389,7578,5495,1683
NPC1L1,0,0,11,3,0,0
XYLT2,663,677,912,1075,709,420
RGPD5,914,1066,1181,1501,1159,226
STMN4,0,4,0,0,0,0
NUDCD3,2889,1991,1516,1553,937,420
ISL1,5,6,0,0,0,0
CHDH,92,81,97,72,119,37
IL20RA,0,2,1,8,0,2
CLCA1,0,0,0,0,1,0
CLCA4,8,7,0,0,2,4
GLT8D1,906,618,594,530,911,310
ATP2C1,2588,2977,3593,3433,2828,1316
IGF1,29,29,10,14,26,19
SLC38A5,3,8,10,2,2,3
RALBP1,1597,1297,1278,1467,1520,550
RUFY3,1737,1490,1212,1592,1853,621
CNTN1,9,21,4,11,4,3
SLC11A1,45,42,32,36,56,23
WWTR1,1512,1317,1132,1295,2381,977
AGPS,3032,2390,2249,2021,936,320
ZNF806,0,0,0,0,0,0
CXorf56,660,480,667,698,452,183
ATP1A2,13,2,31,13,32,5
TTC27,1078,840,639,701,225,106
ZNF582,49,63,224,267,64,12
VSIG2,2,2,4,5,0,0
PHLDB1,1705,829,1251,1431,2281,732
MARCO,1,0,0,0,0,1
CYP24A1,15,25,0,0,0,4
PRDM11,124,71,177,121,102,25
SYT13,5,2,4,6,2,2
SNAI2,2074,1451,1705,1589,1100,447
CD74,2,11,2,2,3,0
HGF,944,2140,77,140,5924,1205
ZRANB1,927,959,2008,2046,1363,372
NCDN,584,431,709,765,734,204
ADGRA2,180,223,520,532,836,308
CCT8L1P,0,0,0,0,0,0
ZFP64,727,501,514,417,180,94
MNAT1,583,301,317,292,505,183
SAMD4A,936,1487,1698,1795,405,214
RUNX3,2,3,147,158,240,120
MRE11,821,766,507,636,352,153
PLEKHB1,2,0,2,1,14,0
SERPINB1,710,750,593,742,615,198
CYP3A43,4,5,2,4,5,0
SLC7A9,0,0,1,2,0,0
SPAST,607,652,712,591,729,315
NRXN3,32,39,150,90,81,38
OSBPL5,728,592,479,633,758,467
AQR,2709,1787,1327,1343,1409,443
CPS1,635,842,412,491,727,387
C8B,0,1,0,0,0,0
FHL1,1431,1102,3344,3510,3432,907
RTF2,1737,1650,1572,1595,1143,383
GABRA1,0,0,0,0,0,0
NLRP2,3,5,5,1,11,2
SLC45A4,151,115,18,40,64,42
RNF10,2251,1767,1402,1514,1496,624
ZNF839,380,243,385,400,184,80
ZDHHC6,360,396,495,508,426,98
GRAMD1B,34,10,295,480,193,172
RB1CC1,3802,3394,2964,3226,3853,1301
ERP44,860,1134,926,1060,954,506
ALAS1,1017,821,627,826,290,141
BIRC3,724,5187,5900,6657,156,294
AKAP11,2343,2603,4577,5167,4112,1613
GLRX2,223,269,476,551,144,47
SNAPC1,854,1035,2725,3799,376,132
DERA,836,840,597,577,374,131
STRAP,3507,3287,2977,3497,2575,647
ABCC2,62,66,30,48,51,91
DEF6,7,20,15,32,8,4
PLEKHO1,686,423,618,951,248,81
GCLM,1459,1245,1400,1394,1843,500
UBR2,1351,2043,2158,2541,1749,722
EHD2,1694,1157,2483,2751,3496,1351
DEPDC1,2961,2729,1437,950,55,402
CCDC28A,175,174,130,148,221,77
RRAGD,95,53,111,228,1,0
HSF2,632,633,483,341,220,102
PHF20,1829,1522,1139,1323,1183,539
HSD17B6,9,8,30,18,9,11
NR1H3,100,196,64,49,292,58
TYMP,80,368,611,695,185,438
NCAPH2,533,515,472,476,221,148
TOMM34,1547,910,1158,2053,228,103
SEC63,1943,1473,1276,2006,2034,693
KPNA6,3581,3283,3932,3720,2822,1114
VIM,35718,25452,64522,69937,27692,10775
RTEL1-TNFRSF6B,226,206,84,58,95,45
FAS,176,253,1143,1086,795,229
RNASET2,210,105,196,200,351,88
CD44,8894,5634,15294,16589,8192,4193
KCNG1,700,807,1404,1904,447,200
AGPAT4,995,804,416,474,257,152
SLAMF7,8,10,252,384,8,8
BTN3A1,337,815,390,402,426,355
MIPEP,230,210,353,382,200,72
PRKCH,533,298,1014,754,318,213
INSRR,1,0,0,0,0,0
IFNGR1,632,657,757,855,1163,562
B4GALT7,567,282,333,341,220,115
SH2D2A,0,0,90,110,13,9
VRK2,320,240,983,933,299,132
TNFRSF1B,361,550,1256,807,3597,1497
VEZT,732,734,953,959,2006,733
POU2F2,71,362,292,288,43,118
BRD9,1239,889,1016,1051,567,216
SNX1,1661,1538,1130,1026,1723,650
TBPL1,497,443,422,441,591,144
ARNTL2,2436,1997,1610,1897,529,233
BCLAF1,4947,4197,3361,3069,3781,1177
SLC39A9,1629,1629,1136,1405,2185,875
ANK1,105,95,45,78,658,256
IBSP,0,0,0,0,0,1
TFB1M,260,224,166,152,177,81
RABEP1,2406,2165,2602,2682,1970,603
HMGB3,1081,826,613,707,85,147
NUP160,2017,2051,1352,1384,1156,488
BAK1,330,409,876,870,203,86
MUSK,0,3,2,0,7,0
IKZF2,1145,317,437,388,7305,1382
GRN,1546,1390,1787,2042,2141,1083
FAM13B,1138,1146,1514,1561,1024,162
ARHGAP31,1445,1108,940,1220,392,144
CENPQ,287,245,130,75,28,23
SARS1,2395,2832,5489,6901,1678,594
RANBP3,620,396,376,471,431,236
ARID4A,252,314,277,246,671,226
EIPR1,676,446,402,497,183,89
PNPLA6,787,633,1235,1140,1288,515
IFT88,270,407,332,349,352,134
ALG1,540,356,467,553,480,157
ZCCHC8,799,773,486,640,508,181
ABCF2,3845,3525,1863,2217,1035,329
CHPF2,4262,2989,959,1006,2482,817
LRRC7,8,5,6,4,7,0
FUT8,510,510,689,696,461,140
UBA6,4086,3159,4356,4449,1485,699
GAB2,120,93,716,860,225,115
ATP6V0A1,551,512,495,513,704,260
PIAS1,968,685,276,381,788,335
SLC4A7,2546,4063,6366,7392,2407,1454
APBA2,288,273,201,117,62,37
MAP2K3,552,620,1107,1159,343,138
EFCAB1,30,12,9,32,44,14
TMSB10,34551,26644,18747,19173,11210,7442
ASTE1,156,174,154,138,113,30
RNF19A,1074,1069,1102,1605,810,258
PEX3,373,359,260,164,258,116
GABARAPL2,560,528,607,645,920,248
MYOC,0,0,0,0,0,0
SH3YL1,480,373,441,374,551,254
FAM136A,1128,1035,832,965,329,130
VCL,4722,3212,12641,11958,8695,3672
DEPDC1B,434,407,189,116,36,110
DAPK2,156,124,83,104,200,69
NSMAF,1541,1614,1531,1552,874,342
ADSS2,932,1028,1613,1618,2180,582
STAP1,0,0,0,0,0,0
TIMP2,4299,2865,3480,3987,5731,1995
RFC1,2711,2161,1560,1623,1218,428
TBC1D23,1248,1123,1277,1045,1564,658
CUL3,2694,1848,1935,2370,1495,484
MYOM2,0,0,6,15,1,3
OTC,0,0,0,0,0,0
CYP46A1,77,54,123,88,58,12
ZZZ3,2525,2431,2022,2173,1624,495
SLC18A1,0,0,2,4,7,0
USP2,3,2,3,12,0,0
CASR,3,0,0,0,0,0
TUBG2,206,152,84,63,215,68
RPL26L1,469,386,272,289,229,77
FLT4,18,16,5,21,11,4
NSUN2,2985,2491,2487,2689,1034,372
FBXO42,635,567,702,767,646,397
MFAP3,598,654,1136,1103,823,238
MRI1,381,300,375,311,481,152
METTL1,252,274,269,336,77,17
HOXC8,46,39,0,0,0,0
AGA,276,328,261,134,249,158
PI4K2B,895,777,573,635,584,249
BOD1L1,2830,2900,2891,3339,3444,1228
MAT2B,1054,1104,1123,1371,1108,456
TLL1,5,0,0,1,37,0
EDC4,1160,1014,779,846,875,291
TRIO,9583,7476,10742,11488,18886,5508
VCAN,6831,3283,21623,20572,12321,6935
CLEC16A,645,736,691,670,504,317
MSR1,112,129,11,28,21,1
CDH1,25,15,15,11,10,15
MTREX,2278,2318,1514,1726,1322,556
DNAH5,126,86,282,190,49,37
ZFYVE16,2163,2387,2175,2587,1978,787
RIPOR1,1708,1338,1640,1783,433,282
C6,7,5,3,3,286,15
RAI14,5242,5089,9797,10854,3656,1851
SOX30,11,11,5,10,0,0
PNKP,352,294,350,286,349,94
BEST2,0,0,1,0,0,0
PHLPP2,1425,1320,1152,1220,526,313
SPDL1,1546,937,870,570,192,220
STAU2,937,552,657,834,716,362
SLC66A1,524,457,341,359,181,43
CTNS,263,272,388,357,286,59
RTN4R,6,1,15,16,5,0
PHF23,721,749,1307,1419,624,198
CDH10,0,0,0,2,0,0
INPP4A,1351,1135,796,720,761,433
RAB27B,792,1325,706,624,14865,2719
PSMA4,2610,3626,2022,2130,1566,531
LSG1,1877,1491,1256,1361,585,197
PARP3,745,527,285,261,155,61
TNC,9305,16328,1455,1790,87,325
THAP3,222,322,318,340,207,95
RIPOR3,43,76,102,60,2011,786
TDP1,746,669,344,414,302,137
AIFM2,193,207,304,351,190,112
C2orf83,14,18,7,4,9,6
SPATA7,175,100,148,145,286,46
MED17,710,708,812,922,587,145
RETSAT,549,325,687,714,669,185
CAPG,1906,999,753,884,554,187
AP2S1,845,829,1284,1473,898,544
USH2A,5,6,0,0,23,0
ZPBP,0,0,0,0,0,0
TG,25,6,59,25,44,29
ADAM28,13,2,16,14,14,16
BARX2,4,8,1,7,6,2
DCUN1D1,1515,1487,1317,1428,1209,345
JADE2,2337,2768,674,749,1035,336
ZIC2,0,2,99,115,448,165
LCP2,6,2,5,1,48,6
TRIT1,474,346,488,423,239,75
ADRB1,0,2,4,0,0,0
GUCA2B,0,0,0,0,0,0
CUL7,648,612,461,557,1515,619
CTNNA1,9058,8434,10302,10226,5206,2296
PHKA2,541,254,437,338,365,182
CNTLN,582,503,468,591,587,267
EPHA3,21,22,3,2,145,68
HSPA5,10160,16128,23171,24437,7961,3509
DSG2,81,87,59,52,66,21
GEMIN8,65,79,268,284,145,54
OFD1,297,269,493,493,421,137
GPM6B,230,103,4,7,51,2
MAGEC2,11,12,0,0,0,0
PREX2,11,11,5,8,5,3
WDR37,414,285,512,593,588,148
YTHDC2,1038,975,698,869,1828,381
CTPS2,510,329,509,522,346,146
ATP6V1H,1129,1037,1070,1249,1124,216
POLR2B,3912,3620,2324,2557,1818,634
FAM214A,284,344,543,583,1086,334
ARAP2,954,600,51,91,290,121
TPR,3403,3633,4198,4644,5127,2065
CP,141,677,6,20,20,2
KATNIP,563,524,521,455,478,173
DTNBP1,142,106,139,117,99,49
XK,11,4,12,19,6,1
ANO2,7,10,0,0,0,0
C12orf4,843,781,716,761,539,246
SCML1,456,269,1048,552,285,55
WWC3,1566,1476,2081,2747,1204,627
ARHGAP6,62,28,328,296,1819,253
FAM184B,0,1,3,6,1,0
MAP4,9632,6889,9497,10484,7761,2990
GOPC,2651,3893,1172,1948,1377,430
ROS1,2735,8148,64,126,4,1
USP28,638,580,528,412,426,206
HDAC9,2921,3182,1679,2285,53,6
TSPAN17,938,856,1175,1257,506,255
NOP16,365,361,372,453,74,37
CC2D2A,188,222,472,618,1303,215
RRM2B,693,740,1743,2411,1374,420
ZNF800,1604,1351,980,1258,540,233
TNFRSF17,0,0,3,0,0,0
SNX29,620,408,510,673,638,240
LMO3,5,4,1,0,24,0
MRPS10,1365,1052,1050,1042,596,198
GUCA1A,0,0,0,0,1,0
RSF1,1757,1603,1679,1863,2069,1047
VPS13D,3223,3939,4107,3343,4908,1323
CELF2,4,6,51,64,22,33
FAM120A,4262,4346,3867,5083,3617,1527
R3HDM1,1093,920,549,728,768,311
COL9A2,109,107,23,12,35,4
KITLG,1474,1390,892,1164,3241,348
ERCC8,474,330,189,249,265,71
ADAMTS6,341,286,1181,1372,441,129
H6PD,2396,1884,1072,1191,1657,686
VAMP3,2860,1987,2616,2793,1747,725
PER3,388,417,277,374,94,61
UTS2,2,2,0,0,0,0
TNFRSF9,158,1609,403,554,35,5
EPN3,2,2,0,0,2,0
LTBP1,3749,2652,5856,5889,20352,7418
RCN1,6051,6375,5123,5054,9729,2836
ELN,4,26,5,3,2,2
RFC2,1477,1113,342,405,145,85
ARID1B,3544,3097,2422,2548,2563,808
CLPTM1L,1630,1485,1877,1921,1123,468
NEDD4L,1249,1144,1419,2205,785,242
FOXP3,0,1,0,2,0,0
PPP1R3F,208,231,175,234,115,36
HEXB,2868,2064,1341,1601,2249,903
PTCD2,616,429,434,471,315,102
NEXMIF,0,0,2,8,1,0
JKAMP,972,669,876,888,1368,440
DKK3,2040,1039,2734,3522,3545,1601
ARHGEF5,127,168,215,273,105,42
NFE2L3,278,614,135,190,505,693
MCUR1,911,1060,848,984,317,177
LIMA1,2718,2334,3067,3593,4055,1132
LETMD1,786,576,558,505,797,202
SLC4A8,542,246,241,186,221,96
LAMC3,4,7,64,59,910,396
PTGER3,7,27,19,23,1,0
TNIP3,12,88,6,4,1,0
MAPK9,1072,694,844,726,415,186
COL23A1,0,0,2,0,3,0
BCAR1,2033,1468,1424,1519,1679,682
FAM160A2,261,225,356,409,326,137
HERPUD1,621,799,2570,2616,5069,1069
HOMER3,903,439,1277,1228,550,151
RAD51,286,176,181,153,13,50
POLQ,2253,1650,688,569,58,188
PIK3CB,891,652,571,456,559,269
CYBA,697,567,2140,2091,2495,840
THOC3,457,307,424,412,229,70
HEBP2,1895,1700,1984,1760,705,305
MPHOSPH9,1651,1572,578,521,832,342
PLEKHA5,400,508,473,466,3028,520
PRSS8,3,1,0,1,1,1
SIKE1,1345,1489,1035,1178,805,529
RRP12,830,838,1139,1427,548,178
FNIP2,815,740,1016,1094,698,177
MSMO1,757,614,696,699,1007,254
TTC17,1506,1654,1756,2061,2433,872
ALX4,21,40,3,0,7,0
FSTL4,20,1,22,28,21,0
FOXN3,1291,725,1427,1251,1915,615
METTL24,1,0,2,0,1,0
AKR7A2,686,577,508,590,645,227
MRTO4,2075,1581,1775,2067,304,104
NNAT,12,9,0,0,35,14
USE1,101,126,151,170,134,33
MCF2L2,211,259,152,167,150,90
NRIP2,2,2,4,1,13,0
LAMA3,1164,692,348,372,84,111
AP5M1,928,907,903,1071,1241,411
ANAPC4,629,656,565,595,644,176
KCNQ1,0,0,0,0,0,0
TRAPPC3,1008,972,996,1048,726,194
THRAP3,3694,3071,2397,2616,2785,896
PHPT1,865,802,844,714,743,271
